# id    ra            dec          id_3DHST   ra_3DHST     dec_3DHST   z_IR     ez_IR    Mstar           xfAGN      xeAGN      SFR        eSFR       sSFR       SNR_IR   goodArea   m1400                m1700                S1400                   S1700                  
  255   189.2914581   62.3830261   38220      189.291419   62.383046   1.304    0.0115   1.35499997E11   62.7       20.26      27.63      10.09      0.2039     10.19    1          26.06086730956351    25.61581450611524    1.3666366906088436E-7   2.05908463360121E-7    
  256   189.3261261   62.3830528   38235      189.3262     62.383081   2.352    0.158    5.15199992E11   71.09      71.09      331.9      80.78      0.6442     12.12    1          25.69775652477091    25.488516846845158   1.9094020747293656E-7   2.3152253089209702E-7  
  257   189.3730469   62.3830338   -99        -99          -99         2.431    -1.0     1.91399997E10   371.1      29.64      259.3      29.8       13.55      15.97    0          -99                  -99                  -99                     -99                    
  262   189.3527832   62.3826752   38240      189.352675   62.382449   0.3712   0.05     2.754E8         0.1611     0.1185     0.7016     0.5099     2.548      1.376    0          23.924941431044786   23.92420351935321    9.772899385440654E-7    9.779543713843475E-7   
  264   189.3194275   62.3825989   38239      189.319462   62.38261    2.515    0.2995   2.00399995E10   16.85      16.85      81.7       34.48      4.076      4.153    1          26.88227735987724    26.51570671810973    6.413410759987186E-8    8.989122788543874E-8   
  270   189.276123    62.3823051   -99        -99          -99         1.4      0.2045   4.092E9         2.462      2.462      15.53      13.58      3.795      1.144    0          -99                  -99                  -99                     -99                    
  277   189.2606659   62.382122    -99        -99          -99         2.23     0.291    1.05200005E10   2.617      2.617      59.88      47.21      5.693      2.199    0          -99                  -99                  -99                     -99                    
  288   189.3411255   62.3813171   38192      189.341076   62.381329   0.4013   0.1      7.4470001E9     0.1519     0.1519     1.315      0.8448     0.1766     4.466    0          23.392625035209072   23.271540276775593   1.5956953738210666E-6   1.7839549760154176E-6  
  289   189.3540192   62.3815117   38218      189.354004   62.381518   3.075    0.299    5.2720001E10    101.4      101.4      426.5      136.5      8.09       5.571    0          25.25391659873294    24.793772611810045   2.8736466187644666E-7   4.3902672230306426E-7  
  309   189.4114227   62.380867    -99        -99          -99         4.851    2.15     0.0             226.2      226.2      370.3      278.2      -99.0      1.331    0          -99                  -99                  -99                     -99                    
  314   189.3889771   62.3803711   -99        -99          -99         0.401    0.0      0.0             0.1674     0.0782     0.6532     0.4387     -99.0      1.489    0          -99                  -99                  -99                     -99                    
  316   189.3449707   62.3803024   38202      189.344988   62.380296   1.999    0.114    8.165E10        1.473      1.473      17.51      13.39      0.2145     1.308    0          27.478190924763975   27.281096559229013   3.704449085318925E-8    4.441824306812251E-8   
  317   189.3559875   62.3801041   38152      189.356004   62.380113   0.3786   0.05     3.5640001E10    0.06202    0.06202    1.501      0.6874     0.04211    4.775    0          26.207204979078284   25.884868451265657   1.1943125842396693E-7   1.607135963327816E-7   
  330   189.2572784   62.3797035   -99        -99          -99         2.38     0.304    7.2770002E9     2.422      2.422      53.35      46.59      7.331      1.145    0          -99                  -99                  -99                     -99                    
  337   189.326355    62.3793564   38184      189.326314   62.379346   2.964    0.324    4.8969999E9     5.861      5.861      27.94      47.28      5.705      0.591    1          25.06673576721415    24.912687242162704   3.414331565630975E-7    3.9348221110895197E-7  
  339   189.2628784   62.3790627   -99        -99          -99         0.9719   0.1701   6.3379999E9     0.6945     0.6945     2.572      6.595      0.4058     0.39     1          -99                  -99                  -99                     -99                    
  340   189.2966461   62.3791313   38179      189.296649   62.379146   1.435    0.1785   9.3749996E9     1.445      1.445      10.1       6.382      1.077      1.769    1          25.16615018396516    24.95072454523756    3.1155873113609884E-7   3.799357688843641E-7   
  343   189.3441925   62.3789711   38158      189.344169   62.378977   0.8728   0.1402   1.32400005E10   1.692      1.692      6.691      3.565      0.5053     2.242    1          24.747411837485828   24.658127258715616   4.581790896937636E-7    4.974496121009325E-7   
  356   189.3569031   62.3785439   38175      189.356906   62.378567   1.259    0.062    3.02E9          23.43      10.14      25.32      9.18       8.385      6.769    0          23.454367097835746   23.3640195221719     1.507485560407412E-6    1.638295321990755E-6   
  365   189.3375244   62.3778343   38155      189.337505   62.377827   1.174    0.1901   4.3650002E9     0.8903     0.8903     5.534      5.759      1.268      0.961    1          24.76083897736405    24.562344473515974   4.5254774906381626E-7   5.433281551054612E-7   
  368   189.3711548   62.3778992   -99        -99          -99         0.7607   0.15     1.452E9         0.2508     0.2508     2.128      2.128      1.466      0.0      0          -99                  -99                  -99                     -99                    
  371   189.3935699   62.3781815   -99        -99          -99         0.201    0.2      0.0             0.01317    0.01317    0.3196     0.3196     -99.0      1.927    0          -99                  -99                  -99                     -99                    
  374   189.2759247   62.377739    -99        -99          -99         0.8178   -1.0     3.104E10        4.883      4.883      10.98      1.332      0.3537     9.587    1          -99                  -99                  -99                     -99                    
  375   189.2846832   62.377533    38127      189.284768   62.377268   1.199    0.142    3.5640001E10    1.768      1.768      19.93      8.011      0.5592     5.291    1          24.90119701928377    24.762870501907337   3.9766850108079593E-7   4.5170177719613243E-7  
  376   189.4158325   62.3777733   -99        -99          -99         2.83     0.345    1.48599996E11   154.4      154.4      450.0      171.3      3.029      8.44     0          -99                  -99                  -99                     -99                    
  379   189.2998352   62.3774223   38161      189.300114   62.377468   4.259    0.363    9.8160005E9     47.57      28.33      265.6      236.1      27.06      1.125    1          25.26249258136292    25.07340883922786    2.8510377482920704E-7   3.393411008113413E-7   
  381   189.3229218   62.3777237   38169      189.32266    62.377948   3.999    0.258    5.15199992E11   136.4      68.21      333.0      108.0      0.6464     3.084    1          26.10038898100993    25.987996275007838   1.3177845383355073E-7   1.4615089863280828E-7  
  385   189.340744    62.3772049   38150      189.340924   62.377261   2.458    0.2085   3.8189998E10    63.02      63.02      244.0      69.93      6.389      9.685    1          26.658475475763208   26.16925451509894    7.881516874571016E-8    1.236796347431819E-7   
  390   189.2970734   62.377018    38140      189.296924   62.37698    1.961    0.2045   3.02E9          7.853      3.286      2.689      2.689      0.8905     0.0      1          25.399425718203794   25.21673191701557    2.5132154029839523E-7   2.973769023156119E-7   
  391   189.3270874   62.3771172   38143      189.327267   62.377065   2.32     0.299    1.07599995E10   3.445      3.445      18.56      34.56      1.724      0.537    1          24.790491220628983   24.5392156433154     4.403555879836314E-7    5.550265300311165E-7   
  394   189.2457886   62.3770752   -99        -99          -99         1.101    0.7      0.0             5.848      5.848      14.49      14.05      -99.0      2.502    0          -99                  -99                  -99                     -99                    
  398   189.2703552   62.3765945   -99        -99          -99         0.9839   0.1002   2.004E9         0.5842     0.5842     1.624      3.658      0.8103     0.444    1          -99                  -99                  -99                     -99                    
  399   189.371048    62.3766823   -99        -99          -99         2.901    0.099    2.704E10        5.774      5.774      119.7      34.16      4.427      3.504    0          -99                  -99                  -99                     -99                    
  401   189.2810516   62.3764534   38129      189.281015   62.376498   1.251    -1.0     2.042E9         0.6938     0.6938     8.752      10.27      4.287      0.852    1          24.292244671409833   24.202630683831533   6.967903565277753E-7    7.56741804936353E-7    
  407   189.2942505   62.3762665   38099      189.294207   62.376266   1.521    -1.0     7.2770003E10    81.31      81.31      192.8      26.82      2.649      19.78    1          26.098789740408783   25.57511368884762    1.3197270059286847E-7   2.1377382326125377E-7  
  409   189.3363342   62.3762016   38106      189.336339   62.376207   0.6897   0.13     5.3699999E9     0.2925     0.2925     5.934      3.354      1.105      2.034    1          27.905650225268364   27.412196450547146   2.4988484043555202E-8   3.9366011935580365E-8  
  413   189.3651276   62.3760185   -99        -99          -99         0.6233   0.14     3.81900006E9    0.1194     0.1194     2.136      1.254      0.5593     3.161    0          -99                  -99                  -99                     -99                    
