# id     id_3DHST   SNR_IR   goodArea   z_IR     dL        Mstar           xfAGN     xeAGN     SFR_IR   eSFR_IR   SFR_UV       S1400        S1700        SFR_UV1400   SFR_UV1700   SFR_UV_from_Mstar   SFR_UV_for_noUV_noMstar   SFR_UV_for_AGN   SFR_total   SFR_UV_method   SFR_IR/SFR_total     
  1458   36933      9.062    1          1.497    10680.2   1.91399997E10   23.27     21.81     39.43    16.9      3.06956      2.77864E-7   3.56116E-7   3.06956      3.93401      3.17036             -99.0                     -99.0            42.4996     1.0             0.9277734378676505   
  1475   36878      17.71    1          1.766    13117.3   6.053E10        16.8      12.37     140.8    17.76     0.549133     3.29537E-8   4.25644E-8   0.549133     0.709283     2.25862             -99.0                     -99.0            141.349     1.0             0.9961159965758514   
  1490   36876      6.364    1          1.9      14361.6   3.5640001E10    9.746     9.746     146.8    66.24     8.69816      4.3545E-7    5.91944E-7   8.69816      11.8241      4.94326             -99.0                     -99.0            155.498     1.0             0.9440635892423055   
  1491   36819      9.469    1          0.837    5168.55   1.45200005E10   11.35     11.35     17.59    4.188     0.307053     1.18684E-7   2.06135E-7   0.307053     0.533302     2.08215             -99.0                     -99.0            17.8971     1.0             0.9828407954361322   
  1501   36783      11.22    1          1.433    10113.8   1.02799999E11   3.698     3.698     50.26    4.48      5.49116      5.54304E-7   7.61977E-7   5.49116      7.54846      0.384089            -99.0                     -99.0            55.7512     1.0             0.9015052590796252   
  1515   36808      12.57    1          1.195    8061.14   1.38700001E10   1.109     1.109     32.06    2.551     1.59247      2.53043E-7   3.0007E-7    1.59247      1.88843      4.04628             -99.0                     -99.0            33.6525     1.0             0.9526781071242849   
  1533   36709      16.66    1          0.746    4481.07   1.29400003E10   1.411     1.411     17.79    1.068     0.194505     1.00019E-7   2.20351E-7   0.194505     0.42851      2.47439             -99.0                     -99.0            17.9845     1.0             0.9891851316411353   
  1567   36573      7.33     1          0.6338   3666.32   2.05099991E10   0.5686    0.5686    5.054    0.6895    2.92816      2.24932E-6   2.46178E-6   2.92816      3.20475      0.368878            -99.0                     -99.0            7.98216     1.0             0.6331619511510669   
  1592   36567      7.615    1          0.9376   5953.58   1.12699998E11   2.648     2.648     11.68    1.534     1.05796      3.08199E-7   3.33977E-7   1.05796      1.14645      0.0784783           -99.0                     -99.0            12.738      1.0             0.9169414350761501   
  1633   36490      31.11    1          0.32     1610.37   3.80099994E9    0.9896    0.9896    4.046    0.1301    0.268701     1.06989E-6   1.41524E-6   0.268701     0.355438     0.903319            -99.0                     -99.0            4.3147      1.0             0.9377245231418175   
  1648   36582      25.86    1          1.76     13062.0   1.91400002E11   367.7     46.29     140.7    21.25     15.3722      1.37355E-7   2.2535E-7    2.26961      3.7236       0.450376            -99.0                     15.3722          156.072     4.0             0.9015069967707211   
  1651   36593      9.287    1          2.99     25032.0   1.82800007E11   73.39     73.39     346.1    111.2     5.22012      8.60212E-8   1.31264E-7   5.22012      7.96566      1.1815              -99.0                     -99.0            351.32      1.0             0.9851417511100992   
  1712   36418      9.621    1          2.216    17363.4   4.187E10        77.04     70.88     116.9    34.34     27.7112      9.49075E-7   1.27756E-6   27.7112      37.3023      3.1416              -99.0                     -99.0            144.611     1.0             0.8083755730891842   
  1724   36454      6.452    1          0.9809   6298.75   1.74600008E10   3.674     3.674     10.86    5.099     0.0359826    9.36484E-9   1.46228E-8   0.0359826    0.0561855    0.993043            -99.0                     -99.0            10.896      1.0             0.9966960352422907   
  1735   36523      8.504    1          4.08     36372.3   5.7799999E11    197.5     197.5     828.6    190.4     23.5502      1.8381E-7    1.99874E-7   23.5502      25.6083      0.564477            -99.0                     -99.0            852.15      1.0             0.9723640204189404   
  1737   36323      5.517    1          1.142    7616.78   3.8189998E10    1.604     1.604     18.1     3.281     1.80465      3.21194E-7   3.61166E-7   1.80465      2.02924      0.553285            -99.0                     -99.0            19.9047     1.0             0.9093329716097205   
  1753   36361      6.33     1          1.2      8103.32   6.486E10        7.371     7.371     21.84    3.45      1.50619      2.36848E-7   3.63477E-7   1.50619      2.31147      0.318042            -99.0                     -99.0            23.3462     1.0             0.9354841473130531   
  1762   36393      13.53    1          2.068    15946.5   5.5199998E10    32.03     20.77     182.0    26.52     2.02872      8.23777E-8   1.20885E-7   2.02872      2.97704      3.32167             -99.0                     -99.0            184.029     1.0             0.9889745637915763   
  1866   36108      5.794    1          1.083    7128.18   1.15300004E10   2.493     2.493     21.14    3.649     11.6128      2.35991E-6   2.82609E-6   11.6128      13.9068      3.45576             -99.0                     -99.0            32.7528     1.0             0.6454410004640825   
  1880   35852      8.868    1          0.858    5330.35   5.034E10        7.317     7.317     10.27    3.133     0.126358     4.59207E-8   6.56866E-8   0.126358     0.180748     0.213251            -99.0                     -99.0            10.3964     1.0             0.9878419452887538   
  1930   35918      27.84    1          0.937    5948.82   8.9529999E9     3.346     2.657     40.74    1.463     0.799553     2.33293E-7   3.40315E-7   0.799553     1.16635      9.48997             -99.0                     -99.0            41.5396     1.0             0.9807508979383528   
  1945   36123      6.616    1          3.742    32801.3   2.58200003E10   60.82     60.82     357.5    54.04     2.76445      2.65304E-8   3.44712E-8   2.76445      3.59188      18.9033             -99.0                     -99.0            360.264     1.0             0.99232784846668     
  1973   35951      5.232    1          1.491    10626.9   2.30100009E10   12.37     12.37     23.57    5.082     2.40648      2.20033E-7   2.79206E-7   2.40648      3.05366      1.46446             -99.0                     -99.0            25.9765     1.0             0.9073585740958173   
  2025   35768      6.583    1          1.2      8103.32   2.30100009E10   6.195     6.134     19.24    2.923     0.515223     8.10187E-8   1.53842E-7   0.515223     0.978326     1.19542             -99.0                     -99.0            19.7552     1.0             0.9739207904754191   
  2056   35730      5.64     1          0.7781   4720.96   4.8969999E9     0.3836    0.3836    7.104    1.26      1.56939      7.27089E-7   9.90782E-7   1.56939      2.13856      3.85124             -99.0                     -99.0            8.67339     1.0             0.81905690854441     
  2094   35470      46.32    1          0.4379   2337.64   1.208E10        3.075     3.075     12.13    0.7566    1.47994      2.79643E-6   2.73075E-6   1.47994      1.44518      1.85766             -99.0                     -99.0            13.6099     1.0             0.8912629776853614   
  2135   35573      80.73    1          1.006    6500.69   3.9080002E10    6.608     6.608     114.8    11.85     0.0442807    1.08196E-8   3.1315E-8    0.0442807    0.128161     3.39786             -99.0                     -99.0            114.844     1.0             0.9996168715823204   
  2141   35401      17.45    1          0.284    1403.22   6.6370002E9     0.2227    0.2227    1.928    0.1105    0.400945     2.10258E-6   2.32046E-6   0.400945     0.442494     0.682883            -99.0                     -99.0            2.32894     1.0             0.8278444270784134   
  2234   35289      5.214    1          0.5072   2793.28   3.16199987E9    0.422     0.422     1.899    0.3642    0.894793     1.18416E-6   1.26175E-6   0.894793     0.953428     0.423975            -99.0                     -99.0            2.79379     1.0             0.6797218115892748   
  2256   34801      73.61    1          0.2775   1366.66   3.8189998E10    0.4614    0.4614    8.066    0.4747    3.46508      1.91561E-5   1.87832E-5   3.46508      3.39762      0.246563            -99.0                     -99.0            11.5311     1.0             0.6994996140871209   
  2266   34998      24.89    1          0.2712   1331.49   4.8969999E9     0.5868    0.5868    2.049    0.1781    0.155523     9.05811E-7   8.3891E-7    0.155523     0.144037     1.11081             -99.0                     -99.0            2.20452     1.0             0.9294540308094279   
  2295   34995      8.146    1          0.2767   1362.18   5.6230001E9     0.1207    0.1207    0.5763   0.07075   0.0404867    2.25299E-7   2.41121E-7   0.0404867    0.0433299    0.25745             -99.0                     -99.0            0.616787    1.0             0.9343582144241044   
  2320   -99        6.051    1          3.768    33074.4   1.26500004E11   18.72     18.72     457.6    75.62     2.61553      -99.0        -99.0        -99.0        -99.0        2.61553             -99.0                     -99.0            460.216     2.0             0.9943157126218993   
  2324   35241      26.92    1          2.29     18078.6   8.7490003E10    551.1     113.3     108.2    38.22     11.8214      6.86018E-8   9.07397E-8   2.17145      2.87218      1.0363              -99.0                     11.8214          120.021     4.0             0.9015089026087102   
  2327   34454      5.004    1          0.2733   1343.18   3.8189998E10    0.1913    0.1913    0.6744   0.1348    0.109784     6.28325E-7   5.22938E-7   0.109784     0.0913703    0.0206152           -99.0                     -99.0            0.784184    1.0             0.860002244371219    
  2360   35217      7.028    1          1.491    10626.9   2.512E9         44.74     6.14      16.49    4.693     1.80162      6.11656E-7   6.82245E-7   6.68964      7.46167      3.68159             -99.0                     1.80162          18.2916     4.0             0.9015067025301231   
  2408   34867      6.241    1          0.5287   2937.97   3.388E9         0.5842    0.5842    2.584    0.414     0.760526     9.09776E-7   1.50192E-6   0.760526     1.25552      0.57691             -99.0                     -99.0            3.34453     1.0             0.7726048204082487   
  2432   -99        8.59     1          1.27     8698.29   3.9080002E10    9.095     9.095     44.9     19.35     1.32895      -99.0        -99.0        -99.0        -99.0        1.32895             -99.0                     -99.0            46.229      2.0             0.9712518116333902   
  2455   34739      21.38    1          1.145    7641.8    7.2770003E10    6.987     6.987     55.6     2.6       6.81546      1.20509E-6   1.59137E-6   6.81546      9.00008      0.689194            -99.0                     -99.0            62.4155     1.0             0.8908043675048666   
  2463   34456      50.49    1          0.2113   1009.96   1.02799995E10   0.5363    0.5363    2.35     0.1075    0.129587     1.31179E-6   1.59116E-6   0.129587     0.157184     0.451105            -99.0                     -99.0            2.47959     1.0             0.9477373275420534   
  2513   34708      7.742    1          1.028    6678.76   1.38700001E10   3.098     3.098     17.01    2.412     7.38516      1.70956E-6   1.95823E-6   7.38516      8.45937      2.14683             -99.0                     -99.0            24.3952     1.0             0.6972683150783762   
  2518   34734      5.264    1          0.6342   3669.16   3.98099994E9    0.4956    0.4956    3.603    0.6845    1.01901      7.81562E-7   1.17581E-6   1.01901      1.53304      0.804414            -99.0                     -99.0            4.62201     1.0             0.7795309832735109   
  2525   34747      11.59    1          1.142    7616.78   1.78599997E10   2.954     2.954     26.77    2.309     0.245944     4.37734E-8   6.00168E-8   0.245944     0.337209     2.37145             -99.0                     -99.0            27.0159     1.0             0.9908979526871213   
  2540   34812      7.662    1          2.295    18127.1   2.14799995E10   59.77     56.56     107.5    24.36     10.4806      3.2934E-7    4.69031E-7   10.4806      14.926       7.35462             -99.0                     -99.0            117.981     1.0             0.9111636619455675   
  2592   34783      16.33    1          4.744    43504.0   2.35499995E11   57.05     57.05     1231.0   75.37     7.86624      4.29166E-8   7.9126E-8    7.86624      14.5031      2.94762             -99.0                     -99.0            1238.87     1.0             0.993647436777063    
  2594   34540      8.285    1          1.152    7700.24   6.3379999E9     1.897     1.897     23.3     2.812     3.95557      6.88839E-7   7.95682E-7   3.95557      4.5691       8.80284             -99.0                     -99.0            27.2556     1.0             0.8548701918137924   
  2625   34410      13.86    1          0.8352   5154.73   7.1110001E10    6.543     6.543     16.49    1.325     0.920588     3.57742E-7   5.64946E-7   0.920588     1.45379      0.211114            -99.0                     -99.0            17.4106     1.0             0.9471241657381135   
  2643   34562      8.647    1          1.229    8348.81   2.24899994E10   21.04     21.04     29.74    6.15      0.0104181    1.54332E-9   4.83464E-9   0.0104181    0.032636     1.9079              -99.0                     -99.0            29.7504     1.0             0.9996504248682371   
  2670   34461      5.378    1          0.947    6028.16   1.32400005E10   2.054     2.054     9.679    1.8       0.970859     2.75869E-7   4.03434E-7   0.970859     1.41979      1.30373             -99.0                     -99.0            10.6499     1.0             0.9088348247401383   
  2738   34335      10.68    1          1.987    15179.0   6.3380001E10    7.724     7.724     99.17    9.285     5.86026      2.6263E-7    3.773E-7     5.86026      8.41896      1.49158             -99.0                     -99.0            105.03      1.0             0.9442064172141293   
  2739   34254      9.625    1          0.972    6227.47   3.25099991E10   4.011     4.011     19.25    2.0       1.56244      4.16004E-7   5.29546E-7   1.56244      1.98889      0.737237            -99.0                     -99.0            20.8124     1.0             0.9249293690300013   
  2746   34251      13.28    1          1.221    8280.94   2.19800003E10   2.853     2.853     53.5     5.605     2.80364      4.22162E-7   5.06803E-7   2.80364      3.36575      3.54417             -99.0                     -99.0            56.3036     1.0             0.9502056706853558   
  2818   -99        13.01    1          0.051    234.115   3.404E7         0.06563   0.06563   0.1007   0.1007    0.0224825    -99.0        -99.0        -99.0        -99.0        0.0224825           -99.0                     -99.0            0.123183    2.5             0.8174829318980703   
  2825   34084      8.623    1          0.6809   4003.77   1.00499999E10   0.649     0.649     7.334    0.8505    0.609825     3.92811E-7   5.04475E-7   0.609825     0.783181     1.45314             -99.0                     -99.0            7.94383     1.0             0.9232322443959651   
  2841   -99        25.09    1          0.7433   4461.03   1.076E9         1.05      1.05      18.72    1.392     4.17947      -99.0        -99.0        -99.0        -99.0        4.17947             -99.0                     -99.0            22.8995     2.5             0.8174850979279024   
  2874   34002      6.579    1          1.599    11594.0   9.5929999E9     19.3      12.37     37.72    5.733     9.16196      7.0378E-7    8.4664E-7    9.16196      11.0217      7.97692             -99.0                     -99.0            46.882      1.0             0.8045731837378951   
  2878   33896      9.204    1          0.9544   6087.01   1.32400005E10   3.384     3.296     16.98    2.295     3.0484       8.49534E-7   1.00851E-6   3.0484       3.61888      2.28715             -99.0                     -99.0            20.0284     1.0             0.8477961294961155   
  2893   33724      23.47    1          0.4545   2445.16   9.5929999E9     2.811     2.811     6.251    0.6368    0.903457     1.5603E-6    2.00764E-6   0.903457     1.16248      1.32194             -99.0                     -99.0            7.15446     1.0             0.8737207280493566   
  2901   34028      5.248    1          2.514    20268.6   1.62900001E11   37.65     37.65     103.7    32.19     0.076681     1.92733E-9   6.35735E-9   0.076681     0.252935     0.415996            -99.0                     -99.0            103.777     1.0             0.9992580244177419   
  2994   33691      5.809    1          2.234    17537.0   3.03399997E10   13.83     13.83     98.12    16.89     102.854      3.45325E-6   3.88661E-6   102.854      115.762      4.13938             -99.0                     -99.0            200.974     1.0             0.4882223571208216   
  3012   33720      6.224    1          1.459    10343.3   4.8079999E10    1.763     1.763     31.43    5.05      2.71085      2.61642E-7   3.68121E-7   2.71085      3.81407      0.695976            -99.0                     -99.0            34.1409     1.0             0.920596703660419    
  3022   33714      8.724    1          0.955    6091.79   1.95900006E10   3.272     3.272     15.24    1.747     0.512585     1.42624E-7   1.92919E-7   0.512585     0.693344     1.18614             -99.0                     -99.0            15.7526     1.0             0.9674593400454529   
  3069   33577      24.02    1          1.056    6906.81   2.96499999E10   6.86      5.941     47.78    10.04     0.165731     3.58727E-8   7.05413E-8   0.165731     0.325898     2.08167             -99.0                     -99.0            47.9457     1.0             0.9965440070746698   
  3075   33235      12.07    1          0.5706   3224.2    3.32599992E10   1.148     1.148     6.01     0.4978    0.261158     2.59405E-7   4.99247E-7   0.261158     0.502622     0.222938            -99.0                     -99.0            6.27116     1.0             0.9583553919848959   
  3081   33569      5.54     1          0.8      4886.28   9.3749996E9     1.095     1.095     7.514    1.356     0.802006     3.46847E-7   5.17343E-7   0.802006     1.19624      1.64101             -99.0                     -99.0            8.31601     1.0             0.9035583170294408   
  3083   33631      8.872    1          1.42     9999.49   3.03399997E10   27.16     27.16     51.8     19.99     2.74196      2.83153E-7   3.19534E-7   2.74196      3.09426      2.18528             -99.0                     -99.0            54.542      1.0             0.949726816031682    
  3087   33231      29.65    1          0.8409   5198.51   4.4870001E10    5.162     5.162     37.06    1.25      1.88931      7.21875E-7   1.2796E-6    1.88931      3.34902      0.903997            -99.0                     -99.0            38.9493     1.0             0.9514933516135079   
  3093   33579      7.769    1          2.009    15386.9   4.9200001E10    89.79     9.523     77.17    13.09     8.43121      3.69995E-9   8.15971E-9   0.084836     0.187094     1.65462             -99.0                     8.43121          85.6012     4.0             0.9015060536534534   
