#            id        id_3DHST          SNR_IR        goodArea            z_IR              dL           Mstar           xfAGN           xeAGN          SFR_IR         eSFR_IR          SFR_UV           S1400           S1700      SFR_UV1400      SFR_UV1700    SFR_UV_from_Mstar    SFR_UV_for_noUV_noMstar         SFR_UV_for_AGN              SFR_total           SFR_UV_method
#
            316           38202           1.308               0           1.999         15292.4       8.165e+10           1.473           1.473           17.51           13.39        0.838988     3.70445e-08     4.44182e-08        0.838988         1.00599             0.184734                        -99                    -99                 18.349                    1.0
            317           38152           4.775               0          0.3786         1963.26       3.564e+10         0.06202         0.06202           1.501          0.6874       0.0445816     1.19431e-07     1.60714e-07       0.0445816       0.0599916            0.0505438                        -99                    -99                1.54558                    1.0
            330             -99           1.145               0            2.38         18954.1       7.277e+09           2.422           2.422           53.35           46.59         16.6112             -99             -99             -99             -99              16.6112                        -99                    -99                69.9612                    2.0
            337           38184           0.591               1           2.964         24768.4       4.897e+09           5.861           5.861           27.94           47.28         20.2854     3.41433e-07     3.93482e-07         20.2854         23.3778              15.1469                        -99                    -99                48.2254                    1.0
            339             -99            0.39               1          0.9719         6226.67       6.338e+09          0.6945          0.6945           2.572           6.595        0.971713             -99             -99             -99             -99             0.971713                        -99                    -99                3.54371                    2.0
            340           38179           1.769               1           1.435         10131.5       9.375e+09           1.445           1.445            10.1           6.382         3.09719     3.11559e-07     3.79936e-07         3.09719         3.77692              2.20578                        -99                    -99                13.1972                    1.0
            343           38158           2.242               1          0.8728         5445.06       1.324e+10           1.692           1.692           6.691           3.565          1.3156     4.58179e-07      4.9745e-07          1.3156         1.42836             0.901255                        -99                    -99                 8.0066                    1.0
            356           38175           6.769               0           1.259         8604.25        3.02e+09           23.43           10.14           25.32            9.18         10.8084     1.50749e-06      1.6383e-06         10.8084         11.7463                5.653                        -99                    -99                36.1284                    1.0
            365           38155           0.961               1           1.174         7884.47       4.365e+09          0.8903          0.8903           5.534           5.759         2.72454     4.52548e-07     5.43328e-07         2.72454         3.27108              3.52421                        -99                    -99                8.25854                    1.0
            368             -99               0               0          0.7607         4590.56       1.452e+09          0.2508          0.2508           2.128           2.128        0.475102             -99             -99             -99             -99             0.475102                        -99                    -99                 2.6031                    2.5
            371             -99           1.927               0           0.201         956.889           1e-99         0.01317         0.01317          0.3196          0.3196       0.0349179             -99             -99             -99             -99                  -99                  0.0349179                    -99               0.354518                    3.0
            374             -99           9.587               1          0.8178         5021.62       3.104e+10           4.883           4.883           10.98           1.332        0.448654             -99             -99             -99             -99             0.448654                        -99                    -99                11.4287                    2.0
            375           38127           5.291               1           1.199         8094.88       3.564e+10           1.768           1.768           19.93           8.011         2.52363     3.97669e-07     4.51702e-07         2.52363         2.86653             0.671111                        -99                    -99                22.4536                    1.0
            376             -99            8.44               0            2.83         23415.7       1.486e+11           154.4           154.4             450           171.3         2.05299             -99             -99             -99             -99              2.05299                        -99                    -99                452.053                    2.0
            379           38161           1.125               1           4.259         38280.4       9.816e+09           47.57           28.33           265.6           236.1         40.4613     2.85104e-07     3.39341e-07         40.4613         48.1585              54.3901                        -99                    -99                306.061                    1.0
