# id    id_3DHST   SNR_IR   goodArea   z_IR     dL        Mstar           xfAGN      xeAGN      SFR_IR     eSFR_IR    SFR_UV       S1400        S1700        SFR_UV1400   SFR_UV1700   SFR_UV_from_Mstar   SFR_UV_for_noUV_noMstar   SFR_UV_for_AGN   SFR_total   SFR_UV_method   SFR_IR/SFR_total     
  217   38264      3.167    0          2.611    21227.9   2.83099988E11   34.8       34.8       90.97      44.66      9.03197      2.0696E-7    2.469E-7     9.03197      10.775       0.168338            -99.0                     -99.0            100.002     1.0             0.9096818063638727   
  227   -99        2.144    0          0.921    5822.36   3.03399987E9    0.4647     0.4647     3.299      2.147      0.736542     -99.0        -99.0        -99.0        -99.0        0.736542            -99.0                     -99.0            4.03554     2.5             0.8174866312810677   
  239   38261      3.221    0          3.242    27605.7   3.9990002E10    11.34      11.34      93.85      59.89      3.95918      5.36444E-8   8.91952E-8   3.95918      6.58297      2.68969             -99.0                     -99.0            97.8092     1.0             0.9595211902356833   
  242   -99        0.0      0          1.31     9041.88   1.95900006E10   1.297      1.297      11.46      11.46      0.891942     -99.0        -99.0        -99.0        -99.0        0.891942            -99.0                     -99.0            12.3519     2.0             0.9277924853666237   
  245   -99        2.492    0          0.7653   4624.95   2.83100006E9    0.2737     0.2737     2.91       1.219      0.649693     -99.0        -99.0        -99.0        -99.0        0.649693            -99.0                     -99.0            3.55969     2.5             0.8174869159954941   
  247   38216      0.0      0          0.041    188.04    3.02E7          2.464E-4   2.464E-4   0.004746   0.004746   0.185492     5.41676E-5   5.83692E-5   0.185492     0.19988      0.0010596           -99.0                     -99.0            0.190238    1.0             0.02494769709521757  
  248   -99        2.767    0          1.363    9501.01   9.3749996E9     1.546      1.546      13.15      7.095      2.87188      -99.0        -99.0        -99.0        -99.0        2.87188             -99.0                     -99.0            16.0219     2.0             0.8207515962526293   
  254   -99        0.0      0          1.5      10706.9   3.48300006E9    0.1838     0.1838     21.03      21.03      4.6952       -99.0        -99.0        -99.0        -99.0        4.6952              -99.0                     -99.0            25.7252     2.5             0.8174863557912087   
  255   38220      10.19    1          1.304    8990.18   1.35499997E11   62.7       20.26      27.63      10.09      3.01872      1.36664E-7   2.05908E-7   1.06973      1.61174      0.143439            -99.0                     3.01872          30.6487     4.0             0.9015064260474343   
  256   38235      12.12    1          2.352    18681.1   5.15199992E11   71.09      71.09      331.9      80.78      6.45336      1.9094E-7    2.31523E-7   6.45336      7.82496      0.265608            -99.0                     -99.0            338.353     1.0             0.9809282022030246   
  257   -99        15.97    0          2.431    19452.9   1.91399997E10   371.1      29.64      259.3      29.8       28.3298      -99.0        -99.0        -99.0        -99.0        20.8489             -99.0                     28.3298          287.63      4.0             0.9015054062510865   
  262   38240      1.376    0          0.3712   1917.7    2.754E8         0.1611     0.1185     0.7016     0.5099     0.348071     9.7729E-7    9.77954E-7   0.348071     0.348307     0.156641            -99.0                     -99.0            1.04967     1.0             0.6684005449331694   
  264   38239      4.153    1          2.515    20278.5   2.00399995E10   16.85      16.85      81.7       34.48      2.55413      6.41341E-8   8.98912E-8   2.55413      3.57991      6.15978             -99.0                     -99.0            84.2541     1.0             0.96968574823065     
  270   -99        1.144    0          1.4      9824.04   4.092E9         2.462      2.462      15.53      13.58      10.8258      -99.0        -99.0        -99.0        -99.0        10.8258             -99.0                     -99.0            26.3558     2.0             0.5892441132502144   
  277   -99        2.199    0          2.23     17498.4   1.05200005E10   2.617      2.617      59.88      47.21      11.1291      -99.0        -99.0        -99.0        -99.0        11.1291             -99.0                     -99.0            71.0091     2.0             0.8432722003236205   
  288   38192      4.466    0          0.4013   2104.68   7.4470001E9     0.1519     0.1519     1.315      0.8448     0.684548     1.5957E-6    1.78395E-6   0.684548     0.765311     0.396417            -99.0                     -99.0            1.99955     1.0             0.6576479707934285   
  289   38218      5.571    0          3.075    25896.4   5.2720001E10    101.4      101.4      426.5      136.5      18.6636      2.87365E-7   4.39027E-7   18.6636      28.5137      8.30144             -99.0                     -99.0            445.164     1.0             0.9580738783908852   
  309   -99        1.331    0          4.851    44666.1   0.0             226.2      226.2      370.3      278.2      40.4572      -99.0        -99.0        -99.0        -99.0        -99.0               40.4572                   -99.0            410.757     3.0             0.9015062433506915   
  314   -99        1.489    0          0.401    2102.79   0.0             0.1674     0.0782     0.6532     0.4387     0.0713654    -99.0        -99.0        -99.0        -99.0        -99.0               0.0713654                 -99.0            0.724565    3.0             0.9015064210940357   
  316   38202      1.308    0          1.999    15292.4   8.165E10        1.473      1.473      17.51      13.39      0.838988     3.70445E-8   4.44182E-8   0.838988     1.00599      0.184734            -99.0                     -99.0            18.349      1.0             0.9542754373535344   
  317   38152      4.775    0          0.3786   1963.26   3.5640001E10    0.06202    0.06202    1.501      0.6874     0.0445816    1.19431E-7   1.60714E-7   0.0445816    0.0599916    0.0505438           -99.0                     -99.0            1.54558     1.0             0.9711564590639112   
  330   -99        1.145    0          2.38     18954.1   7.2770002E9     2.422      2.422      53.35      46.59      16.6112      -99.0        -99.0        -99.0        -99.0        16.6112             -99.0                     -99.0            69.9612     2.0             0.7625655363258491   
  337   38184      0.591    1          2.964    24768.4   4.8969999E9     5.861      5.861      27.94      47.28      20.2854      3.41433E-7   3.93482E-7   20.2854      23.3778      15.1469             -99.0                     -99.0            48.2254     1.0             0.5793627424552207   
  339   -99        0.39     1          0.9719   6226.67   6.3379999E9     0.6945     0.6945     2.572      6.595      0.971713     -99.0        -99.0        -99.0        -99.0        0.971713            -99.0                     -99.0            3.54371     2.0             0.7257930248242661   
  340   38179      1.769    1          1.435    10131.5   9.3749996E9     1.445      1.445      10.1       6.382      3.09719      3.11559E-7   3.79936E-7   3.09719      3.77692      2.20578             -99.0                     -99.0            13.1972     1.0             0.765313854453975    
  343   38158      2.242    1          0.8728   5445.06   1.32400005E10   1.692      1.692      6.691      3.565      1.3156       4.58179E-7   4.9745E-7    1.3156       1.42836      0.901255            -99.0                     -99.0            8.0066      1.0             0.8356855594134838   
  356   38175      6.769    0          1.259    8604.25   3.02E9          23.43      10.14      25.32      9.18       10.8084      1.50749E-6   1.6383E-6    10.8084      11.7463      5.653               -99.0                     -99.0            36.1284     1.0             0.7008336931610589   
  365   38155      0.961    1          1.174    7884.47   4.3650002E9     0.8903     0.8903     5.534      5.759      2.72454      4.52548E-7   5.43328E-7   2.72454      3.27108      3.52421             -99.0                     -99.0            8.25854     1.0             0.6700942297306788   
  368   -99        0.0      0          0.7607   4590.56   1.452E9         0.2508     0.2508     2.128      2.128      0.475102     -99.0        -99.0        -99.0        -99.0        0.475102            -99.0                     -99.0            2.6031      2.5             0.8174868426107335   
  371   -99        1.927    0          0.201    956.889   0.0             0.01317    0.01317    0.3196     0.3196     0.0349179    -99.0        -99.0        -99.0        -99.0        -99.0               0.0349179                 -99.0            0.354518    3.0             0.9015057063393114   
  374   -99        9.587    1          0.8178   5021.62   3.104E10        4.883      4.883      10.98      1.332      0.448654     -99.0        -99.0        -99.0        -99.0        0.448654            -99.0                     -99.0            11.4287     2.0             0.9607391916840936   
  375   38127      5.291    1          1.199    8094.88   3.5640001E10    1.768      1.768      19.93      8.011      2.52363      3.97669E-7   4.51702E-7   2.52363      2.86653      0.671111            -99.0                     -99.0            22.4536     1.0             0.8876082231802472   
  376   -99        8.44     0          2.83     23415.7   1.48599996E11   154.4      154.4      450.0      171.3      2.05299      -99.0        -99.0        -99.0        -99.0        2.05299             -99.0                     -99.0            452.053     2.0             0.995458497123125    
  379   38161      1.125    1          4.259    38280.4   9.8160005E9     47.57      28.33      265.6      236.1      40.4613      2.85104E-7   3.39341E-7   40.4613      48.1585      54.3901             -99.0                     -99.0            306.061     1.0             0.8678008632266119   
  381   38169      3.084    1          3.999    35512.6   5.15199992E11   136.4      68.21      333.0      108.0      16.0951      1.31778E-7   1.46151E-7   16.0951      17.8505      0.266488            -99.0                     -99.0            349.095     1.0             0.9538950715421303   
  385   38150      9.685    1          2.458    19717.7   3.8189998E10    63.02      63.02      244.0      69.93      2.96762      7.88152E-8   1.2368E-7    2.96762      4.65689      7.45865             -99.0                     -99.0            246.968     1.0             0.9879822487123838   
  390   38140      0.0      1          1.961    14934.0   3.02E9          7.853      3.286      2.689      2.689      0.293787     2.51322E-7   2.97377E-7   5.42831      6.42306      0.600352            -99.0                     0.293787         2.98279     4.0             0.9015049668263606   
  391   38143      0.537    1          2.32     18369.8   1.07599995E10   3.445      3.445      18.56      34.56      14.3911      4.40356E-7   5.55027E-7   14.3911      18.1387      3.34226             -99.0                     -99.0            32.9511     1.0             0.5632588896880529   
  394   -99        2.502    0          1.101    7276.55   0.0             5.848      5.848      14.49      14.05      1.58311      -99.0        -99.0        -99.0        -99.0        -99.0               1.58311                   -99.0            16.0731     3.0             0.9015062433506915   
  398   -99        0.444    1          0.9839   6322.82   2.004E9         0.5842     0.5842     1.624      3.658      0.362578     -99.0        -99.0        -99.0        -99.0        0.362578            -99.0                     -99.0            1.98658     2.5             0.8174853265410907   
