# ID     RA            DEC         
  1285   189.3126831   62.3489571  
  1293   189.2520142   62.3486023  
  1337   189.4335632   62.3474998  
  1338   189.2553558   62.3474998  
  1341   189.3008118   62.3472824  
  1368   189.2393341   62.3468246  
  1369   189.2883453   62.3466949  
  1384   189.4362793   62.3465004  
  1394   189.4681396   62.3462029  
  1420   189.4457855   62.3456192  
  1434   189.3603058   62.3453979  
  1445   189.3995972   62.3452644  
  1458   189.2688293   62.3446274  
  1475   189.3695068   62.3441086  
  1490   189.3427124   62.3442001  
  1491   189.3444214   62.343811   
  1501   189.331665    62.344101   
  1515   189.3151245   62.3437462  
  1533   189.2101135   62.3431511  
  1567   189.3759308   62.34235    
  1592   189.3932037   62.3418694  
  1618   189.1705475   62.3409958  
  1633   189.4148407   62.3407784  
  1648   189.3603973   62.3407288  
  1651   189.2563782   62.340229   
  1712   189.2605896   62.3392334  
  1724   189.3922424   62.3389015  
  1735   189.1885529   62.3387527  
  1737   189.398056    62.3384171  
  1753   189.4359436   62.3381729  
  1762   189.2111664   62.3380165  
  1866   189.3969727   62.3355675  
  1880   189.2526855   62.3353882  
  1921   189.1569672   62.334671   
  1930   189.3247223   62.3345337  
  1945   189.3174133   62.3344574  
  1973   189.3895416   62.3336525  
  2025   189.438736    62.3326759  
  2056   189.3371429   62.3322334  
  2061   189.1655121   62.3320007  
  2094   189.3053589   62.3315735  
  2135   189.271759    62.3307953  
  2141   189.4485931   62.3305168  
  2144   189.4754333   62.330471   
  2234   189.1991425   62.3287544  
  2256   189.3564606   62.3281708  
  2266   189.3895721   62.328064   
  2295   189.1900482   62.3275719  
  2320   189.1834564   62.327343   
  2324   189.2352753   62.3271065  
  2327   189.3916779   62.327034   
  2328   189.4688721   62.3268738  
  2336   189.1225128   62.3267822  
  2360   189.4466553   62.3262367  
  2408   189.2328644   62.3254395  
  2432   189.4783325   62.324894   
  2440   189.4981079   62.3246193  
  2455   189.2958221   62.3245544  
  2463   189.3398285   62.324295   
  2488   189.1442413   62.3238831  
  2489   189.145401    62.3231239  
  2513   189.2673492   62.3234062  
  2518   189.3957825   62.3235626  
  2525   189.1893616   62.32341    
  2540   189.3334656   62.323101   
  2592   189.3670044   62.3222733  
  2594   189.4189301   62.3213234  
  2625   189.3971558   62.3216324  
  2643   189.3103485   62.3213272  
  2670   189.1781158   62.3209076  
  2728   189.1041412   62.3197784  
  2738   189.3859711   62.3196411  
  2739   189.4654694   62.3194656  
  2746   189.1634674   62.3196487  
  2806   189.1208191   62.3184166  
  2818   189.4276886   62.3181458  
  2825   189.1503448   62.3181114  
  2841   189.4226379   62.3177338  
  2874   189.3348389   62.3173943  
  2878   189.1639557   62.3171883  
  2893   189.1891327   62.3169327  
  2901   189.2198639   62.3168144  
  2925   189.0864563   62.3167152  
  2994   189.3244781   62.3154221  
  3001   189.5335388   62.3150635  
  3012   189.3679962   62.3152504  
  3022   189.418396    62.314888   
  3037   189.1104126   62.3146629  
  3069   189.2731018   62.3142242  
  3075   189.4666901   62.313942   
  3081   189.4221649   62.3140678  
  3083   189.1415558   62.3138771  
  3087   189.3562317   62.3138924  
  3093   189.1894836   62.3137016  
  3101   189.0984039   62.3135185  
  3125   189.532608    62.3130493  
  3145   189.5278168   62.312664   
  3196   189.2563171   62.3118629  
  3220   189.4764099   62.3115959  
  3236   189.3816986   62.3115425  
  3265   189.4135895   62.311039   
  3276   189.3112183   62.3109398  
  3289   189.3438416   62.3105965  
  3296   189.1867828   62.3105125  
  3393   189.444809    62.3092117  
  3403   189.1689758   62.3091431  
  3417   189.2471466   62.3089905  
