# Merged IRAC+MIPS GOODS-N catalog
# M. Dickinson, R. Chary, + the GOODS team
#
# ra, dec    = RA,Dec from IRAC catalog (d0.35)
# id         = IRAC ID (d0.35)
# eflagsch?  = External bit flag in IRAC catalog for channel ?=1,2,3,4.  Bit values: [0: >50% exptime; 1: <50% exptime; 2: <20% exptime; 16: muxbleed; 64: no data]
# fch?T      = Aperture corrected "total" flux density (microJy) for channel ?; -99 if no data. 
#                 N.B.: The aperture correction assumes compact/point source; this will underestimate flux for substantially extended galaxies.
# dfch?T     = Formal flux error for ch? ; -99 if no data.  N.B.: this includes background shot noise *only* and no term for crowding/confusion.  Use carefully!
# idmips     = ID from MIPS catalog (v0.91 for CDFS; v1.0 for HDFN)  (-1 if no counterpart, CDFS catalog only)
# f24        = 24um flux density in microJy (-1 if no counterpart, CDFS catalog only).  N.B.: Flux is non-negative but may be 0.0
# df24       = 24um flux density uncertainty in microJy (-1 if no counterpart, CDFS catalog only)
# 
#      ra         dec         id  eflagsch1 fch1T     dfch1T  eflagsch2 fch2T     dfch2T  eflagsch3 fch3T     dfch3T  eflagsch4 fch4T     dfch4T  idmips      f24    df24
#
  53.1815064 -27.6433382      72     3      1.019      0.118     3      0.504      0.246     3      2.587      1.888     3      0.113      1.318      -1    -1.00   -1.00
  53.1209993 -27.6435774      73    67    -99.000    -99.000     3    -99.000    -99.000    67    -99.000    -99.000     3      5.060      1.872      -1    -1.00   -1.00
  53.1409328 -27.6437698      74    67    -99.000    -99.000     3      1.694      0.261    67    -99.000    -99.000     3      0.412      1.264   17126    56.30   18.10
  53.1499228 -27.6435704      75    19      0.783      0.153     3      0.481      0.185    67    -99.000    -99.000     3      1.415      1.094      49    19.10   15.70
  53.1552183 -27.6438165      76     3     30.349      0.101     3     26.019      0.163     3     21.752      1.960     3     18.558      0.996   20146    80.50    7.51
  53.1774168 -27.6438108      77     3     14.235      0.123     3     10.446      0.203     3     11.062      1.884     3      9.875      1.178   19476    48.60    8.10
  53.1479840 -27.6437236      78     3      0.477      0.171     3     -0.093      0.194     3    -99.000    -99.000     3      0.179      1.097      -1    -1.00   -1.00
  53.1644905 -27.6439182      79     3      1.102      0.088     3      0.686      0.150     3      2.781      1.261     3     -0.837      0.956      43     8.12    9.87
  53.1826898 -27.6438377      80     3      0.066      0.131     3     -0.093      0.277     3      4.488      2.110     3     -3.554      1.383      -1    -1.00   -1.00
  53.1382631 -27.6440647      81    67    -99.000    -99.000     3     -0.188      0.282    67    -99.000    -99.000     3     -2.586      1.324      -1    -1.00   -1.00
