# ID    RA            DEC         
  713   189.2927246   62.3653564  
  714   189.2978668   62.3654289  
  718   189.4120331   62.3653946  
  719   189.2402649   62.3652687  
  721   189.3066711   62.3652992  
  729   189.3027191   62.3649254  
  737   189.231308    62.3645592  
  740   189.350174    62.3647537  
  748   189.4193115   62.3644028  
  749   189.437088    62.364666   
  753   189.2745361   62.3641701  
  760   189.3511047   62.363884   
  762   189.4369507   62.3637657  
  768   189.2251434   62.3636818  
  776   189.2289734   62.3625717  
  779   189.2812195   62.3632851  
  786   189.4096069   62.363018   
  793   189.3426666   62.3626747  
  804   189.398468    62.3624687  
  805   189.3976135   62.3615646  
  807   189.4239502   62.3625374  
  808   189.209549    62.3623848  
  809   189.2190857   62.3621979  
  825   189.4113617   62.3613853  
  826   189.4153748   62.3620033  
  827   189.2061768   62.3618965  
  837   189.2444      62.3619041  
  841   189.261322    62.3610649  
  849   189.4071808   62.3612175  
  860   189.3477173   62.3608589  
  866   189.2744446   62.3608513  
  867   189.3383179   62.3607712  
  870   189.421875    62.3605881  
  872   189.2888184   62.3606453  
  877   189.4564056   62.3604698  
  878   189.3061218   62.3603477  
  881   189.3842621   62.3599205  
  884   189.2482452   62.360218   
  885   189.2761383   62.3601532  
  886   189.2861938   62.3601189  
  892   189.2158661   62.3599014  
  893   189.2816772   62.3599548  
  899   189.3998718   62.3593521  
  902   189.2283478   62.3593483  
  915   189.2552795   62.3590889  
  917   189.4455261   62.3588676  
  922   189.4048157   62.3588448  
  923   189.4172668   62.3588448  
  924   189.2132568   62.3587952  
  926   189.272049    62.3591003  
  928   189.3641663   62.3588371  
  931   189.2063446   62.3585205  
  934   189.3760834   62.3582878  
  937   189.4394379   62.3580322  
  939   189.2743835   62.3582878  
  950   189.2413788   62.3579826  
  951   189.2402344   62.3573418  
  960   189.4514313   62.3576126  
  965   189.2866364   62.3575745  
  966   189.2960663   62.3573341  
  972   189.2264709   62.3574753  
  974   189.2309418   62.3574486  
  994   189.4542389   62.3570633  
  995   189.2989197   62.3567123  
  1002  189.2170105   62.3566551  
  1005  189.2657776   62.3562546  
  1006  189.2728271   62.3565483  
  1008  189.3099976   62.3564682  
  1023  189.4241791   62.3558044  
  1026  189.3182068   62.3561249  
