# ID                            RA               DEC  
  EGSIRAC_J141414.87+520006.0   213.5619591      52.0016821      
  EGSIRAC_J141414.94+520114.3   213.5622736      52.0206541      
  EGSIRAC_J141414.98+515818.2   213.5624376      51.9717437      
  EGSIRAC_J141415.30+515905.3   213.5637629      51.9848126      
  EGSIRAC_J141415.35+515937.0   213.563977       51.9936175      
  EGSIRAC_J141415.43+520105.3   213.5643006      52.0181498      
  EGSIRAC_J141415.49+515913.4   213.5645486      51.9870792      
  EGSIRAC_J141415.49+520025.8   213.5645642      52.0071858      
  EGSIRAC_J141415.51+515812.1   213.5646268      51.9700435      
  EGSIRAC_J141415.52+520147.7   213.5647062      52.0299289      
  EGSIRAC_J141415.55+520124.4   213.5648331      52.0234599      
  EGSIRAC_J141415.59+515909.7   213.5649589      51.9860498      
  EGSIRAC_J141415.59+520128.4   213.5649704      52.0245803      
  EGSIRAC_J141415.60+520057.3   213.5650023      52.0159419      
  EGSIRAC_J141415.62+515919.9   213.5651091      51.9888882      
  EGSIRAC_J141415.63+520051.5   213.5651253      52.0143164      
  EGSIRAC_J141415.64+515938.3   213.5651859      51.9939905      
  EGSIRAC_J141415.64+520137.4   213.5652056      52.0270787      
  EGSIRAC_J141415.78+515930.7   213.5657679      51.9918869      
  EGSIRAC_J141415.90+520133.6   213.5662763      52.0260121      
  EGSIRAC_J141415.93+515821.2   213.5663957      51.9725822      
  EGSIRAC_J141415.94+515842.3   213.5664401      51.9784232      
  EGSIRAC_J141415.95+515809.6   213.5664737      51.9693456      
  EGSIRAC_J141415.97+520040.4   213.5665733      52.0112287      
  EGSIRAC_J141415.97+520116.3   213.5665772      52.0211999      
  EGSIRAC_J141415.99+520035.3   213.5666548      52.0098072      
  EGSIRAC_J141416.00+515939.4   213.5666846      51.9943016      
  EGSIRAC_J141416.13+515917.8   213.56721        51.9882945      
  EGSIRAC_J141416.18+520143.0   213.56744        52.0286334      
  EGSIRAC_J141416.22+515758.5   213.567604       51.9662533      
  EGSIRAC_J141416.23+520012.1   213.5676455      52.0033776      
  EGSIRAC_J141416.27+520149.7   213.5678236      52.0304737      
  EGSIRAC_J141416.29+515830.0   213.5678833      51.9750136      
  EGSIRAC_J141416.33+515813.6   213.5680449      51.9704567      
  EGSIRAC_J141416.33+515840.7   213.5680571      51.9779722      
  EGSIRAC_J141416.34+515802.5   213.5680968      51.9673801      
  EGSIRAC_J141416.39+515922.7   213.5682943      51.9896579      
  EGSIRAC_J141416.41+520121.2   213.5684131      52.0225579      
  EGSIRAC_J141416.50+515938.5   213.5687633      51.9940375      
  EGSIRAC_J141416.51+515904.7   213.5688099      51.9846645      
  EGSIRAC_J141416.54+515951.5   213.5689333      51.9976503      
  EGSIRAC_J141416.72+520135.6   213.5696955      52.0265739      
  EGSIRAC_J141416.73+520040.1   213.5697178      52.0111544      
  EGSIRAC_J141416.81+520012.8   213.5700548      52.0035677      
  EGSIRAC_J141416.88+520015.7   213.570338       52.0043789      
  EGSIRAC_J141416.90+515953.5   213.5704265      51.9982021      
  EGSIRAC_J141416.90+515936.8   213.5704276      51.9935811      
  EGSIRAC_J141416.94+515910.2   213.5705988      51.9861757      
  EGSIRAC_J141417.02+520120.3   213.5709406      52.0223157      
  EGSIRAC_J141417.03+515917.1   213.5709838      51.9880971      
  EGSIRAC_J141417.06+520031.6   213.571122       52.008795       
  EGSIRAC_J141417.16+520208.0   213.5715285      52.0355819      
  EGSIRAC_J141417.17+515852.3   213.5715685      51.9812123      
  EGSIRAC_J141417.20+520131.0   213.5716669      52.0252804      
  EGSIRAC_J141417.21+520135.3   213.5717095      52.0264758      
  EGSIRAC_J141417.24+515846.3   213.5718658      51.9795543      
  EGSIRAC_J141417.36+515900.9   213.5723604      51.9835897      
  EGSIRAC_J141417.36+520143.3   213.5723732      52.0287075      
  EGSIRAC_J141417.37+515957.2   213.5723757      51.9992377      
  EGSIRAC_J141417.42+515834.7   213.5726006      51.9763233      
  EGSIRAC_J141417.44+515806.7   213.5726898      51.9685376      
  EGSIRAC_J141417.52+515947.9   213.5730381      51.9966484      
  EGSIRAC_J141417.55+520152.0   213.5731663      52.0311217      
  EGSIRAC_J141417.56+520134.0   213.5731755      52.0261247      
  EGSIRAC_J141417.58+515753.1   213.5732597      51.9647697      
  EGSIRAC_J141417.60+515929.5   213.5733464      51.9915372      
  EGSIRAC_J141417.62+520059.7   213.5734571      52.0165905      
  EGSIRAC_J141417.65+520155.5   213.5735705      52.0321047      
  EGSIRAC_J141417.65+520201.2   213.5735799      52.0336726      
  EGSIRAC_J141417.68+520211.4   213.5737         52.0365112      
  EGSIRAC_J141417.73+515805.0   213.5739095      51.9680631      
  EGSIRAC_J141417.74+515833.1   213.573945       51.9758651      
  EGSIRAC_J141417.77+520000.1   213.5740775      52.0000365      
  EGSIRAC_J141417.80+520041.6   213.5741804      52.0115617      
  EGSIRAC_J141417.82+515933.8   213.5742677      51.9927281      
  EGSIRAC_J141417.87+515921.5   213.5744841      51.9893164      
  EGSIRAC_J141417.91+515856.3   213.5746402      51.9823117      
  EGSIRAC_J141417.91+520113.2   213.574666       52.0203333      
  EGSIRAC_J141417.94+520117.9   213.5747702      52.0216441      
  EGSIRAC_J141418.04+515952.0   213.5751955      51.9977913      
  EGSIRAC_J141418.09+520034.2   213.5753997      52.0095172      
  EGSIRAC_J141418.14+515810.8   213.5756143      51.9696869      
  EGSIRAC_J141418.17+520042.0   213.5757193      52.0116678      
  EGSIRAC_J141418.17+520005.1   213.5757378      52.0014347      
  EGSIRAC_J141418.23+520052.3   213.5759987      52.0145397      
  EGSIRAC_J141418.25+515849.1   213.5760716      51.9803139      
  EGSIRAC_J141418.26+515826.5   213.5760896      51.9740416      
  EGSIRAC_J141418.36+520059.2   213.5765284      52.0164557      
  EGSIRAC_J141418.40+520134.8   213.5766771      52.0263591      
  EGSIRAC_J141418.44+515839.8   213.5768607      51.9777324      
  EGSIRAC_J141418.48+515930.8   213.5770042      51.9919105      
  EGSIRAC_J141418.52+515823.2   213.577202       51.9731122      
  EGSIRAC_J141418.53+515943.5   213.5772138      51.9954198      
  EGSIRAC_J141418.63+520021.3   213.5776294      52.0059227      
  EGSIRAC_J141418.64+515909.6   213.5776779      51.9860244      
  EGSIRAC_J141418.67+520109.0   213.5778097      52.01918        
  EGSIRAC_J141418.69+520139.9   213.577898       52.0277725      
  EGSIRAC_J141418.73+515903.6   213.5780683      51.9843438      
  EGSIRAC_J141418.78+520054.0   213.5782882      52.0150203      
  EGSIRAC_J141418.79+520027.8   213.578301       52.0077447      
  EGSIRAC_J141418.79+520010.1   213.578309       52.0028203      
  EGSIRAC_J141418.84+515813.0   213.5785345      51.9702834      
  EGSIRAC_J141418.88+520153.3   213.5786934      52.0314985      
  EGSIRAC_J141418.89+515851.1   213.5787424      51.9808851      
  EGSIRAC_J141418.98+520128.8   213.5791193      52.0246873      
  EGSIRAC_J141419.00+520101.1   213.579206       52.0169781      
  EGSIRAC_J141419.02+520025.1   213.5792892      52.0069736      
  EGSIRAC_J141419.04+515942.5   213.579338       51.9951607      
  EGSIRAC_J141419.07+520057.1   213.5794681      52.0158783      
  EGSIRAC_J141419.14+520117.2   213.5797848      52.0214695      
  EGSIRAC_J141419.16+520043.5   213.5798534      52.0120943      
  EGSIRAC_J141419.17+515855.2   213.5798966      51.9820262      
  EGSIRAC_J141419.17+515925.0   213.5799019      51.9902981      
  EGSIRAC_J141419.17+515954.4   213.5799021      51.9984678      
  EGSIRAC_J141419.23+520114.5   213.5801494      52.0207054      
  EGSIRAC_J141419.24+515746.8   213.5801731      51.963012       
  EGSIRAC_J141419.25+520033.1   213.5802335      52.0092078      
  EGSIRAC_J141419.35+515833.8   213.5806525      51.976064       
  EGSIRAC_J141419.40+515807.4   213.5808717      51.9687366      
  EGSIRAC_J141419.43+515738.8   213.5809954      51.9607965      
  EGSIRAC_J141419.44+520155.6   213.5810067      52.032128       
  EGSIRAC_J141419.45+520220.7   213.5810688      52.039106       
  EGSIRAC_J141419.46+520108.7   213.5811077      52.0190996      
  EGSIRAC_J141419.49+520150.1   213.581211       52.0306034      
  EGSIRAC_J141419.49+515843.5   213.5812219      51.9787617      
  EGSIRAC_J141419.49+520006.6   213.5812278      52.0018466      
  EGSIRAC_J141419.51+520016.2   213.5813091      52.0045249      
  EGSIRAC_J141419.54+515759.4   213.5814242      51.9665005      
  EGSIRAC_J141419.59+520044.8   213.5816451      52.0124636      
  EGSIRAC_J141419.62+515850.7   213.5817564      51.9807765      
  EGSIRAC_J141419.71+520146.9   213.5821656      52.0297176      
  EGSIRAC_J141419.76+520018.6   213.582357       52.0051694      
  EGSIRAC_J141419.77+520144.3   213.5824097      52.0289987      
  EGSIRAC_J141419.91+520103.1   213.5829844      52.0175494      
  EGSIRAC_J141420.02+515841.1   213.5834299      51.9780962      
  EGSIRAC_J141420.03+515748.6   213.5834615      51.9635167      
  EGSIRAC_J141420.03+520056.2   213.5834896      52.015614       
  EGSIRAC_J141420.04+515852.6   213.5835248      51.9813019      
  EGSIRAC_J141420.04+515941.6   213.5835414      51.9949023      
  EGSIRAC_J141420.06+520032.9   213.5836019      52.0091496      
  EGSIRAC_J141420.09+520024.6   213.5837209      52.0068449      
  EGSIRAC_J141420.12+520140.9   213.5838437      52.0280403      
  EGSIRAC_J141420.23+520209.5   213.5843301      52.0359985      
  EGSIRAC_J141420.27+515911.1   213.5844695      51.9864427      
  EGSIRAC_J141420.28+520042.4   213.584517       52.0117993      
