#         id250           f250           df250
#
           5814    3.20924e-07        1.96947
           5822        12.7643        1.23425
           5836        7.23369        4.86488
           5837        5.78339        5.00014
           5849        6.83855        2.21112
           5853         10.001        1.33948
           5879        8.20085        1.18535
           5882        2.77302         1.1274
           5916        3.66213       0.926224
           5917       0.154278        1.89183
           5974        7.38501        2.26373
           5976        6.97945        1.34931
           5977        2.33158        2.11035
           6005        16.2015       0.914342
           6006        11.1102         1.3984
           6012        5.27359       0.762378
           6015        3.00315       0.973881
           6061        25.8644        1.60847
           6065        3.25997       0.837675
           6073        5.33706        2.16945
           6084        14.2715        2.64073
           6085        5.21654        2.03447
           6090        17.4073        3.30784
           6092        2.63306        1.28797
           6094        4.40038        1.29717
           6096        6.17745        1.85599
           6114        1.50845        1.74069
           6147        5.01621        1.63404
           6155    3.20924e-07        3.38334
           6158        4.28344        2.40798
           6186        3.38569        1.22286
           6249        3.19614        3.16954
           6251        12.7047        1.89773
           6265        12.2323        2.21024
           6287        10.3683        2.27994
           6289        2.25216        2.53015
           6290        1.10973        1.13164
           6292     -0.0594659       0.899628
           6296         19.641        1.15713
           6308        16.4982       0.881171
           6330        2.37395        2.53869
           6333        7.08855          2.398
           6352        6.11724        1.64678
           6383        11.9203        1.07134
           6386        6.55125        1.47457
           6406        5.42932        1.97308
           6409        5.49347         1.4215
           6438        2.81772        1.13557
           6464        4.02623       0.822462
           6489         10.053        2.06312
           6509        12.1673        2.09196
           6517         2.7049        0.93628
           6537        12.0141       0.954903
           6547        13.4481        2.01939
           6558        1.95373        1.97515
           6592        1.74487        1.98588
           6617         5.8096        2.86295
           6629        3.00707        2.76787
           6641    3.20924e-07        4.02959
           6665        13.8982        1.24056
           6676        4.05499       0.666761
           6693        2.86365        1.93277
           6695        2.31338        2.71909
           6700        1.17774        1.47559
           6710        8.73678       0.936984
           6714         12.857         1.6738
           6724         5.6301        1.17129
           6768         5.2919        1.88101
           6770        4.19566         2.1487
           6778       0.502527        0.62652
           6782        4.90647        3.95738
           6787        11.3601        1.59528
           6789        2.83572        2.60774
           6790        4.08318        2.07082
           6820    3.20924e-07        4.74962
           6827        11.4261        3.41903
           6828        2.58635         3.6497
           6845        8.96789        1.89268
           6871        5.04929        3.94127
           6891         14.664        1.01155
           6928       0.375321        5.56877
           6934         6.2301        4.04483
           6944         2.4742        1.46749
           6945    3.20924e-07        3.05155
           6950        3.86391        1.49118
           6969        2.08025        2.88225
           6984        5.18146         1.2218
           7009        11.0213        2.56478
           7038        6.23445        3.15642
           7041        1.50514        2.38035
           7045        4.35027        3.51437
           7052        41.3015        2.78335
           7053        8.74617        1.53383
           7054         44.825         2.0701
           7065        5.31443        2.50669
           7098        4.59609        4.31083
           7099        2.26543        1.56503
           7114        1.91807       0.719285
           7172        7.34133       0.889863
           7173         4.4788        1.97013
           7178        6.61218         2.2055
           7185        21.7068        1.22806
           7188        8.33091        2.51754
           7196        21.2366        1.60088
           7236         6.5967       0.853191
           7249        6.65284        1.42327
           7289        1.38798        1.25853
           7320        2.02226        1.52255
           7340     -0.0661808        1.90778
           7353         4.7219        1.36847
           7369        2.58222       0.889779
           7379        6.04919        0.91147
           7385        31.5885         13.366
           7386         68.501        3.37336
           7387        3.29147        3.04673
           7406        3.14072       0.959654
           7410    3.20924e-07        13.5274
           7426         2.4622        1.38201
           7532        2.51976       0.827284
           7548        4.07028        1.03724
           7558    3.20924e-07        1.63727
           7562    3.20924e-07        2.22703
           7568        10.3702        2.42804
           7582        1.40693       0.828549
           7588        11.6965       0.898409
           7598        11.5504        1.03788
           7616        11.8848        7.48522
           7630        15.8581        1.59691
           7642         4.9407         6.9914
           7643    3.20924e-07        4.71782
           7678        5.90803        1.40768
           7682        5.42654        3.10937
           7683        11.0776        2.30898
           7687        1.67638        1.86258
           7698        5.14887        1.07979
           7711        5.04815        1.40311
           7716        6.09166        3.06934
           7800        3.30999        1.30502
           7803        3.54291        1.06081
           7838        2.25792        1.40345
           7840         5.3931        1.30495
           7847         13.568       0.827342
           7848        1.97085        4.57932
           7882         8.4792        2.66363
           7895         1.3524        2.92243
           7897        7.11596        1.52201
           7907         2.9432         2.6303
           7908        9.80912        2.87127
           7910        2.58177        1.56711
           7920        2.83009        1.08584
           7925        12.7104        1.37557
           7958        14.5517        3.87367
           7959        12.6389        5.54134
           7963        3.22949         1.5323
           7966        1.64087        3.07843
           7991         2.4992        4.02178
           7996        4.17524        2.34782
           8027        10.9603        3.01097
           8028        13.7727         3.5889
           8035        6.38029        2.40386
           8047         8.9758       0.857861
           8051        5.25216        1.20367
           8053        4.64271        0.83111
           8054        4.88497         2.5084
           8056        3.54521       0.824391
           8065         3.4952        1.09995
           8081        10.4036        2.83039
           8092        8.90769        2.04414
           8099        4.94194       0.772941
           8105        3.14416         2.0545
           8113         36.287        1.03471
           8135        0.16675        1.32839
           8142         2.2828        2.83155
           8144        2.29086        1.99143
           8162        1.32342        1.09708
           8167        9.54354        1.77687
           8217        8.64291        2.52525
           8220        9.58952        1.26357
           8267         5.4871        1.02162
           8303    3.20924e-07        1.60085
           8304        1.79327        1.54043
           8319        6.34747        1.21823
           8326        3.23232        2.12292
           8331      -0.016618         1.2903
           8354        4.79523        1.31828
           8377        3.34112        1.84469
           8427        7.13591        1.64717
           8433        9.87784         1.0465
           8452         25.734        1.32855
           8460      -0.227534        2.39784
           8474        4.21904        1.05506
           8483         5.2664         1.8313
           8484        3.81902       0.973815
           8493        29.4333        3.36251
           8509        8.27297        2.60358
           8515    3.20924e-07         3.3377
           8535        2.75316       0.783362
           8539         11.801        1.27916
           8544         12.829        1.38063
           8551       0.540072        1.13776
           8585    3.20924e-07        4.31671
           8586        9.60522        3.97086
           8612        16.0138        3.83485
           8613        11.4923        3.41615
           8662        9.50885        1.78246
           8666        4.42376        1.94644
           8668        14.0138        1.20761
           8673        4.31418        3.06431
           8691        7.42737        2.56443
           8704        5.88047        1.75579
           8717        1.23705          1.188
           8744        6.87038        4.11254
           8753        1.19396         3.3556
           8761    3.20924e-07        4.97405
           8764        4.46949         3.3282
           8771        2.77613        2.11417
           8775         1.7837        3.24562
           8776        1.11897        1.68462
           8778        20.3751        2.75634
           8785        2.95463       0.805215
           8800        4.88917        5.27224
           8814        5.26067        1.29649
           8847        1.74399        2.00196
           8875        10.9819         1.3687
           8879        6.40667        5.23895
           8880    3.20924e-07        9.55331
           8908        27.8275        7.93909
           8910      0.0355367        1.19035
           8919        6.89806        3.34339
           8937        8.90941        6.31969
           8941    3.20924e-07        2.37383
           8946        3.80846        2.48993
           8947    3.20924e-07        3.72197
           8955        4.87312        1.27129
           8965        6.03489        0.95776
           8968        8.00496        1.15744
           8973        9.27218        3.40805
           8988        7.76484        3.45723
           9012        9.42278         1.6679
           9022        7.37432        2.18262
           9053        8.35183         1.4561
           9056        12.7793        2.50827
           9071        6.42873        1.01177
           9077        15.8975        2.98389
           9109          8.315        1.83403
           9113        6.23411        2.92222
           9124        7.24612        2.51512
           9148        1.54017        1.38041
           9153        10.6231        2.73407
           9155        5.45679        2.66776
           9167        3.13076        1.19198
           9170    3.20924e-07        9.66671
           9171        7.53497        8.37069
           9185        1.71085        1.53787
           9229        2.48839        1.22132
           9237        6.06626        1.78016
           9247    3.20924e-07        1.96761
