#            id              z           maxz            snr         maxzsnr
#
           1103          1.363          1.823          12.98        5.14434
           1104         0.5948         0.6948          7.619        5.16806
           1105         0.9441         1.2641          11.04        5.15163
           1109          1.601          1.861          7.598        5.01855
           1113          1.457            -99          3.029            -99
           1118         0.3866         0.4666          8.134         5.0484
           1121         0.7997            -99          2.513            -99
           1123          3.135            -99       5.81e-05            -99
           1125          1.023            -99      3.219e-05            -99
           1129          2.588            -99          3.883            -99
           1133         0.2538            -99          2.083            -99
           1135          0.121          0.161          18.58        6.24576
           1140         0.4768            -99          1.809            -99
           1141          1.174            -99          3.417            -99
           1143         0.2804         0.4204          14.71        5.38564
           1144           1.33            -99          1.084            -99
           1146          2.601            -99        0.07249            -99
           1147           1.26           1.28          5.176        5.09035
           1148          3.255          4.835          6.274         5.0115
           1150          1.364          1.424          5.607        5.12294
           1159          3.216          7.376          11.23        5.00864
           1160          2.358            -99          0.388            -99
           1167           2.92            -99          3.506            -99
           1168          3.251          4.091          9.167        5.01286
           1172           1.33            -99          1.101            -99
           1181          1.772            -99      5.731e-05            -99
           1186           1.46            -99          1.713            -99
           1202          1.829            -99          2.206            -99
           1208          1.521            -99          3.855            -99
           1221          1.167            -99          3.816            -99
           1222         0.9219            -99          1.327            -99
           1225         0.5341         0.6341          8.904        5.22274
           1235         0.8919         1.1119          9.385        5.17534
           1239          0.836          1.456          25.55        5.15049
           1248           1.24            1.8          14.59        5.11469
           1252           2.22            -99      5.441e-05            -99
           1253          1.847            -99          1.692            -99
           1262          3.796            -99          3.791            -99
           1269           2.21           2.47          6.439        5.08143
           1270          1.083            -99          2.667            -99
           1273         0.7441            -99         0.3958            -99
           1278           1.54            -99          2.283            -99
           1284          3.611          4.551           6.07        5.01657
           1285         0.1965         0.2365          8.539        5.12122
           1293         0.7939         0.9739          8.778        5.00201
           1303         0.6335            -99          2.813            -99
           1306          0.041            -99      5.872e-05            -99
           1313         0.4067            -99          2.987            -99
           1315          1.711          1.751          5.165        5.06977
           1320          1.137            -99          4.144            -99
           1334           1.68            -99          1.016            -99
           1335          1.028            -99           4.59            -99
           1337          0.931          1.131          7.992        5.20151
           1338          1.358          1.578          8.245        5.19211
           1341          1.008          1.348          11.27        5.10976
           1342          0.041            -99          2.192            -99
           1348         0.5233            -99          2.576            -99
           1350          1.156            -99           2.78            -99
           1355          1.192            -99           1.42            -99
           1357          1.365            -99          2.982            -99
           1367          1.787            -99          1.156            -99
           1368           2.54            3.6          11.54        5.04356
           1369           2.11           2.25          5.535        5.11566
           1371          1.037            -99          1.607            -99
           1384           1.32           1.48          6.811        5.14013
           1387          1.901            -99          2.087            -99
           1391          1.038            -99          2.382            -99
           1393           1.21            -99          4.075            -99
           1394         0.2995         0.4195          12.67        5.35581
           1396         0.7152            -99         0.8573            -99
           1401          2.072            -99      3.918e-05            -99
           1402          1.853            -99          3.823            -99
           1416          2.291            -99         0.0684            -99
           1419          1.148            -99          1.775            -99
           1420           1.54           1.54          5.255              0
           1434         0.4852         0.6052          9.343        5.40218
           1437          1.344            -99          1.237            -99
           1445          2.404          4.784           20.7        5.00277
           1449          0.513          0.533          5.841        5.29353
           1452           1.34           1.54          5.717        5.19194
           1458          1.485          1.925          9.427         5.0902
           1469          1.102            -99      3.212e-05            -99
           1475          1.859          3.219          18.82        5.02256
           1476         0.8411            -99          4.496            -99
           1477          0.011            -99         0.5774            -99
           1479         0.9262            -99          1.462            -99
           1480          2.713            -99      3.379e-05            -99
           1490            1.9            2.2          7.063        5.01363
