#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
       313                   0.0640667                   0.0600481
       314                   0.0616057                   0.0562541
       315                   0.0676804                   0.0622019
       316                   0.0673116                   0.0619116
       317                   0.0634197                   0.0571368
       318                   0.0589774                   0.0529696
       319                   0.0716442                   0.0668411
       320                   0.0645691                   0.0589931
       321                   0.0596795                   0.0536665
       322                   0.0563745                   0.0520728
       323                   0.0569519                   0.0521519
       324                   0.0586085                   0.0534176
       325                   0.0598196                   0.0557093
       326                   0.0650522                   0.0597178
       327                   0.0612537                   0.0568038
       328                   0.0623013                   0.0561521
       329                   0.0621111                   0.0559154
       330                   0.0633371                   0.0594744
       331                   0.0700197                   0.0651316
       332                   0.0651418                   0.0585982
       333                   0.0589215                   0.0530838
       334                   0.0684001                   0.0638709
       335                   0.0653969                   0.0616495
       336                   0.0601385                    0.054585
       337                   0.0628439                   0.0574711
       338                   0.0596002                    0.054753
       339                   0.0600472                   0.0536732
       340                   0.0614564                   0.0567017
       341                   0.0663598                   0.0608225
       342                   0.0688398                   0.0641286
       343                   0.0624466                   0.0564011
       344                   0.0678187                   0.0625823
       345                   0.0709296                   0.0657596
       346                   0.0690939                   0.0627357
       347                   0.0595391                   0.0524829
       348                   0.0682186                   0.0629819
       349                   0.0539974                    0.048797
       350                   0.0651744                   0.0604794
       351                   0.0653284                   0.0588569
       352                   0.0669025                   0.0608366
       353                   0.0614278                   0.0565103
       354                   0.0631682                   0.0559836
       355                   0.0577578                   0.0513592
       356                   0.0550148                   0.0502614
       357                   0.0662712                   0.0598859
       358                   0.0638486                   0.0587315
       359                    0.055928                   0.0507833
       360                   0.0577999                   0.0526633
       361                    0.066182                   0.0599335
       362                   0.0540554                   0.0489953
       363                   0.0637518                   0.0593784
       364                   0.0591968                   0.0540227
       365                   0.0643914                   0.0599531
       366                   0.0605169                   0.0549255
       367                   0.0601087                   0.0547215
       368                   0.0647697                   0.0584766
       369                   0.0680309                   0.0621739
       370                   0.0638647                   0.0599914
       371                   0.0612061                   0.0559556
       372                   0.0710784                   0.0666655
       373                   0.0607453                   0.0557474
       374                   0.0672726                   0.0620412
       375                   0.0696411                   0.0655978
       376                   0.0630364                   0.0595697
       377                    0.065343                   0.0591452
       378                   0.0564551                   0.0487029
       379                   0.0624583                   0.0564132
       380                   0.0640746                   0.0597059
       381                    0.056038                   0.0530573
       382                   0.0560436                   0.0494104
       383                   0.0623394                   0.0546079
       384                   0.0650085                   0.0591901
       385                   0.0603946                   0.0557057
       386                   0.0668791                    0.062794
       387                    0.069749                   0.0646525
       388                   0.0656079                   0.0616359
       389                   0.0678644                   0.0631246
       390                   0.0583957                   0.0513343
       391                   0.0663755                   0.0628966
       392                   0.0613677                   0.0566286
       393                   0.0594232                   0.0551266
       394                    0.067104                   0.0612314
       395                   0.0625607                   0.0579944
       396                    0.067238                   0.0624081
       397                   0.0664799                   0.0586746
       398                   0.0579162                    0.052976
       399                   0.0684691                    0.063884
       400                   0.0661043                   0.0607326
       401                   0.0628372                    0.056601
       402                   0.0697245                   0.0622652
       403                     0.06633                   0.0624272
       404                   0.0672218                   0.0623408
       405                   0.0588464                    0.053105
       406                   0.0624254                   0.0566338
       407                   0.0621772                   0.0576309
       408                   0.0693362                   0.0645032
       409                   0.0638366                   0.0578457
       410                   0.0582536                   0.0511768
       411                   0.0590519                   0.0524778
       412                   0.0651098                   0.0594405
       413                   0.0646929                   0.0598824
       414                   0.0675902                   0.0615751
       415                   0.0644802                   0.0593993
       416                   0.0622658                   0.0579643
       417                   0.0672755                   0.0616864
       418                   0.0634931                   0.0583552
       419                   0.0585014                   0.0536424
       420                   0.0684191                   0.0648692
       421                   0.0659303                   0.0615978
       422                   0.0666062                   0.0603501
       423                   0.0591856                   0.0517259
       424                    0.064673                   0.0599909
       425                     0.06119                   0.0538706
       426                   0.0634098                   0.0594752
       427                   0.0667508                   0.0625885
       428                   0.0690897                   0.0640261
       429                   0.0625127                   0.0576396
       430                   0.0670604                   0.0621541
       431                   0.0626629                   0.0578406
       432                   0.0638297                   0.0572628
       433                   0.0655936                    0.057657
       434                   0.0613185                   0.0557389
       435                   0.0638552                   0.0582998
       436                   0.0621397                   0.0563381
       437                   0.0638789                   0.0599532
       438                   0.0679336                   0.0631928
       439                   0.0704256                   0.0648909
       440                   0.0596765                   0.0541827
       441                   0.0591906                   0.0546234
       442                   0.0623315                    0.057056
       443                   0.0574511                    0.052097
       444                   0.0587121                   0.0535874
       445                   0.0641744                   0.0598644
       446                   0.0580446                   0.0521016
       447                   0.0630472                   0.0590028
       448                   0.0612012                   0.0553759
       449                   0.0640749                   0.0595723
       450                   0.0572311                   0.0500927
       451                   0.0620528                   0.0573386
       452                    0.067546                   0.0623441
       453                   0.0623897                   0.0571635
       454                    0.062629                   0.0579333
       455                   0.0643322                   0.0592454
       456                   0.0571501                   0.0526552
       457                   0.0687592                   0.0656148
       458                   0.0632926                   0.0584926
       459                   0.0633727                   0.0561864
       460                   0.0643232                   0.0594327
       461                    0.070755                   0.0638846
       462                    0.057318                   0.0532295
       463                   0.0638749                   0.0591281
       464                    0.061933                   0.0565194
       465                   0.0712034                   0.0680002
       466                   0.0628282                   0.0566482
       467                   0.0662868                   0.0628506
       468                    0.069142                    0.064313
       469                   0.0616216                   0.0577188
       470                   0.0550027                   0.0502737
       471                   0.0588036                   0.0554121
       472                   0.0674406                   0.0629159
       473                    0.057987                   0.0524744
       474                     0.06061                   0.0561276
       475                   0.0662455                   0.0612057
       476                   0.0600434                   0.0536809
       477                     0.06192                   0.0580577
       478                   0.0614849                   0.0566718
       479                   0.0664485                    0.062166
       480                   0.0589661                   0.0538745
       481                   0.0602091                   0.0559056
       482                    0.063197                   0.0580254
       483                   0.0665794                   0.0614119
       484                   0.0578169                   0.0524157
       485                   0.0636432                   0.0586725
