#      Type_SED        SAVEDid          lgSFR          msSFR          xfSFR          xeSFR           MassX
#
              0            805        1.15776        1.43503          14.38          14.38          10.38
              0            807        2.41179        1.54546          258.1          111.5          10.06
             -1            808       0.659821        1.20477          4.569         0.4768          10.86
              0            809      -0.151996        1.15972         0.7047         0.7047           10.8
              0            825       0.940168        1.07903          8.713          4.706          10.22
              0            826       0.514016       0.813435          3.266          3.266          10.22
              1            827        2.49693        2.01746            314          12.38          11.17
              0            837        2.70226       -84.4914          503.8          503.5            -99
              0            841        3.11561       -84.4575           1305           1150            -99
              0            849        1.54456        1.13697          35.04          14.14           9.98
              0            860        2.03463        2.63068          108.3          101.5          11.38
              0            866        1.44592        1.95085          27.92          18.22          11.13
              0            867       0.871223        1.07877          7.434          3.327          10.05
              0            870        1.44248        1.21745           27.7          3.025          10.54
              0            872        1.84979         1.8106          70.76          36.38           10.6
              0            877        1.28981        1.47787          19.49          19.49          10.44
              0            878      -0.450751      -0.545568         0.3542         0.1679          8.848
              0            881        1.64542        1.23365           44.2           44.2           9.81
              1            884        2.72016        2.32503            525              0          10.91
              1            885        1.35908      -0.433705          22.86          3.944          8.398
             -1            886      0.0670709       0.993041          1.167         0.3132          10.59
              0            892        1.21005        1.43837          16.22          14.06          10.39
             -1            893        1.31555        1.38442          20.68          3.111          10.67
              0            899      -0.156643        1.41315         0.6972         0.6858          11.11
              0            902        1.02898        1.16109          10.69          4.412          10.37
              1            915        2.59295        2.15097          391.7          48.01          10.83
              0            917        1.71046        1.71367          51.34          34.54          10.71
              0            922       0.859138        1.86099           7.23           7.23          10.74
              1            923        2.35736        1.40102          227.7          66.11          10.11
              0            924      -0.255864       0.344584         0.5548         0.5548           9.79
              0            926       0.831998       0.909599          6.792          6.792          9.638
              0            928      0.0817073       0.182572          1.207         0.8735           9.24
              0            931        0.46434       0.764331          2.913          2.913          10.05
              0            934       0.540955       0.455636          3.475          2.891           9.69
              0            937        1.00432        1.16398           10.1          7.097          10.32
             -1            939        1.63185        1.49939          42.84          3.526          10.81
              0            950        1.68124        2.88287             48             48          11.72
              0            951     0.00902574      -0.235018          1.021         0.5368          9.188
              0            960      -0.304256        1.82223         0.4963         0.4963          11.74
              0            965        1.35392        1.41036          22.59          20.08          10.39
              0            966        1.33345        1.25716          21.55          7.966          10.25
              0            972      -0.649171      -0.802357         0.2243         0.2243          8.448
              1            974        3.12254        2.51482           1326          289.1           11.1
              0            994       0.893096       0.969418          7.818          7.818          10.01
              0            995         1.4504        1.21917          28.21          5.442           10.2
             -1           1002        1.26764        1.44471          18.52         0.8275          10.74
              0           1005        2.60228        2.29024          400.2          106.1          10.95
             -1           1006        1.70961        1.91746          51.24          4.203          11.34
             -1           1008        1.29447         1.5888           19.7           4.61          10.86
              0           1023        1.35392        2.26894          22.59          22.59          11.09
              0           1026        1.04922        1.29487           11.2           11.2          10.08
              0           1035       0.313656      0.0602374          2.059          1.348          9.128
              1           1036        2.59977        1.95886          397.9          41.32          10.42
              0           1037       0.784189       0.996794          6.084          2.805          10.32
              0           1042       0.371068        0.80758           2.35           2.35          9.848
              0           1053        2.01326        2.23551          103.1          98.73          10.99
              0           1058       0.597695        1.53883           3.96           3.96          10.79
              0           1064       0.573336        0.62055          3.744          3.022          10.01
              0           1075        1.05881        1.55674          11.45          6.843           10.8
              0           1076        1.03623        1.25189          10.87          10.87          10.04
             -1           1077        1.27485        1.24887          18.83          4.933           10.5
              0           1081      -0.289206       -1.12827         0.5138         0.4763           8.16
             -1           1084         1.7849        1.88401          60.94          7.075          11.15
              0           1089       0.985157        1.45159          9.664          8.897          10.73
              0           1091        1.72115        1.62399          52.62          52.62          10.13
              1           1094        2.78895         2.0284          615.1          40.83          10.53
              0           1101         1.0461        1.13002          11.12          11.12          10.24
              0           1102       0.470851       0.231021          2.957         0.9508          9.628
             -1           1103        1.51268        1.51589          32.56           5.28          10.54
              0           1104       0.357554       0.435265          2.278          1.804          9.768
              0           1105       0.908646        1.66348          8.103          3.473          11.02
              0           1109        2.66596       -84.4662          463.4          463.4            -99
              0           1113         1.1186       0.943863          13.14          6.314           9.76
              0           1118      -0.142185    -0.00179021         0.7208         0.7208           9.42
              0           1121       0.593508        1.87787          3.922          3.922          11.41
              0           1123        1.97086        1.87217          93.51          93.51          10.37
              0           1125       0.865519        1.78272          7.337          7.337          11.11
              0           1129        2.02325        1.80845          105.5          69.47           10.4
             -1           1133       -0.74521      -0.175226         0.1798         0.0531           9.34
              0           1135       -0.74521       -3.00111         0.1798        0.06979          5.908
              0           1140     -0.0426322      -0.482848         0.9065         0.9065           8.72
              0           1141        1.36754        1.18162          23.31           15.7          10.24
             -1           1143      0.0342273       0.558236          1.082         0.2842          10.24
              0           1144       0.903795        1.92633          8.013          8.013          11.08
              0           1146        3.23578       -84.4636           1721           1353            -99
              0           1147       0.754501        1.33792          5.682          5.682          10.38
              0           1148        2.67934         2.7117          477.9          253.3          11.44
             -1           1150        1.34124        1.50848          21.94          5.868          10.53
              0           1159        2.72321        2.55236          528.7          101.8          11.31
              0           1160        1.45788         1.8579           28.7           28.7          10.56
              1           1167         2.4504        1.63733          282.1          43.89          10.12
              0           1168        2.95429       -84.5561          900.1          395.1            -99
              0           1172        1.04493        1.57873          11.09          11.09          10.64
