#            id              z           maxz            snr         maxzsnr
#
           1252           2.22            -99              0            -99
           1253          1.835            -99          1.094            -99
           1262          3.817            -99          3.127            -99
           1269          2.152          2.292          5.417        5.13617
           1270          1.083            -99           2.96            -99
           1273         0.7441            -99          0.241            -99
           1278           1.46            -99          2.358            -99
           1284          3.693          4.553          5.926        5.00624
           1285         0.1965         0.2165          8.227        5.99462
           1293         0.7939         0.9539          8.489        5.01037
           1303         0.6335            -99          3.032            -99
           1306          0.041            -99              0            -99
           1313         0.4067            -99          2.566            -99
           1315          1.835            -99          4.677            -99
           1320          1.097            -99          4.248            -99
           1334           1.62            -99          1.053            -99
           1335          1.008            -99          4.664            -99
           1337          0.931          1.111          7.247        5.02891
           1338          1.358          1.518          7.142        5.13705
           1341          1.008          1.308          10.04        5.02738
           1342          0.041            -99          2.244            -99
           1348         0.5133            -99          2.266            -99
           1350          1.156            -99          2.455            -99
           1355          1.192            -99          1.184            -99
           1357          1.365            -99           3.15            -99
           1367          1.787            -99          0.777            -99
           1368          2.716          3.676          10.59        5.05603
           1369           2.11           2.17          5.399         5.1136
           1371          1.037            -99          1.702            -99
           1384          1.267          1.367          5.891        5.05755
           1387          2.451            -99          2.182            -99
           1391          1.038            -99          2.451            -99
           1393           1.21            -99          3.564            -99
           1394         0.2995         0.3995           10.9        5.29975
           1396         0.7152            -99          1.162            -99
           1401          2.072            -99              0            -99
           1402          1.661            -99          3.627            -99
           1416          2.291            -99          0.066            -99
           1419          1.148            -99          1.676            -99
           1420          1.471          1.471          5.274              0
           1434         0.4852         0.6052          8.547        5.02014
           1437          1.344            -99          1.021            -99
           1445           2.33           4.49          18.66        5.00031
           1449          0.513            -99          4.996            -99
           1452          1.372            -99          4.769            -99
           1458          1.497          1.897          9.062        5.05982
           1469          1.102            -99              0            -99
           1475          1.766          3.006          17.71        5.04013
           1476         0.8411            -99          3.793            -99
           1477          0.021            -99          0.642            -99
           1479         0.9262            -99          1.466            -99
           1480          2.529            -99              0            -99
           1490            1.9           2.12          6.364        5.08289
           1491          0.837          1.057          9.469        5.22753
           1495          4.401            -99          2.488            -99
           1497          2.237            -99          0.739            -99
           1501          1.433          1.953          11.22        5.09615
