#        ralist          delist     bdlist     cklist       Xmlist
#
    189.3868645      62.2766271        350          1   -0.0385231
    189.3826915      62.2756358        350          1     0.495123
    189.3870586      62.2755547        350          1     0.207281
    189.4676475      62.2752037        250          1      2.69709
    189.4441067      62.2750183        160          1      6.26551
    189.2621263      62.2749583        250          1      1.52324
    189.3858268      62.2748357        350          1    0.0728989
    189.2624697      62.2748064        250          1     0.888627
    189.3836290      62.2744179        350          1      1.13258
    189.4718499      62.2729906        250          1      1.42411
    189.2828270      62.2724934         16          1    -0.344054
    189.2976859      62.2724899        100          1      7.81229
    189.2808056      62.2701555        350          1        2.143
    189.2801862      62.2699639        350          1      2.36668
    189.1498214      62.2690228        250          1     0.501311
    189.1936523      62.2679863        160          1        6.418
    189.4144289      62.2678419        250          1     0.566768
    189.0865330      62.2672649        250          1     0.969619
    189.3578375      62.2672343        250          1      0.86582
    189.2899855      62.2671244        350          1   -0.0514932
    189.2836831      62.2665533        350          1     0.023222
    189.1534770      62.2665485         16          1    -0.591566
    189.2922493      62.2659969        350          1   -0.0165703
    189.2958656      62.2657752        350          1      1.20705
    189.2954548      62.2657138        350          1     0.223965
    189.2861056      62.2656159        350          1     0.593894
    189.0879342      62.2655306        250          1     0.967218
    189.2947938      62.2652619        350          1     0.456604
    189.2916869      62.2651553        350          1      1.19466
    189.0858396      62.2648780        250          1       1.3324
    189.2875919      62.2646718        350          1     0.401945
    189.2883855      62.2631370        350          1      1.16237
    189.1041806      62.2630855        250          1      1.28896
    189.2857207      62.2627701        350          1     0.608082
    189.2437039      62.2624259        160          1      6.23842
    189.2921620      62.2620982        350          1     0.877498
    189.0937306      62.2618587        250          1     0.853163
    189.0825811      62.2616677        350          1     0.105184
    189.0712886      62.2615802        250          1      1.10902
    189.0841746      62.2613189        350          1    0.0922014
    189.0963670      62.2589092        250          1      1.56192
    189.3047387      62.2580233         16          1     0.364951
    189.1331946      62.2559780         16          1     -1.00452
    189.3855712      62.2558255        500          1      1.59872
    189.1327872      62.2557814         16          1     -1.62942
    189.0737707      62.2553506        500          1      3.31437
    189.3885160      62.2545107        500          1      1.91424
    189.4220339      62.2543160         16          1     -1.80845
    189.0747932      62.2542616        500          1      1.01659
    189.0613950      62.2529336        350          1     0.730201
    189.1404880      62.2528521        160          1      6.22031
    189.2121804      62.2523937        350          1     0.628031
    189.2892959      62.2516857        160          1      8.15126
    189.1159329      62.2515765         16          1     0.719222
    189.4291205      62.2466447        250          1      1.29912
