#      Type_AGN        SAVEDid          radio         eradio          xfRad           xeRad
#
              0           1475           23.6          3.458        0.02148        0.00293
              0           1476           6.07          3.675        0.00651       0.001896
              0           1477           2.83           3.57       0.005516       0.002009
              0           1479          4.023          3.705       0.004433       0.004432
              0           1480         -0.105          3.166       0.002306       0.002306
              0           1490          10.91          3.383        0.01169       0.003633
              0           1491          9.312          3.178        0.01145       0.003699
              0           1495          2.948          3.327        0.00214        0.00214
              0           1497          11.91          3.253        0.01142       0.004297
              0           1501          11.03          3.313        0.01038       0.004149
              0           1502           3.63          3.409       0.001433       0.001433
              0           1513         -123.8       1.25e+10        0.00669        0.00669
              0           1515          13.89          3.304       0.007898       0.001297
              0           1520          1.714          3.034       0.002592       0.002124
              0           1524          1.136          3.484       0.003666        0.00192
              0           1525        0.07909          3.287         0.0021         0.0021
              0           1532          2.072          2.935       0.002294       0.002294
              0           1533          29.29           3.01        0.02689       0.002725
              0           1543        -0.1111          4.236       0.001905       0.001905
              0           1544        -0.1147           3.79       0.002212       0.002211
              0           1545          1.252          3.692       0.002539       0.002538
              0           1548        -0.1042          3.578       0.001745       0.001745
              0           1551          1.736          3.189       0.002058       0.002058
              0           1556          6.183            3.6       0.005431       0.004333
              0           1558          4.108           3.35       0.003662       0.003662
              0           1563         0.9465          3.026       0.002572       0.002571
              0           1567        -0.1118          3.495       0.005619       0.002736
              0           1569          7.027          3.549       0.006554       0.004516
              0           1579          8.477          3.672       0.008638       0.004362
              0           1592          1.348          3.189       0.002741       0.002741
              0           1593          8.495          3.423       0.004795       0.001764
              0           1602          5.241          3.202       0.004185       0.003226
              0           1604         0.7622          3.356       0.002653       0.002652
              1           1606          35.75          3.219        0.01286       0.000265
              0           1616         0.4767          3.686       0.002978       0.002978
              0           1618          17.07          2.911        0.01646       0.003035
              0           1622          12.19          3.325       0.008997       0.002024
              0           1626        -0.1036          3.009       0.001709       0.001596
              0           1629         0.6568          3.146       0.002624       0.002623
              0           1631          6.753          3.348       0.007417       0.003692
              0           1633          25.78          3.391        0.02446       0.003255
              0           1634          3.027          3.296       0.002348       0.001181
              0           1638          5.526          3.082       0.003832       0.001529
              0           1644        0.04474          3.146       0.002382       0.002381
              0           1648          85.24          2.763        0.08498        0.00034
              0           1650        -0.1231          3.736      0.0007035      0.0007035
              0           1651           53.8          3.061        0.05271       0.001515
              0           1662         0.6524          3.231       0.002232       0.002232
              0           1673          6.925          3.047       0.004002       0.002992
              0           1693          11.82          2.836         0.0114        0.00335
              0           1702        -0.1038          3.187        0.00215        0.00215
              0           1709        -0.1031          3.044       0.002147       0.002147
              0           1710          3.361          3.263       0.003492       0.003491
              0           1711        -0.1032          3.148       0.002001       0.002001
              0           1712          13.17          2.955        0.01235       0.003295
              1           1717          17.75          3.017       0.005256      0.0003625
              0           1724          7.561          3.469       0.004058       0.001003
              0           1734          3.903          3.022       0.003588       0.003588
              0           1735          23.84          3.212        0.03121              0
              0           1737          11.33          3.341       0.008379       0.001701
              0           1740        -0.1031          3.109       0.002267       0.002266
              0           1741          8.042          2.892       0.008145       0.002756
              0           1747        -0.1034          3.034       0.001648       0.001648
              0           1753          7.399          3.403       0.006518       0.004002
              0           1762          47.12           2.65        0.04709       0.001635
              0           1764        -0.1028          3.019       0.005828      0.0009125
              0           1775           12.1          3.168       0.009186       0.002165
              0           1779          2.036          2.912       0.002505       0.001125
              0           1813       -0.07799          3.439       0.002384       0.002384
              0           1814           5.27          16.32       0.006545       0.006545
              0           1818          3.222          2.977       0.003606       0.003605
              0           1822          4.292          3.151       0.003584       0.003584
              0           1824            3.3          3.626       0.003745       0.003745
              0           1836        -0.1054          3.115       0.002679      0.0003925
              0           1843        -0.1046          3.619       0.004041       0.001793
              0           1847          5.546          3.074       0.004764       0.003197
              0           1850          7.116          3.334        0.00654         0.0044
              0           1855          10.29          2.891       0.001953       0.000543
              0           1859         0.5955          3.213       0.001785       0.001438
              0           1865        -0.1102          3.256       0.002278       0.002278
              0           1866          8.651          3.193       0.007626       0.002524
              0           1870        -0.1024          3.184       0.002124       0.002123
              0           1880          21.23          2.727        0.02121       0.003165
              0           1886          1.869          3.029       0.002808       0.002808
              0           1894         0.5534          3.191       0.003932       0.003081
              0           1899          9.681          2.879       0.002598       0.002044
              0           1907           8.98          3.449       0.003208       0.001099
              0           1908          10.76          3.293       0.005113       0.001218
              0           1918        -0.1075          3.108       0.000755       0.000755
              0           1919        -0.1174          3.659         0.0016         0.0016
              0           1921          1.544          2.935       0.005733       6.65e-05
              0           1930          41.29          2.767        0.04161        0.00155
              0           1937         0.3364          3.049       0.001952      0.0003495
              0           1938        0.03381          2.914        0.00147      0.0009972
              0           1944          6.238          3.141        0.00825       0.002401
              0           1945          9.427          3.005       0.008351       0.003049
              0           1951          3.039          3.149       0.005383       0.002056
              0           1960          8.533           2.72       0.008213       0.003747
              0           1961        -0.1018          2.848       0.004084       0.001501
              0           1968        -0.1016          2.951       0.002883       0.001471
              0           1973          3.369          2.981       0.003593       0.003592
              0           1990        -0.1014          4.164       0.002958       0.002958
              0           1999           1.14          2.811       0.002162       0.002161
              0           2007        -0.1016           2.91       0.001855       0.001854
              0           2022        -0.1096          3.114       0.002178       0.001229
              0           2025          2.046          3.317       0.003132       0.002972
              0           2032        -0.1172          5.126       0.003135       0.003135
              0           2046        -0.1042          3.207      0.0005865      0.0005865
              0           2052          4.277          2.902       0.003812       0.003662
              0           2054         0.6868          2.942       0.002661        0.00266
              0           2056          2.347          3.075       0.003586       0.003339
              0           2059          1.955          3.543       0.003495       0.003494
              0           2061          22.01          2.725        0.02136       0.002535
              0           2089        -0.1161          3.605       0.001685       0.001685
              0           2094          44.88           2.78        0.04407        0.00205
              0           2099          11.96          3.448        0.01171       0.000145
              0           2101          4.595          3.433       0.004696       0.004696
              0           2106           8.25          3.127       0.007632       0.003668
              0           2115          9.845          3.056       0.006203      0.0006965
              0           2124         0.6176          2.826       0.002318       0.002317
              0           2129          4.842          2.983        0.00357        0.00357
              0           2135          68.15          2.963        0.06836        0.00123
              0           2137           7.92          3.004        0.00632       0.002654
              0           2140           6.62          3.369       0.005758       0.004182
              0           2141          15.21          3.621         0.0158       0.004115
              0           2144          9.182          3.685        0.00963        0.00454
              0           2147          1.694          2.899       0.002554       0.001888
              0           2150        -0.1005          3.086       0.005707       0.001754
              0           2152          4.824          3.347        0.00203        0.00203
              0           2160          1.039          3.022       0.002979       0.001453
              0           2163        -0.1019          3.046       0.001912       0.001912
              0           2175          1.993          2.941       0.001599      0.0002585
              0           2181          5.822          3.924       0.003471       0.002747
              0           2185          1.293          2.706       0.004549       0.001626
              0           2189        -0.1084          3.078      0.0007709      0.0005101
              0           2192        -0.1005          2.964       0.001677       0.001677
              0           2195          6.713          3.237        0.00069        0.00069
              0           2196          1.591          3.077       0.002233       0.002233
              0           2197          22.79          3.181        0.02324        0.00283
              0           2202          9.357          2.859       0.009093       0.003468
              0           2229          1.542          3.134       0.002767       0.002767
              0           2231          1.535          3.306         0.0021         0.0021
              0           2234          10.84          2.702       0.004944      0.0004645
              0           2239        -0.1042          3.186       0.001448        0.00026
              0           2252           -0.1          2.632       0.001728       0.001727
              0           2256          51.31          3.503        0.05258        0.00263
              0           2262        -0.1004           3.39      8.445e-14      8.445e-14
              0           2266          28.67          3.044        0.02731        0.00265
              0           2268          9.672          3.117       0.008592       0.003038
              0           2272         0.1606          2.942       0.004254       0.001351
              0           2290          6.184          2.907       0.004379       0.003336
              1           2295          37.73          5.621        0.01009       0.002089
              0           2296         0.1592          2.825       0.004576       0.001098
              0           2297          2.625          3.296       0.004055       0.001448
              0           2314          8.465          3.044       0.007773       0.002287
              0           2318         -0.126          4.772        0.00348       0.003479
              0           2320          26.81          3.071        0.02124       0.000425
              0           2323          7.373          3.262        0.00697       0.004479
              0           2324          30.82          3.271        0.03064        0.00327
              0           2327          3.285          2.972       0.003241        0.00324
              0           2328          40.88           3.76        0.04016        0.00366
              0           2330          4.502          2.691       0.002295       0.001121
              0           2331          3.516          2.883       0.003304       0.003304
              0           2336          19.68          3.562        0.01882        0.00326
              0           2337          3.336           2.99       0.006663       0.000446
              0           2342          4.927          3.405       0.004063       0.003356
              0           2347          5.194           3.58       0.004244       0.004178
              0           2357          6.791          2.856       0.005704       0.003862
              0           2359        -0.1068          3.681       0.002372       0.002371
              0           2360          7.968          3.499        0.00806        0.00387
              0           2365        -0.1056          3.048      0.0008005      0.0008005
