#      Type_SED        SAVEDid          lgSFR          msSFR          xfSFR          xeSFR           MassX
#
              0           1222       0.553033       0.620966          3.573          2.979          9.718
              0           1225       0.835627        0.92822          6.849          3.301          10.45
              0           1235        1.33465        1.22754          21.61          8.935          10.51
             -1           1239        1.54357        2.24971          34.96          3.124          11.85
              0           1248        1.87093        1.50343          74.29           29.5          10.61
              0           1252        1.08778        1.29045          12.24          7.184          9.858
             -1           1253        1.45561        1.49853          28.55          5.367          10.27
             -1           1262        2.84348        3.79354          697.4          151.8          12.74
              0           1269        2.13956         1.7951          137.9           47.1          10.52
              0           1270       0.833338         0.9647          6.813          2.274          10.03
              0           1273       0.380754       0.765441          2.403         0.8852          10.05
              0           1278        1.07628        1.31653          11.92          4.568          10.23
              1           1284        2.60358        2.19814          401.4          51.71          10.73
              0           1285      -0.524765       -1.17378         0.2987         0.1592          8.138
             -1           1293       0.954821        1.05235          9.012         0.9656          10.37
              0           1303       0.296007       0.108336          1.977           0.63          9.318
              0           1306       -2.21911       -2.73991       0.006038       0.006037          6.328
              0           1313       0.295787      -0.427943          1.976          1.266           8.86
              0           1315        1.58024        1.59159          38.04          14.53          10.47
              0           1320        1.12905        1.19393          13.46          5.119          10.31
              0           1334        1.11494         2.1281          13.03          9.126          11.17
              0           1335       0.979503        1.05484          9.539          4.553           10.2
              0           1337         1.2398        1.06278          17.37          8.344          10.27
             -1           1338        1.51996        1.63987          33.11           4.68           10.7
             -1           1341         1.3249        1.26024          21.13          2.329          10.46
              0           1342       -2.34824       -1.95781       0.004485       0.004484          7.318
              0           1348     -0.0838093       0.326057         0.8245         0.5226          9.708
              0           1350        1.20817        1.17175          16.15          10.25          10.24
              0           1355       0.925828        1.25459           8.43           4.62          10.32
              0           1357        1.09864        1.29566          12.55          4.301          10.26
             -1           1367        1.17114        1.33131          14.83          2.906          10.08
             -1           1368        2.35199        2.46582          224.9           47.5          11.21
              0           1369        1.88138        1.97289           76.1           34.9          10.76
             -1           1371       0.672744        0.77826          4.707         0.9475          9.828
              0           1384        1.66314        1.59433          46.04          20.44           10.7
              0           1387        2.27462        -84.652          188.2          175.6            -99
              0           1391       0.762829       0.810452          5.792          2.719          9.868
              0           1393        1.20358       0.987746          15.98          9.366           9.97
             -1           1394       0.605305       0.661152           4.03        0.08599          10.35
              0           1396       0.303412       0.966452          2.011          1.346          10.33
              0           1401        1.40123        1.50368          25.19          16.82          10.18
             -1           1402        1.50284        1.85229          31.83          3.008           10.8
              0           1416         1.3006        1.64195          19.98          8.445          10.28
             -1           1419       0.914872        1.56233           8.22          2.425          10.74
              0           1420        1.79106        1.69281          61.81          31.47           10.7
             -1           1434       0.562412       0.740322          3.651         0.4384          10.26
              1           1437         1.4143       0.416431          25.96          1.101           9.16
             -1           1445        2.47232        2.77328          296.7          55.82           11.7
