#      id           ra           de         z        ez      z_sp        z_op          fK         dfK        fch1       dfch1        fch2       dfch2        fch3       dfch3        fch4       dfch4         f24        df24         f16        df16        f100       df100        f160       df160        f250       df250        f350       df350        f500       df500        f850       df850       f1160      df1160       f20cm      df20cm         SNR       Mstar         SFR        eSFR        sSFR    goodArea    Type_AGN    Type_SED    Type_FIR
#
175        189.3435822   62.3875694     1.762    0.0945        -1      1.62     0.006918   0.0006918     0.01097     5.7e-05     0.01524    0.000101     0.01407    0.000683     0.01484    0.000731      0.1171    0.004789     0.04191     0.01241       1.219      0.4852        1.01       1.455       7.149       1.901       4.607        3.72         -99       1e+10         -99       1e+10         -99       1e+10     0.00608     0.00304        4.74   2.148e+10       44.38       13.27       2.066           0           0          -1           0
179        189.3303680   62.3872147     1.767     0.023        -1      1.56     0.006918   0.0006918    0.008625     5.9e-05      0.0102     9.2e-05     0.01001    0.000733     0.00714     0.00066      0.1408    0.004737     0.01007     0.01031      0.9658      0.4338       2.027        1.07         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.002385    0.003008       2.924   1.706e+10       51.66       17.67       3.028           0           0          -1           0
180        189.3639526   62.3872528      1.21      0.19        -1      1.22      0.02089    0.002089     0.03448     6.2e-05     0.03408    0.000131     0.02405    0.000717     0.01697    0.000918     0.04158    0.006118         -99       1e+10     0.04346      0.5275      0.7343       1.377         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.005091    0.003138       0.539   7.277e+10       9.197       17.06      0.1264           0           0           0           0
185        189.2730255   62.3870239     1.501       1.1        -1       -99          -99       1e+10         -99       1e+10     0.01176    0.000167         -99       1e+10    0.008448    0.001165     0.09367     0.00846         -99       1e+10       1.344      0.4131       1.754        1.25         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10  -0.0003867    0.003062       3.544       1e-99        25.7       25.16         -99           0           0           0           0
186        189.2921295   62.3869972     1.259        -1     1.259      1.21      0.01306    0.001306     0.01697    0.000137     0.01545    0.000117     0.01541    0.001647     0.01135    0.000854     0.07794    0.005373         -99       1e+10      0.7717      0.3883           2       1.419         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.005541    0.003357       2.436   1.828e+10       12.97       5.324      0.7096           0           0           0           0
207        189.3199310   62.3851814     1.929    0.1665        -1      1.84     0.001127   0.0001127    0.003389       6e-05    0.003351     8.9e-05    0.006999    0.000741    0.001382    0.000632     0.03306    0.007474    0.008847     0.00847      0.3603      0.4916      0.8507       1.429         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.002747    0.003057       0.944   7.447e+09        21.9        23.2       2.941           0           0          -1           0
208        189.3342133   62.3858261     1.829    0.1475        -1      1.73     0.004529   0.0004529    0.003803     5.4e-05    0.004167       9e-05    0.004701    0.000658    0.002218    0.000633       0.033    0.003747   1.903e-10     0.01167      0.5895      0.4198   1.745e-05       1.346         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.002946     0.00299       1.404   8.355e+09       16.57        11.8       1.983           0           0           0           0
213        189.2788696   62.3852005    0.5044        -1    0.5044      0.61       0.1019     0.01019         -99       1e+10     0.08455     0.00014         -99       1e+10      0.1809    0.000946      0.5838     0.01655         -99       1e+10        21.7      0.6723       41.23       3.193       42.22       5.211        26.9       9.615       13.77       3.484         -99       1e+10       1.586       1.935      0.1326      0.0075       36.04   3.034e+10       30.33      0.8416      0.9998           0           0           1           1
214        189.2790375   62.3842049     2.684    0.1095        -1      2.48     0.006982   0.0006982     0.01479    0.000176     0.01676    0.000128     0.03135    0.002238       0.031    0.000904     0.08308     0.00951         -99       1e+10       1.537      0.9014      0.2125       3.765    0.000178        5.31   2.905e-07       9.597         -99       1e+10   5.194e-42       1e+10       1.601        1.98    0.004735     0.00305       1.888    5.78e+10       87.68       50.77       1.517           0           0           0           0
216        189.3811798   62.3850174     0.159        -1     0.159      0.15      0.04613    0.004613      0.0208     6.8e-05     0.01759    0.000179     0.01361    0.000897     0.03628    0.001242      0.1369    0.005624         -99       1e+10       3.361      0.6076       4.206        1.58       1.168       2.146         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.004557    0.003145       6.163   3.251e+08      0.2916     0.04731      0.8971           0           0           0           1
