#      Type_AGN        SAVEDid          radio         eradio          xfRad           xeRad
#
              1           2197           44.8           10.4       0.005622        0.00199
              0           2202          6.236          2.665       0.009687       0.003273
              0           2229           4.76          2.862       0.004349       0.000895
              0           2231         0.6755           2.82       0.001526      0.0007268
              0           2234          6.632          2.725       0.005307      0.0003005
              0           2239        -0.3611          2.656       0.001687      0.0003105
              0           2252        -0.3155          2.714       0.002658       0.001502
              0           2256          102.6           14.8        0.08146        0.00446
              0           2262        -0.3189          2.669       5.29e-05       5.29e-05
              0           2266           27.4            3.4         0.0221       0.002195
              0           2268          7.272          2.743       0.004202       0.002137
              0           2272        -0.2272          2.638       0.006133       0.001117
              0           2290          5.579          2.643       0.002859       0.002001
              1           2295           43.7            5.3       0.005621       0.000166
              0           2296         -0.174           2.66       0.004743      0.0004045
              0           2297          7.393          2.828       0.005071      0.0008035
              0           2314          6.876          2.784       0.005675       0.002546
              0           2318          1.107          3.098       0.006031       0.002118
              0           2320           24.4              3        0.02369       0.000605
              0           2323          6.622          2.617       0.007174       0.002677
              1           2324           35.1            3.2        0.01326       0.003706
              0           2327          1.718           2.82       0.006872       0.000404
              0           2328             48            7.5        0.03848        0.00307
              0           2330          3.307          2.705       0.003133       0.001368
              0           2331          9.175          2.657       0.005821       0.002004
              0           2336           17.4            2.9        0.01799        0.00247
              0           2337          5.276          2.712        0.01285        0.00153
              0           2342          4.262          2.786       0.002751       0.001103
              0           2347           2.62           2.92        0.00319       0.001526
              0           2357          4.082          2.654       0.003514       0.001202
              0           2359        -0.3536          2.745       0.003469       0.001124
              0           2360          8.687          3.289       0.005294       0.001326
              0           2365        0.05018          2.779       0.006313       0.003837
