#        cooFIR         snrFIR             id         snr100         snr160         snr250         snr350         snr500         snr1160
#
              0       0.938211            581    4.51668e-05       0.938211            -99            -99            -99            -99
              1        5.77352            593        1.92371        4.86157        2.30916       0.432442            -99       0.691981
              0       0.956309            597       0.956309    2.46789e-05            -99            -99            -99            -99
              1        7.20295            598        5.71846        3.57855        2.18785        1.26054            -99            -99
              0      0.0387965            604    2.45074e-06      0.0387965            -99            -99            -99            -99
              0    3.43409e-05            606     3.2173e-05    1.20083e-05            -99            -99            -99            -99
              1        6.43286            620        4.09144        4.92045       0.656439            -99            -99            -99
              1        7.65813            621        5.48548        4.65499        2.01173        1.60661            -99       0.509132
              0        2.13139            622        2.13139    1.72836e-05            -99            -99            -99            -99
              0        2.33993            628     4.0857e-05        2.33993            -99            -99            -99            -99
              0        3.35101            631        2.31796        1.19731        2.10305            -99            -99            -99
              1        5.30226            637         3.8731        2.80654        2.28831            -99            -99            -99
              1        10.8086            638    8.17973e-06         3.8078        5.92242        4.04496         7.1337    2.86516e-10
              0        3.50549            652    4.48379e-05        3.35021         1.0318            -99            -99            -99
              1        8.09689            658        2.09894        2.53682        6.05131        3.83016        1.32476        1.29426
              0        4.94472            659        1.26591        2.70867       0.924811        0.59035         3.0599        2.22353
              0       0.559875            661       0.558511      0.0390502            -99            -99            -99            -99
              0       0.956372            664       0.954717      0.0562448            -99            -99            -99            -99
              1        10.1819            669        6.57839        6.62709        3.11027        2.60828            -99            -99
              0         3.5404            672        3.43691       0.849735            -99            -99            -99            -99
              0        1.03109            689        1.02977      0.0521212            -99            -99            -99            -99
              1        20.8973            692        13.3106        9.83549        12.4524        2.62926        0.90176            -99
              0        2.11808            697        1.71415        1.24418            -99            -99            -99            -99
              0        1.82274            702       0.350272        1.78877            -99            -99            -99            -99
              0    3.78635e-05            710    3.51747e-05    1.40137e-05            -99            -99            -99            -99
              0         1.8369            713         1.8369    1.91733e-05            -99            -99            -99            -99
              0        3.25461            714        1.60238        2.63108         1.0499    6.34438e-08    4.68232e-08    2.98012e-10
              0          2.409            718        0.98396        2.19889            -99            -99            -99            -99
              0        1.40278            719       0.693443        1.21939            -99            -99            -99            -99
              0        2.22632            721       0.418487        2.18663            -99            -99            -99            -99
              0        4.08565            729        3.42747        2.22373            -99            -99            -99            -99
              1        22.5459            737        19.2029         10.442        5.45534       0.876761            -99            -99
              0        1.74649            740        1.74649    5.92726e-06            -99            -99            -99            -99
              0    3.56913e-05            748    3.28125e-05    1.40431e-05            -99            -99            -99            -99
              0        1.32713            749     1.3199e-05        1.32713            -99            -99            -99            -99
              0       0.957624            753       0.957624            -99            -99            -99            -99            -99
              0        2.31549            760        2.12601       0.917374            -99            -99            -99            -99
              0        2.71594            762        2.71216       0.143368            -99            -99            -99            -99
              0      0.0228394            768      0.0228394              0            -99            -99            -99            -99
              0        2.48881            776        1.68259        1.83388            -99            -99            -99            -99
              0        1.18065            779        1.18065    1.87845e-05            -99            -99            -99            -99
              0         1.3356            786        1.09154       0.769649            -99            -99            -99            -99
              0    5.33869e-05            793    4.95273e-05    1.99302e-05            -99            -99            -99            -99
              0        1.28027            804       0.794217        1.00414            -99            -99            -99            -99
              0        2.80911            805        1.85369       0.631869        2.01387            -99            -99            -99
              1         8.4483            807         6.6779        4.27616        2.70906        1.05843    5.39087e-08       0.186089
              1        7.56008            808        7.38356        1.62411     4.4471e-08            -99            -99            -99
              0       0.541359            809       0.541326     0.00594534            -99            -99            -99            -99
              0        0.98081            825        0.72409       0.661576            -99            -99            -99            -99
              0        2.74126            826        1.76732        2.09549            -99            -99            -99            -99
              1        18.4083            827        11.9768        10.5255        3.69688        6.24725        5.61981       0.599391
              0         2.2815            837        1.35795       0.841712        1.30013    4.48376e-08       0.585151       0.787397
              0        3.09426            841       0.747097       0.613538    1.37023e-07    5.60178e-08    4.26439e-08        2.93936
              0        1.32771            849        1.32771    1.46678e-05            -99            -99            -99            -99
              0        1.15667            860       0.250349       0.981185       0.559001            -99            -99            -99
              0       0.891854            866    3.07358e-05       0.891854            -99            -99            -99            -99
              0        2.07235            867       0.493038        2.01285            -99            -99            -99            -99
              1        19.0862            870         15.715        10.5391        2.42578       0.604115            -99            -99
              0        2.98877            872        2.98877    1.33904e-05            -99            -99            -99            -99
              0        3.69788            877       0.485504    7.27466e-06        3.66587            -99            -99            -99
              0        4.66789            878        4.36183        1.66242            -99            -99            -99            -99
              0        2.39673            881        2.26171       0.793101            -99            -99            -99            -99
              1        6.77658            884       0.370483        5.42028        3.36602        1.91188        1.19161    1.42498e-10
