#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050      xf10cm      xe10cm      xf20cm      xe20cm
#
217       0.532      0.1675       1.027      0.3251       2.179      0.6715       3.137       1.327       3.203        1.56       2.355       1.263      0.7572      0.4328      0.3054      0.1774      0.2749      0.1599       0.242      0.1409     0.05366     0.03139     0.04954     0.02899    0.004743    0.002362    0.008258    0.004112
227      0.3304      0.2194       0.654      0.4661      0.9759      0.6121       0.774      0.4161      0.4701      0.2479      0.2198      0.1201     0.04728      0.0268     0.01785     0.01031     0.01604    0.009273     0.01409     0.00816    0.003134    0.001848    0.002894    0.001707    0.001695    0.001152    0.002951    0.002006
239      0.1503     0.05161      0.2807      0.1063      0.8978      0.3852       1.739      0.9757        2.22       1.415       1.965       1.343      0.8505      0.6275      0.3858      0.2919      0.3498      0.2652      0.3099      0.2355     0.07067     0.05424     0.06528     0.05012    0.003305    0.002032    0.005754    0.003538
242      0.1915      0.0582      0.5014      0.2253       1.173      0.5168       1.541      0.7772       1.255      0.7145      0.6736      0.4135      0.1669      0.1099     0.06399     0.04251     0.05753     0.03824     0.05058     0.03364     0.01132    0.007555     0.01047    0.006984     0.00225    0.001154    0.003917     0.00201
245      0.4148       0.161      0.8772      0.3499       1.475      0.4295       1.307      0.4132      0.7983      0.3048      0.3557      0.1561     0.07561     0.03619     0.02876     0.01409     0.02586     0.01269     0.02274     0.01119    0.005076    0.002543     0.00469    0.002349     0.00225     0.00081    0.003917    0.001411
247      0.2816      0.0965      0.2973      0.1161       0.184     0.08085       0.066      0.0308     0.02427     0.01164    0.007684    0.003707    0.001354   0.0006522    0.000491   0.0002388   0.0004406    0.000214    0.000387   0.0001878   0.0001033   4.762e-05   9.781e-05    4.49e-05   0.0006087    0.000232     0.00106   0.0004041
248      0.3177      0.1521      0.8639      0.4931       1.658      0.9049       1.633      0.8581       1.194      0.6387         0.6      0.3365      0.1382     0.08061     0.05197     0.03066     0.04664     0.02754     0.04092      0.0242     0.00905     0.00538     0.00836     0.00497    0.002983    0.001709    0.005194    0.002976
254      0.2383      0.1278      0.7664      0.4176       1.764      0.7982       2.108      0.7035       1.634       0.468      0.7939      0.2731      0.1777     0.07025     0.06527     0.02619     0.05844     0.02346     0.05115     0.02055     0.01104    0.004411      0.0102    0.004074     0.00352    0.001458    0.006129    0.002539
255       2.578      0.4885       3.398       0.178       4.604      0.8885       4.621        1.79       3.394       1.627       1.664      0.8884      0.3781      0.2177      0.1427     0.08386      0.1282     0.07543      0.1125     0.06635     0.02508     0.01494     0.02316      0.0138    0.006624    0.002164     0.01153    0.003768
256       1.387      0.6173       2.829      0.5135       8.783       0.553       15.21        1.45       15.17        2.35       10.65       2.261       3.193       0.862       1.258      0.3677       1.131      0.3319       0.994       0.293      0.2184       0.066      0.2016     0.06095     0.02376      0.0028     0.04138    0.004875
257       3.694       0.106       5.664      0.1195       10.76        0.06       12.97        0.08       10.91       0.135       6.938       0.113       1.978      0.0355      0.7728      0.0139      0.6944      0.0125      0.6102     0.01095      0.1345      0.0023      0.1242      0.0021      0.0143     0.00037      0.0249    0.000645
262      0.5458      0.2011        1.02      0.3467       1.551      0.7769       1.089       0.655      0.5744      0.3736      0.2253      0.1544     0.04595     0.03256      0.0174     0.01245     0.01563      0.0112     0.01373    0.009846    0.003048    0.002183    0.002818    0.002017    0.001939    0.000727    0.003376    0.001267
264      0.2515        0.07      0.6194      0.2354       1.972      0.7225       2.886       1.217       2.783       1.193       2.048      0.9255      0.6708      0.3243      0.2726      0.1358      0.2455      0.1226      0.2161      0.1082      0.0478      0.0244     0.04411     0.02253     0.00458    0.001905    0.007974    0.003317
270      0.2191     0.06995      0.6405      0.3395       1.499      0.8553       1.948       1.192       1.628       1.076      0.8714      0.6117      0.2118      0.1578     0.08041     0.06059     0.07218     0.05443     0.06343     0.04788     0.01406     0.01066     0.01299    0.009848    0.002845     0.00183    0.004953    0.003185
277      0.1525     0.09797       0.559        0.41        1.61        1.15       2.567       1.916       2.514       1.932       1.756       1.389       0.526      0.4323      0.2065      0.1713      0.1854       0.154      0.1628      0.1352     0.03536     0.02937     0.03261     0.02709    0.004235    0.003139    0.007374    0.005466
288       1.135      0.5174       1.792      0.4985       2.107      0.8715       1.439      0.8708      0.7544      0.5166      0.2938      0.2154     0.05958     0.04572     0.02253      0.0175     0.02024     0.01573     0.01778     0.01384    0.003965    0.003048    0.003669    0.002813    0.003413    0.001071    0.005942    0.001865
289      0.8002      0.4188         1.7      0.7691       5.555       0.821       9.386      0.8145       9.867       1.393       7.745       1.574       2.804      0.7955       1.193       0.381       1.076      0.3461      0.9483      0.3067      0.2096      0.0698      0.1934      0.0644     0.01602     0.00126     0.02789    0.002195
309      0.2791      0.2421      0.4375      0.3653       1.541       1.343       3.119       2.139       4.375       1.721       5.178       1.195       3.088       1.797       1.966       1.446       1.846       1.377         1.7       1.288      0.5306      0.4407      0.4944      0.4115    0.007736     0.00124     0.01347     0.00216
314      0.5142      0.2147      0.8763      0.3068       1.323      0.6048      0.9473      0.5417      0.4927      0.3172      0.1904      0.1313     0.03837     0.02788     0.01449     0.01068     0.01301      0.0096     0.01143    0.008441    0.002538    0.001868    0.002349    0.001724    0.001737    0.000652    0.003024    0.001135
316     0.09388     0.02721      0.2821        0.07      0.7855      0.2475       1.146      0.4548       1.064      0.4914       0.675       0.348      0.1887       0.106     0.07313     0.04218     0.06572     0.03798     0.05779     0.03349     0.01284    0.007576     0.01186    0.006998    0.001764     0.00063    0.003072    0.001097
317       1.001      0.2338       2.123      0.3485       3.129           1       2.267       1.055         1.2       0.637      0.4688      0.2694     0.09522     0.05758     0.03602     0.02211     0.03236     0.01989     0.02843      0.0175     0.00632     0.00388    0.005846    0.003582     0.00418    0.000856    0.007277    0.001491
330     0.07976     0.05094      0.2783      0.1977       1.112       0.797       2.063       1.483       2.122       1.577       1.541        1.19      0.4888       0.392      0.1958      0.1587       0.176      0.1428      0.1547      0.1255     0.03374     0.02737     0.03113     0.02524     0.00342    0.002516    0.005952    0.004378
337     0.06998     0.03292       0.159     0.07531      0.4267      0.2323      0.6942      0.4448      0.7683      0.5327      0.6512      0.4848       0.253      0.2011      0.1103      0.0896     0.09961     0.08099     0.08793     0.07157     0.01983     0.01626     0.01831     0.01501    0.001157   0.0007686    0.002015    0.001338
339      0.1658     0.08424      0.3348      0.1996      0.6039      0.3365      0.6177      0.3611      0.4442      0.2884      0.2218      0.1533     0.05064     0.03687     0.01933     0.01427     0.01738     0.01284     0.01529      0.0113    0.003428    0.002567    0.003168    0.002372   0.0009939   0.0005991     0.00173    0.001043
340      0.1432      0.0381      0.3987         0.2       0.963       0.521       1.232       0.759       1.015      0.6726      0.5373       0.374      0.1299      0.0941     0.04922     0.03598     0.04418     0.03232      0.0388     0.02841    0.008678    0.006402    0.008021    0.005919    0.001873    0.001096    0.003261    0.001909
343      0.5159      0.1883       1.017      0.4617       2.075      0.9975       2.223       1.173       1.416      0.7791      0.6518      0.3703      0.1397     0.08354     0.05306      0.0324      0.0477     0.02918     0.04195     0.02571    0.009358    0.005822    0.008644    0.005376    0.003033    0.001413     0.00528     0.00246
356       1.389       0.258       2.506      0.1805       4.118        0.62       4.136       1.379       3.019       1.318       1.473      0.7358      0.3334      0.1833      0.1258     0.07084      0.1129     0.06371     0.09914     0.05606     0.02209     0.01264     0.02041     0.01168    0.006267    0.001991     0.01091    0.003467
365      0.1557     0.05949      0.3588      0.1815      0.7702      0.3939      0.9085      0.5135      0.6822      0.4408       0.336      0.2335     0.07609     0.05602      0.0286     0.02126     0.02566     0.01909     0.02252     0.01677    0.004977     0.00373    0.004599    0.003444    0.001374   0.0007868    0.002392     0.00137
368      0.2507      0.1345      0.5178      0.2875      0.8655      0.3875      0.7967      0.3313       0.494      0.2343      0.2206      0.1182     0.04701     0.02696     0.01788     0.01044     0.01608    0.009398     0.01414    0.008277    0.003162     0.00187    0.002922    0.001728     0.00137   0.0006419    0.002385    0.001117
371      0.3361      0.3348      0.4977      0.4971      0.6391      0.6389      0.4963      0.4962      0.2702      0.2702      0.1073      0.1073     0.02211      0.0221    0.008395    0.008395    0.007545    0.007545     0.00663     0.00663    0.001471    0.001471     0.00136     0.00136     0.00099     0.00099    0.001724    0.001724
374       1.307      0.3075       2.482      0.1665       4.526       0.286       4.298       0.637       2.581      0.4925       1.136      0.2535      0.2347      0.0592     0.08811     0.02309     0.07913     0.02079     0.06951     0.01833     0.01536    0.004215     0.01419     0.00389    0.006505   0.0007885     0.01133    0.001373
375      0.6156      0.1461       1.489       0.227       2.988      0.3155       3.263       1.093       2.401       1.133       1.181      0.6475      0.2679      0.1643       0.101     0.06347     0.09071     0.05709     0.07961      0.0502     0.01782      0.0114     0.01643     0.01056    0.005454    0.000777    0.009497    0.001353
376         1.3      0.8726       2.029      0.9405       6.933       1.361       12.29       1.115       13.29        2.05       10.57       2.567       3.866       1.401       1.647      0.6751       1.486       0.613       1.311      0.5442       0.294      0.1268      0.2714      0.1171     0.02051     0.00215      0.0357    0.003745
379      0.1592      0.0347      0.3236     0.05415       1.076      0.2534       3.226       0.456       4.774      0.3845       4.829       0.289       2.625       0.416       1.288      0.2475       1.181      0.2319        1.06      0.2137      0.2564     0.06025      0.2368      0.0558    0.007181   0.0004245      0.0125     0.00074
381      0.5268      0.0943      0.8573      0.1877       2.362      0.6365       4.345      0.2725       5.547      0.5045       5.165        0.81       2.542      0.6165       1.211      0.3274       1.106      0.3032      0.9887      0.2753      0.2319     0.06965      0.2141      0.0644    0.008011   0.0005655     0.01395    0.000985
385       1.038      0.6215        1.92      0.6365       5.933      0.7585       9.959      0.5415       9.874      0.9965       7.133       1.273       2.249      0.5995      0.8997      0.2664      0.8092      0.2409      0.7116       0.213      0.1567     0.04865      0.1446     0.04494     0.01561    0.001465     0.02719    0.002555
390      0.1121     0.03091      0.1442     0.05773       0.187      0.1296       0.213      0.1867      0.1866      0.1745      0.1213      0.1168     0.03494     0.03399      0.0137     0.01332     0.01232     0.01199     0.01085     0.01054    0.002428    0.002354    0.002243    0.002176   0.0002444   0.0002444   0.0004256   0.0004255
391      0.0677     0.03206      0.1658     0.06875      0.3987      0.1789      0.7192      0.4459      0.7648      0.5222      0.5757      0.4204      0.1867      0.1447     0.07528     0.05933     0.06776     0.05344     0.05963     0.04707     0.01316     0.01044     0.01215    0.009633    0.001176   0.0007463    0.002047    0.001299
394      0.4222      0.2425      0.8268      0.4323       1.491      0.7314       1.718       1.189       1.452       1.198      0.8132      0.7208      0.2102      0.1927      0.0812      0.0747     0.07302     0.06718     0.06421     0.05909     0.01441     0.01328     0.01331     0.01228    0.002544    0.001478    0.004429    0.002574
398      0.1556     0.09005      0.2834      0.1869       0.498      0.3289      0.4725       0.313      0.2894      0.1923      0.1355     0.09245     0.02915     0.02041     0.01102    0.007807    0.009907    0.007023    0.008705    0.006175    0.001936    0.001394    0.001789    0.001287    0.000802   0.0005601    0.001397   0.0009754
399       0.228       0.062      0.5114      0.1866       1.771      0.3395       3.186      0.8225       3.558       1.197       2.818       1.085      0.9889      0.4191      0.4107      0.1794        0.37       0.162      0.3259      0.1431     0.07242     0.03258     0.06683     0.03009    0.005529    0.001428    0.009626    0.002485
401      0.2244      0.0517       0.568      0.1997       1.247      0.3984       1.487      0.4415       1.134      0.3183      0.5618      0.1508      0.1235     0.03658     0.04605     0.01409     0.04131     0.01268     0.03622     0.01115    0.007982    0.002508     0.00737    0.002315    0.002242    0.000738    0.003904    0.001285
407       3.946       1.716       8.171       1.017       17.77       1.185       22.69        1.77       18.75        2.71       10.03       1.974       2.452       0.603      0.9317      0.2444      0.8366      0.2205      0.7348      0.1948      0.1633     0.04525      0.1509     0.04185     0.03262     0.00485      0.0568     0.00844
409      0.8595      0.4865       1.713      0.8426       2.554       0.848       1.789      0.6235      0.8872      0.3528      0.3643      0.1752      0.0749      0.0409     0.02824     0.01595     0.02538     0.01436     0.02231     0.01266    0.004989    0.002833    0.004613    0.002612    0.004399    0.001826    0.007659    0.003181
413      0.3685      0.1415        0.78       0.276       1.351      0.2955       1.105      0.3867       0.626      0.2659       0.272      0.1374     0.05732     0.03145     0.02177     0.01218     0.01957     0.01097     0.01721    0.009661    0.003845    0.002178    0.003554     0.00201    0.002011   0.0005305      0.0035    0.000924
414       0.487     0.09405       1.149      0.2216       1.924       0.499        1.65        0.51       1.015      0.3614      0.4367      0.1646     0.08687     0.03444     0.03153     0.01255     0.02821     0.01123     0.02469    0.009825    0.005355    0.002129    0.004941    0.001972     0.00345    0.000928    0.006007    0.001616
416       0.623      0.3762      0.9624      0.4415       1.311      0.6918       1.029      0.6824      0.5577      0.4119       0.223      0.1749     0.04585     0.03732      0.0174     0.01431     0.01564     0.01286     0.01374     0.01132    0.003068    0.002504    0.002839    0.002312    0.001864   0.0008945    0.003244    0.001557
418      0.1947      0.0508      0.5258      0.1946       1.202      0.3992       1.436       0.531        1.11      0.4701      0.5554      0.2562      0.1263     0.06445     0.04738     0.02469     0.04251     0.02218      0.0373      0.0195    0.008241     0.00435    0.007611    0.004018    0.002185   0.0008175    0.003804    0.001424
421       0.196     0.07065      0.4485      0.2005      0.9586      0.3955       1.205      0.5834      0.9385      0.5375       0.475      0.3018      0.1128     0.07847     0.04294     0.03037     0.03857     0.02732     0.03389     0.02403    0.007562    0.005407    0.006976    0.005004    0.001784   0.0008762    0.003106    0.001526
428      0.1314     0.05247      0.3355      0.1923      0.7279      0.4162      0.8919      0.5391      0.7002      0.4569      0.3522      0.2458     0.08159     0.06021     0.03109     0.02326     0.02793     0.02092     0.02454      0.0184     0.00548    0.004137    0.005062    0.003825    0.001334   0.0008296    0.002324    0.001445
429      0.2955       0.217      0.6257      0.4903      0.9661      0.6909      0.8528      0.5713      0.5574      0.3773      0.2527      0.1741     0.05627     0.04084     0.02111     0.01546     0.01894     0.01389     0.01662     0.01219    0.003669    0.002716     0.00339    0.002507    0.001696    0.001277    0.002953    0.002224
430      0.1708      0.0389      0.4602      0.1356       1.018       0.214       1.217       0.209      0.9197      0.1543      0.4397       0.088     0.09638     0.02222     0.03591    0.008655     0.03221     0.00779     0.02825     0.00686     0.00622    0.001551    0.005744    0.001434    0.001842    0.000384    0.003207    0.000668
431      0.4352       0.139      0.9477      0.2813       1.526      0.3665       1.332      0.3719      0.7758      0.2522      0.3323      0.1196     0.06876     0.02731     0.02596     0.01065     0.02333    0.009595     0.02051    0.008455    0.004555    0.001909    0.004209    0.001763    0.002411    0.000632    0.004198      0.0011
432      0.5033      0.3748      0.8671       0.625       1.107      0.6702      0.8518      0.4402      0.5392      0.2963       0.238       0.151     0.05033     0.03464     0.01911     0.01343     0.01718     0.01209     0.01511     0.01065    0.003382    0.002399    0.003126    0.002215    0.001943    0.001293    0.003383    0.002252
433      0.4379      0.2555      0.6829      0.3452      0.7047      0.5113      0.5052      0.4392      0.2689      0.2453      0.1058     0.09837     0.02169     0.02038    0.008228    0.007752    0.007394    0.006966    0.006498    0.006122    0.001453    0.001347    0.001345    0.001245    0.001379   0.0006671    0.002401    0.001162
437      0.1522     0.05578      0.3529      0.1498       1.096      0.4064         1.8      0.8153       1.997       1.033       1.559      0.8799       0.535      0.3202      0.2202      0.1341      0.1983      0.1209      0.1746      0.1066     0.03868     0.02381     0.03569     0.02198    0.003025     0.00144    0.005267    0.002506
438       2.475      0.2755       5.949      0.1615       9.865      0.1455       8.525       0.547       5.407       0.712       2.389      0.4095      0.4912      0.1056      0.1793      0.0395      0.1605      0.0354      0.1405     0.03105     0.03058     0.00675     0.02821    0.006275      0.0167    0.001345     0.02907    0.002345
439      0.8003      0.0252       1.322       0.098       2.456        0.12       3.154       0.419       2.697       0.549       1.498      0.3845      0.3792      0.1166       0.145       0.047      0.1303     0.04242      0.1145     0.03743     0.02551    0.008635     0.02357    0.007985    0.004529   0.0003255    0.007884    0.000566
