#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050      xf10cm      xe10cm      xf20cm      xe20cm
#
7963       1.588       0.338       3.269      0.1705       4.647      0.5315       3.092      0.6725       1.576       0.424       0.601      0.1838      0.1216     0.04092     0.04595      0.0159     0.04126     0.01431     0.03622     0.01259    0.008041    0.002809    0.007439     0.00259    0.005933   0.0003455     0.01033    0.000601
7966      0.8168      0.2442       1.587       0.262        4.47       0.223       6.375      0.8025       6.906       1.279       5.529       1.341       2.171       0.725      0.9517      0.3503      0.8606      0.3195      0.7606      0.2844      0.1698      0.0651      0.1567      0.0601     0.01088    0.002041     0.01895    0.003555
7973       0.111     0.02603      0.3679     0.08715      0.9731      0.1939       1.463      0.3815       1.366      0.4506      0.8604      0.3316      0.2384      0.1038     0.09205     0.04166     0.08274     0.03756     0.07274     0.03317     0.01612     0.00755     0.01489    0.006979    0.002291    0.000507    0.003988    0.000883
7983      0.3173      0.2003      0.6725      0.4405       1.067      0.5817      0.8858      0.3942      0.5149      0.1988       0.219     0.07405     0.04484     0.01498     0.01688     0.00586     0.01516    0.005278     0.01332    0.004652    0.002941    0.001077    0.002719    0.000993    0.001823    0.001105    0.003175    0.001924
7991      0.3826      0.0941      0.9854      0.1176       2.552      0.4845       3.758       1.024       3.428       1.117       2.158      0.7885       0.593       0.238      0.2276      0.0942      0.2045     0.08485      0.1796     0.07475     0.03953     0.01681      0.0365     0.01552    0.005764    0.001332     0.01003    0.002315
7996       2.316       0.801       3.843        0.39       5.902      0.7075       5.259       1.331       3.143      0.9955       1.384      0.5009      0.2869      0.1138      0.1079     0.04392     0.09688     0.03952     0.08511     0.03479     0.01839    0.008195     0.01698    0.007567    0.008168    0.002202     0.01422     0.00383
8004       1.179       0.262       2.084       0.025       2.546      0.4325       1.472       0.395      0.6975      0.2203      0.2576      0.0897     0.05129      0.0192     0.01926     0.00734     0.01713     0.00675     0.01503    0.005915    0.003365    0.001305    0.003118    0.001205    0.003238   0.0003295    0.005637    0.000574
8027      0.9641      0.2509       2.574       0.234       7.438      0.1855       11.89        0.62        11.1        1.07       6.764       1.058       1.841      0.3725      0.7123        0.15      0.6404      0.1352      0.5631      0.1192      0.1256     0.02684       0.116     0.02479     0.01715     0.00125     0.02987    0.002175
8028       1.152      0.3848       3.025      0.6145       9.028      0.3345        14.5        1.74       13.79       2.775       9.114       2.686       2.612      0.9625       1.015      0.3961      0.9119      0.3571      0.8016      0.3154       0.177     0.07155      0.1634     0.06608     0.02304     0.00259     0.04012    0.004515
8035       0.982       0.159       2.238       0.072       3.848      0.3595       3.233       0.562       1.809      0.3875      0.7399      0.1805      0.1529     0.04125     0.05801     0.01614     0.05214     0.01454     0.04584     0.01282     0.01016    0.002895    0.009397    0.002674    0.005036   0.0002145    0.008769   0.0003735
8037        0.37      0.0861      0.7887       0.164        1.25       0.267       1.003      0.2962      0.5456      0.1842      0.2186      0.0807     0.04423     0.01755     0.01666    0.006759     0.01497    0.006083     0.01315    0.005353    0.002913    0.001195    0.002693    0.001103    0.001794   0.0003305    0.003123    0.000575
8047       1.845      0.1365       4.074      0.0745       8.097      0.0935       8.035       0.149       4.849      0.0965       2.133       0.044      0.4536     0.00935       0.173     0.00355      0.1555      0.0032      0.1368      0.0028     0.03047    0.000695     0.02815     0.00064     0.01115    0.000255     0.01943     0.00044
8051      0.6867     0.04955       1.577      0.0945       3.196       0.133       3.221       0.435        1.98      0.3695      0.8884      0.2016       0.188     0.04945     0.07126     0.01963     0.06405     0.01771     0.05632     0.01563     0.01256    0.003577     0.01161    0.003304    0.004739     8.1e-05    0.008252   0.0001415
8053       0.623      0.3395       1.053      0.4868       2.761       0.454       5.967      0.1985       7.535      0.2075        6.68       0.408       2.961      0.2415       1.356       0.116       1.232      0.1055       1.095       0.094      0.2497      0.0209      0.2305      0.0192     0.01023    0.001201     0.01782    0.002095
8054      0.9861      0.1129       2.127      0.0815       3.806       0.396       3.451       0.763       1.991      0.5605      0.8481      0.2769      0.1753      0.0643     0.06617     0.02516     0.05945     0.02267     0.05225     0.01999     0.01161    0.004517     0.01073     0.00417    0.005569    0.000294    0.009697    0.000513
8056      0.6771      0.3013       1.107      0.3568       3.145      0.5075       4.879       0.448       5.319      0.8565       4.325       1.012       1.643      0.5135      0.7099      0.2435      0.6408      0.2211      0.5654      0.1963      0.1269     0.04593      0.1171     0.04246    0.008271   0.0009985      0.0144     0.00174
8065      0.8603      0.1053       1.788      0.0365       3.115       0.064       2.717       0.081       1.541       0.049      0.6387     0.02075      0.1324      0.0043     0.05025     0.00163     0.04517    0.001465     0.03972    0.001285     0.00879   0.0003175    0.008124   0.0002935    0.004155     0.00015    0.007234   0.0002615
8081      0.6818       0.158       1.561       0.125       4.537      0.0885       7.622      0.7245       7.324       1.103       4.932       0.979        1.42       0.344      0.5509       0.142       0.495      0.1283      0.4351      0.1133     0.09581     0.02599     0.08847     0.02403     0.01166      0.0011      0.0203    0.001915
8092       2.327        0.47       4.637      0.4035       7.026      0.3675       5.454      0.7995       2.929      0.5685       1.162       0.266      0.2338     0.06045     0.08792     0.02358     0.07897     0.02124     0.06936     0.01871     0.01528    0.004265     0.01412    0.003935     0.01004   0.0006745     0.01747     0.00117
8093      0.4941      0.2296      0.7871      0.2309      0.8195      0.2676      0.5158      0.2581       0.257      0.1485     0.09638     0.06051     0.01914     0.01279    0.007197    0.004893    0.006463    0.004397    0.005671    0.003864    0.001268   0.0008485    0.001174   0.0007828    0.001527   0.0004725    0.002658   0.0008235
8096      0.1858     0.09571      0.4203      0.1757       1.032      0.5982       1.593       1.041       1.671         1.2       1.246      0.9481      0.4016      0.3197      0.1618      0.1305      0.1456      0.1175      0.1281      0.1034     0.02829     0.02293     0.02612     0.02116    0.002569    0.001762    0.004472    0.003069
8099       1.024       0.079       2.255       0.043        4.33      0.0415       4.144      0.0675       2.451      0.0435       1.058      0.0195      0.2233     0.00415     0.08501     0.00156     0.07644      0.0014     0.06724     0.00123     0.01495     0.00031     0.01382    0.000285    0.005908    0.000122     0.01029    0.000215
8102      0.8041      0.1561       1.796       0.111       2.754      0.3655       2.229       0.533       1.312      0.4369      0.5524      0.2099      0.1085     0.04491     0.03934     0.01636      0.0352     0.01464      0.0308      0.0128    0.006692    0.002766    0.006184    0.002552    0.004974   0.0006555    0.008661    0.001142
8105      0.6847      0.1016       1.486       0.124       2.894       0.209       2.924      0.5625        1.87       0.474      0.8583      0.2567      0.1818     0.06175     0.06845     0.02416     0.06147     0.02176     0.05401     0.01919     0.01196    0.004423     0.01104    0.004088    0.004592   0.0003135    0.007994    0.000546
8111      0.2577     0.06405      0.7928       0.158       2.232      0.5045       3.464       0.861       3.119      0.8805       1.898       0.639      0.5192       0.209      0.2001      0.0845      0.1798      0.0762       0.158     0.06728     0.03502     0.01535     0.03235     0.01419    0.005202    0.001122    0.009057    0.001953
8113       16.44        1.01       35.03       0.395       49.85        0.24       31.15        0.24       15.29        0.13       5.785      0.0505       1.174        0.01      0.4432      0.0038      0.3969     0.00435      0.3484     0.00375     0.07762     0.00084     0.07186    0.000775     0.05423     0.00059     0.09442     0.00102
8119      0.1291     0.03258       0.321      0.0443      0.9404      0.2566       1.472      0.5229       1.411      0.5842      0.9472      0.4329      0.2731      0.1346      0.1061     0.05358     0.09537     0.04824     0.08382     0.04248     0.01852    0.009533      0.0171    0.008808    0.002282   0.0008145    0.003973    0.001418
8124      0.8115      0.5035       1.305      0.6456       1.752      0.7732        1.43      0.8527      0.7866      0.5364      0.3194      0.2353     0.06598     0.05103     0.02506     0.01964     0.02253     0.01767     0.01981     0.01555    0.004423    0.003452    0.004091    0.003186    0.002684      0.0012    0.004672    0.002089
8135      0.3628      0.0454       1.064      0.0666        2.59       0.262         3.4       0.354       2.799       0.355       1.529       0.219      0.3753      0.0595      0.1404     0.02295      0.1258     0.02065      0.1103     0.01815     0.02403    0.004045     0.02218    0.003735     0.00545   0.0005595    0.009487    0.000973
8138      0.7431      0.3719       1.158      0.3962       1.652      0.7825        1.21      0.7555      0.6389      0.4481      0.2501      0.1872     0.05086     0.03971     0.01925      0.0152     0.01729     0.01367      0.0152     0.01202    0.003392    0.002652    0.003139    0.002448    0.002219   0.0008255    0.003863    0.001438
8141     0.08603     0.04038      0.2099     0.08575      0.5116      0.2148      0.9197      0.5433      0.9748      0.6373      0.7329      0.5121      0.2364      0.1763     0.09514     0.07226     0.08561     0.06509      0.0753      0.0573     0.01662     0.01271     0.01534     0.01173    0.001506   0.0009086    0.002622    0.001582
8142      0.1028     0.03535      0.2144      0.0727      0.9718      0.3682       3.054      0.4785       4.541       0.267       4.722      0.2815       2.558       0.503       1.255      0.3024        1.15      0.2839       1.032      0.2617      0.2498     0.07355      0.2307      0.0681    0.007015    0.000189     0.01221     0.00033
8143      0.2875       0.196      0.5796      0.4254       0.871      0.5721      0.6979      0.3971      0.3942      0.2043      0.1718     0.08565      0.0371     0.01912     0.01404    0.007326     0.01262    0.006594     0.01109    0.005804    0.002464    0.001314    0.002276    0.001214    0.001503    0.001053    0.002618    0.001833
8144      0.3216      0.1151      0.6058      0.1178       1.408       0.372       2.062      0.8435       1.925       0.906       1.311      0.6654      0.3845      0.2045      0.1502      0.0807       0.135     0.07254      0.1186      0.0638     0.02609     0.01405     0.02408     0.01298    0.002946    0.001375    0.005129    0.002394
8155      0.7388       0.167       1.726       0.428       3.145      0.7445       2.971       0.927       1.951      0.7455      0.9151       0.401      0.1973     0.09605     0.07442     0.03738     0.06684     0.03367     0.05874     0.02969     0.01303    0.006818     0.01203    0.006301    0.005227    0.001313    0.009104    0.002287
8162      0.2154      0.0564      0.5042       0.124       1.354       0.346       1.883        0.49       1.845       0.534       1.351      0.4376      0.4415      0.1621      0.1788     0.06845      0.1607     0.06161      0.1413      0.0543     0.03088       0.012     0.02849     0.01107    0.003241    0.000925    0.005643     0.00161
8167       1.143      0.1135       2.772      0.1335       6.505       0.071        7.73       0.388       5.833      0.4175       2.879       0.247      0.6497     0.06415      0.2451      0.0253        0.22      0.0228      0.1932      0.0201     0.04296    0.004625     0.03968    0.004275     0.01146     0.00037     0.01996    0.000645
8175      0.3154         0.2      0.7749      0.4761       1.691      0.8938       1.807      0.8714       1.301      0.6068      0.5973      0.3062      0.1266      0.0701     0.04623     0.02577     0.04138     0.02306     0.03621     0.02018    0.007836    0.004344    0.007222    0.004027    0.003233    0.001666    0.005628      0.0029
8178      0.9952      0.6038       1.972       1.144       3.031       1.228       2.546           1        1.71      0.8695      0.7864      0.4566      0.1678      0.1065     0.06253     0.04037     0.05607     0.03623     0.04918     0.03182     0.01085     0.00708     0.01002    0.006536    0.005252    0.002375    0.009146    0.004134
8191     0.05463     0.02575       0.135     0.05655      0.3206      0.1452      0.5798       0.362      0.6153      0.4217      0.4607      0.3393      0.1486      0.1159     0.05978     0.04741     0.05378     0.04268     0.04731     0.03758     0.01044    0.008324    0.009635    0.007685   0.0009507   0.0006083    0.001655    0.001059
8195      0.5821     0.02375       1.405      0.1015       3.498      0.1535       4.332       0.339       3.329      0.3675       1.681      0.2275      0.3878     0.06205      0.1481     0.02495      0.1331     0.02255       0.117     0.01992     0.02627    0.004635     0.02426     0.00428    0.006121    0.000284     0.01065    0.000495
8217       1.257       0.179       3.329       0.444       8.097       0.471       9.728       1.082       7.492       1.209       3.761       0.773      0.8653      0.2128       0.328     0.08725      0.2946     0.07885      0.2587     0.06985     0.05772     0.01652     0.05332     0.01527     0.01472    0.000215     0.02564    0.000365
8218      0.5676      0.3553       1.082      0.7054       1.685      0.9434       1.786       1.092        1.26       0.863      0.5989      0.4311       0.139      0.1058     0.05326       0.041      0.0479     0.03689     0.04213     0.03248    0.009448    0.007412    0.008725    0.006844    0.002885    0.001776    0.005021    0.003092
8220       9.873       0.076       12.24        0.01       9.021       0.027       3.704       0.015       1.464       0.006      0.4721     0.00195     0.08324    0.000295     0.03024     9.5e-05     0.02701    0.000175     0.02364    0.000175    0.005789     4.3e-05    0.005435    4.05e-05     0.02381    0.000175     0.04146    0.000305
8222      0.3511      0.1168      0.6691      0.1736        1.42      0.5867       1.813      0.8995       1.563      0.7857       1.038       0.533      0.3044      0.1601      0.1188     0.06286      0.1068     0.05657     0.09386     0.04974     0.02064     0.01101     0.01906     0.01017    0.002727    0.001466    0.004746    0.002552
8236     0.08531     0.03259      0.2358      0.0892      0.6385      0.3061      0.9456      0.5284       0.914      0.5411      0.6602      0.4128       0.201      0.1333     0.07938     0.05362     0.07141     0.04829     0.06283     0.04257     0.01395    0.009551     0.01288     0.00882    0.001422   0.0007631    0.002476    0.001329
8255      0.1333     0.01485       0.418     0.07325       1.733      0.1025       3.138      0.3445       3.154         0.6       2.258       0.588      0.7102      0.2437      0.2842      0.1054      0.2555     0.09505      0.2245     0.08385     0.04893     0.01854     0.04514      0.0171    0.005224   0.0006895    0.009098    0.001203
8267       1.169      0.1335       2.561      0.1535       5.362      0.1135       5.659      0.4335       3.582       0.374       1.642       0.206      0.3533       0.051      0.1346      0.0203       0.121      0.0183      0.1065     0.01614     0.02378    0.003755     0.02196     0.00347     0.00776    0.000322     0.01351     0.00056
8271      0.4886       0.119      0.9585      0.2936       1.827      0.4995       2.039         0.7       1.361      0.5716      0.6408      0.3047      0.1386     0.07235     0.05238     0.02809     0.04704     0.02529     0.04134     0.02227    0.009156    0.005124    0.008435    0.004745    0.002897   0.0008905    0.005045     0.00155
8274      0.2767     0.03625      0.7853     0.04155       2.599      0.2385       4.645      0.3375       4.619      0.4805       3.209       0.417      0.9466      0.1464        0.37      0.0607      0.3327     0.05485      0.2925      0.0485     0.06462     0.01118     0.05967     0.01035    0.007139    0.000561     0.01243     0.00098
8290      0.3496      0.1097      0.8355      0.3945       1.701      0.7712       1.992       0.938       1.582      0.8351      0.8104      0.4606      0.1916      0.1162     0.07277     0.04493     0.06538     0.04042     0.05741     0.03555     0.01279    0.008007     0.01182    0.007399    0.002988    0.001414    0.005201    0.002462
8303      0.1996     0.01465       0.645      0.0634       1.709      0.1425       2.321      0.3095        2.01      0.3735       1.132      0.2541      0.2878     0.07515      0.1095     0.02999      0.0983       0.027      0.0863      0.0238     0.01907     0.00544     0.01762     0.00503    0.003522   0.0003715    0.006131   0.0006475
8304      0.3037      0.0882      0.6771      0.2031       1.251      0.2647       1.155      0.2123      0.6729      0.1405      0.2979      0.0752     0.06158     0.01798     0.02309     0.00705     0.02073     0.00635     0.01821      0.0056    0.004038    0.001276    0.003731    0.001178    0.001987    0.000478    0.003459    0.000832
8319       2.261      0.0925        4.96      0.0505       7.494      0.0545       5.912      0.0805       3.346      0.0515       1.385       0.022      0.2657      0.0042     0.09619    0.001475     0.08608     0.00132     0.07532     0.00115     0.01632    0.000345     0.01508     0.00032     0.01325    0.000285     0.02306     0.00049
8326      0.5683     0.04705       1.239      0.0195       2.232      0.3095       2.054        0.53       1.197       0.381      0.5143      0.1867      0.1068     0.04294     0.04034     0.01676     0.03625      0.0151     0.03187     0.01331    0.007075    0.003015    0.006539    0.002785    0.003301    0.000261    0.005748   0.0004545
8331      0.3689      0.2495       0.601      0.3564      0.6951       0.367      0.5502       0.337       0.297      0.2011      0.1178     0.08501     0.02404     0.01818    0.009104    0.006976    0.008183    0.006277     0.00719     0.00552    0.001597    0.001227    0.001478    0.001133    0.001209   0.0007283    0.002105    0.001268
8332       1.562       0.375       2.644       0.077       3.466      0.6985       2.598       0.851       1.393      0.5217      0.5637       0.228      0.1085     0.04558     0.03984     0.01683     0.03571     0.01509     0.03131     0.01323    0.006569    0.003188    0.006072    0.002944    0.005316    0.001541    0.009258    0.002682
8340      0.2219      0.0395      0.4439      0.1518       1.259      0.5747       1.814      0.8264       2.142       1.111       1.815       1.014      0.7103      0.4177      0.3091      0.1845       0.279      0.1667      0.2463      0.1474     0.05539     0.03349     0.05114     0.03093    0.003139    0.001563    0.005464     0.00272
8347      0.5913     0.05375       1.167        0.12        1.69      0.1905       1.301       0.157      0.7237      0.0893      0.2969       0.037     0.05666    0.007025     0.02052    0.002525     0.01836     0.00226     0.01607     0.00198     0.00345   0.0004635    0.003194   0.0004245    0.002934   0.0003905    0.005107     0.00068
8354       1.531      0.7578       2.916      0.5055       4.545      0.3855       4.505       1.206       3.514       1.426        1.88      0.9504      0.4679      0.2726      0.1795      0.1074      0.1614     0.09673      0.1419     0.08522     0.03184     0.01933     0.02943     0.01786    0.006822    0.002267     0.01188    0.003945
8377       0.334      0.0955      0.7581       0.271       1.706      0.7327       2.525      0.9525       2.925      0.5675       2.747       1.473       1.824       1.515       1.176       1.062       1.113       1.011       1.038      0.9475      0.3473      0.3278      0.3246      0.3067    0.004561   0.0009755    0.007939      0.0017
8408      0.3771      0.0638       0.731       0.209       1.482      0.4605       1.631       0.583       1.099      0.4224      0.5217      0.2114      0.1136     0.04814     0.04304     0.01852     0.03868     0.01665       0.034     0.01466    0.007558    0.003332    0.006987    0.003073    0.002314    0.000763     0.00403    0.001329
8410      0.5105      0.2174       0.929      0.3631       1.532      0.4675       1.445      0.6056      0.8391       0.438      0.3623      0.2145     0.07557     0.04864     0.02858     0.01884     0.02569     0.01696     0.02259     0.01494    0.005018    0.003364    0.004638    0.003105    0.002227    0.000684    0.003878    0.001192
8412      0.2576     0.08775      0.5693      0.1852        1.02       0.222      0.9357      0.1823      0.5855      0.1373      0.2659      0.0707     0.05577     0.01776     0.02107    0.007095     0.01893      0.0064     0.01664    0.005655    0.003706    0.001297    0.003425    0.001198    0.001609    0.000397    0.002802    0.000691
8420      0.3764      0.1247      0.9243      0.4547       1.851       1.018       2.087       1.121       1.597      0.8465      0.8549      0.4622      0.2113      0.1177     0.07887     0.04403     0.07071     0.03949     0.06192     0.03456     0.01341    0.007435     0.01237    0.006857    0.003302    0.001931     0.00575    0.003362
8427       2.913      0.1785       4.867      0.1815       8.091       0.064       9.162       0.366       7.547       0.464       4.668      0.3635       1.278       0.113      0.4912      0.0437       0.441     0.03915      0.3872      0.0343     0.08502    0.007225     0.07851    0.006655     0.01165     0.00159     0.02029    0.002765
8433       1.009      0.1405       2.362       0.066       5.994      0.0485       7.867      0.1295       6.257        0.23       3.228       0.137      0.7599      0.0374      0.2908     0.01325      0.2615     0.01195      0.2301      0.0105     0.05188     0.00246     0.04793     0.00228     0.01086    0.000535     0.01891    0.000935
8451      0.6093      0.1184       1.598       0.124       2.901      0.3895       2.675      0.5575       1.745      0.4805      0.7774      0.2446      0.1601      0.0563     0.05828     0.02069     0.05216     0.01852     0.04563      0.0162    0.009887    0.003484    0.009128    0.003222     0.00528   0.0008275    0.009192    0.001439
8452        8.59      0.6905       19.86        0.35       32.67        0.18       25.06        0.26       13.59       0.155       5.382       0.064       1.107       0.013      0.4205       0.005      0.3779     0.00445       0.332      0.0039     0.07351    0.001045     0.06796    0.000965      0.0393    0.000555     0.06843     0.00097
8458      0.3446      0.1063      0.8101      0.3039       1.714       0.505       2.028      0.7075       1.542      0.6366      0.7527      0.3603      0.1717     0.09376     0.06491     0.03639     0.05828     0.03274     0.05118     0.02881     0.01138    0.006495     0.01051    0.006007    0.003078    0.001042    0.005358    0.001815
8460       0.149     0.07602      0.3692       0.171       1.014      0.4086       1.931       1.045       2.115       1.264       1.633       1.042      0.5409      0.3752      0.2196      0.1565      0.1976      0.1411       0.174      0.1243     0.03846     0.02767      0.0355     0.02554    0.003193    0.001821     0.00556    0.003172
8465      0.2527      0.1559      0.7551      0.4789       1.731      0.9354       2.029      0.9425       1.539      0.7096      0.7747      0.3624      0.1776     0.08389     0.06558      0.0308     0.05873     0.02757     0.05142     0.02411     0.01113     0.00516     0.01028    0.004764    0.003444    0.001742    0.005996    0.003032
8467      0.4312       0.111       0.915       0.203       1.299      0.4606      0.8683      0.3868      0.4414      0.2165      0.1673     0.08742     0.03346     0.01839      0.0126    0.007026     0.01131    0.006315    0.009931    0.005549    0.002206    0.001229    0.002042    0.001135    0.001734    0.000387    0.003019   0.0006735
8474       3.429      0.3515       6.482      0.2165       8.697      0.1205       6.381      0.2075       3.421      0.1285       1.375      0.0545      0.2592     0.00995     0.09391    0.003455     0.08407    0.003075     0.07359     0.00268     0.01567    0.000905     0.01448    0.000835     0.01483     0.00086     0.02582    0.001495
8476       0.379      0.1162      0.8818      0.2902       1.862       0.429       2.065      0.4935       1.418      0.4733      0.6946      0.2916      0.1569     0.07773     0.05964     0.03072     0.05359     0.02769      0.0471     0.02442     0.01056    0.005602    0.009754    0.005176    0.003204    0.000836    0.005579    0.001455
8483      0.8346      0.1955       1.557       0.074       3.006       0.157       3.001      0.3255       1.857      0.2555      0.8347      0.1336      0.1749     0.03155     0.06587     0.01233     0.05917     0.01111     0.05199    0.009795     0.01152    0.002271     0.01064    0.002099     0.00442   0.0004215    0.007696    0.000734
8484      0.6672      0.3678       1.038      0.4057        3.13       0.569       5.122       0.755       5.321       1.131       4.119       1.145       1.424      0.4898      0.5907      0.2184      0.5321      0.1975      0.4687      0.1748       0.104     0.04004     0.09598     0.03702     0.00842     0.00123     0.01466     0.00214
8489      0.1828      0.0765      0.3573      0.1666      0.6753      0.3026      0.6964      0.3667      0.4338      0.2451      0.1955      0.1174     0.04153     0.02646     0.01578     0.01024     0.01418    0.009217     0.01247    0.008118    0.002783    0.001834    0.002571    0.001694    0.001005   0.0004752     0.00175   0.0008279
8490     0.06138     0.01309      0.2035      0.0419      0.5813      0.1354        0.85       0.255      0.7847      0.2864      0.4936      0.2056      0.1371     0.06376     0.05301     0.02554     0.04764     0.02303     0.04188     0.02031    0.009286    0.004614    0.008582    0.004268    0.001321    0.000332      0.0023    0.000578
8493       7.127       0.947       14.83        0.72       25.94       0.105       22.93        0.16       13.08        0.12       5.457      0.0555       1.135       0.012       0.431     0.00435      0.3874      0.0039      0.3407     0.00345     0.07535    0.001095     0.06964    0.001015     0.03453    0.000505     0.06012    0.000875
8504     0.05981     0.01911      0.1252      0.0254      0.3927      0.1373      0.6924      0.3586      0.7242      0.4129      0.5396      0.3236      0.1726      0.1071     0.06915     0.04335     0.06223     0.03906     0.05472     0.03437     0.01205    0.007613     0.01112     0.00703    0.001127   0.0005962    0.001962    0.001038
8509       2.151      0.2315       5.716      0.8255       12.61       0.525       13.86        0.88       9.981       1.249       4.769       0.812       1.044      0.2217      0.3906     0.08865      0.3505        0.08      0.3075      0.0706     0.06801      0.0163     0.06281     0.01505     0.02251    0.000955     0.03919     0.00166
8512      0.5238      0.1927       1.158      0.4071       2.105       0.477       2.008      0.4415       1.203      0.3815      0.5293       0.208      0.1118     0.04915     0.04248     0.01919     0.03818     0.01729     0.03358     0.01524    0.007502    0.003458     0.00693     0.00319     0.00335   0.0008115    0.005831    0.001413
8515      0.4466     0.03455       1.013      0.1472       2.265       0.306       2.572       0.469        1.79       0.379      0.8636      0.2025      0.1903     0.04875     0.07217     0.01904     0.06485     0.01715     0.05701     0.01511     0.01275    0.003454     0.01176    0.003195    0.003724     0.00053    0.006484    0.000923
8535       0.812      0.2101       1.489       0.092       2.856       0.121       2.845      0.2835       1.759       0.228      0.7903      0.1203      0.1655      0.0286     0.06235     0.01118       0.056     0.01008     0.04922    0.008885     0.01089     0.00207     0.01006    0.001912    0.004237   0.0003195    0.007378    0.000556
8537      0.3606      0.1088      0.7973      0.2537       1.449      0.3555        1.33       0.291      0.7945      0.1724      0.3514       0.091     0.07257     0.02164     0.02721    0.008475     0.02443     0.00764     0.02146    0.006735    0.004758    0.001532    0.004395    0.001415    0.002316   0.0006125    0.004033    0.001066
8539       2.434      0.3385       5.012       0.148       10.18       0.186        10.6         0.3       6.716      0.2075       3.075      0.0985      0.6556      0.0211      0.2484     0.00795      0.2232      0.0071      0.1963     0.00625     0.04364     0.00155     0.04031     0.00143     0.01532    0.000545     0.02669     0.00095
8544       5.071      0.1805       9.744      0.0885       12.81        0.06       9.044       0.089       4.646      0.0515       1.814       0.021      0.3362     0.00375      0.1215      0.0013      0.1088     0.00115     0.09519       0.001     0.02075     0.00034     0.01921    0.000315     0.02317     0.00038     0.04034    0.000665
8549      0.2268     0.06555      0.4934      0.1223      0.7992      0.1143      0.6671      0.1179      0.3791       0.085      0.1588      0.0414     0.03266    0.009565     0.01233    0.003745     0.01108    0.003375    0.009735    0.002976    0.002161   0.0006705    0.001997    0.000619    0.001237   0.0002365    0.002154   0.0004115
8551      0.7003      0.0809       1.483      0.0735       2.618      0.0705       2.396       0.172       1.444      0.1335      0.6321     0.06745      0.1278     0.01515     0.04734    0.005765     0.04245    0.005185     0.03723    0.004555    0.008123    0.001079      0.0075   0.0009985    0.004218    0.000209    0.007344   0.0003635
8554     0.06661     0.02974      0.1353     0.03525      0.3637      0.1997        0.57      0.3932      0.5796      0.4304      0.4178      0.3216      0.1274      0.1013     0.05039     0.04042     0.04533     0.03639     0.03989     0.03205    0.008865    0.007155    0.008188    0.006611   0.0008806   0.0006355    0.001533    0.001106
8559      0.6363      0.2216      0.7329      0.3202       0.502      0.2631      0.1958      0.1136     0.07538     0.04582     0.02415     0.01484    0.004255    0.002613    0.001544   0.0009512    0.001384    0.000852    0.001214   0.0007455   0.0003066    0.000177   0.0002888   0.0001656    0.001465   0.0006062     0.00255    0.001055
8563      0.2291      0.1272      0.4268      0.1918      0.5437      0.1468      0.3649     0.06925      0.2025      0.0498     0.08062     0.02649     0.01608    0.006341    0.006021    0.002499    0.005407    0.002253     0.00475    0.001988    0.001058    0.000441    0.000979    0.000406   0.0009617   0.0003834    0.001675   0.0006675
8568       0.258      0.1664      0.4873      0.3429      0.6981      0.4359      0.5435      0.2908      0.3004       0.145      0.1351     0.06577      0.0288      0.0146     0.01085    0.005619    0.009746    0.005054    0.008567    0.004453    0.001892       0.001    0.001748   0.0009239    0.001184   0.0007999    0.002061    0.001392
8585      0.5518     0.08845       1.198      0.2157       2.425       0.544       3.014       1.037       2.491       1.044        1.33      0.6201      0.3256      0.1646      0.1241     0.06416      0.1115     0.05776     0.09798     0.05082     0.02188     0.01149     0.02021     0.01062    0.004245    0.001366    0.007391    0.002378
8586       0.962       0.143        2.95       0.176       7.396      0.2245       9.791       0.429       8.082      0.5455       4.451       0.376       1.099      0.1089      0.4113      0.0427      0.3687      0.0384      0.3232     0.03375     0.07032      0.0075     0.06493    0.006925     0.01558    0.000695     0.02712    0.001215
8592       1.762      0.5675       2.747      0.0535       3.004        0.95       1.731       0.871      0.8293      0.4848      0.3049       0.193     0.06006     0.04024     0.02253     0.01532     0.02024     0.01374     0.01761     0.01221    0.003968    0.002656    0.003681    0.002451    0.004964    0.000589    0.008643    0.001026
8593      0.3254      0.1656      0.6893      0.3788       1.212      0.5325       1.159      0.4995      0.7899      0.3911      0.3886      0.2128     0.08702     0.05239     0.03311     0.02037     0.02975     0.01833     0.02616     0.01614    0.005862    0.003672    0.005415    0.003391    0.001925    0.000892    0.003352    0.001553
8595      0.6799      0.3165       1.432      0.6221       2.733       0.788       2.202      0.9015       1.316      0.6883      0.6045      0.3769      0.1345     0.09121     0.05124     0.03521     0.04606     0.03169     0.04049     0.02789    0.009096    0.006304    0.008408    0.005822     0.00378   0.0007385    0.006581    0.001286
8607      0.0917      0.0349      0.3076      0.1373      0.7632      0.4027       1.058      0.5997      0.9357      0.5704      0.5349      0.3429      0.1388     0.09289     0.05393     0.03676     0.04849     0.03311     0.04265     0.02916    0.009507    0.006554    0.008784    0.006056    0.001587   0.0008712    0.002763    0.001517
8612       1.059      0.7033         1.9        1.02       7.254         2.1       13.18         1.7       15.86        1.06       13.04       1.025       5.295       0.646       2.325      0.3705       2.103      0.3415       1.858       0.307      0.4187     0.07635      0.3865     0.07065     0.02263    0.003125      0.0394     0.00544
