# z_spec   ref_z_spec  
  -99.0    -99         
  1.017    21          
  0.9418   21          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.794    72          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  1.251    72          
  -99.0    -99         
  0.9715   21          
  -99.0    -99         
  0.683    72          
  -99.0    -99         
  3.905    72          
  -99.0    -99         
  0.9437   81          
  0.641    72          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.5739   21          
  0.942    81          
  -99.0    -99         
  0.4547   21          
  0.5556   21          
  -99.0    -99         
  -99.0    -99         
  1.153    21          
  1.155    81          
  -99.0    -99         
  -99.0    -99         
  0.679    81          
  -99.0    -99         
  1.247    72          
  1.152    21          
  -99.0    -99         
  -99.0    -99         
  -99.0    72          
  -99.0    -99         
  0.7718   21          
  1.0      81          
  -99.0    -99         
  -99.0    -99         
  0.445    21          
  -99.0    -99         
  -99.0    81          
  2.483    104         
  2.198    72          
  -99.0    -99         
  -99.0    -99         
  1.144    21          
  -99.0    -99         
  -99.0    -99         
  0.3767   21          
  0.4547   21          
  3.19     81          
  1.085    72          
  -99.0    -99         
  -99.0    -99         
  0.6605   81          
  -99.0    -99         
  0.748    72          
  0.3187   21          
  1.011    81          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  1.084    21          
  0.7435   81          
  -99.0    81          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.4866   21          
  0.7717   21          
  -99.0    -99         
  1.256    72          
  0.848    21          
  0.2995   21          
  0.4862   21          
  -99.0    -99         
  2.237    34          
  0.5078   21          
  -99.0    -99         
  1.2      81          
  0.6807   21          
  0.93     72          
  -99.0    81          
  0.6817   21          
  0.2714   21          
  -99.0    -99         
  -99.0    -99         
  2.198    72          
  0.4381   21          
  -99.0    -99         
  2.186    34          
  2.225    81          
  -99.0    -99         
  0.6407   23          
  0.2775   21          
  -99.0    -99         
  1.5      81          
  -99.0    -99         
  0.5291   21          
  -99.0    81          
  1.414    81          
  0.575    72          
  0.438    72          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.851    72          
  -99.0    -99         
  2.218    34          
  -99.0    -99         
  -99.0    -99         
  -99.0    81          
  -99.0    -99         
  1.306    21          
  0.5705   21          
  0.5128   21          
  0.9414   81          
  1.25     81          
  -99.0    -99         
  0.542    81          
  -99.0    -99         
  2.032    34          
  0.3551   21          
  1.013    21          
  -99.0    -99         
  -99.0    -99         
  0.3948   81          
  3.127    34          
  -99.0    -99         
  0.915    72          
  -99.0    -99         
  1.588    72          
  -99.0    -99         
  0.7783   21          
  1.812    72          
  -99.0    -99         
  0.5643   25          
  0.278    72          
  2.936    34          
  0.2537   21          
  0.3215   21          
  -99.0    72          
  -99.0    -99         
  2.133    34          
  -99.0    72          
  0.639    72          
  -99.0    -99         
  -99.0    -99         
  -99.0    72          
  -99.0    -99         
  1.249    72          
  1.988    81          
  -99.0    42          
  1.808    34          
  0.4844   21          
  0.945    12          
  1.787    34          
  -99.0    -99         
  1.333    72          
  -99.0    -99         
  1.145    81          
  0.7041   21          
  -99.0    -99         
  0.563    81          
  -99.0    -99         
  -99.0    -99         
  3.32     104         
  0.7779   21          
  0.514    72          
  0.6821   21          
  -99.0    -99         
  -99.0    -99         
  0.68     72          
  0.5024   21          
  0.173    81          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.909    72          
  0.4543   21          
  -99.0    -99         
  0.8508   81          
  2.319    104         
  -99.0    -99         
  -99.0    -99         
  1.02     34          
  0.4579   25          
  1.261    23          
  0.956    72          
  -99.0    -99         
  0.6806   23          
  0.4372   21          
  2.135    34          
  -99.0    -99         
  -99.0    -99         
  0.4574   21          
  1.142    21          
  0.975    21          
  -99.0    -99         
  0.503    21          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.5128   23          
  1.675    34          
  0.8489   21          
  0.4879   21          
  -99.0    -99         
  -99.0    -99         
  0.682    72          
  1.965    72          
  1.488    72          
  -99.0    -99         
  1.019    81          
  1.414    72          
  0.85     72          
  1.413    81          
  -99.0    -99         
  -99.0    81          
  -99.0    -99         
  -99.0    -99         
  0.5946   21          
  0.9438   21          
  1.246    81          
  -99.0    -99         
  -99.0    -99         
  3.229    34          
  0.3766   21          
  -99.0    -99         
  0.4842   23          
  -99.0    -99         
  0.941    81          
  -99.0    -99         
