#           _id            _ra            _de           zp_X            f24           df24            f16           df16           f100          df100           f160          df160           f250          df250           f350          df350           f500          df500           f850          df850          f1160         df1160          radio         eradio          _fch1         _dfch1          _fch2         _dfch2          _fch3         _dfch3          _fch4         _dfch4          KtotX          MassX          distX          spezX             zq         source   source_radio          distz            idz       goodArea
# 
            248    189.2747192     62.3834190           1.32          34.87          5.536            -99          1e+10       0.777698       0.332585        2.28524        1.54423            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          2.874          3.047            -99            -99           10.3          0.135           23.3          3.129          6.604           0.94          21.89          10.21         0.2428          1.363              1             23              1         0.1088             -1              0
            254    189.3492737     62.3831825            1.5          11.21          4.844      1.903e-07           11.1    1.50602e-05       0.424352    1.46628e-05        1.62239            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10           11.9           3.03          2.668          0.049          2.558          0.094          1.092           0.59          1.707          0.672          23.19           9.78         0.1668             -1            -99            -99              1          23.37            -99              0
            255    189.2914581     62.3830261           1.52          367.3          11.13          316.4          13.63        2.73086       0.315139        5.53023         1.0304     -0.0738978        3.16556            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          703.9           22.1          55.56          0.104          73.58          0.106          105.4          1.229          168.5          0.729           20.1          11.37        0.08549             -1              2             72              3        0.07323          25510              1
            256    189.3261261     62.3830528           2.51          486.6          13.46          98.05          12.68        2.43873       0.373803        7.96481        1.07287        13.0975        2.77417        12.7506        6.16072        13.5597        2.92119     5.1941e-42          1e+10        1.10137        1.02615          28.36          2.999          37.96          0.059          50.38          0.088          56.77          0.611          42.13          0.589          20.94          11.95         0.1338             -1             -1             45              1        0.02546          28480              1
            257    189.3730469     62.3830338           1.12          183.8           5.97            -99          1e+10        6.37382       0.508891        10.4505         1.4065        10.5763         1.7324        6.13069        2.60104            -99          1e+10     5.1941e-42          1e+10    2.12993e-10        1.00316          27.71          3.129          20.46          0.058          21.01          0.126          14.33          0.674          19.33          0.904          21.28          10.52        0.08549          2.431              1             72              1         0.1582             -1              0
            262    189.3527832     62.3826752           0.32          80.29          5.139          68.98          11.26      0.0326461       0.594961          2.504        1.82126            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10        -0.4211          3.015           30.4          0.054             20          0.098          20.28          0.588          11.29          0.683          20.07          8.678         0.1228             -1            -99            -99              1          26.09            -99              0
            264    189.3194275     62.3825989            2.5          49.52          3.938      1.903e-07          7.227         1.1261       0.334409      0.0605641       0.951376        5.42778        2.23445            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          7.078           3.02          2.222          0.054          2.727          0.082            6.3          0.645          2.421           0.59          23.43          10.54        0.06551             -1            -99            -99              1          11.27            -99              1
            270    189.2761230     62.3823051           1.39          31.62          5.976            -99          1e+10       0.508758       0.444686    1.46628e-05         1.7122            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          6.029          3.023          3.152          0.155          3.949          0.121          8.611          1.979           1.92          0.874          23.13           9.85         0.1447             -1            -99            -99              1          4.588            -99              0
            277    189.2606659     62.3821220           2.23          23.19          7.292            -99          1e+10       0.482557       0.319528      0.0409045        1.00799         3.5055        2.92754        4.21346         3.9861            -99          1e+10            -99          1e+10            -99          1e+10          7.733          3.023            -99            -99          1.381          0.169            -99            -99          1.091          1.187          23.41          10.26         0.1447             -1            -99            -99              1          23.84            -99              0
            288    189.3411255     62.3813171           0.43          81.24          4.415          62.09          18.02        1.75066       0.392798       0.347858        1.19833            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          6.167          3.051          20.68          0.051          18.62          0.086          15.28          0.564          26.07          0.593          20.06          10.11         0.0868             -1            -99            -99              1          25.82            -99              0
            289    189.3540192     62.3815117           3.15           45.3          5.898          11.35           15.5        1.24211       0.553111        1.18968        2.50285         8.0381        1.72758        7.49633        3.84948        1.83638        3.23555     5.1941e-42          1e+10    2.12993e-10        1.01676          8.312          3.075          7.374          0.048          8.591          0.094          10.57          0.564          10.97          0.665          22.26          10.96        0.03745             -1            -99            -99              1          28.76            -99              0
