# Origin_20cm     z_phot   ref_z_phot     z_spec   ref_z_spec                id__     chisq_tot        nfit_tot      chisq_star       nfit_star      chisq_dust        nfit_dust
  3               2.43     1              2.487    42                      9762         14.9044              14          2.4408               5         12.4636               7
  1               0.43     2              0.4589   21                      9781         10.0272               9     4.12656e-05               2         10.0272               5
  2               1.02     2              1.154    72                      9782         1.13209              10        0.595185               4          0.5369               4
  2               1.67     1              1.67     45                      9786         27.8029              12         1.42611               5         26.3768               6
  2               1.45     1              1.46     72                      9790         3.56653              13        0.572524               4         2.99401               7
  2               1.4      1              -99.0    -99                     9798         1.08258              12       0.0836649               4        0.998916               6
  1               1.18     2              0.513    72                      9813         4.62912              10       0.0771442               3         4.55198               5
  1               1.7      1              -99.0    72                      9821         4.09873              11         1.20216               5         2.89657               5
  2               0.72     1              0.7517   21                      9824         1.59989               8         0.71091               3        0.888977               3
  1               1.67     1              -99.0    -99                     9837         2.71729              11        0.655859               4         2.06143               5
  1               0.44     1              0.4754   21                      9846         0.64287               9       0.0247679               2        0.618102               5
  1               1.69     1              1.289    34                      9849         16.6774              11         5.25895               4         11.4185               5
  1               1.75     1              1.095    72                      9861         17.0085              11         3.50085               4         13.5076               5
  1               0.37     1              0.4226   21                      9862         3.45216               7       0.0137024               2         3.43846               3
  1               1.01     1              -99.0    72                      9879         35.3372               9         13.5023               3          21.835               4
  1               0.17     1              -99.0    -99                     9887         4.68279               8      0.00131027               2         4.68148               3
  1               1.46     1              1.515    81                      9891         5.62134              11        0.426102               4         5.19523               5
  2               1.01     1              0.9602   25                      9900         106.742              12         5.02123               4          101.72               6
  2               1.17     1              1.244    81                      9902         25.9408              11         4.91174               4          21.029               5
  1               3.03     2              -99.0    -99                     9916         29.5141              13         19.7176               5         9.79649               7
  2               1.16     1              -99.0    21                      9918         14.4959              11         1.06092               4          13.435               5
  1               0.82     1              0.7936   21                      9921          2.0808               8         1.49006               3        0.590738               3
  1               0.71     1              0.749    72                      9922         7.74303              11        0.769248               3         6.97378               6
  1               0.9      1              0.9585   25                      9927         4.68228              11        0.563907               4         4.11837               5
  1               0.49     1              0.511    81                      9928         2.16238               8       0.0190915               3         2.14329               3
  1               1.27     2              -99.0    -99                     9931        0.825266               7      0.00962867               3        0.815637               4
  1               2.13     1              1.142    34                      9954         14.6549              11         4.72793               4         9.92698               5
  1               0.83     1              0.8166   21                      9957         13.7741              10        0.707395               3         13.0667               5
  1               0.74     1              0.8159   21                      9958         1.62493              10         0.31487               3         1.31006               5
  1               1.55     2              -99.0    -99                     9964         1.40544               6       0.0164119               2         1.38902               4
  2               1.18     1              1.246    21                      9970         15.2408              13        0.189209               4         15.0516               7
  1               1.03     2              -99.0    -99                     9973         2.41555               9        0.130314               4         2.28524               4
  2               2.19     1              2.231    34                      9981         14.0884              12         9.02707               5         5.06132               5
  1               0.47     1              0.514    81                      9986         3.93468               9       0.0188521               3         3.91583               4
  1               -99.0    -99            -99.0    -99                     9988         3.99043               7               0               0         3.99043               6
  2               1.4      1              1.382    72                      9991         3.53188              11        0.687492               4         2.84439               5
  1               3.01     1              2.926    34                      9999         4.28802              12         2.11034               5         2.17768               5
  2               1.49     1              -99.0    81                     10002         27.9212              11         1.13982               4         26.7814               5
  1               0.5      1              0.5123   21                     10004         5.92145              10         0.53215               3          5.3893               5
  1               2.35     2              -99.0    -99                    10005         4.88988              14         0.11212               5         4.77776               7
  1               1.82     2              -99.0    -99                    10006         1.91327              11        0.269118               3         1.64415               6
  1               2.1      1              2.049    34                     10008         1.45202              12        0.951743               5        0.500282               5
  2               1.39     2              -99.0    -99                    10012         1.87573              11        0.254137               4         1.62159               5
  2               2.15     1              2.048    105                    10019          21.748              11         1.09409               5         20.6539               4
  1               0.95     1              -99.0    -99                    10026         5.04716              10       0.0323906               3         5.01477               5
  1               0.44     1              0.5116   21                     10027          5.6184              10         1.20903               3         4.40937               5
  1               1.05     2              -99.0    -99                    10029         1.31226               7        0.153288               3         1.15897               3
  1               0.41     1              0.4735   21                     10044           9.508              10      0.00123192               2         9.50677               6
  1               3.2      1              -99.0    -99                    10059         20.8817              16         13.5145               5         7.36722              10
  3               1.42     1              -99.0    -99                    10070         2.43964              12         1.72234               4        0.717309               6
  2               0.97     1              1.022    21                     10077         5.73153              11        0.199921               4         5.53161               5
  1               0.28     1              0.2859   21                     10084         21.7458              10       0.0240077               2         21.7218               5
  1               0.37     1              0.3364   21                     10090         8.12056               9     2.35086e-05               2         8.12054               5
  1               0.83     1              0.8405   81                     10093         14.6811              10        0.024259               3         14.6569               5
  1               1.01     1              1.015    21                     10107         9.31579              11         0.91199               4          8.4038               5
  1               -99.0    -99            -99.0    -99                    10109         15.0464              10               0               0         15.0464               8
  2               1.46     1              -99.0    -99                    10110         1.22132              13       0.0160928               4         1.20523               7
  1               1.02     1              -99.0    -99                    10111         2.54931               8       0.0668925               3         2.48242               3
  1               1.55     2              -99.0    -99                    10120         1.23447              10        0.159022               4         1.07544               5
  1               0.92     2              -99.0    -99                    10123         3.20043              10        0.126217               3         3.07421               5
  1               0.89     1              0.8848   81                     10126         1.15564               9       0.0345851               3         1.12106               4
  1               1.59     1              -99.0    -99                    10127         3.48215              14         0.68931               4         2.79284               8
  2               1.34     1              1.359    21                     10131         2.48177              10        0.724215               4         1.75755               4
  1               2.04     1              1.906    34                     10133          2.5571              12        0.644347               5         1.91275               5
  1               1.2      1              -99.0    -99                    10134         5.91287              11        0.537038               4         5.37584               5
  1               0.9      1              0.851    10                     10145         4.08443              10        0.279231               3          3.8052               5
  1               1.55     1              -99.0    72                     10149         1.66802              11        0.932395               4        0.735628               5
  1               0.29     1              0.2861   25                     10155         5.24256              12        0.277173               2         4.96539               7
  2               0.52     1              0.5561   21                     10159        0.104356               8       0.0111373               3       0.0932186               3
  2               0.99     1              0.851    72                     10162        0.974314               8        0.418582               3        0.555732               3
  1               1.13     1              1.146    4                      10175         2.25018              11        0.623737               4         1.62644               5
  1               1.01     1              1.015    72                     10177         2.89843               9         1.76184               4         1.13659               3
  1               1.53     1              -99.0    -99                    10181         5.40425              11         1.82325               4           3.581               5
  1               1.29     1              1.359    21                     10184         10.6152              12         2.81112               4         7.80408               6
  1               1.16     1              1.222    81                     10205         1.32699               9        0.568307               4        0.758679               3
  1               0.51     1              0.5105   21                     10206          2.7354              10        0.183517               3         2.55188               5
  2               0.94     2              1.001    81                     10222         2.85106               8       0.0284083               3         2.82265               4
  1               2.55     1              -99.0    -99                    10239         7.01554              13         3.27174               5          3.7438               6
  1               4.45     1              3.665    72                     10247         34.6508              15         21.5732               5         13.0776               8
  1               3.32     1              -99.0    -99                    10249          3.8531              12         1.52207               5         2.33102               6
  1               1.01     1              1.021    21                     10250         7.26025              11        0.476425               4         6.78382               5
  1               1.73     1              -99.0    -99                    10251         3.91816              11        0.154181               4         3.76398               5
  1               3.24     1              3.131    106                    10255         13.6744              13         8.74089               5         4.93347               7
  1               1.56     2              -99.0    -99                    10264         58.3169               8         47.6596               4         10.6573               3
  1               1.77     1              -99.0    -99                    10308         1.54446              12        0.107754               5          1.4367               5
  1               0.52     1              0.5344   21                     10311        0.314966               8       0.0169391               3        0.298027               3
  1               0.46     1              0.4742   21                     10315         5.84583               9       0.0107139               2         5.83511               5
  1               -99.0    -99            -99.0    -99                    10318        0.941894               6     2.19407e-20               1        0.941894               4
  1               1.21     1              1.245    81                     10326         6.06899              12        0.138295               4          5.9307               6
  1               1.32     1              1.314    81                     10327          1.0904              11        0.176354               4        0.914044               5
  1               0.43     1              0.4473   25                     10331         5.66677               8       0.0116432               2         5.65512               4
  2               0.1      2              -99.0    -99                    10335         76.4088               8     1.23301e-18               1         76.4088               5
  1               -99.0    -99            -99.0    -99                    10336         1.84751               5               0               0         1.84751               5
  3               0.48     1              0.4845   21                     10341         2.76665               8     1.72621e-05               2         2.76663               4
  1               0.28     1              0.9588   21                     10345         1.51909               9         1.00029               4        0.518798               3
  2               1.07     1              1.021    21                     10351         6.03241              11        0.291369               4         5.74104               5
  2               1.66     1              -99.0    -99                    10352         6.13817              14        0.419158               5         5.71902               7
  1               1.06     1              1.137    81                     10362         8.79781              11         1.77913               4         7.01868               5
  1               2.64     2              -99.0    -99                    10373         29.8264              14         13.4213               5         16.4051               8
  3               1.23     2              -99.0    -99                    10376         7.40633               8       0.0902648               2         7.31606               6
  1               1.84     1              2.386    72                     10390         8.62292              13         7.15577               5         1.46714               6
  1               0.92     2              0.9377   21                     10392        0.861587              10       0.0370382               4        0.824549               4
  2               0.89     2              -99.0    -99                    10393        0.672666               5       0.0195482               2        0.653118               3
  2               0.5      1              0.5338   21                     10402         27.8415               9        0.178606               3         27.6629               4
  1               -99.0    -99            -99.0    -99                    10408        0.445893               6               0               0        0.445893               4
  1               2.97     1              -99.0    -99                    10411          7.4635              14         2.29923               5         5.16428               7
  1               1.6      1              2.819    72                     10422         23.3623              11         22.5851               5         0.77722               4
  1               0.37     1              0.395    21                     10423         1.74134               9        0.299428               2         1.44191               5
  1               1.05     1              1.02     21                     10441         1.43025              11         1.01405               4        0.416207               5
  1               2.24     2              -99.0    -99                    10446         1.36313              11        0.720342               5        0.642788               5
  1               -99.0    -99            -99.0    -99                    10448         3.12574               7      0.00148905               2         3.12425               4
  1               0.97     1              0.9471   81                     10472         1.10741               9        0.230266               4        0.877147               3
  1               1.3      1              1.313    10                     10483         5.52363              11         1.01538               4         4.50825               5
  1               0.48     1              0.559    10                     10484         1.78558               8      0.00859426               3         1.77699               3
  1               0.75     1              0.7455   21                     10487         1.18166               7         0.24407               3         0.93759               2
  1               0.42     1              0.4114   21                     10493          22.681               9         2.95761               2         19.7234               5
  2               0.64     1              0.5562   25                     10495         21.7443               9       0.0944057               3         21.6499               4
  1               0.87     1              1.016    81                     10497         7.31995              10         4.20923               4         3.11073               4
  1               0.08     1              0.1049   21                     10514         16.4251               9     8.36152e-19               1         16.4251               5
  2               1.22     2              -99.0    -99                    10518        0.651965              12       0.0590439               4        0.592921               7
  1               0.83     1              0.849    72                     10521         2.80016              10        0.454276               3         2.34588               5
  2               0.87     1              0.96     72                     10523         4.46872               9         0.49473               4         3.97399               3
  1               1.61     1              1.878    34                     10525         9.94908              12         1.78869               5         8.16039               5
  1               1.01     1              1.02     10                     10532         2.58631              11        0.485109               4          2.1012               5
  1               1.0      1              1.018    81                     10539         20.4133              11        0.686511               4         19.7268               5
  1               0.76     2              0.7129   81                     10546         1.72769               9      0.00433228               3         1.72336               4
  1               1.75     1              -99.0    -99                    10550         2.72051              12         1.21055               5         1.50996               5
  1               0.55     1              0.4784   21                     10555          13.758               9       0.0014825               2         13.7566               5
  2               1.18     1              0.877    72                     10564         2.29792               9        0.146589               3         2.15133               4
  1               0.86     1              0.8395   25                     10582         27.9104              10       0.0512135               3         27.8592               5
  1               1.02     2              -99.0    -99                    10583         1.06445               6      0.00414587               2         1.06031               3
  1               1.52     2              -99.0    -99                    10585         6.71131              10         2.65863               4         4.05267               5
  3               2.98     1              -99.0    42                     10587         8.56938              13         2.27567               5         6.29371               7
  1               2.08     1              -99.0    -99                    10591         25.3702              12         11.6536               5         13.7167               5
  2               0.64     2              0.441    72                     10611          6.5248               9       0.0136686               2         6.51113               6
  1               2.7      1              -99.0    -99                    10640         3.25646              15       0.0687543               5         3.18771               8
  1               3.0      1              2.931    72                     10641         9.52448              12         2.24446               5         7.28002               5
  1               0.9      2              0.8389   21                     10642        0.520622               8        0.295202               3         0.22542               4
  1               0.89     2              -99.0    -99                    10643         1.21311               8       0.0246788               3         1.18843               4
  1               1.98     1              -99.0    -99                    10654          3.8884              12        0.613666               5         3.27474               5
  1               0.83     1              0.7784   21                     10656         17.2185              11        0.838131               3         16.3804               6
  1               1.17     1              -99.0    -99                    10659         2.20638              11         0.88991               4         1.31647               5
  1               -99.0    -99            -99.0    -99                    10661         1.24844               5      3.6426e-21               1         1.24844               3
  1               0.67     1              0.688    21                     10665           7.967              11         1.29455               3         6.67245               6
  1               1.0      1              0.846    81                     10669         1.18141               7        0.326928               3        0.854486               2
  1               1.47     1              1.488    72                     10670         3.13874              12        0.512374               4         2.62637               6
  1               0.89     1              0.899    21                     10674         2.20279               9        0.118349               3         2.08444               4
  1               0.43     1              0.4756   25                     10675         10.4708               8        0.194485               2         10.2763               4
  1               0.37     1              0.3965   81                     10676         6.17166               8       0.0148911               2         6.15677               4
  1               0.45     2              -99.0    -99                    10679        0.154089               6       0.0260542               2        0.128034               3
  1               0.85     1              0.8407   21                     10687         3.48604              10        0.285047               3         3.20099               5
  1               1.0      2              1.025    72                     10692         9.12695              11         1.62367               4         7.50328               5
  1               3.18     2              -99.0    -99                    10695         4.39157              14        0.871999               5         3.51957               7
  1               1.19     1              1.296    21                     10696         1.03953               9         0.47237               4        0.567161               3
  1               1.48     1              -99.0    -99                    10704         1.83682              11       0.0369541               4         1.79986               5
  2               1.25     2              -99.0    -99                    10705         1.84786              12        0.324357               4          1.5235               7
  1               2.62     1              -99.0    -99                    10710            14.5              13         6.23405               5         8.26594               6
  1               0.8      1              0.7524   21                     10714         4.35268              10        0.914115               3         3.43856               5
  1               1.94     1              -99.0    -99                    10715         7.14135              11        0.694972               5         6.44638               4
  1               2.09     1              2.033    34                     10719         3.26147              11         3.04693               5        0.214535               4
  1               0.9      2              -99.0    -99                    10723         2.95155               8        0.308527               3         2.64303               4
  2               0.48     2              0.44     72                     10725         1.73535               8       0.0295603               2         1.70579               5
  1               1.31     2              -99.0    -99                    10727         5.02547              10         1.98122               4         3.04425               5
  1               2.2      1              -99.0    -99                    10730         12.9951              13         3.38866               5         9.60647               6
  1               0.97     1              0.9605   81                     10738         3.07146              11        0.792452               4         2.27901               5
  1               0.86     1              0.853    81                     10739          2.4373              10        0.195497               3          2.2418               5
  2               2.29     1              -99.0    10                     10749         20.6458              11         2.42883               5          18.217               4
  2               1.97     1              1.996    42                     10750          12.662              14        0.857104               5         11.8049               7
  1               1.97     2              -99.0    -99                    10754         3.17483              10        0.430213               5         2.74461               4
  1               0.51     1              0.484    10                     10763         2.19323               6      0.00478376               2         2.18845               2
  1               1.16     1              1.244    72                     10780         4.41678              11        0.353302               4         4.06347               5
  1               1.55     1              -99.0    -99                    10783         9.21239              10          1.2048               5         8.00759               4
  1               2.57     2              -99.0    -99                    10788         23.6943              13         20.2433               5         3.45102               7
  1               1.42     2              -99.0    -99                    10789         3.63874               9         1.91955               4          1.7192               4
  1               0.77     1              0.7471   21                     10794         5.86213              10     0.000452035               3         5.86168               5
  1               2.15     2              -99.0    -99                    10805         9.22126              10         8.62073               5        0.600538               3
  2               0.5      1              0.4362   21                     10808         3.92423               8       0.0571371               2         3.86709               4
  1               1.44     1              1.295    72                     10829         1.07169               9       0.0747154               4         0.99698               3
  1               0.87     1              0.8903   21                     10853         5.99574              10       0.0137573               3         5.98198               5
  1               1.72     1              -99.0    -99                    10855         4.18133              11          0.6831               5         3.49823               5
  1               2.69     1              -99.0    -99                    10861         1.82979              13        0.483683               5         1.34611               6
  1               1.17     1              1.223    81                     10866         4.08417              11        0.306644               4         3.77752               5
  1               0.9      2              -99.0    -99                    10869         8.89764              10         1.79566               3         7.10198               5
  1               1.29     2              -99.0    -99                    10870         3.49553              11        0.214523               4           3.281               5
  1               1.0      1              1.022    21                     10879         4.67545              10        0.136217               4         4.53923               4
  1               1.09     2              1.004    23                     10884         3.03725               9        0.615091               4         2.42216               4
  1               0.31     1              0.3208   21                     10894         1.71131               9        0.814028               2        0.897282               5
  1               3.18     1              -99.0    -99                    10898         8.51395              13          3.4298               5         5.08414               7
  2               2.04     1              1.996    42                     10909         26.5146              14         2.72993               5         23.7847               7
  1               0.08     1              0.1045   81                     10911         8.59704               9     6.26397e-22               1         8.59704               5
  1               -99.0    -99            -99.0    -99                    10916         15.7646              12               0               0         15.7646              10
  1               2.44     1              -99.0    -99                    10922         4.81539              12         3.29095               5         1.52444               5
  1               -99.0    -99            -99.0    -99                    10931         2.83829               5     6.27962e-21               1         2.83829               3
  1               1.87     1              1.875    34                     10942         5.57365              12         2.15412               5         3.41954               5
  1               1.62     1              -99.0    -99                    10951         3.49997              11       0.0905534               4         3.40942               5
  1               1.39     1              1.461    72                     10954         4.73524               8          0.3244               4         4.41084               2
  1               0.87     1              1.008    81                     10965         5.28467              11        0.424974               4          4.8597               5
  2               1.25     1              -99.0    81                     10966         1.48064               9           1.281               4        0.199641               3
  1               0.31     1              0.41     4                      10970         4.22755               7        0.133797               2         4.09375               3
  1               0.95     1              0.9737   25                     10976         1.79802               9         1.12871               4        0.669312               4
  1               2.54     1              2.554    104                    10992          1.6703              12        0.477002               5         1.19329               5
  1               0.88     2              0.806    81                     10994         3.20673               8        0.133958               3         3.07277               4
  1               1.0      1              -99.0    81                     11002         2.56594              11         0.47999               3         2.08595               6
  1               0.45     1              0.4757   25                     11006         3.28889               7      0.00580447               2         3.28308               3
  3               1.77     2              -99.0    -99                    11012          21.883               9        0.981967               4          20.901               4
  2               2.48     1              -99.0    -99                    11013         18.6348              15        0.490551               5         18.1443               8
  1               0.21     1              0.2008   21                     11019         1.30998               8         1.13548               2        0.174502               3
  1               0.46     1              -99.0    -99                    11046        0.543749               9        0.014407               2        0.529342               5
  2               0.91     1              0.845    4                      11052         2.48099               9        0.264053               3         2.21693               4
  2               2.95     1              -99.0    -99                    11053         9.67679              12         6.02856               5         3.64823               6
  1               1.98     2              -99.0    -99                    11060          2.8942              11         1.35626               5         1.53794               4
  1               0.47     1              0.4546   21                     11063         1.24849               8      0.00111218               2         1.24737               4
  1               0.78     1              0.799    72                     11076         2.42719              10        0.304756               3         2.12243               5
  1               0.55     1              0.5131   21                     11086        0.957278               7       0.0189791               3        0.938299               2
  2               1.21     2              -99.0    -99                    11093        0.436803              10      0.00194871               4        0.434854               4
  1               1.32     1              1.381    81                     11096         11.0571              12        0.404195               4         10.6529               6
  1               2.52     1              -99.0    -99                    11097         18.8823              12         14.1653               5         4.71695               5
  1               0.98     1              0.9699   81                     11109         4.02185               9         1.28719               4         2.73466               4
  1               0.99     2              -99.0    -99                    11110         4.10043               9       0.0905479               3         4.00988               5
  1               1.18     1              1.241    81                     11120         12.8778              10         2.28013               4         10.5976               4
  1               1.7      1              -99.0    -99                    11128         4.27062               9        0.250551               4         4.02007               3
  1               2.19     1              2.398    85                     11137         7.41118              14         2.41561               5         4.99557               7
  1               0.79     1              0.7529   21                     11140         2.62442              10        0.771336               3         1.85309               5
  1               0.86     2              -99.0    -99                    11146          4.6531               9        0.207449               3         4.44566               5
  2               1.19     1              1.24     81                     11154         4.38543              12        0.280527               4          4.1049               6
  1               2.7      1              -99.0    -99                    11158         9.14593              12         6.40323               5         2.74269               6
  1               1.49     1              1.598    72                     11159          7.0433              12        0.442393               4         6.60091               6
  1               2.15     1              -99.0    72                     11164         1.42206              12        0.698068               5        0.723996               5
  2               0.83     1              0.8493   81                     11165        0.666488               8         0.14549               3        0.520998               3
  1               1.86     1              1.871    34                     11180          3.6214              12         0.85801               5         2.76339               5
  1               2.17     1              -99.0    -99                    11182         3.24161              12         2.90941               5        0.332195               5
  1               0.95     1              0.9544   81                     11183         1.53616              10        0.513617               4         1.02254               4
  1               3.21     1              -99.0    -99                    11194          31.053              15          10.756               5          20.297               8
  1               1.47     1              1.521    21                     11201         5.58801              10        0.939159               4         4.64885               4
  1               1.01     1              1.016    21                     11211        0.921642              11        0.491685               4        0.429956               5
  2               0.91     2              0.911    81                     11230         61.0971               8          7.3107               3         53.7864               4
  2               4.24     2              -99.0    -99                    11234         32.2939              14         24.7292               5         7.56473               7
  1               1.91     1              -99.0    -99                    11235         7.13259              11         6.46749               5          0.6651               5
  1               1.87     1              -99.0    -99                    11237         2.41351              11        0.294242               5         2.11927               5
  1               2.27     1              2.492    105                    11238         5.87202              12         5.42726               5        0.444759               5
  1               2.28     1              -99.0    -99                    11241         11.6075              16        0.563653               5         11.0438               9
  1               0.58     1              0.635    21                     11242         7.46372              10        0.339438               3         7.12428               5
  1               0.91     1              -99.0    -99                    11244         13.6724              10        0.625016               3         13.0474               5
  2               0.49     1              0.4745   21                     11245         1.70444               7     0.000159405               2         1.70429               3
  1               0.43     1              0.4758   21                     11246         3.47668               9     0.000617994               2         3.47606               5
  1               1.55     1              -99.0    -99                    11249         4.91383              11          2.7067               4         2.20713               5
  1               0.95     1              0.9334   81                     11251         2.09478              11       0.0585616               4         2.03622               5
  1               0.97     2              -99.0    -99                    11256         1.01714               6      0.00777965               2         1.00936               3
  1               0.83     1              0.845    10                     11262         3.44123              10        0.144664               3         3.29656               5
  1               2.5      1              -99.0    -99                    11276         9.00458              13         2.35475               5         6.64982               6
  1               2.16     2              -99.0    -99                    11281          18.561              12         10.2147               4         8.34627               7
  2               0.93     1              0.9544   21                     11289         92.3066              11        0.723406               4         91.5832               5
  1               1.31     2              -99.0    -99                    11296         4.34341               9       0.0348608               4         4.30855               4
  1               2.45     1              -99.0    -99                    11298         6.78234              12         2.34189               5         4.44046               5
  2               3.09     1              2.929    34                     11303         9.71938              14          2.9648               5         6.75458               7
  1               2.16     1              -99.0    -99                    11306         6.11428              12         5.47628               5        0.637998               5
