# Origin_20cm     z_phot   ref_z_phot     z_spec   ref_z_spec                id__     chisq_tot        nfit_tot      chisq_star       nfit_star      chisq_dust        nfit_dust
  1               1.99     1              -99.0    -99                      872         3.09913              12        0.472216               5         2.62691               5
  1               1.45     2              -99.0    -99                      877         11.8455               7     5.95662e-18               1         11.8455               5
  1               0.22     1              0.2755   21                       878         2.55911              11      0.00511507               2           2.554               6
  1               2.15     2              -99.0    -99                      881         4.50443              12         1.35952               5         3.14491               5
  1               3.93     2              -99.0    -99                      884         33.0083              13         13.6866               5         19.3218               7
  2               0.14     1              0.9032   21                       885         4.62048               8         1.87199               3          2.7485               3
  1               0.43     1              0.475    72                       886         2.17031               9        0.599876               2         1.57044               5
  1               1.34     2              1.45     72                       892         2.61962               8        0.152079               3         2.46754               4
  2               0.99     1              0.94     81                       893         3.27812              10        0.130703               4         3.14742               4
  1               0.59     2              -99.0    -99                      899         4.70843               9        0.932914               2         3.77552               5
  1               1.01     1              0.962    72                       902        0.715267              10        0.166221               4        0.549046               4
  3               2.51     2              2.635    34                       915         17.1962              14         14.2571               5          2.9391               7
  1               1.5      2              -99.0    -99                      917         7.59767               9       0.0218482               2         7.57583               6
  1               1.81     2              -99.0    -99                      922         3.88774              11         1.54077               5         2.34697               5
  1               1.92     2              -99.0    -99                      923         1.06235              12        0.471063               5        0.591284               6
  1               0.51     2              -99.0    -99                      924         6.15253               7        0.030595               2         6.12193               4
  1               1.6      1              -99.0    -99                      926         22.7089              12          9.4873               5         13.2216               6
  1               0.91     2              -99.0    -99                      928         20.5202              10         1.28311               3          19.237               5
  1               0.75     2              -99.0    -99                      931         4.02554               8       0.0751292               2         3.95041               5
  1               0.73     2              0.7078   21                       934         1.19089              10      0.00260078               3         1.18828               5
  1               0.94     2              1.032    72                       937         6.14626               9        0.312077               4         5.83418               4
  2               0.95     1              0.947    72                       939         3.45818              10        0.218985               4          3.2392               4
  1               2.87     1              -99.0    -99                      950         16.9344              12         6.30836               5          10.626               6
  1               0.27     1              -99.0    21                       951         11.0485              10       0.0434982               2          11.005               6
  1               0.38     2              -99.0    -99                      960         1.18583               6     1.60484e-19               1         1.18583               4
  1               1.39     1              -99.0    72                       965          5.6341              12         1.43582               4         4.19828               6
  1               1.22     1              1.303    81                       966         12.1313              11        0.841351               4           11.29               5
  1               0.26     1              -99.0    -99                      972          5.1689               9     0.000474979               2         5.16842               5
  1               5.73     1              -99.0    -99                      974         24.7304              13         12.8126               6         11.9178               7
