#       id       zspec       zbest       ubest       chi2_min     S_chi2_min     R_chi2_min
# 
      1005    -1.00000     2.57280      45.000       14.80392         9.3881       5.415821
      1006     0.94600     0.94600       6.100       2.748624      0.1785962       2.570027
      1008     1.02900     1.02900       6.100      0.9482276      0.3524438      0.5957837
      1023    -1.00000     2.38580      18.000       3.447709      0.7999354       2.647773
      1026    -1.00000     1.76263      25.000       4.341957       2.878308       1.463649
      1035     0.77780     0.77780       4.900       6.865453       3.110514       3.754938
      1036    -1.00000     4.36648     101.000       24.81457       8.433028       16.38154
      1037     0.77030     0.77030       4.900       4.416517      0.5959822       3.820535
      1042     1.06000     1.06000      18.000       10.66308       3.409732       7.253345
      1053    -1.00000     2.15217      40.000       4.034189       1.087973       2.946216
      1058     1.03800     1.03800      12.100         10.327        2.37652       7.950477
      1064    -1.00000     0.58690      12.100      0.6128838   0.0004760883      0.6124077
      1075    -1.00000     0.99460       6.100       2.879632      0.4335804       2.446052
      1076    -1.00000     1.46610     101.000       13.22908        7.68426       5.544821
      1077     0.93800     0.93800       6.100       3.891204      0.9116343        2.97957
      1081    -1.00000     0.33930       4.900       1.087342   3.651967e-19       1.087342
      1084     1.14400     1.14400       6.100       2.019906      0.4906759        1.52923
      1089    -1.00000     0.96180       6.100      0.9825892     0.05397336      0.9286159
      1091    -1.00000     2.39194      45.000       15.59885       15.13818      0.4606694
      1094     3.53000     3.53000     101.000       22.19286       20.80471       1.388149
      1101    -1.00000     0.92190      14.500       4.557459       3.388864       1.168595
      1102     0.47240     0.47240     101.000       3.699446     0.05458684       3.644859
      1103     1.36300     1.36300      14.500        1.43375      0.5903323      0.8434178
      1104     0.59480     0.59480      12.100      0.1800787     0.07362918      0.1064495
      1105     0.94410     0.94410       9.700       1.329188      0.6367253      0.6924627
      1109    -1.00000     2.20100      14.500       13.76544      0.2304122       13.53503
      1113     1.45700     1.45700      18.000       14.11154       5.318602        8.79294
      1118     0.38660     0.38660       3.300       3.411678     0.07742595       3.334252
      1121     0.79970     0.79970      14.500       113.2762       3.554566       109.7216
      1123    -1.00000     2.90390      25.000        5.37459       2.136219       3.238371
      1125     1.02300     1.02300       6.100       1.987222      0.4554032       1.531819
      1129    -1.00000     2.62000     101.000       9.554955       6.811792       2.743163
      1133     0.25380     0.25380       6.100       5.976505       0.230159       5.746346
      1135    -1.00000     0.14100     101.000       74.54408   3.580757e-18       74.54408
      1140    -1.00000     0.34680       9.700       2.124333    0.006043139        2.11829
      1141    -1.00000     1.24380      12.100      0.4333404     0.01132035      0.4220201
      1143     0.28040     0.28040       2.200       1.078017    0.006422875       1.071594
      1144    -1.00000     1.18321      18.000       1.297741     0.04303599       1.254705
      1146    -1.00000     4.00100     101.000       12.22992       5.183164       7.046754
      1147    -1.00000     1.34136     101.000       2.821546      0.2630077       2.558539
      1148    -1.00000     3.55620      45.000       19.88052       4.127911        15.7526
      1150     1.36400     1.36400      25.000       0.794937      0.5996875      0.1952495
      1159    -1.00000     3.25100      25.000       16.60361        8.21592       8.387686
      1160    -1.00000     2.38772      45.000       3.044114       2.091983      0.9521318
      1167     2.92000     2.92000     101.000       29.53627       21.78472       7.751555
      1168    -1.00000     2.10100      18.000       4.925266       2.399566       2.525699
      1172    -1.00000     1.14127       6.100       1.834037     0.01146312       1.822574
      1181    -1.00000     1.67734      25.000       2.185029       1.113031       1.071998
      1186    -1.00000     1.61498       9.700       1.251253     0.04337007       1.207883
      1202    -1.00000     1.62080      25.000       8.443839       4.243954       4.199885
      1208    -1.00000     1.46482      18.000       13.23681       6.536782       6.700023
      1221    -1.00000     1.09650       6.100       1.323501      0.7243967      0.5991043
      1222    -1.00000     0.84180     101.000       4.708297      0.5608617       4.147435
      1225    -1.00000     0.51410       3.300       15.55796     0.03861877       15.51935
      1235     0.89190     0.89190      14.500       1.163572     0.02365591       1.139916
