# id    ra            dec          zSpec    zQuality   zssn  
  827   189.2061768   62.3618965   -1.0     -1         81    
  837   189.2444      62.3619041   -1.0     -999       -99   
  841   189.261322    62.3610649   -1.0     -999       -99   
  849   189.4071808   62.3612175   -1.0     -99        -99   
  860   189.3477173   62.3608589   -1.0     -99        -99   
  866   189.2744446   62.3608513   -1.0     -1         81    
  867   189.3383179   62.3607712   -1.0     -99        -99   
  870   189.421875    62.3605881   0.84     1          72    
  872   189.2888184   62.3606453   -1.0     -99        -99   
  877   189.4564056   62.3604698   -1.0     -99        -99   
  878   189.3061218   62.3603477   0.2755   1          21    
  881   189.3842621   62.3599205   -1.0     -99        -99   
  884   189.2482452   62.360218    -1.0     -99        -99   
  885   189.2761383   62.3601532   0.9032   1          21    
  886   189.2861938   62.3601189   0.475    1          72    
  892   189.2158661   62.3599014   1.45     1          72    
  893   189.2816772   62.3599548   0.94     -1         81    
  899   189.3998718   62.3593521   -1.0     -99        -99   
  902   189.2283478   62.3593483   0.962    1          72    
  915   189.2552795   62.3590889   2.635    1          34    
  917   189.4455261   62.3588676   -1.0     -99        -99   
  922   189.4048157   62.3588448   -1.0     -99        -99   
  923   189.4172668   62.3588448   -1.0     -99        -99   
  924   189.2132568   62.3587952   -1.0     -99        -99   
  926   189.272049    62.3591003   -1.0     -99        -99   
  928   189.3641663   62.3588371   -1.0     -99        -99   
  931   189.2063446   62.3585205   -1.0     -99        -99   
  934   189.3760834   62.3582878   0.7078   1          21    
  937   189.4394379   62.3580322   1.032    1          72    
  939   189.2743835   62.3582878   0.947    1          72    
  950   189.2413788   62.3579826   -1.0     -99        -99   
  951   189.2402344   62.3573418   -1.0     2          21    
  960   189.4514313   62.3576126   -1.0     -99        -99   
  965   189.2866364   62.3575745   -1.0     3          72    
  966   189.2960663   62.3573341   1.303    -1         81    
  972   189.2264709   62.3574753   -1.0     -99        -99   
  974   189.2309418   62.3574486   -1.0     -99        -99   
  994   189.4542389   62.3570633   -1.0     -99        -99   
  995   189.2989197   62.3567123   1.306    1          21    
  1002  189.2170105   62.3566551   0.948    1          72    
  1005  189.2657776   62.3562546   -1.0     -99        -99   
  1006  189.2728271   62.3565483   0.946    1          72    
  1008  189.3099976   62.3564682   1.029    1          21    
  1023  189.4241791   62.3558044   -1.0     -99        -99   
  1026  189.3182068   62.3561249   -1.0     -99        -99   
  1035  189.3410339   62.3554649   0.7778   -1         81    
  1036  189.4195862   62.3555298   -1.0     -99        -99   
  1037  189.2053833   62.3553391   0.7703   -1         81    
  1042  189.3338013   62.3553963   1.06     1          21    
  1053  189.2781067   62.3548889   -1.0     2          21    
  1058  189.3066101   62.3549767   1.038    1          21    
  1064  189.1933899   62.3545952   -1.0     -99        -99   
  1075  189.2803345   62.3543167   -1.0     3          72    
  1076  189.3115997   62.3543472   -1.0     -99        -99   
  1077  189.3101196   62.3533936   0.938    -1         81    
  1081  189.4641571   62.3542709   -1.0     -99        -99   
  1084  189.3170776   62.3541145   1.144    -1         81    
  1089  189.4220581   62.3539734   -1.0     -99        -99   
  1091  189.3377838   62.3535805   -1.0     -99        -99   
  1094  189.3489838   62.3535538   3.53     1          21    
  1101  189.444809    62.3533287   -1.0     -99        -99   
  1102  189.2233887   62.3532143   0.4724   1          21    
  1103  189.2759247   62.3532333   1.363    -1         81    
  1104  189.2815094   62.3533249   0.5948   -1         81    
  1105  189.2887268   62.3530083   0.9441   1          21    
  1109  189.1812439   62.353302    -1.0     -999       -99   
  1113  189.3676147   62.3530884   1.457    1          72    
  1118  189.1958466   62.3527641   0.3866   -1         81    
  1121  189.2545471   62.3526649   0.7997   1          21    
  1123  189.3214417   62.3526955   -1.0     -99        -99   
  1125  189.4287415   62.352562    1.023    1          72    
  1129  189.2332153   62.3526688   -1.0     -99        -99   
  1133  189.388855    62.3525162   0.2538   1          21    
  1135  189.2706604   62.3524666   -1.0     -99        -99   
  1140  189.4312134   62.3525734   -1.0     -99        -99   
  1141  189.4544067   62.3523369   -1.0     -99        -99   
  1143  189.3634644   62.3521118   0.2804   1          21    
  1144  189.3701477   62.3521194   -1.0     -99        -99   
  1146  189.4463348   62.3524399   -1.0     -999       -99   
  1147  189.2106171   62.3520393   -1.0     -99        -99   
  1148  189.2302856   62.3521156   -1.0     -99        -99   
  1150  189.2776794   62.3521805   1.364    1          21    
  1159  189.2011871   62.3519135   -1.0     -99        -99   
  1160  189.3256378   62.3518677   -1.0     -99        -99   
  1167  189.2561798   62.3520966   2.92     1          72    
  1168  189.2552338   62.3516808   -1.0     3          72    
  1172  189.425293    62.351738    -1.0     -99        -99   
  1181  189.2866669   62.3514214   -1.0     -99        -99   
  1186  189.1871185   62.3515167   -1.0     -99        -99   
  1202  189.3518982   62.3503265   -1.0     -99        -99   
  1208  189.3287811   62.3499756   -1.0     -99        -99   
  1221  189.3605499   62.3504486   -1.0     -99        -99   
  1222  189.3667145   62.3504715   -1.0     -99        -99   
  1225  189.4537506   62.3502693   -1.0     -99        -99   
  1235  189.1815948   62.3501129   0.8919   1          23    
  1239  189.4135437   62.3498726   0.836    1          72    
  1248  189.4335785   62.3496819   -1.0     -99        -99   
  1252  189.2584076   62.3496742   -1.0     3          72    
  1253  189.2932281   62.3496437   -1.0     -99        -99   
  1262  189.1798553   62.3496361   -1.0     -99        -99   
  1269  189.1877136   62.3494072   -1.0     -99        -99   
  1270  189.3570709   62.3491821   1.083    1          21    
  1273  189.2141571   62.3482475   0.7441   1          21    
  1278  189.3201599   62.3490601   -1.0     -99        -99   
  1284  189.298172    62.3483315   -1.0     -99        -99   
  1285  189.3126831   62.3489571   -1.0     -99        -99   
  1293  189.2520142   62.3486023   0.7939   1          21    
  1303  189.289444    62.3484001   0.6335   1          21    
  1306  189.3352203   62.3483696   -1.0     1          72    
  1313  189.4487762   62.3480988   -1.0     -99        -99   
  1315  189.2279968   62.3480988   -1.0     -99        -99   
  1320  189.3660431   62.3474159   -1.0     -99        -99   
  1334  189.3443146   62.3475952   -1.0     3          72    
  1335  189.3721771   62.3474998   -1.0     -99        -99   
  1337  189.4335632   62.3474998   -1.0     -99        -99   
  1338  189.2553558   62.3474998   1.358    -1         81    
  1341  189.3008118   62.3472824   1.008    -1         81    
  1342  189.33255     62.3474159   -1.0     -99        -99   
  1348  189.3166809   62.3472748   -1.0     -1         81    
  1350  189.1792603   62.347187    -1.0     -99        -99   
  1355  189.438736    62.3470001   -1.0     -99        -99   
  1357  189.2360229   62.34692     1.365    -1         81    
  1367  189.2252655   62.3467674   1.787    1          34    
  1368  189.2393341   62.3468246   -1.0     -99        -99   
  1369  189.2883453   62.3466949   -1.0     -99        -99   
  1371  189.3259888   62.3466072   1.037    -1         81    
  1384  189.4362793   62.3465004   -1.0     -99        -99   
  1387  189.4691467   62.3467293   -1.0     -999       -99   
  1391  189.2823639   62.3463707   1.038    2          21    
  1393  189.4270782   62.3464012   -1.0     -99        -99   
  1394  189.4681396   62.3462029   0.2995   -1         81    
  1396  189.2452698   62.3463135   -1.0     -1         81    
  1401  189.3599243   62.3463898   -1.0     -99        -99   
