#   SAVEDid       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160       xfRad       xeRad      xf2000      xe2000
#
242      0.3805      0.2991      0.8178      0.7732       1.114       1.097      0.9472      0.9398      0.5139      0.5111      0.1269      0.1264     0.04832      0.0481    0.002181     0.00218    0.008456    0.008414
245      0.9355      0.5885       1.474       0.736       1.167      0.5091      0.6759      0.3099      0.3032      0.1587     0.06398     0.03722     0.02423     0.01454    0.003974     0.00225    0.004254    0.002635
247      0.2352      0.2308      0.2921      0.2907      0.1633      0.1629     0.07532     0.07518     0.02779     0.02774     0.00556     0.00555    0.002082    0.002082    0.000831    0.000831   0.0003706   0.0003705
248      0.8271        0.44       1.687      0.7574       1.677      0.7137       1.208      0.5153      0.6043      0.2758      0.1387      0.0669      0.0521     0.02554    0.004221    0.002028    0.009035    0.004505
254      0.3191      0.2898      0.6708      0.6542      0.7419      0.7351       0.554       0.551      0.2758      0.2748     0.06271     0.06249      0.0231     0.02301    0.001709    0.001709    0.003893    0.003876
255       3.451       0.247       4.557       0.303       3.835        0.74        2.58       0.715       1.203      0.3968      0.2641     0.09755     0.09914     0.03746    0.007738    0.001927     0.01739    0.006615
256       2.684      0.8515        8.75       0.759       14.77       0.865       15.44       1.645       11.69        1.75       3.858      0.7495       1.566       0.329     0.02629     0.00173      0.2733      0.0606
257       6.931      0.9935       11.01        0.44       13.18       0.435       11.55        0.57       7.687      0.4765       2.236      0.1535      0.8705      0.0604     0.02221    0.001765      0.1494      0.0103
262      0.4335      0.3837      0.6948      0.6762      0.5469      0.5411      0.3002      0.2981      0.1202      0.1194     0.02485      0.0247    0.009449    0.009391     0.00156     0.00156    0.001652    0.001652
264      0.9656      0.6114       2.099       0.371        3.19       0.572       3.414       1.021       2.638      0.9855      0.9019      0.3952      0.3714      0.1706    0.005592    0.001264     0.06508     0.03066
270      0.4527      0.3584      0.9126      0.8394       1.224       1.171       1.044       1.019      0.5723      0.5627      0.1437      0.1417     0.05493     0.05417    0.002345    0.002345    0.009625    0.009475
277      0.6694      0.2902       1.751       0.157       2.657       0.511       2.597       0.804       1.798      0.7665      0.5424      0.2812       0.214      0.1162    0.004874   0.0008325     0.03703     0.02054
288       1.548      0.6635       1.834      0.9443       1.338      0.9374      0.7289      0.5631      0.2928      0.2384     0.06041     0.05079     0.02295     0.01944    0.005764    0.002642    0.004049    0.003396
289       1.499      0.9883       3.502       1.385       5.878       0.943       6.394       0.697       5.309      0.7425       2.244       0.422        1.01      0.2049    0.008186    0.001588      0.1837     0.03755
309      0.6697      0.5833       1.288      0.9596       1.985       1.219       2.148       1.791       2.067       1.938         1.3       1.277      0.6982      0.6898    0.004583    0.001223      0.1536      0.1521
314      0.8246      0.5844       1.334       1.007      0.9704      0.8166      0.5178      0.4547       0.204      0.1822     0.04186     0.03769     0.01587     0.01435    0.003042    0.002261    0.002793    0.002511
316      0.1968     0.07835      0.5652      0.2006       0.815       0.357      0.7475      0.3655      0.4745      0.2494      0.1427      0.0844     0.05611     0.03419    0.001497   0.0006306    0.009715    0.005985
317       1.817      0.5225       2.682       1.079        1.91      0.9999       1.012      0.5889      0.3967      0.2468     0.08075     0.05246     0.03058     0.02011     0.00673    0.001988    0.005375    0.003529
330      0.3938       0.137       1.219       0.067       2.035       0.446       2.103      0.7045        1.55      0.6663      0.4977      0.2581      0.2004      0.1094    0.003765   0.0007215     0.03492     0.01947
337   1.871e-09   1.871e-09   2.443e-09   2.443e-09   2.314e-09   2.314e-09   1.633e-09   1.633e-09   8.555e-10   8.555e-10   2.298e-10   2.298e-10   9.215e-11   9.215e-11   2.793e-20   2.793e-20   1.798e-11   1.798e-11
339      0.3699      0.3372      0.5339      0.5191      0.4974      0.4922      0.3492      0.3472      0.1778      0.1771     0.04147     0.04132     0.01592     0.01586    0.001444    0.001444    0.002827    0.002837
340       0.442      0.2552      0.8648      0.4642       1.029      0.6317      0.8392      0.5569      0.4399      0.3064      0.1056     0.07635     0.03996     0.02915    0.002118    0.001263    0.006971    0.005109
343      0.9907      0.5524       1.667      0.8727       1.683       1.016       1.096      0.7126      0.5103      0.3484      0.1097     0.07764     0.04147      0.0297    0.004031    0.002442    0.007221    0.005349
