# _id    _ra           _de          zp_X   f24        df24    radio      eradio   _fch1    _dfch1   _fch2    _dfch2   _fch3    _dfch3   _fch4    _dfch4   spezX   KtotX   MassX   zq    source   distz     idz     goodArea  
# 
  2912   189.1591644   62.3166313   5.2    0.0317     6.702   2.793      2.643    0.653    0.037    0.698    0.061    1.113    0.421    0.241    0.452    -1.0    25.43   10.86   -99   -99      8.307     -99     1         
  3133   189.3358765   62.3130112   3.43   9.989      4.946   3.251      2.719    2.699    0.038    2.998    0.068    2.635    0.422    3.176    0.485    -1.0    23.36   10.51   -99   -99      3.979     -99     1         
  3156   189.4608154   62.3128548   4.31   -0.553     6.378   1.937      2.874    0.514    0.039    0.641    0.071    0.469    0.455    0.344    0.515    -1.0    25.18   10.46   -99   -99      10.65     -99     1         
  3272   189.2176971   62.3109283   2.91   9.24       5.843   1.331      2.624    2.222    0.037    2.541    0.065    2.588    0.413    2.748    0.47     -1.0    23.59   10.71   -99   -99      4.503     -99     1         
  3286   189.1660461   62.3108864   3.93   8.297      5.414   -0.01661   2.64     1.487    0.033    1.806    0.054    2.404    0.366    3.266    0.402    -1.0    -99.0   10.94   -99   -99      7.708     -99     1         
  3366   189.3769989   62.3096542   3.04   3.24       6.779   2.033      2.681    1.375    0.038    1.818    0.066    2.233    0.412    3.425    0.469    -1.0    23.45   10.36   -99   -99      6.087     -99     1         
  3389   189.3628387   62.3092422   2.83   4.266      6.187   2.273      2.743    1.37     0.037    1.272    0.066    0.586    0.414    0.629    0.469    -1.0    23.74   10.04   -99   -99      7.858     -99     1         
  3416   189.191803    62.3090668   3.02   5.57       6.563   2.047      2.576    2.99     0.036    3.081    0.055    3.92     0.37     3.618    0.408    -1.0    23.28   10.39   -99   -99      3.667     -99     1         
  3436   189.3128967   62.3086014   3.56   12.12      6.314   1.529      2.731    1.365    0.037    1.517    0.068    1.929    0.416    2.365    0.479    -1.0    23.4    10.24   3     72       0.02899   27372   1         
  3452   189.4034729   62.3084259   3.17   25.93      6.799   0.04725    2.741    2.713    0.038    3.176    0.065    5.673    0.403    4.912    0.46     -1.0    23.35   10.6    -99   -99      10.87     -99     1         
  3531   189.2991486   62.3075027   5.03   0.2394     6.801   2.662      2.697    0.382    0.036    0.269    0.067    0.294    0.406    -0.335   0.475    -1.0    25.7    10.63   -99   -99      4.554     -99     1         
  3549   189.2933502   62.3072128   3.0    -0.553     7.073   1.279      2.616    1.822    0.037    1.768    0.066    2.217    0.404    1.099    0.468    -1.0    23.85   10.27   -99   -99      7.779     -99     1         
  3614   189.2456207   62.3059883   3.34   8.714      8.956   -0.7431    4.482    1.124    0.036    1.582    0.065    1.176    0.406    1.484    0.459    -1.0    24.05   10.75   -99   -99      8.511     -99     1         
