# SAVEDid  xf100      xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160
#
371       0.151     0.06657      0.7883      0.5467       2.191       1.167       3.852       0.626       4.861       1.239        4.39       2.724       3.077       2.321
374       1.765      0.3555       3.739      0.6625       3.925       1.049       2.482      0.7855       1.137      0.4027      0.2439      0.0948     0.09272     0.03708
375       1.049       0.443       2.612       0.872       3.703       1.507         3.2       1.615       1.764       1.022      0.4474      0.2879      0.1736      0.1143
376       1.557      0.4395       7.091       1.475       13.93       1.165        15.6       1.715       12.05        2.33        4.11       1.185       1.701       0.553
379     0.07059     0.05722      0.3097      0.2559       1.006      0.7572       1.597        1.17       1.719       1.205      0.9778      0.6423      0.5242      0.3493
381      0.2226     0.00815        1.03     0.05535       3.085       0.115       4.727       0.126       4.863      0.0735       2.484      0.0025       1.191      0.0075
385       1.145      0.1135       4.891      0.6785       10.51      0.7755       12.26        0.91       10.01       1.249       3.512      0.6135       1.457       0.282
390      0.0109      0.0109     0.03168     0.03168      0.0437      0.0437     0.03667     0.03667     0.02144     0.02144      0.0055      0.0055    0.002061    0.002061
391      0.1525      0.1525      0.4755      0.4755      0.7675      0.7675       0.746       0.746      0.5245      0.5245      0.1898      0.1898      0.0799      0.0799
394      0.3144      0.2464      0.9294      0.6796       2.361       1.137       3.639       1.367       3.062       1.742       2.111       1.765       1.199       1.065
398      0.1624      0.1624      0.3394      0.3394      0.4107      0.4107      0.3238      0.3238       0.167       0.167     0.03926     0.03926     0.01509     0.01509
399      0.4109      0.1145       2.066       0.663       4.457      0.9975       5.303      0.8865       4.429       0.739       1.669      0.4415      0.7145      0.2151
401       0.426      0.2186       1.014      0.4545       1.224      0.4982      0.9359      0.3682       0.486      0.2072      0.1146     0.05373     0.04382     0.02119
407       6.277        0.73        15.9       0.955       20.91       1.845       17.13        2.32        9.03        1.55        2.17       0.448      0.8178      0.1787
409       1.042      0.4365        1.46      0.4861       1.087      0.4223      0.6305       0.299      0.2716      0.1451      0.0555     0.03226     0.02079     0.01239
413      0.6673      0.4728      0.9313      0.5137      0.8352      0.4918      0.5057      0.3373      0.2251      0.1618     0.04774     0.03615     0.01813     0.01395
414      0.6083      0.3596       1.203      0.7348       1.195      0.7519      0.8278      0.5312      0.3828      0.2493     0.08151     0.05379     0.02976     0.01967
416      0.5687      0.4623      0.6989      0.5921      0.5475      0.5015      0.3004      0.2818      0.1204      0.1143     0.02487      0.0238    0.009455    0.009065
418       0.558       0.523       1.074      0.9795       1.309       1.179       1.121       1.012      0.6154      0.5586      0.1536      0.1402     0.05851     0.05349
421      0.1413      0.1413      0.3337      0.3337       0.488       0.488      0.4502      0.4502      0.2581      0.2581      0.0675      0.0675      0.0264      0.0264
428       0.268       0.268      0.5075      0.5075      0.6635      0.6635       0.561       0.561      0.3021      0.3021      0.0777      0.0777     0.03044     0.03044
429      0.3654      0.3654      0.6275      0.6275       0.575       0.575      0.3839      0.3839      0.1729      0.1729     0.03945     0.03945     0.01485     0.01485
430      0.6938      0.3822       1.404      0.5632       1.437      0.3715      0.9857      0.1983      0.4535     0.07805      0.1055     0.02356      0.0402    0.009695
431      0.8704      0.4206       1.229       0.461       1.089      0.5943      0.6267      0.3894       0.267      0.1794     0.05541     0.03947     0.02096      0.0152
432       0.684       0.458      0.9705      0.5084      0.8011      0.4449      0.4936      0.3093      0.2237      0.1515     0.04814     0.03472     0.01836     0.01352
433      0.3651      0.3651      0.4541      0.4541      0.8815      0.8815       1.139       1.139       1.137       1.137       1.296       1.296      0.9645      0.9645
