#        cooFIR         snrFIR             id         snr100         snr160         snr250         snr350         snr500         snr1160
#
              0        1.64792            521        1.02872        1.28739            -99            -99            -99            -99
              0        3.84065            530        2.57633        2.84835            -99            -99            -99            -99
              1        21.3542            532        12.6124        15.6697        6.98573        1.60934            -99            -99
              0        1.95519            533        1.48955        1.26649            -99            -99            -99            -99
              0        2.17228            540        1.67634        1.00923       0.943468            -99            -99            -99
              1        11.0702            541        6.23105        8.92308        2.02525            -99            -99            -99
              1        7.45167            546        4.35387        5.57465        1.54519         1.1637        1.14369       0.666878
              1        10.9821            547        7.63653        7.02653        3.08225        1.20636       0.866438        1.10075
              1        8.96715            548        5.71388        4.78013        4.70554        1.62097       0.376942    2.50529e-10
              0     4.0416e-05            550    3.62979e-05     1.7774e-05            -99            -99            -99            -99
              1        13.6048            552        11.3103        6.83314        3.15193         0.7369            -99            -99
              1        5.89033            554        2.73593        5.21639    6.54364e-08            -99            -99            -99
              1        10.1721            559        5.24796        8.30659        2.42075        1.03472            -99            -99
              0       0.404442            561       0.404442      1.475e-05            -99            -99            -99            -99
              0        3.60807            562        3.35178        0.96788       0.920292            -99            -99            -99
              1        20.0224            564        2.40209        10.8012        9.11245        5.94229        6.32933        10.9569
              0        1.20392            581    4.90874e-05        1.20392            -99            -99            -99            -99
              1         6.4313            593        1.83286        5.77096        1.98806       0.510695            -99        0.69652
              0       0.803914            597       0.803914    2.83614e-05            -99            -99            -99            -99
              1           8.04            598        6.32704        4.39153        1.92873        1.26674            -99            -99
              0          0.164            604    2.12759e-06          0.164            -99            -99            -99            -99
              0    4.06508e-05            606     3.8088e-05    1.42054e-05            -99            -99            -99            -99
              1         7.6881            620        3.78689        6.67204       0.500252            -99            -99            -99
              1          8.688            621        5.94295        5.63652        2.24633         1.7524            -99        0.52476
              0        1.96145            622        1.96145    1.98403e-05            -99            -99            -99            -99
              0        2.94185            628    4.71214e-05        2.94185            -99            -99            -99            -99
              0        3.63533            631        2.34951        1.57143        2.28606            -99            -99            -99
              1        5.70455            637        3.79801        3.57135        2.31571            -99            -99            -99
              1        10.7876            638    7.53824e-06        4.54665        8.14176        4.25526        3.36229    2.55488e-10
              0        4.59932            652    4.65965e-05        4.46218        1.11475            -99            -99            -99
              1        8.24419            658        1.66393        3.25403        5.85398        4.08949        1.18812         1.4848
              1        5.21343            659        1.26651        3.30914       0.908602       0.576864        2.45976        2.72335
              0       0.385276            661       0.385276              0            -99            -99            -99            -99
