#   SAVEDid      xmeAGN       xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
1102       1.855      0.9275      0.9275       2.164       2.347      0.1833       3.275      0.7442      0.4724           0
1103       0.172       15.94       15.94       87.74       76.62       11.22       85.56        14.4       1.363           0
1104           0      0.3722      0.3722       4.563       4.625      0.6901       4.906      0.8037      0.5948           0
1105      0.5623        2.93        2.93       17.53       16.75       1.806       19.35        3.09      0.9441           0
1109       72.89       954.6       954.6         284        9933        9933        9933        9933       4.051        3.85
1113           0      0.8872      0.8872       19.87       16.24       3.631       16.79       3.085       1.457           0
1118           0      0.2704      0.2704       1.984       1.893     0.09253       2.159      0.2823      0.3866           0
1121      0.4501      0.3583      0.3464       5.076       5.512       1.646        5.87         1.3      0.7997           0
1123        7.42       11.84       11.84       39.82       64.39       46.73       72.12       40.16       3.155       0.251
1125      0.3317      0.7581      0.7581       5.095       4.835       2.481       5.593       1.723       1.023           0
1129           0       4.029       4.029       101.8       102.1       51.86       104.6       52.85        2.62       0.326
1133    0.002952      0.0144      0.0144      0.2271      0.2045     0.05358      0.2189     0.03918      0.2538           0
1135           0     0.04915     0.04915      0.2132      0.1812     0.03195      0.2263     0.07438       0.131        0.01
1140     0.08378       0.229      0.2275      0.3364       1.042      0.8109       1.298      0.9564      0.4768        0.13
1141      0.2628       3.562       3.562       32.33       21.98       11.05       23.48       12.46       1.174      0.1901
1143           0      0.4364      0.4364       1.293       1.236     0.05777       1.663      0.3875      0.2804           0
1144      0.1063       1.092       1.092       2.668       6.463       5.553       6.865       5.151        1.33        0.21
1146       42.91       133.8       133.8        1836        1582        1167        1593        1178       5.851        2.05
1147       22.01       14.59       14.12       12.46       14.87       5.425       29.31       16.89        1.26       0.203
1148       48.95       57.27       57.27       362.3       315.1       156.1         368       190.1        3.18       0.376
1150       6.974       10.97       10.97        22.3       21.98       8.601       31.86       6.845       1.364           0
1159           0        19.9        19.9       229.7       222.4       49.75       231.4       43.07       2.619        0.07
1160       21.49       14.63       14.63        11.5       25.73       16.14        40.3       10.51       2.358       0.206
1167       12.32       15.12       15.12       274.1       269.7       15.37         276       11.48        2.92           0
1168       59.76       440.3       440.3        1547        5318        4947        5583        5040       4.001         1.4
1172       0.662      0.8729      0.8729       3.101       9.335       6.394       9.647       6.083        1.33        0.21
1181       1.609       1.784       1.784       8.725       10.34       5.384       12.13       3.603       1.772       0.095
1186       6.112       5.689       5.689       26.06       24.17       17.83       27.39       15.99        1.46       0.221
1202      0.6201       1.737       1.737       13.16       13.17       5.895       14.57       4.497       1.829      0.2075
