#                      id              ra               de
#
                      266      53.1434528     -27.6536534
                      267      53.1876860     -27.6538739
                      268      53.1016473     -27.6537388
                      269      53.1049476     -27.6535160
                      270      53.1107125     -27.6537996
                      271      53.1378152     -27.6536332
                      272      53.1389791     -27.6537473
                      273      53.1894328     -27.6541816
                      274      53.0786027     -27.6537202
                      275      53.1314291     -27.6538138
                      276      53.1546880     -27.6536801
                      277      53.1784224     -27.6538293
                      278      53.1837063     -27.6538135
                      279      53.0934216     -27.6539118
                      280      53.1528518     -27.6541822
                      281      53.1800433     -27.6544079
                      282      53.1818793     -27.6544741
                      283      53.0738449     -27.6543241
                      284      53.0786907     -27.6541768
                      285      53.0820998     -27.6544760
                      286      53.1064486     -27.6542461
                      287      53.1203816     -27.6545219
                      288      53.1332024     -27.6544390
                      289      53.1372274     -27.6545720
                      290      53.1576815     -27.6543817
                      291      53.1588711     -27.6543856
                      292      53.1682015     -27.6542853
                      293      53.1041996     -27.6546125
                      294      53.1190927     -27.6545194
                      295      53.1268406     -27.6547627
                      296      53.1480243     -27.6548219
                      297      53.1710327     -27.6546945
                      298      53.1722791     -27.6551754
                      299      53.1075738     -27.6546250
                      300      53.1248494     -27.6548040
                      301      53.1298521     -27.6549753
                      302      53.0939621     -27.6549784
                      303      53.1005271     -27.6550313
                      304      53.1553564     -27.6547710
                      305      53.1953322     -27.6547415
                      306      53.1973930     -27.6548048
                      307      53.1180701     -27.6549807
                      308      53.1463179     -27.6550153
                      309      53.1516787     -27.6549203
                      310      53.1565798     -27.6549977
                      311      53.1841685     -27.6552906
                      312      53.1844323     -27.6563547
                      313      53.1909971     -27.6552928
                      314      53.0804107     -27.6552968
                      315      53.0886999     -27.6551456
                      316      53.0958711     -27.6550608
                      317      53.1151450     -27.6552800
                      318      53.1116922     -27.6552742
                      319      53.1329268     -27.6554328
                      320      53.1449198     -27.6555254
                      321      53.1450667     -27.6566610
                      322      53.1455547     -27.6574324
                      323      53.0784773     -27.6557353
                      324      53.0861983     -27.6554162
                      325      53.0968036     -27.6557203
                      326      53.1749956     -27.6557291
