#         id100  f100_uncorr_1    f100_corr_1    f100_corr_2     f100_corr_3
#
           1129       0.669625       0.624126       0.623597       0.636121
           1133       0.727498       0.682676        0.68261       0.667202
           1135        2.38689        2.32773        2.32673        2.31341
           1140       0.890906       0.849521       0.849658       0.866744
           1141        1.25266        1.21802        1.21643         1.2098
           1143        3.38713        3.33094        3.33103        3.33351
           1144       0.396125       0.345688       0.345773       0.358404
           1146      0.0507963      0.0448201      0.0448201      0.0448201
           1147        1.45155         1.4033        1.40008        1.38467
           1148       0.915866       0.840432        0.83947       0.851993
           1150        1.27594        1.22235        1.22097        1.23802
           1159       0.882738       0.830608       0.830735       0.817014
           1160       0.159159       0.114731       0.114869       0.110702
           1167        1.28775          1.327        1.32523        1.26022
           1168        2.81729        2.80985        2.80999        2.75246
           1172       0.450642       0.407226       0.407365       0.410187
           1181    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1186       0.531902       0.536055       0.533382       0.526368
           1202       0.536824       0.486393       0.486081       0.472138
           1208       0.797686       0.747949       0.746185        0.73446
           1221       0.616356       0.559786       0.559927       0.560649
           1222       0.306078       0.257894       0.257938       0.254568
           1225        3.00491        2.96517        2.96503        2.95841
           1235        4.10991         4.1128        4.11126        4.12453
           1239        6.88386        6.82281         6.8224        6.80699
           1248         3.9979        3.95951        3.95783        3.94926
           1252    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1253    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1262       0.276587        0.31315       0.311661       0.324499
           1269        1.50602        1.50004         1.4992        1.49218
           1270       0.783127       0.727695       0.727515       0.722948
           1273      0.0211754      -0.025552      -0.025552      -0.025552
           1278       0.562124       0.515665       0.515791       0.503861
           1284       0.351424       0.314995       0.315114       0.324015
           1285        1.59159        1.54471         1.5445        1.53161
           1293        1.69759        1.63982        1.63847        1.63682
           1303       0.701184       0.626636        0.62613       0.632851
           1306    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1313       0.688386       0.655309       0.654692       0.640021
           1315       0.985898       0.941769         0.9418       0.942168
           1320        1.18531        1.14042        1.14018        1.13566
           1334       0.165132       0.119318       0.119113       0.103705
           1335        1.36092        1.31269        1.31264        1.30061
           1337        2.97736        2.92268        2.92101        2.93316
           1338       0.985898        0.93805       0.938163       0.937814
           1341        2.34332        2.29439        2.29082        2.29897
           1342       0.651376       0.607404       0.607021       0.616612
           1348       0.396125       0.348238        0.34829       0.338698
           1350       0.720828       0.718906       0.719024       0.706498
           1355       0.467554       0.457916       0.457369        0.47448
           1357       0.720828       0.635755       0.635583       0.649393
           1367      0.0271539     -0.0154581     -0.0154581     -0.0154581
           1368       0.682075         0.6319       0.630227        0.64565
           1369       0.616356       0.556337        0.55642       0.559243
           1371       0.403489        0.35047       0.350596       0.335188
           1384        1.81064        1.77535        1.77549         1.7904
           1387       0.959029       0.991308       0.989445       0.991146
           1391       0.682075       0.634584        0.63297       0.622997
           1393        0.89915        0.84055       0.840548       0.857586
           1394        8.74645        8.74799        8.74419        8.73916
           1396       0.292302       0.247075       0.247217       0.232669
           1401    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1402        0.47188       0.435747       0.435324       0.441358
           1416       0.018443       0.018443       0.018443       0.018443
           1419       0.442417       0.399867       0.399769        0.41155
           1420        1.28775        1.24772        1.24456        1.24748
           1434        2.84336        2.78666        2.78675         2.8021
           1437       0.385329       0.364117       0.359375       0.376413
           1445        3.67987        3.62892        3.62826        3.63556
           1449        1.42506        1.37288        1.36044        1.36639
           1452       0.306078       0.277402       0.277075       0.287651
           1458        2.09813        2.05103        2.05112        2.03571
           1469    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1475        3.26461        3.20759        3.20726        3.21882
           1476       0.527026       0.481638        0.48152       0.466554
           1477       0.247646       0.212293       0.211016       0.227558
           1479       0.694755       0.652707       0.650761       0.654636
           1480    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1490        2.02224        2.02904        2.02918        2.03648
           1491        3.54676        3.52566        3.52579        3.53717
           1495    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1497    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1501       0.858681       0.813046       0.813137       0.797729
           1502    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1513        0.55697       0.572404       0.572509       0.579416
           1515        2.17687        2.12395        2.12309         2.1083
           1520       0.820034       0.771019         0.7709       0.755492
           1524       0.159159       0.120783       0.120919       0.130709
           1525       0.651376       0.603076       0.603106       0.618686
           1532       0.196712       0.194385       0.194391       0.211544
           1533        3.35608        3.30539         3.3045        3.28909
           1543    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1544      0.0174515      0.0174515      0.0174515      0.0174515
           1545       0.882738       0.811171       0.811163       0.828315
           1548    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
           1551    1.50602e-05    1.50602e-05    1.50602e-05    1.50602e-05
