#     _id          _ra          _de       zp_X         f24        df24         f16        df16       radio      eradio       _fch1      _dfch1       _fch2      _dfch2       _fch3      _dfch3       _fch4      _dfch4       KtotX       MassX       distX       spezX          zq      source       distz         idz    goodArea
#
374        189.2759247   62.3777390      0.82         200       5.743         -99       1e+10       6.738       2.982       49.57       0.108       34.35       0.105       31.81       1.284       23.59       0.751       19.66       10.73      0.1236      0.8178           2          23      0.1447          -1           1
375        189.2846832   62.3775330      1.26       95.96       4.813       90.23       12.03       5.567       3.161       30.75       0.078       28.91       0.095       20.78       0.913       19.58       0.667       21.05       10.79      0.8185          -1         -99         -99       7.135         -99           1
376        189.4158325   62.3777733      2.83       247.5       9.575         -99       1e+10        59.8         7.6         -99         -99         -99         -99         -99         -99       64.92       2.538       22.23       11.41      0.2536          -1         -99         -99       25.86         -99           0
379        189.2998352   62.3774223      4.38       15.09       2.926   1.903e-07       6.339    -0.08611       3.245       2.025       0.058       1.378       0.083       2.797       0.693       1.594       0.595       23.54       10.23      0.2428          -1           3          72      0.5069   2.621e+04           1
381        189.3229218   62.3777237      4.21        60.2       6.838   1.903e-07       7.988       3.189       3.001       5.735        0.05       5.177       0.077       9.257       0.554       6.572       0.543         -99       11.95      0.9066          -1         -99         -99       4.109         -99           1
385        189.3407440   62.3772049      2.57       249.2       11.15       3.567       8.383       19.21       2.986       9.838       0.046       12.48       0.079       16.84       0.511       14.41        0.55       22.72       10.82      0.2422          -1         -99         -99       18.15         -99           1
390        189.2970734   62.3770180      2.03        14.2       3.999       7.379        7.41     -0.3203       3.229       1.675        0.06       1.942       0.083       1.784       0.716       3.636       0.604       23.61       9.718       0.312          -1         -99         -99       5.341         -99           1
391        189.3270874   62.3771172      2.32       19.61       4.846   1.903e-07       5.795     -0.4015       2.965       3.151       0.047        3.43       0.075       3.338       0.527       2.486       0.534       22.64       10.27      0.3611          -1         -99         -99       9.347         -99           1
394        189.2457886   62.3770752       -99       61.49       4.673         -99       1e+10       2.571       2.915         -99         -99       6.884       0.183         -99         -99       1.836         1.3         -99         -99       1.811          -1         -99         -99       7.213         -99           0
398        189.2703552   62.3765945      1.07       22.74       2.189         -99       1e+10       1.545           3       2.364       0.116       1.621       0.108       3.263       1.528       1.643       0.802       23.49        9.54      0.2122          -1         -99         -99        8.03         -99           1
399        189.3710480   62.3766823      2.67       41.57       3.938       1.317       10.69       10.12       2.964       3.528       0.047       4.151       0.101       4.119       0.557       5.221       0.724       23.44       10.67     0.09613          -1         -99         -99        20.7         -99           0
401        189.2810516   62.3764534      1.27       40.47       3.983       23.25       8.644      0.4396       3.194        3.01       0.075       2.303       0.093       0.265       0.913       2.246       0.679       23.11       9.548      0.1725       1.251           1          72      0.1236   2.462e+04           1
407        189.2942505   62.3762665      1.46       362.5       15.61       235.9       8.644        41.7         3.6       38.69       0.067       47.91        0.09       40.77       0.725       46.44       0.608       20.54        11.1     0.02894       1.521           1          47     0.09945   2.572e+04           1
409        189.3363342   62.3762016      0.67       48.68       3.627       25.49       7.776       11.25       2.935       13.87       0.047       10.32       0.077       11.78       0.508       9.123       0.537       21.24       9.968     0.02894          -1         -99         -99       9.962         -99           1
