#       id       zspec       zbest       ubest       chi2_min     S_chi2_min     R_chi2_min
#
      1084     1.14400     1.14400       9.700      0.4728149      0.4519657     0.02084915
      1089    -1.00000     0.92180       6.100      0.9739961     0.07605683      0.8979393
      1091    -1.00000     2.62000      25.000      0.7481239      0.1961022      0.5520216
      1094     3.53000     3.53000     101.000       4.176892   5.395306e-05       4.176838
      1101    -1.00000     0.92190      12.100       4.999748       3.388864       1.610884
      1102     0.47240     0.47240     101.000       5.636358     0.05458684       5.581771
      1103     1.36300     1.36300       9.700      0.1266705      0.1252962    0.001374367
      1104     0.59480     0.59480      12.100      0.1190654     0.07362918     0.04543627
      1105     0.94410     0.94410       9.700      0.6370128      0.6321568    0.004855979
      1109    -1.00000     1.10100      14.500   1.726208e-08   8.985428e-19   1.726208e-08
      1113     1.45700     1.45700      12.100       9.982458       1.007753       8.974705
      1118     0.38660     0.38660       4.900     0.07901414     0.07742595    0.001588198
      1121     0.79970     0.79970     101.000       10.53955       3.478147       7.061405
      1123    -1.00000     2.90390      25.000       2.255113       1.260239       0.994874
      1125     1.02300     1.02300       6.100       2.488303      0.4679928        2.02031
      1129    -1.00000     2.62000     101.000       3.087289       2.205598      0.8816911
      1133     0.25380     0.25380       6.100       7.335227      0.2792914       7.055935
      1135    -1.00000     0.14100       2.200       26.53117   3.580757e-18       26.53117
      1140    -1.00000     0.34680       9.700       2.353589    0.003380259       2.350209
      1141    -1.00000     1.36380      12.100       0.284402    0.001697933       0.282704
      1143     0.28040     0.28040       2.200      0.9648184    0.006422875      0.9583955
      1144    -1.00000     1.16224       9.700      0.8326372     0.01227102      0.8203662
      1146    -1.00000     7.90100     101.000       4.274034       4.123702      0.1503318
      1147    -1.00000     1.34136     101.000        3.24839      0.3523792       2.896011
      1148    -1.00000     3.40572      25.000       3.023164      0.7653052       2.257859
      1150     1.36400     1.36400      25.000      0.2243016      0.2242894   1.222547e-05
      1159    -1.00000     2.61920      25.000       25.34158       1.782861       23.55872
      1160    -1.00000     2.27000      25.000        2.82868       1.234748       1.593932
      1167     2.92000     2.92000     101.000       1.801961       0.090191        1.71177
      1168    -1.00000     3.90100      45.000    6.18484e-05   5.315732e-05   8.691079e-06
      1172    -1.00000     1.14127       6.100       1.563321    0.008038132       1.555283
      1181    -1.00000     1.67734      25.000       2.143571      0.6919987       1.451573
      1186    -1.00000     1.61498       9.700       1.288947   2.426453e-19       1.288947
      1202    -1.00000     1.62080      25.000       3.323152    0.000177699       3.322975
      1208    -1.00000     1.46482     101.000       5.036897       2.472849       2.564048
      1221    -1.00000     1.19650       6.100      0.5484874     0.03133384      0.5171535
      1222    -1.00000     0.84180     101.000       5.394092      0.5608617        4.83323
      1225    -1.00000     0.49410       3.300    0.001345197   0.0007281653   0.0006170314
      1235     0.89190     0.89190      12.100     0.01412265     0.01345903   0.0006636176
      1239     0.83600     0.83600      14.500      0.8642461      0.8638506   0.0003955208
      1248    -1.00000     1.26016       9.700    0.005834508    0.005385113   0.0004493954
      1252    -1.00000     1.93020      25.000       4.786257       4.503863       0.282394
      1253    -1.00000     1.93210      25.000       3.985896     0.09922702       3.886669
      1262    -1.00000     3.81740      30.000       7.349005   3.009358e-20       7.349005
      1269    -1.00000     2.21000      40.000       2.341676        2.33425    0.007425957
      1270     1.08300     1.08300       9.700       7.070275       2.047013       5.023262
      1273     0.74410     0.74410       4.900       10.00308       2.321786       7.681298
      1278    -1.00000     1.44856      25.000       3.079978       1.362659       1.717319
      1284    -1.00000     3.98130      35.000       0.437248    0.004882771      0.4323653
      1285    -1.00000     0.16650       2.200   9.148606e-08   9.629426e-19   9.148606e-08
      1293     0.79390     0.79390       4.900     0.03616836     0.02868439    0.007483973
      1303     0.63350     0.63350     101.000        2.14519      0.6145486       1.530641
