#       id        snrIR       snr100       snr160       snr250       snr350       snr500       snr1160
#
       926       2.2102       2.2101     0.024005           -0           -0           -0           -0
       928      0.63557      0.63557           -0           -0           -0           -0           -0
       931       5.2286       2.7939       4.4195   1.3119e-07           -0           -0           -0
       934       4.7944       2.1446       4.2879           -0           -0           -0           -0
       937       4.8109       4.8096      0.11035           -0           -0           -0           -0
       939       15.398        12.67       4.6653       6.9249       2.6172           -0           -0
       950       7.7047       2.7278      0.49161       7.1072      0.35376        0.924      0.43448
       951       4.9995       2.0306       4.5685           -0           -0           -0           -0
       960      0.93541    -0.033187      0.93482           -0           -0           -0           -0
       965        3.804    -0.084555       3.6761      0.97477           -0           -0           -0
       966       1.0032      0.99826     0.099734           -0           -0           -0           -0
       972      0.41347      0.41347           -0           -0           -0           -0           -0
       974       9.0899       1.9818        3.332       1.8017       7.1998      0.95844       3.4049
       994      0.93727      0.90853      0.23032   1.8766e-07           -0           -0           -0
       995       4.5704       2.7318       3.6641           -0           -0           -0           -0
      1002       8.1357       4.9053       3.1578       5.6707           -0           -0           -0
      1005       18.088       7.9031       10.842       10.398       5.7395       2.0153       1.4242
      1006        22.66       13.289       16.003       8.3958       2.9343       1.3017           -0
      1008       18.879       8.8407       7.7199       7.0038       13.023           -0           -0
      1023       1.8392       0.7596        1.675           -0           -0           -0           -0
      1026       1.6634     -0.07418       1.6617           -0           -0           -0           -0
      1035     0.058031    -0.058031           -0           -0           -0           -0           -0
      1036      0.38003      0.21093     0.051202   1.1359e-07   1.3235e-07           -0      0.31194
      1037       6.6826       3.2681       4.0305       4.2109           -0           -0           -0
      1042       1.8794       1.8759      0.11528           -0           -0           -0           -0
      1053       4.9871       2.9888      0.75557   7.2783e-08   6.7763e-08       3.8631      0.66567
      1058       1.6247    -0.071915       1.6231           -0           -0           -0           -0
      1064       4.7053       3.6286       2.9955           -0           -0           -0           -0
      1075       1.5722      0.93897       1.1204      0.57859           -0           -0           -0
      1076       5.0868       4.9423       1.2006     0.087596           -0           -0           -0
      1077       4.4678       3.3954       1.6506       2.3892           -0           -0           -0
      1081       3.3887       2.1274       2.6377           -0           -0           -0           -0
      1084       25.324        13.89       10.932       11.458       11.849       7.5628           -0
      1089       2.9058       1.8244       1.5689        1.629           -0           -0           -0
      1091      0.57321       0.5594      0.12507           -0           -0           -0           -0
      1094       13.138       2.4958       3.9891       8.6255       7.4546       2.8688       3.5008
      1101        1.352       1.3495     0.082957           -0           -0           -0           -0
      1102       9.5795       9.3881       1.9052           -0           -0           -0           -0
      1103        12.71       9.6399       5.7329       3.5581       4.8056           -0           -0
      1104       6.6422       6.3757       1.8627           -0           -0           -0           -0
      1105       14.632       6.8848       7.0616       10.797      0.51055           -0           -0
      1109       15.832       4.7503       6.3311       5.3952       6.7247       10.479       1.9682
      1113       3.1354       1.5586        1.995       1.8496           -0           -0           -0
      1118       10.672       6.9793       5.3603       6.0364           -0           -0           -0
      1121       2.2734       2.0281       1.0272           -0           -0           -0           -0
      1123      0.65473    -0.073172     0.073799           -0           -0           -0      0.64643
      1125     0.050561    -0.035417     0.036085           -0           -0           -0           -0
      1129       3.6828        2.363       2.7231      0.75077   5.5281e-08           -0           -0
      1133        2.925       2.7122       1.0952           -0           -0           -0           -0
      1135       18.812        6.737        14.99       9.1549           -0           -0           -0
      1140       1.5272       1.5265     0.042982           -0           -0           -0           -0
      1141       3.9961        2.563       2.5836       1.6505           -0           -0           -0
      1143       12.403       9.8363       7.0859        2.621           -0           -0           -0
      1144       1.1821       1.1734      0.14258           -0           -0           -0           -0
      1146            0           -0           -0           -0           -0           -0           -0
      1147       6.0143       5.2809       2.8782           -0           -0           -0           -0
      1148       7.2917       2.9094        1.903       2.9714       2.1457       2.6037       4.5684
      1150       5.1536       4.5382       2.1005       1.2459           -0           -0           -0
      1159       6.0205       2.2653        2.719       1.0595       2.2049      0.12488       4.2098
      1160      0.50697      0.49872     0.091074           -0           -0           -0           -0
      1167        2.679       1.7501       1.4495       1.0291      0.76574      0.26994      0.54281
      1168       7.2255       4.7925       4.4765       2.9193      0.72604      0.20851      0.32748
      1172       1.0908       1.0888     0.067072           -0           -0           -0           -0
      1181      0.11341    -0.083586     0.076657           -0           -0           -0           -0
      1186        1.842       1.4469       1.1399   1.0594e-07           -0           -0           -0
      1202       2.7298       2.0776       1.7707           -0           -0           -0           -0
      1208       4.4911       2.9172       3.4146           -0           -0           -0           -0
      1221        3.967       1.7888       2.3209        2.674           -0           -0           -0
      1222       1.3595       1.1131      0.78048           -0           -0           -0           -0
      1225       10.254       5.2648       6.0275       6.4102           -0           -0           -0
      1235       16.263       10.726        11.41       4.1126       1.5357           -0           -0
      1239       31.309       19.829       18.063       11.502       11.143       2.0879           -0
      1248        17.05       9.0279       11.317       6.9584       5.6329    7.436e-08      0.98773
      1252       2.4189    -0.087977       2.4173           -0           -0           -0           -0
      1253      0.84848    -0.061125      0.84628           -0           -0           -0           -0
      1262            0           -0           -0           -0           -0           -0           -0
      1269       7.5603       3.9285       6.0913       2.1499           -0           -0           -0
      1270       2.7251       2.7229      0.10997           -0           -0           -0           -0
      1273       1.3171   -0.0048661       1.3171           -0           -0           -0           -0
      1278       4.1813       2.3436       2.1554       2.7102           -0           -0           -0
      1284       6.3918       1.0067       1.2489       3.4565       1.2603       1.1317       4.8441
      1285        7.331       5.1919       5.1757           -0           -0           -0           -0
      1293       6.2123       4.9483       3.7559           -0           -0           -0           -0
      1303       2.2902       2.1831      0.69214           -0           -0           -0           -0
      1306      0.06648     -0.06648           -0           -0           -0           -0           -0
      1313       4.2743       1.4668       4.0148           -0           -0           -0           -0
      1315       7.0669       3.1165       5.0616       3.8222           -0           -0           -0
      1320       4.7496       3.7723        0.536       2.8357           -0           -0           -0
      1334       1.8105      0.12174       1.8064           -0           -0           -0           -0
      1335        5.288       4.8234      0.97437       1.9362           -0           -0           -0
      1337       7.3967       7.0948       1.5545       1.3991           -0           -0           -0
      1338       8.5298       3.3729       5.8422       5.2202           -0           -0           -0
      1341       10.603       8.3464       6.2379       1.9639           -0           -0           -0
      1342            0           -0           -0           -0           -0           -0           -0
      1348       1.3636       1.3636           -0           -0           -0           -0           -0
      1350       6.5697       2.0566       2.8343       5.5586           -0           -0           -0
      1355       1.7778      0.97931      0.71112       1.3023           -0           -0           -0
      1357       2.4219       2.2486      0.89956           -0           -0           -0           -0
      1367     0.016602     0.016602           -0           -0           -0           -0           -0
      1368       12.764        2.198       3.8467        10.77       4.9858       1.4116      0.65374
      1369       7.3522       1.8884       3.9568       5.6766       1.6154           -0           -0
      1371       2.3312       1.4524       1.8235           -0           -0           -0           -0
      1384        6.249       3.2181       3.7326      0.75642       2.2001       3.0575           -0
      1387       5.5803       1.1505      0.01022       1.0369       4.4663       2.8668      0.75802
      1391       2.6307       2.5931      0.44303           -0           -0           -0           -0
      1393       3.6978       1.6362       3.2849       0.4539           -0           -0           -0
      1394         10.4       9.3345       4.3288       1.5163           -0           -0           -0
      1396       1.1517       1.0669      0.43392           -0           -0           -0           -0
      1401     0.074257    -0.058108     0.046234           -0           -0           -0           -0
      1402       4.4641       1.3424       2.0035       3.0293       2.2215           -0           -0
      1416       2.1259    -0.012576       2.1258           -0           -0           -0           -0
      1419       2.0844       1.3301       1.6048           -0           -0           -0           -0
      1420       7.0231       2.8776       1.3402       5.5095        2.982           -0           -0
      1434       9.4068        7.457       4.1577       3.9489           -0           -0           -0
      1437       1.4102      0.62096      0.78256      0.99531           -0           -0           -0
      1445        19.43       11.294       9.4128       7.7882       4.5242       6.4132        6.255
      1449       5.3261       4.6516       2.5942           -0           -0           -0           -0
      1452       4.3238      0.67962       4.2637      0.23191   7.5474e-08           -0           -0
      1458       12.874       8.0302       5.7351       7.2571       3.9618           -0           -0
      1469     0.049388    -0.049388           -0           -0           -0           -0           -0
      1475         23.9       9.5325       9.3296        15.93       11.812           -0           -0
      1476       4.3642       1.5987       4.0609           -0           -0           -0           -0
      1477      0.55817      0.55817           -0           -0           -0           -0           -0
      1479       1.3429       1.3426     0.028423           -0           -0           -0           -0
      1480      0.07652    -0.056525     0.051578           -0           -0           -0           -0
      1490        7.065       4.9963       3.9892       1.4914       1.6114       2.0264      0.33227
      1491       10.531       9.0431       4.9911       2.0276      0.33119           -0           -0
      1495      0.33911    -0.049529           -0           -0           -0           -0      0.33548
      1497       5.4235    -0.082069       1.4765       3.2568       4.0768           -0           -0
      1501       17.829       3.2512       8.6584       11.284       10.246           -0           -0
      1502      0.10682    -0.074843      0.07622           -0           -0           -0           -0
      1513       1.5738      0.89527       1.2943           -0           -0           -0           -0
      1515       12.083        7.963       6.1384       6.7008           -0           -0           -0
      1520       3.6593        2.744        2.421           -0           -0           -0           -0
      1524      0.42797      0.42221     0.069978           -0           -0           -0           -0
