#       id        snr16         snr24
#
      2229       4.1855       19.083
      2231      0.93768       3.9305
      2234       8.7051       12.855
      2239      0.34107       4.9048
      2252      0.10175       5.8899
      2256       64.956       289.76
      2262       25.084       44.601
      2266       36.761       102.28
      2268           -0       7.9945
      2272        7.575        28.56
      2290      0.69307       11.835
      2295       4.4413       27.679
      2296       7.5942       15.929
      2297       5.6497       13.163
      2314      0.86437       11.818
      2318           -0       27.807
      2320       1.3229       9.6088
      2323       1.2587       24.761
      2324       47.765       125.96
      2327       3.9082       23.183
      2328           -0        97.67
      2330       4.9623       8.0625
      2331     0.094725       7.7296
      2336           -0       40.758
      2337           -0       3.8575
      2342       4.0199       9.7389
      2347           -0       10.143
      2357       0.2378       7.1158
      2359       9.4132       18.931
      2360       11.216       13.264
      2365      0.31778        11.42
      2369      0.86242       10.951
      2374           -0       11.864
      2376           -0       10.635
      2378       2.9352       7.3285
      2387      0.77146       5.7777
      2395           -0       4.5279
      2399       0.1913       4.0222
      2408       11.509       16.674
      2412        4.442       7.4643
      2417      0.11377       5.9774
      2418       17.266       26.411
      2432           -0       21.005
      2433           -0       6.8535
      2440           -0       46.927
      2449           -0       34.532
      2455       47.587        115.3
      2463       45.856       114.05
      2488           -0       38.264
      2489           -0       12.789
      2500       2.8809       15.427
      2509           -0       6.5347
      2510      0.17825       4.1631
      2513       19.841       41.387
      2518       5.2481       18.622
      2524       5.5841       9.0757
      2525       26.933       35.254
      2540       5.0251       19.257
      2543       1.7179         5.89
      2544      0.49274        5.734
      2552      0.13082       2.6716
      2561           -0       9.7781
      2569           -0       7.5419
      2574           -0       5.7464
      2577        5.951       29.831
      2578     0.097951       12.217
      2587       1.0955        6.671
      2588      0.68798       4.0374
      2591        1.459       9.2084
      2592       2.4986       12.757
      2594       23.084       23.323
      2596     0.061643       11.455
      2605       9.8644       12.893
      2608     0.039069       4.6209
      2615       10.619       17.501
      2619      0.17245       11.817
      2622      0.50256       1.4884
      2625       39.577       103.04
      2643       11.035       22.244
      2648       1.4837       8.9357
      2652       3.7864       5.5252
      2655     0.036518       5.8551
      2660      0.72788       6.6494
      2667       2.2097       5.9593
      2668     0.080947       3.8226
      2670       15.677       23.842
      2671       2.9908       7.7758
      2674      0.11019       1.8166
      2677      0.17001       17.953
      2681      0.12683      0.59196
      2682       8.3016       15.524
      2683       6.8853        18.91
      2687       1.7842        6.214
      2697       2.0573       4.0235
      2705      0.65143       3.9295
      2715        7.439       10.889
      2716      0.84189       11.013
      2720       6.3089       7.5185
      2722      0.63082       16.219
      2725           -0       11.379
      2728           -0       39.812
      2738       7.2755       76.206
      2739       12.897       56.371
      2740           -0       6.4669
      2741           -0       11.514
      2746       18.995       26.423
      2758      0.11989       9.5762
      2767       6.9243       8.6208
      2769      0.81022       4.4813
      2776       4.5259       12.912
      2778       1.5609       8.5732
      2785       1.0642       5.5462
      2794       1.3496       8.2582
      2805     0.078469       2.4832
      2806           -0       22.883
      2813       4.1421       28.819
      2818        14.06       75.576
      2822           -0        8.927
      2825        7.902        37.51
      2831       2.0323        10.87
      2841        27.43        61.37
      2856           -0       7.4285
      2870           -0       6.1546
      2874       4.7708       9.6273
      2877           -0       10.828
      2878       26.412        50.24
      2880       3.6406       10.175
      2884           -0        5.423
      2888        4.639       9.8123
      2890       34.639       50.429
      2893       26.486       126.79
      2895       2.9884       9.3636
      2896       2.3042       8.1072
      2901      0.10163       35.273
      2920           -0       4.4684
      2925           -0       26.353
      2947       3.1899       9.6479
      2957     0.096841       7.8012
      2973       3.2566       8.7222
      2979       1.4335       5.5602
      2992       3.0002       5.2434
      2994       12.469       51.484
      3001           -0       40.767
      3012       8.8053       15.751
      3022       15.925       50.212
      3028           -0       25.163
      3029       2.1251       3.0844
