#        cooFIR         snrFIR             id         snr100          snr160
#
              1        8.77166            915        1.90476        8.56235
              1        6.87589            917        4.59483        5.11521
              0        2.05497            922       0.839388        1.87572
              1        8.77787            923        5.72829        6.65114
              0       0.624537            924    4.87379e-05       0.624537
              0          2.234            926          2.234    1.18417e-05
              0        1.05823            928       0.382986       0.986491
              1        5.34138            931        3.11983        4.33555
              0        3.51841            934        1.95467        2.92549
              0        4.32841            937        4.32824      0.0381943
              1        17.1656            939        15.3623        7.65898
              0        3.06258            950        2.99792       0.626012
              1        5.40932            951        2.54451        4.77349
              0         1.1121            960    2.48433e-05         1.1121
              0        3.45187            965    5.61521e-05        3.45187
              0       0.932384            966       0.932384    2.22222e-05
              0       0.475929            972       0.475929    1.85218e-05
              0              0            974            -99            -99
              0       0.952161            994       0.884713       0.351984
              0        4.59332            995        2.61352        3.77732
              1        5.44963           1002        4.84365        2.49751
              1        13.5937           1005        7.97674        11.0073
              1        29.7913           1006        18.6533        23.2288
              1        12.3262           1008        8.85171        8.57809
              0        2.18899           1023       0.651735        2.08972
              0         1.3205           1026    5.56747e-05         1.3205
              0      0.0238027           1035      0.0238027    3.12048e-05
              0       0.182058           1036       0.182058     1.3066e-05
              0         4.5242           1037        3.20763        3.19054
              0        1.92419           1042        1.92419            -99
              0        3.67751           1053        3.55638       0.936054
              0        2.12373           1058    5.16993e-05        2.12373
              0        3.79901           1064        3.03549        2.28436
              0        1.42518           1075       0.985259        1.02975
              1        5.40018           1076        5.19605        1.47072
              0         4.1111           1077        3.50228        2.15294
              0        2.18505           1081        1.55306        1.53702
              1        17.7886           1084        13.2988        11.8143
              0        2.54107           1089        1.54958        2.01391
              0       0.457818           1091       0.457818     3.1554e-05
              0        3.76209           1094         2.1892        3.05953
              0        1.10602           1101        1.10602    9.78638e-06
              1        8.59248           1102        8.51122        1.17891
              1         12.853           1103        9.86128        8.24348
              1        7.57931           1104        7.12464        2.58563
              1        10.2065           1105        6.99233        7.43499
              1        6.72224           1109        4.04515        5.36892
              0        3.02938           1113        1.83226        2.41246
              1        7.73826           1118        5.65081        5.28668
              0        2.51283           1121        2.43385       0.625066
              0    5.80967e-05           1123    5.49435e-05    1.88796e-05
              0    3.21931e-05           1125    3.05849e-05     1.0048e-05
              0        3.81634           1129         2.2335         3.0945
              0        2.08348           1133        2.07915       0.134243
              1        17.8831           1135        8.47563        15.7471
              0        1.80902           1140        1.80902     1.1303e-05
              0        3.29247           1141         2.5463        2.08727
              1        14.1764           1143        10.6791        9.32346
              0        1.08404           1144        1.08278      0.0521887
              0      0.0697913           1146      0.0697913    9.99318e-06
              1        5.17587           1147        4.88881        1.69975
              0        3.78612           1148        3.22727        1.97975
              1         5.4962           1150        4.70901        2.83432
              0        4.92885           1159        2.44245        4.28112
              0       0.388013           1160       0.388013    2.21953e-05
              0        2.92735           1167        1.91898        2.21063
              1        8.34317           1168         5.2141        6.51319
              0        1.10121           1172        1.10121    1.71422e-05
              0    5.73072e-05           1181    5.38819e-05    1.95154e-05
              0        1.71304           1186        1.36905        1.02967
              0        2.20583           1202        1.74078        1.35476
              0        3.85489           1208        2.67285        2.77778
              0        3.59939           1221        1.89712        3.05884
              0        1.32654           1222       0.817335        1.04483
              1        7.25241           1225        5.69065          4.496
              1        9.38469           1235        7.76544        5.26976
              1        22.8391           1239        19.1208        12.4907
              1        13.7559           1248        9.17732         10.247
              0    5.44075e-05           1252    5.44075e-05            -99
              0         1.6918           1253    5.42117e-05         1.6918
              0       0.507507           1262       0.507507    9.33758e-06
              1         5.7944           1269        3.56852        4.56516
              0        2.66654           1270        2.66654    2.54602e-05
              0       0.395772           1273              0       0.395772
              0        2.28287           1278        1.84646        1.34241
              0         2.2931           1284        1.07356        2.02627
              1           6.58           1285         5.4773        3.64631
              1        8.05846           1293        5.88426        5.50584
              0         2.8129           1303        2.57381        1.13485
              0    5.87214e-05           1306    4.87536e-05    3.27305e-05
              0        2.98715           1313        1.33528        2.67209
              0        4.88223           1315        3.14171        3.73709
              0        4.14372           1320        4.04703       0.889955
              0        1.01561           1334       0.381952       0.941046
              0        4.58999           1335        4.42969        1.20245
              1        7.86576           1337        7.61423        1.97324
              1        8.17146           1338         2.9933        7.60348
              1        10.6293           1341        7.89763        7.11405
              0        2.19197           1342        2.19197            -99
              0        2.57601           1348        1.19597        2.28155
              0        2.78004           1350        1.74617        2.16322
              0        1.42025           1355       0.978149        1.02973
