# PERIMETERID   PERIMETERPI   PERIMETERPJ
#
           12   394.3811667   552.6583520
           26   383.7519511   550.0779269
           77   373.9507709   545.4433427
          150   366.2309244   540.0668343
          751   343.3927207   514.4418530
         3795   296.6276311   454.0857163
         4845   286.9617010   440.1363808
         5215   283.7227277   435.3271481
         5741   280.0308440   429.6203478
         5811   279.7415314   428.5956963
         6722   278.0905902   418.4647752
         7710   278.4613340   408.0256080
         8351   279.5630438   401.4088039
         8418   279.6877985   400.8130447
         8860   281.6390696   396.2098780
         9723   288.3086025   387.0282126
         9988   290.8477834   384.4407478
        19120   454.5421124   243.6548891
        19207   459.4941542   239.6143638
        19307   467.4421510   234.0591274
        19383   476.4794797   228.2402906
        19423   488.7472297   224.4397144
        19427   492.8722320   223.5427778
        19431   496.7114739   222.7183283
        19416   502.3669000   224.9499448
        19389   508.2487695   227.7820529
        19283   519.8532279   235.6618177
        19173   526.6458655   240.8841814
        17987   561.1771256   278.3930043
        15677   597.5170725   318.8120787
        15479   599.7041837   321.4825796
        15047   603.8523562   327.5705194
        14652   606.8369597   332.5996435
        13406   613.3764085   346.9193930
        12102   613.7820876   361.6010289
        11326   612.0964821   370.1592639
        11042   611.3691678   372.9627573
        10200   604.7773469   381.8750920
         9568   599.4796765   388.7395762
         8908   591.9885978   395.6089600
         2779   507.7814920   469.6417526
         1734   484.5928419   489.4601563
          661   450.2181278   517.6516852
          277   431.7146786   532.6684705
          225   427.8464229   535.5611044
           61   412.9527722   546.2206185
           39   408.6562279   548.5133718
           23   405.2714360   550.0351539
           13   397.3426439   552.3756983
           18   390.3985783   550.8943972
           38   382.2862048   548.8103170
           83   373.8997417   544.7262819
          130   368.9991522   541.4221817
          417   354.9213967   526.7407009
          604   348.2487605   519.3593665
          877   340.9119198   511.1691136
         3510   300.5342356   458.4660014
         5048   285.5577176   437.5227239
         5152   284.7638974   436.3174785
         6020   279.7517143   426.4822625
         6990   278.5736103   415.8147653
         8217   280.9255855   402.4698015
         8580   281.8023937   398.9289566
         9049   284.4344431   393.9562352
         9951   291.1839297   384.8587317
        10337   296.5217369   380.1525034
        18169   419.8446870   274.0096740
        18938   446.6554686   251.5290484
        19169   459.4146256   240.9799799
        19337   470.4303474   232.1624250
        19399   482.9189606   227.2038708
        19418   488.5891112   224.9811440
        19424   498.9242441   224.0616518
        19394   506.9780941   227.2450810
        19350   512.8493590   231.1271125
        19212   524.2939743   239.0882968
        19083   530.7174917   245.4129914
        17965   561.1828943   278.7287260
        15883   594.7614788   315.7763861
        15409   600.3395572   322.5541173
        14909   604.8465774   329.3841891
        13873   610.8846180   342.0488270
        13190   613.3844768   349.2083090
        12316   613.4474615   359.1957721
        11596   612.7066997   366.7180413
        11444   612.2333005   368.6341412
        11385   611.9504933   369.5747616
        11058   610.0534074   372.9857511
         9965   601.9613302   384.6215603
         9509   598.5891418   389.1277458
         8950   591.8981274   395.2346519
         3180   514.9715288   463.1856985
         2487   501.4333754   474.8767580
         2090   492.4472086   482.4771509
         1289   472.4966682   499.2972747
          601   447.7192710   519.6382481
          441   440.3944941   525.5534230
          189   425.1099955   537.3665303
          125   419.1294521   541.7375804
           50   409.3196578   547.3301614
           19   401.9851369   550.8781784
           15   398.2248045   551.2796827
           16   395.4182375   551.2148873
           20   392.9079788   550.7608034
           42   380.5380954   547.8370544
           85   375.2572203   544.6738114
          129   371.2200355   541.6078778
          149   369.8172084   540.4361043
          856   342.1877117   511.6761822
         1814   323.0040684   487.5047587
         3668   298.8987421   455.9596061
         5153   285.1875462   435.8956992
         5896   281.7174602   427.7270455
         6523   279.0396258   420.6875715
         7454   279.5393707   410.4117734
         8417   281.5208717   400.8149106
         9286   287.1090165   391.6233490
         9722   290.1063890   386.9125237
        10121   294.3159747   382.7684123
        10336   296.7655176   380.5900567
        18103   418.3974948   275.7272030
        18865   444.3130584   254.1949696
        19332   470.8372611   232.4565950
        19398   483.7768253   226.9419318
        19410   487.2441992   225.8715872
        19417   491.1260280   224.9549480
        19419   493.1202399   224.7105361
        19422   495.4002898   224.4896813
        19420   497.4511033   224.5699133
        19395   505.4781355   226.9670553
        19224   523.6807397   238.7165317
        18731   543.0316549   259.1403927
        17422   570.7667318   289.3360464
        15678   597.0548931   318.6417968
        14185   608.8357079   338.0392950
        13899   609.8546384   341.6538487
        13631   610.6361088   344.4278300
        12772   613.1198595   354.3414706
        11937   612.4875637   362.7875517
        11268   610.9916402   370.5878006
        11147   610.3788588   372.0339126
        10507   606.0824145   378.5939953
         9461   597.6059924   389.5612288
         9224   594.7341736   392.3691035
         8746   589.4797657   397.0992762
         7642   576.5579803   408.7026753
         4806   540.5657080   440.5109709
         3267   516.5353275   461.6524048
         2374   499.2683496   476.5583784
         1838   486.7288913   487.0907858
          701   451.6199486   516.4239451
          545   445.0933658   521.6593219
          176   423.6252378   538.3208920
          116   417.8570003   542.3411402
          102   416.0121594   543.3838642
           17   399.5393112   550.9956707
           24   391.4861628   550.1945884
           46   381.7332564   548.0102587
          111   372.7638363   542.6230048
          219   366.0655897   536.0045386
          309   361.8245847   531.5022023
          569   352.0749279   520.9999264
         1081   337.2951554   504.9820977
         1377   331.2648561   497.5909204
         2318   315.9448467   477.9995941
         3125   305.3447571   463.8880242
         4752   289.1538139   441.4835044
         6253   280.2117868   423.5157737
         6871   279.5449909   416.8777707
         7615   279.9655732   409.0667363
         7898   280.6956629   406.0568794
         8450   282.5276920   400.4129618
         9405   289.4129729   390.4407694
         9894   292.8365094   385.5602713
        10770   302.0346358   376.0606135
        18102   418.8254235   275.5400065
        19109   456.3484456   244.5104188
        19352   474.6824285   231.2021208
        19397   485.1915003   227.0470896
        19409   490.2454246   225.9032935
        19413   497.7350384   225.5432281
        19400   503.1633684   226.7674572
        19386   506.6692306   227.9539242
        19382   507.2971727   228.3291930
        19276   518.3959464   235.6541141
        19193   524.1629133   239.9653164
        19011   532.5581568   248.2835390
        17797   563.3888619   281.7666806
        17038   577.5188573   297.2972592
        16334   587.8282283   308.7221149
        16026   591.3895630   313.3252938
        14910   603.1519832   329.3138559
        14352   607.6715224   336.1558711
        13900   609.3804785   341.1590514
        13348   610.9380820   347.6339706
        12637   612.2238015   355.4807263
        12222   612.6097701   360.1064674
        11489   611.3225787   367.4501353
        11343   610.4123897   369.8978286
        10394   604.7249514   379.7766781
        10292   604.0730400   380.6695566
         9975   601.1024974   384.3765774
         9783   599.3924297   386.4464346
         8834   590.0236908   396.3276157
         8623   587.9674304   398.2895555
         7616   576.1232577   409.0173054
         6131   558.1961423   424.9128402
         3496   519.6917775   458.5823235
         2870   508.7420766   468.0914045
         2071   491.4332915   482.8720646
         1142   467.4793537   503.0303668
          510   443.8619606   522.4525218
          157   421.2215452   539.8671134
           99   414.0748933   543.6371280
           62   409.4880701   545.9986605
           32   403.2415005   549.1829496
           28   400.7536128   549.7009381
           22   396.9722388   550.3200653
           30   388.3808974   549.1276441
           36   384.4349325   548.5355431
           53   380.9326559   547.1229435
          105   375.1550596   543.1633914
          301   362.4194048   531.7448374
          483   355.2749895   524.1189985
          575   352.0239606   520.5003423
         1506   329.1729963   494.8976022
         3592   300.5550486   456.8141183
         4824   288.6872543   440.4024258
         6286   280.6366711   423.3075516
         7555   280.2815509   409.7250338
         8158   282.3924242   403.1106972
         8803   285.2155061   396.6302258
         9721   292.6735634   387.1479942
        10358   299.0096266   380.0417464
        10627   301.7000924   377.5575051
        18369   426.9703133   269.1882294
        18778   441.1143941   257.2386316
        19064   454.6407608   246.1039956
        19345   474.7533124   231.6676036
        19374   481.0800789   228.9445473
        19385   483.2320829   228.0664645
        19412   494.4904514   225.7086954
        19405   498.3051103   226.3530775
        19380   505.3250585   228.3285790
        19363   508.3007405   230.0252415
        19256   519.4708910   237.0493575
        19022   531.6821109   247.5522083
        18600   545.8598328   262.7399875
        17103   576.2765805   296.1280635
        16930   578.6735779   298.8780940
        16243   588.5398916   310.3545490
        16027   591.0546344   313.3312285
        15771   594.6088336   317.7363878
        15243   599.9985497   325.0433371
        14714   604.6610683   332.0306214
        14096   608.6009514   339.2663286
        12971   611.4694002   351.7874951
        12420   612.2734042   357.9835080
        11716   611.3122078   365.5388718
        11488   610.7715057   368.0420838
        11026   608.1032210   373.2760713
        10395   604.9189583   379.4077171
        10095   602.1191956   383.0431036
         8880   590.6311533   395.6440256
         7385   573.4079450   411.0458821
         5990   555.9674682   426.6130376
         3262   515.8754935   461.8185388
         2787   506.7464145   469.7118511
         1344   473.2699466   498.1003503
          808   455.4296056   512.9316228
          434   439.1563199   525.7021286
          330   433.2916961   530.2458284
          275   429.4229431   533.0238167
          112   416.4214665   542.2582214
           34   401.8273189   548.9824490
           27   398.6470134   549.8028230
           29   390.3250045   549.0863318
           37   385.1559149   548.4541503
           59   381.4903141   546.6526721
           93   377.4622314   544.1428330
          128   373.7447086   541.6748275
          376   359.7650993   528.4175792
          544   353.1945867   521.5613158
          638   350.3760805   518.4031985
         1512   329.5054051   494.7666966
         4207   294.4796836   448.3546894
         5151   287.1833649   436.2289533
         5989   282.4856230   426.6473019
         6512   280.6523077   420.8660205
         7098   280.6903031   414.5485721
         7384   281.0297899   410.1941545
         7987   281.8201098   405.0858919
         8509   284.1136712   399.3290550
         8859   286.6619810   396.0087486
         9681   293.4713515   387.4989298
        11010   306.8162065   373.5293275
        12986   331.6434226   351.8973778
        17589   408.2202738   286.1764098
        18415   429.9454750   267.6575799
        18976   451.4327925   249.7645525
        19130   459.3415781   243.2992819
        19287   469.5194048   235.6405030
        19344   476.9396612   231.5711373
        19370   482.2586747   229.1903807
        19388   485.9549307   227.7768971
        19393   487.8064235   227.2763250
        19407   491.8952901   226.3753830
        19408   496.0259728   226.1579090
        19406   496.9761223   226.2856221
        19401   499.5619083   226.7790305
        19387   502.1106593   227.8524218
        19372   504.1309695   228.7036190
        19346   510.2768390   231.3078121
        19300   514.7916475   234.3744872
        19054   530.0079819   246.2424491
        18526   547.6792034   264.8903959
        18402   550.6362803   268.0750981
        15963   591.9249547   314.5334773
        14825   603.3724878   330.6654906
        14553   605.6612390   334.0198314
        13945   608.4843308   341.0090247
        13436   609.8399190   346.7464951
        12317   611.6549739   359.1205670
        11815   610.8417909   364.4604093
        10771   606.8596063   375.6609558
        10190   603.0431257   381.7892663
         8709   588.0784116   397.4050836
         7581   574.8858545   409.3473618
         5252   546.2548794   434.9575541
         3372   517.6095847   460.2857414
         1898   487.9214082   485.6736660
         1496   477.2968316   494.6797228
         1014   462.0593129   507.3056622
          618   447.2452702   519.1955931
          373   435.4986788   528.5174868
          310   431.7073018   531.2493965
          212   424.9395878   535.8445311
           94   411.9751780   544.0623211
           60   406.7453677   546.6003193
           43   402.4905010   547.8257903
           35   397.6560377   548.8847955
           40   391.8935985   548.5116606
           41   386.2087631   548.1280551
           80   379.9249099   545.1755557
          115   375.8610466   542.6202240
          146   373.1973917   540.3751842
          352   361.8620660   529.5489630
          655   351.0621690   518.2714983
          990   341.5028457   507.8216799
         1261   335.0209678   500.4350252
         1495   330.5904659   495.1633387
         2317   317.2565070   478.1583232
         2508   314.7335032   474.6590120
         3783   300.0968594   454.3251842
         4655   291.6210347   442.5433390
         5412   286.2163478   433.0408631
         6059   282.3677649   425.8201076
         6223   281.9326786   424.0561256
         7383   281.3113128   411.0624543
         7614   281.7839192   409.0648774
         8240   283.3412479   402.4954482
         9258   290.5266722   391.4538382
         9873   295.7150791   385.4855082
        11362   311.4076009   369.5538144
        12390   324.0898413   358.5892879
        18194   423.4759069   273.4736418
        18499   432.5711892   265.7725157
        18930   449.3471557   251.6100343
        19172   462.7002564   240.7802826
        19309   472.6429821   234.0340785
        19359   479.3487041   230.5939267
        19376   483.9382577   228.8724310
        19403   492.8518312   226.9264143
        19402   497.6536764   226.9468928
        19360   506.9073271   230.0907181
        19313   512.8084099   233.2480088
        19247   518.4911518   237.4663693
        19045   530.5769764   246.9956824
        18577   546.1711890   263.4926009
        18280   553.5059923   271.5534939
        17469   568.8586012   288.6410935
        17438   569.4759948   289.3380504
        16622   582.7245726   304.4667262
        16155   588.2920936   311.4634151
        14815   602.3177771   330.8008909
        14204   607.0764428   338.1629267
        13817   608.7883760   342.6358358
        12823   610.6469634   353.7397682
        12137   610.4687034   361.2805672
        11544   609.4530535   367.2487278
        11092   607.3531134   372.6157146
        10824   605.7725051   375.5061205
        10432   603.7259015   379.1493703
         9966   600.1922915   384.4288949
         9171   592.3653031   392.8146650
         8464   585.3310021   399.8062836
         6540   562.5598908   420.2918330
         4167   530.4649113   448.7714887
         2626   503.3313413   472.2601070
         1756   484.1548287   488.6889096
          938   459.5801147   509.1996994
          754   452.6681860   514.8108108
          511   442.3264285   522.7650739
          266   428.6378097   533.1003492
          162   419.1844277   539.2083844
          126   415.2471599   541.6449243
          117   413.7345215   542.4510239
           75   408.1723714   545.4010348
           51   403.5357272   546.8403657
           47   395.1516118   547.6790139
           44   393.3276665   547.7656096
           49   386.6958956   547.7228533
           58   384.1137406   546.8423793
           74   381.7571503   545.6755974
          104   378.4293177   543.3245379
          173   372.0553602   538.7983806
          211   369.0298834   536.3408848
          335   363.3569429   530.4264013
          994   341.9061789   507.7593482
         2405   316.0942944   476.4082380
         4354   294.2268707   445.9220832
         5305   287.0034232   434.3110317
         5908   283.8240318   427.3957370
         6428   281.8425752   421.7410314
         6554   281.5580717   420.2776397
         6928   281.3161310   416.0826581
