#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
217      0.5213       0.221      0.8793      0.2637       1.916      0.6135       3.224       1.304       3.317       1.649       2.547       1.445      0.8949      0.5622      0.3754      0.2429      0.3384      0.2125      0.2983      0.1796     0.06672     0.04348     0.06162     0.04018     0.00506    0.003022
227      0.4586      0.2888      0.9781      0.5979       1.572      0.7275       1.247      0.5033      0.6775      0.2772      0.2741       0.113     0.05316     0.02283     0.01992     0.00896     0.01788    0.007495      0.0157     0.00593    0.003471    0.001631    0.003207    0.001506    0.004256    0.002204
239      0.1727      0.0399      0.2852     0.05695       1.293      0.2825        3.37      0.8715       4.769       1.296       4.569         1.3       2.131      0.6615        0.99       0.316      0.9003      0.2575      0.8002       0.192      0.1835     0.05925      0.1694      0.0547    0.006682    0.001769
242       0.133     0.07198       0.258      0.2067      0.5675      0.5405      0.7712      0.7608      0.6557      0.6513       0.358      0.3565     0.09111     0.09079     0.03505     0.03493     0.03151     0.03139     0.02771      0.0276    0.006202    0.006178    0.005731    0.005709     0.00151     0.00151
245      0.3624      0.1332      0.7814      0.2746       1.361      0.2825        1.23      0.3146       0.745      0.2497       0.333       0.133     0.06995     0.03216      0.0264     0.01271     0.02372     0.01075     0.02084    0.008645    0.004617    0.002333    0.004265    0.002155    0.003474    0.000968
247      0.1731       0.105      0.1871      0.1237      0.1198     0.08428     0.04405     0.03188     0.01642     0.01202    0.005221    0.003825   0.0009228   0.0006733   0.0003339   0.0002498   0.0002998     0.00022   0.0002637   0.0001883   7.258e-05   5.292e-05   6.895e-05   5.015e-05   0.0008282   0.0005589
248      0.2098      0.1312      0.5395      0.4675      0.9806      0.9394       0.942       0.925      0.6436      0.6364      0.3225      0.3199     0.07532     0.07478     0.02844     0.02823     0.02553     0.02533     0.02242     0.02222    0.004961     0.00492    0.004582    0.004543     0.00242    0.002419
254      0.1424     0.08393      0.4611      0.2996        1.05      0.6085       1.181      0.6813      0.8987      0.5353      0.4586      0.2903      0.1067     0.07098     0.03945     0.02631     0.03533     0.02287     0.03094     0.01921    0.006662    0.004418    0.006145    0.004074    0.002718    0.001561
255       1.701       0.316       2.969      0.2715       5.043       0.666       5.304       1.448       3.934       1.388       1.943      0.7865      0.4441      0.1983      0.1679     0.07675      0.1507      0.0643      0.1324     0.05099     0.02947     0.01368     0.02722     0.01263      0.0107    0.003387
256       1.189      0.3328        2.71      0.4095       9.083       0.502       15.61        0.64       15.22        1.44        10.6       1.623       3.189       0.701       1.253      0.3025       1.125       0.224      0.9884      0.1395      0.2154     0.05325      0.1987      0.0491     0.02827    0.001135
257       1.165       0.105       2.586      0.1085       7.979      0.0665        12.5       0.185       11.72        0.23        7.96      0.1805       2.337      0.0555       0.912      0.0218       0.819    -0.02585      0.7189     -0.0771      0.1561     0.00365       0.144     0.00335     0.02124    0.000605
262      0.3063      0.2341      0.5238      0.4812      0.8587      0.8433      0.6558      0.6512      0.3606      0.3589      0.1444      0.1438     0.02985     0.02973     0.01135     0.01131      0.0102     0.01016    0.008968    0.008927    0.001988    0.001987    0.001838    0.001837    0.001877    0.001877
264      0.2721      0.0918      0.6933       0.284       2.582       0.696       4.572      0.8625       4.486       1.132        3.31       1.147       1.095      0.5008      0.4467      0.2199      0.4021      0.1869       0.354      0.1513     0.07817     0.03964     0.07212     0.03658    0.008323    0.001535
270      0.2706      0.0876      0.6287       0.256       1.068      0.4499      0.9985      0.4195      0.6523      0.2945      0.2899       0.136     0.06212     0.03125      0.0232     0.01194     0.02081     0.01014     0.01826     0.00822    0.004025    0.002102    0.003716    0.001943    0.002586    0.001273
277      0.1176     0.06905      0.3312      0.1992      0.9759      0.5581       1.617      0.9955       1.555       1.034       1.065      0.7651      0.3169      0.2406      0.1242     0.09561      0.1115     0.08441     0.09788     0.07236     0.02123     0.01636     0.01958     0.01509    0.002974    0.001764
288       1.178      0.4896       1.812       0.493       1.957       0.681       1.257      0.6696       0.628      0.3821      0.2361      0.1552     0.04596     0.03163     0.01715     0.01193     0.01539     0.01044     0.01351    0.008853    0.003021    0.002056      0.0028    0.001898     0.00681    0.002065
289      0.2763      0.1169      0.5762      0.2253       2.149      0.5975       3.812      0.7625       4.068      0.7575       3.269      0.7135       1.296      0.3848      0.5706      0.1877      0.5161      0.1523      0.4562      0.1131      0.1017     0.03521      0.0938      0.0325    0.006434    0.001504
309      0.4315      0.3008       1.161      0.8272       2.882       0.908       3.905      0.8055       3.498       1.522       2.472       1.608      0.8497      0.6754      0.3575      0.2942       0.322      0.2621      0.2836      0.2271     0.06255     0.05185     0.05769     0.04781    0.008629    0.001118
314      0.3975      0.2272      0.7156      0.4435       1.108      0.7967      0.8168      0.6562      0.4356      0.3663      0.1709      0.1476     0.03488     0.03072     0.01322      0.0117     0.01187     0.01044     0.01043    0.009084    0.002314    0.002059     0.00214    0.001903     0.00265    0.001774
316      0.1265     0.07103      0.3038      0.1532      0.7357      0.6173       1.037      0.9752      0.9346      0.9044      0.6161      0.6039      0.1777       0.175     0.06916     0.06814     0.06221     0.06124     0.05476     0.05384     0.01221       0.012     0.01127     0.01108    0.001843    0.001843
317      0.9143      0.2586       1.921      0.4105       2.904      0.9535       2.095      0.9865        1.11      0.5942      0.4337      0.2511     0.08813     0.05367     0.03335      0.0206     0.02996     0.01787     0.02632     0.01494    0.005864    0.003612    0.005426    0.003335     0.00721    0.001669
330     0.05958     0.03734      0.1887      0.1281      0.6341       0.502       1.132      0.9771       1.161       1.039      0.8487      0.7753      0.2718      0.2521      0.1092      0.1016     0.09813     0.09099     0.08627     0.07954      0.0188     0.01749     0.01734     0.01613       0.002    0.001795
