#       coo_SED             id   dist_to_MS_1   dist_to_MS_2       lg_Mstar         lg_SFR    lg_MSSFR_Sargent  lg_MSSFR_Schreiber               Valid                  SNR
#
              0            180      -0.712114      -0.666464         10.862       0.980276             1.69239             1.64674                   1              1.3395
             -0            185            -99            -99            -99            -99                 -99                 -99                   0                 -99
              0            186      -0.167138      -0.196284         10.262          1.077             1.24414             1.27329                   1             2.22305
              0            207      -0.135829    -0.00193855        9.87195        1.04999             1.18582             1.05193                   1                   1
             -1            208     -0.0353567      0.0867051        9.92195        1.18611             1.22147              1.0994                   1             3.13265
              0            213       0.632882       0.567524         10.482        1.56348            0.930599            0.995957                   1             1328.49
              0            214      0.0139937      0.0232827         10.762        2.12287             2.10888             2.09959                   1             2.33874
             -1            216       0.313246       0.294354        8.51195      -0.597567           -0.910813           -0.891921                   1             5.32687
              0            217      -0.734926      -0.659091         11.452         1.9424             2.67733              2.6015                   1             1.59207
              0            227       0.300719       0.327395        9.48195        0.73464            0.433921            0.407245                   1             2.04367
              0            239       0.249949       0.246115         10.602        2.33866             2.08871             2.09254                   1             2.88912
              0            242      -0.498365      -0.516991         10.292       0.810837              1.3092             1.32783                   1                   1
              0            245       0.179816       0.174696        9.45195       0.507856             0.32804            0.333159                   1              2.1367
              0            247      -0.433147      -0.266503        7.47995       -2.25414              -1.821            -1.98764                   1                   1
              0            248      -0.189937      -0.154951        9.97195       0.877199             1.06714             1.03215                   1                   1
              0            254       0.308418       0.460471        9.54195        1.09934            0.790917            0.638864                   1             1.40087
              0            255      -0.448403      -0.305262         11.132        1.51202             1.96042             1.81728                   1             2.87445
             -1            256      -0.221918      0.0421981         11.712        2.58058              2.8025             2.53838                   1             3.81463
              0            257       0.734404       0.825692         10.282        2.41078             1.67637             1.58508                   1              35.077
              0            262       0.408796       0.474635        8.43995       -0.37976           -0.788556           -0.854395                   1                   1
              0            264       0.337095       0.426433         10.302        2.04727             1.71018             1.62084                   1             2.55032
              0            270        0.12308       0.208823        9.61195       0.849051            0.725971            0.640228                   1             1.96059
              0            277       0.136003       0.272831         10.022        1.55859             1.42259             1.28576                   1             1.38765
              0            288      -0.253204      -0.433646        9.87195       0.113943            0.367147            0.547589                   1             1.58595
              0            289       0.129495       0.124415         10.722        2.27254             2.14304             2.14812                   1             2.28554
             -0            309            -99            -99            -99            -99                 -99                 -99                   0                 -99
             -0            314            -99            -99            -99            -99                 -99                 -99                   0                 -99
              0            316      -0.810619      -0.777847         10.912        1.29907             2.10969             2.07692                   1                   1
              0            317      -0.745781      -0.771768         10.552       0.148294            0.894075            0.920062                   1             1.97391
              0            330       0.143809       0.321503        9.86195        1.47683             1.33302             1.15533                   1             1.07958
              0            337       0.225193       0.440982        9.68995        1.53403             1.30883             1.09304                   1                   1
              0            339      -0.410295      -0.436144        9.80195       0.308137            0.718432            0.744281                   1                   1
              0            340      -0.118753     -0.0650081        9.97195       0.992554             1.11131             1.05756                   1             1.47332
              0            343      -0.190012      -0.283452         10.122       0.712144            0.902156            0.995597                   1             1.47299
              0            356        0.75538       0.868381        9.47995        1.37603            0.620649            0.507648                   1             3.51419
              0            365     -0.0513936      0.0103509        9.63995       0.656194            0.707588            0.645843                   1                   1
              0            368       0.100451        0.14532        9.16195       0.175802           0.0753505           0.0304819                   1                   1
             -0            371            -99            -99            -99            -99                 -99                 -99                   0                 -99
             -1            374     -0.0925056      -0.153013         10.492        1.07225             1.16476             1.22526                   1             12.6243
             -1            375      0.0363693      0.0283862         10.552        1.59439             1.55802             1.56601                   1              7.7576
              0            376       0.167291       0.180395         11.172        2.62201             2.45472             2.44161                   1             2.95763
              0            379       0.698725       0.792633        9.99195        2.32899             1.63027             1.53636                   1             18.4996
