#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
       266                   0.0425666                   0.0348825
       267                   0.0407694                   0.0366307
       268                    0.044556                   0.0363941
       269                   0.0487841                   0.0394321
       270                   0.0461107                   0.0372737
       271                    0.043406                   0.0345703
       272                   0.0482044                   0.0379639
       273                   0.0418994                   0.0363801
       274                    0.038946                   0.0325337
       275                   0.0433105                   0.0382491
       276                   0.0445923                   0.0333811
       277                   0.0498559                    0.039828
       278                   0.0456671                   0.0375976
       279                   0.0417733                   0.0314748
       280                      0.0482                   0.0376717
       281                   0.0477241                   0.0356829
       282                   0.0451759                   0.0329307
       283                    0.048798                   0.0383642
       284                   0.0420914                   0.0378492
       285                   0.0446994                   0.0342013
       286                   0.0372328                   0.0317705
       287                   0.0419804                   0.0380675
       288                   0.0495899                   0.0371436
       289                    0.049391                   0.0364398
       290                    0.038264                   0.0316202
       291                   0.0453384                   0.0371277
       292                   0.0481441                   0.0372418
       293                   0.0449268                    0.033988
       294                   0.0415689                   0.0344788
       295                   0.0458282                   0.0392232
       296                   0.0434018                   0.0369002
       297                   0.0449297                   0.0357516
       298                   0.0418112                   0.0339409
       299                   0.0450469                   0.0354983
       300                   0.0447275                    0.033338
       301                   0.0423062                   0.0367532
       302                   0.0462935                   0.0375218
       303                   0.0413484                   0.0366458
       304                   0.0426134                   0.0331159
       305                   0.0468877                   0.0382199
       306                    0.044264                   0.0414602
       307                   0.0535709                   0.0403474
       308                   0.0455535                   0.0381363
       309                   0.0482096                   0.0351754
       310                   0.0492898                   0.0395919
       311                   0.0387886                   0.0320337
       312                   0.0438006                   0.0392557
       313                   0.0390957                   0.0341166
       314                   0.0462239                   0.0344854
       315                   0.0396715                   0.0363384
       316                   0.0457639                   0.0382509
       317                    0.052141                   0.0382003
       318                   0.0422954                   0.0377746
       319                   0.0445462                   0.0344966
       320                   0.0435722                   0.0336084
       321                   0.0553466                   0.0428603
       322                   0.0403369                   0.0340873
       323                   0.0446612                   0.0367489
       324                   0.0460487                   0.0355088
       325                   0.0464086                   0.0400134
       326                   0.0471061                   0.0401098
       327                    0.041772                   0.0351929
       328                   0.0430979                   0.0357759
       329                   0.0464534                   0.0338741
       330                   0.0466445                   0.0418132
       331                     0.04122                   0.0322954
       332                   0.0430331                   0.0373304
       333                   0.0463996                   0.0410922
       334                   0.0424714                   0.0335818
       335                   0.0435651                     0.03562
       336                    0.039609                   0.0311616
       337                   0.0500477                   0.0391308
       338                   0.0463221                   0.0370949
       339                   0.0454679                   0.0325265
       340                   0.0478603                   0.0350912
       341                    0.048047                   0.0394755
       342                   0.0475917                   0.0424084
       343                   0.0461383                    0.039928
       344                   0.0463275                   0.0369823
       345                   0.0450866                   0.0364609
       346                   0.0376076                   0.0310289
       347                   0.0459744                   0.0342938
       348                   0.0430349                    0.032815
       349                   0.0537998                   0.0390163
       350                   0.0436521                   0.0363994
       351                   0.0454148                   0.0365593
       352                   0.0413224                   0.0335617
       353                   0.0443419                   0.0362331
       354                   0.0474497                   0.0388399
       355                   0.0424395                   0.0350256
       356                   0.0487302                    0.038983
       357                   0.0515458                   0.0391294
       358                    0.042432                   0.0368096
       359                   0.0456354                   0.0355539
       360                   0.0419118                   0.0360348
       361                   0.0457818                   0.0352157
       362                   0.0518203                   0.0402389
       363                   0.0518163                   0.0389569
       364                   0.0432062                   0.0340297
       365                   0.0463935                   0.0413053
       366                   0.0464521                   0.0363019
       367                   0.0508791                   0.0390451
       368                    0.042363                   0.0314596
       369                   0.0479739                   0.0411656
       370                   0.0438882                   0.0336047
       371                   0.0472008                   0.0397945
       372                   0.0517724                   0.0373885
       373                   0.0479943                   0.0384969
       374                    0.048644                   0.0418156
       375                   0.0465498                   0.0355666
       376                   0.0427792                   0.0342817
       377                     0.04602                   0.0368435
       378                   0.0469162                    0.036624
       379                   0.0476381                   0.0402603
       380                   0.0413314                   0.0345024
       381                   0.0468951                   0.0383897
       382                    0.044714                   0.0349308
       383                   0.0533647                   0.0345822
       384                   0.0422204                   0.0348429
       385                   0.0416814                   0.0350156
       386                   0.0462818                   0.0370599
       387                    0.042443                    0.035612
       388                    0.049353                   0.0382191
       389                    0.047344                   0.0413247
       390                   0.0470868                   0.0391769
       391                   0.0449338                   0.0372113
       392                   0.0464344                   0.0391982
       393                   0.0397623                    0.032123
       394                   0.0464002                   0.0370404
       395                   0.0453471                   0.0380513
       396                   0.0423597                    0.035932
       397                   0.0414182                   0.0350418
       398                    0.049629                   0.0365067
       399                   0.0438663                   0.0329831
       400                   0.0420887                   0.0356423
       401                   0.0475556                   0.0393222
       402                   0.0477261                   0.0397608
       403                   0.0428877                   0.0353567
       404                   0.0435411                   0.0337262
       405                   0.0461676                   0.0326455
       406                    0.047137                    0.034571
       407                   0.0433266                   0.0332974
       408                   0.0527037                   0.0447645
       409                   0.0446091                    0.036761
       410                   0.0428243                   0.0338625
       411                   0.0404734                   0.0338748
       412                   0.0435635                    0.036191
       413                   0.0466487                   0.0358914
       414                   0.0401458                   0.0315054
       415                   0.0422353                   0.0360363
       416                   0.0451993                   0.0376557
       417                   0.0521849                    0.034164
       418                   0.0430064                   0.0359451
       419                    0.045747                   0.0343998
       420                   0.0452644                   0.0322885
       421                   0.0389549                   0.0328086
       422                   0.0448026                   0.0356098
       423                   0.0449214                   0.0375359
       424                   0.0467112                   0.0407107
       425                   0.0432011                   0.0357976
       426                   0.0485804                   0.0371631
       427                   0.0469608                   0.0338285
       428                   0.0417148                   0.0358152
       429                   0.0461884                   0.0395581
       430                   0.0427196                   0.0359123
       431                   0.0456728                   0.0331442
       432                   0.0446342                   0.0346896
       433                   0.0444372                   0.0336694
       434                   0.0489363                    0.034029
       435                   0.0380861                   0.0314346
       436                   0.0483543                   0.0372624
       437                   0.0490018                   0.0382548
       438                    0.044538                    0.036758
       439                    0.047425                   0.0388401
       440                   0.0485739                   0.0337182
       441                   0.0420973                   0.0342454
       442                   0.0425958                   0.0364748
       443                   0.0449518                   0.0319658
       444                    0.046819                   0.0406242
       445                    0.042597                   0.0349053
       446                   0.0425074                   0.0331972
       447                   0.0465519                   0.0324511
       448                   0.0461127                   0.0361521
       449                   0.0404095                   0.0339424
       450                   0.0430505                   0.0337245
       451                   0.0474262                   0.0366094
       452                   0.0403592                   0.0356334
       453                   0.0426563                   0.0373625
       454                    0.046712                   0.0381126
       455                    0.046915                   0.0385137
       456                   0.0423208                   0.0385129
       457                   0.0451602                   0.0405691
       458                   0.0411962                   0.0336293
       459                   0.0421085                   0.0356072
       460                   0.0429561                   0.0315536
       461                   0.0486673                   0.0369978
       462                   0.0464145                   0.0384545
       463                   0.0463794                   0.0346065
       464                   0.0397089                   0.0357259
       465                   0.0459325                    0.040374
       466                   0.0410109                    0.033259
       467                   0.0423524                   0.0329348
       468                   0.0451722                    0.039889
       469                   0.0497102                   0.0384797
       470                   0.0430827                   0.0375621
       471                   0.0380158                    0.032255
       472                   0.0419081                   0.0354126
       473                   0.0423495                   0.0377748
       474                   0.0407533                   0.0322292
       475                    0.045248                   0.0357361
       476                   0.0446345                   0.0365131
       477                   0.0461886                   0.0413543
       478                   0.0444632                   0.0327029
       479                   0.0387842                   0.0331478
       480                   0.0404638                   0.0376129
       481                   0.0451597                    0.034329
       482                   0.0428057                    0.035792
       483                   0.0454373                   0.0374025
       484                   0.0479238                    0.039468
       485                   0.0458716                   0.0366163
       486                   0.0439354                   0.0363086
       487                   0.0404376                   0.0314024
       488                   0.0491669                   0.0389046
       489                   0.0499781                   0.0354536
       490                   0.0391107                   0.0312281
       491                   0.0468136                   0.0416545
       492                   0.0457319                   0.0283294
       493                   0.0404984                   0.0337686
       494                   0.0394485                   0.0338988
       495                   0.0445336                   0.0335406
       496                   0.0410014                   0.0335558
       497                   0.0420389                   0.0358014
       498                   0.0439862                   0.0378827
       499                   0.0430213                   0.0382832
       500                   0.0410592                    0.036005
       501                   0.0441311                   0.0342021
       502                   0.0474319                   0.0361771
       503                   0.0448042                   0.0345764
       504                   0.0438089                   0.0352765
       505                   0.0503859                   0.0409488
       506                    0.038737                   0.0329539
       507                   0.0419355                   0.0339306
       508                   0.0437523                    0.033897
       509                   0.0441653                   0.0358758
       510                   0.0429358                   0.0332096
       511                   0.0443137                   0.0390181
       512                   0.0460109                   0.0370515
       513                   0.0422101                    0.037821
       514                   0.0446575                   0.0322714
       515                   0.0436763                   0.0369702
       516                   0.0467345                    0.035747
       517                   0.0438909                   0.0367505
       518                   0.0496939                   0.0397838
       519                   0.0395894                   0.0296097
       520                   0.0543347                   0.0415111
       521                   0.0459513                   0.0392178
       522                   0.0469628                   0.0359119
       523                   0.0470546                   0.0367936
       524                   0.0400903                    0.032827
       525                   0.0524862                    0.038829
       526                   0.0431925                   0.0345661
       527                   0.0370681                   0.0324604
       528                   0.0443532                   0.0402923
       529                   0.0405666                   0.0369492
       530                   0.0468194                   0.0385914
       531                   0.0414666                   0.0314159
       532                   0.0423549                   0.0362648
       533                   0.0427765                   0.0344024
       534                   0.0457149                   0.0388233
       535                   0.0509766                   0.0397889
       536                   0.0510717                   0.0411882
       537                   0.0524814                   0.0402477
       538                   0.0467447                   0.0389834
       539                    0.043092                   0.0346375
       540                   0.0481511                    0.034427
       541                   0.0447819                   0.0358072
       542                   0.0438341                   0.0344454
       543                   0.0461787                   0.0385965
       544                   0.0422964                   0.0334269
       545                   0.0456211                   0.0315975
       546                   0.0511084                   0.0381651
       547                    0.042931                   0.0341048
       548                   0.0398282                     0.03346
       549                   0.0493921                   0.0387071
       550                   0.0434294                   0.0352336
       551                   0.0487391                   0.0374567
       552                   0.0398522                   0.0295245
       553                   0.0436554                    0.036264
       554                    0.043151                   0.0330971
       555                   0.0448506                    0.032063
       556                   0.0439291                   0.0355283
       557                   0.0496454                   0.0366735
       558                   0.0481355                   0.0371126
       559                   0.0428097                   0.0331447
       560                    0.046678                   0.0409747
       561                   0.0423152                    0.037487
       562                   0.0442193                   0.0322378
       563                   0.0492164                   0.0414538
       564                   0.0411971                   0.0350879
       565                   0.0447938                   0.0363814
       566                   0.0410339                   0.0353401
       567                    0.043957                   0.0361876
       568                    0.047221                   0.0357821
       569                   0.0435162                   0.0340427
       570                   0.0435951                   0.0315612
       571                   0.0481808                   0.0374868
       572                   0.0453836                   0.0376163
       573                   0.0379811                   0.0347027
       574                   0.0476877                   0.0365221
       575                   0.0409129                    0.031618
       576                   0.0439813                   0.0355444
       577                   0.0469481                   0.0367839
       578                   0.0436376                   0.0397182
       579                   0.0445968                   0.0359265
       580                   0.0475001                   0.0378714
       581                   0.0426755                    0.035722
       582                   0.0451586                    0.036009
       583                    0.041785                   0.0296407
       584                   0.0464177                   0.0402461
       585                   0.0486292                   0.0383192
       586                     0.04819                   0.0401625
       587                   0.0492973                   0.0343011
       588                   0.0428779                   0.0348257
       589                   0.0499048                   0.0354287
       590                   0.0475316                   0.0329756
       591                   0.0491305                   0.0429322
       592                   0.0395996                   0.0332589
       593                   0.0407561                   0.0345104
       594                   0.0423976                    0.032421
       595                   0.0413632                   0.0344887
       596                   0.0415188                   0.0325043
       597                   0.0488705                   0.0410933
       598                   0.0470472                   0.0351984
       599                   0.0527894                   0.0440058
       600                   0.0475645                   0.0380886
       601                   0.0431689                   0.0345333
       602                   0.0428829                   0.0362748
       603                   0.0384651                   0.0323433
       604                   0.0436271                    0.033731
       605                   0.0405973                   0.0336034
       606                   0.0450628                   0.0366232
       607                   0.0408912                   0.0370999
       608                   0.0410623                   0.0334555
       609                   0.0448584                   0.0363726
       610                   0.0428093                   0.0337879
       611                   0.0430315                   0.0363513
       612                   0.0434751                    0.036412
       613                   0.0489395                   0.0339554
       614                   0.0484718                   0.0359056
       615                   0.0442619                   0.0345665
       616                   0.0439028                   0.0329936
       617                   0.0407345                   0.0348854
       618                   0.0407437                   0.0353291
       619                   0.0479084                    0.035959
       620                   0.0447897                   0.0367006
       621                   0.0463861                   0.0371555
       622                    0.055302                   0.0400441
       623                   0.0423666                   0.0355495
       624                   0.0447905                   0.0383646
       625                   0.0470431                   0.0399727
       626                   0.0490075                   0.0339356
       627                   0.0395798                   0.0338664
       628                    0.046777                   0.0413831
       629                   0.0378145                   0.0318741
       630                   0.0429693                    0.035052
       631                   0.0459676                   0.0384408
       632                   0.0413272                   0.0330165
       633                   0.0464606                   0.0373298
       634                   0.0398356                   0.0324147
       635                   0.0444187                   0.0316339
       636                     0.04353                   0.0367072
       637                   0.0429688                   0.0346654
       638                   0.0433795                   0.0376445
       639                   0.0417003                   0.0356031
       640                   0.0397292                   0.0332174
       641                   0.0511318                   0.0361096
       642                   0.0453062                   0.0382325
