#         SchechterM          SchechterP     SchechterP_log10
#
                7.86           0.0178087            -1.74937
                7.87           0.0174913            -1.75718
                7.88           0.0171795            -1.76499
                7.89           0.0168733             -1.7728
                 7.9           0.0165725            -1.78061
                7.91           0.0162771            -1.78842
                7.92           0.0159869            -1.79624
                7.93           0.0157019            -1.80405
                7.94           0.0154219            -1.81186
                7.95            0.015147            -1.81967
                7.96           0.0148769            -1.82749
                7.97           0.0146116             -1.8353
                7.98           0.0143511            -1.84312
                7.99           0.0140952            -1.85093
                   8           0.0138438            -1.85874
                8.01           0.0135969            -1.86656
                8.02           0.0133544            -1.87437
                8.03           0.0131163            -1.88219
                8.04           0.0128823            -1.89001
                8.05           0.0126525            -1.89782
                8.06           0.0124268            -1.90564
                8.07           0.0122052            -1.91346
                8.08           0.0119874            -1.92127
                8.09           0.0117736            -1.92909
                 8.1           0.0115635            -1.93691
                8.11           0.0113572            -1.94473
                8.12           0.0111545            -1.95255
                8.13           0.0109555            -1.96037
                8.14             0.01076            -1.96819
                8.15            0.010568            -1.97601
                8.16           0.0103793            -1.98383
                8.17           0.0101941            -1.99165
                8.18           0.0100121            -1.99947
                8.19           0.0098334             -2.0073
                 8.2          0.00965785            -2.01512
                8.21          0.00948542            -2.02294
                8.22          0.00931606            -2.03077
                8.23          0.00914971            -2.03859
                8.24          0.00898633            -2.04642
                8.25          0.00882584            -2.05424
                8.26          0.00866821            -2.06207
                8.27          0.00851339             -2.0699
                8.28          0.00836131            -2.07773
                8.29          0.00821194            -2.08555
                 8.3          0.00806523            -2.09338
                8.31          0.00792113            -2.10121
                8.32          0.00777958            -2.10904
                8.33          0.00764056            -2.11687
                8.34            0.007504            -2.12471
                8.35          0.00736988            -2.13254
                8.36          0.00723814            -2.14037
                8.37          0.00710874            -2.14821
                8.38          0.00698164            -2.15604
                8.39           0.0068568            -2.16388
                 8.4          0.00673418            -2.17172
                8.41          0.00661374            -2.17955
                8.42          0.00649544            -2.18739
                8.43          0.00637925            -2.19523
                8.44          0.00626512            -2.20307
                8.45          0.00615302            -2.21091
                8.46          0.00604291            -2.21875
                8.47          0.00593475             -2.2266
                8.48          0.00582852            -2.23444
                8.49          0.00572418            -2.24229
                 8.5          0.00562169            -2.25013
                8.51          0.00552103            -2.25798
                8.52          0.00542215            -2.26583
                8.53          0.00532503            -2.27368
                8.54          0.00522963            -2.28153
                8.55          0.00513593            -2.28938
                8.56           0.0050439            -2.29723
                8.57           0.0049535            -2.30509
                8.58           0.0048647            -2.31294
                8.59          0.00477749             -2.3208
                 8.6          0.00469182            -2.32866
                8.61          0.00460767            -2.33652
                8.62          0.00452502            -2.34438
                8.63          0.00444384            -2.35224
                8.64           0.0043641            -2.36011
                8.65          0.00428577            -2.36797
                8.66          0.00420884            -2.37584
                8.67          0.00413327            -2.38371
                8.68          0.00405905            -2.39158
                8.69          0.00398614            -2.39945
                 8.7          0.00391452            -2.40732
                8.71          0.00384418             -2.4152
                8.72          0.00377509            -2.42307
                8.73          0.00370722            -2.43095
                8.74          0.00364056            -2.43883
                8.75          0.00357508            -2.44671
                8.76          0.00351077             -2.4546
                8.77          0.00344759            -2.46248
                8.78          0.00338554            -2.47037
                8.79          0.00332459            -2.47826
                 8.8          0.00326472            -2.48615
                8.81          0.00320591            -2.49405
                8.82          0.00314814            -2.50195
                8.83           0.0030914            -2.50984
                8.84          0.00303567            -2.51775
                8.85          0.00298092            -2.52565
                8.86          0.00292715            -2.53356
                8.87          0.00287433            -2.54146
                8.88          0.00282245            -2.54937
                8.89          0.00277148            -2.55729
                 8.9          0.00272142             -2.5652
                8.91          0.00267225            -2.57312
                8.92          0.00262395            -2.58104
                8.93          0.00257651            -2.58897
                8.94           0.0025299             -2.5969
                8.95          0.00248412            -2.60483
                8.96          0.00243916            -2.61276
                8.97          0.00239499             -2.6207
                8.98           0.0023516            -2.62864
                8.99          0.00230898            -2.63658
                   9          0.00226712            -2.64453
                9.01            0.002226            -2.65247
                9.02          0.00218561            -2.66043
                9.03          0.00214593            -2.66838
                9.04          0.00210695            -2.67634
                9.05          0.00206867            -2.68431
                9.06          0.00203106            -2.69228
                9.07          0.00199412            -2.70025
                9.08          0.00195783            -2.70822
                9.09          0.00192219             -2.7162
                 9.1          0.00188717            -2.72419
                9.11          0.00185278            -2.73218
                9.12          0.00181899            -2.74017
                9.13           0.0017858            -2.74817
                9.14           0.0017532            -2.75617
                9.15          0.00172117            -2.76418
                9.16          0.00168971            -2.77219
                9.17          0.00165881             -2.7802
                9.18          0.00162846            -2.78822
                9.19          0.00159864            -2.79625
                 9.2          0.00156934            -2.80428
                9.21          0.00154057            -2.81232
                9.22           0.0015123            -2.82036
                9.23          0.00148453            -2.82841
                9.24          0.00145725            -2.83646
                9.25          0.00143046            -2.84452
                9.26          0.00140414            -2.85259
                9.27          0.00137828            -2.86066
                9.28          0.00135288            -2.86874
                9.29          0.00132792            -2.87683
                 9.3          0.00130341            -2.88492
                9.31          0.00127933            -2.89302
                9.32          0.00125568            -2.90112
                9.33          0.00123244            -2.90924
                9.34          0.00120961            -2.91736
                9.35          0.00118718            -2.92548
                9.36          0.00116515            -2.93362
                9.37          0.00114351            -2.94176
                9.38          0.00112225            -2.94991
                9.39          0.00110136            -2.95807
                 9.4          0.00108084            -2.96624
                9.41          0.00106069            -2.97441
                9.42          0.00104088             -2.9826
                9.43          0.00102143            -2.99079
                9.44          0.00100232            -2.99899
                9.45         0.000983545            -3.00721
                9.46           0.0009651            -3.01543
                9.47          0.00094698            -3.02366
                9.48         0.000929179             -3.0319
                9.49          0.00091169            -3.04015
                 9.5          0.00089451            -3.04842
                9.51         0.000877631            -3.05669
                9.52         0.000861049            -3.06497
                9.53         0.000844758            -3.07327
                9.54         0.000828753            -3.08157
                9.55          0.00081303            -3.08989
                9.56         0.000797582            -3.09822
                9.57         0.000782406            -3.10657
                9.58         0.000767496            -3.11492
                9.59         0.000752848            -3.12329
                 9.6         0.000738457            -3.13167
                9.61         0.000724319            -3.14007
                9.62         0.000710428            -3.14848
                9.63         0.000696781             -3.1569
                9.64         0.000683373            -3.16534
                9.65         0.000670201             -3.1738
                9.66         0.000657259            -3.18226
                9.67         0.000644544            -3.19075
                9.68         0.000632052            -3.19925
                9.69         0.000619779            -3.20776
                 9.7          0.00060772             -3.2163
                9.71         0.000595873            -3.22485
                9.72         0.000584234            -3.23341
                9.73         0.000572798              -3.242
                9.74         0.000561562             -3.2506
                9.75         0.000550523            -3.25922
                9.76         0.000539677            -3.26787
                9.77         0.000529021            -3.27653
                9.78         0.000518552            -3.28521
                9.79         0.000508265            -3.29391
                 9.8         0.000498159            -3.30263
                9.81         0.000488229            -3.31138
                9.82         0.000478473            -3.32014
                9.83         0.000468888            -3.32893
                9.84          0.00045947            -3.33774
                9.85         0.000450217            -3.34658
                9.86         0.000441126            -3.35544
                9.87         0.000432194            -3.36432
                9.88         0.000423418            -3.37323
                9.89         0.000414796            -3.38217
                 9.9         0.000406325            -3.39113
                9.91         0.000398002            -3.40012
                9.92         0.000389824            -3.40913
                9.93          0.00038179            -3.41818
                9.94         0.000373896            -3.42725
                9.95          0.00036614            -3.43635
                9.96          0.00035852            -3.44549
                9.97         0.000351034            -3.45465
                9.98         0.000343679            -3.46385
                9.99         0.000336453            -3.47308
                  10         0.000329353            -3.48234
               10.01         0.000322378            -3.49163
               10.02         0.000315525            -3.50097
               10.03         0.000308793            -3.51033
               10.04         0.000302179            -3.51974
               10.05         0.000295681            -3.52918
               10.06         0.000289297            -3.53866
               10.07         0.000283026            -3.54817
               10.08         0.000276865            -3.55773
               10.09         0.000270813            -3.56733
                10.1         0.000264868            -3.57697
               10.11         0.000259027            -3.58665
               10.12          0.00025329            -3.59638
               10.13         0.000247654            -3.60615
               10.14         0.000242118            -3.61597
               10.15          0.00023668            -3.62584
               10.16         0.000231339            -3.63575
               10.17         0.000226092            -3.64571
               10.18         0.000220939            -3.65573
               10.19         0.000215877            -3.66579
                10.2         0.000210906            -3.67591
               10.21         0.000206024            -3.68608
               10.22          0.00020123            -3.69631
               10.23         0.000196521            -3.70659
               10.24         0.000191897            -3.71693
               10.25         0.000187356            -3.72733
               10.26         0.000182897            -3.73779
               10.27         0.000178519            -3.74832
               10.28          0.00017422             -3.7589
               10.29         0.000169999            -3.76955
                10.3         0.000165855            -3.78027
               10.31         0.000161787            -3.79106
               10.32         0.000157793            -3.80191
               10.33         0.000153873            -3.81284
               10.34         0.000150025            -3.82384
               10.35         0.000146248            -3.83491
               10.36         0.000142541            -3.84606
               10.37         0.000138903            -3.85729
               10.38         0.000135333             -3.8686
               10.39          0.00013183            -3.87998
                10.4         0.000128393            -3.89146
               10.41         0.000125021            -3.90302
               10.42         0.000121713            -3.91466
               10.43         0.000118468             -3.9264
               10.44         0.000115286            -3.93822
               10.45         0.000112164            -3.95015
               10.46         0.000109103            -3.96216
               10.47         0.000106102            -3.97428
               10.48         0.000103159            -3.98649
               10.49         0.000100274            -3.99881
                10.5         9.74459e-05            -4.01124
               10.51         9.46743e-05            -4.02377
               10.52         9.19581e-05            -4.03641
               10.53         8.92967e-05            -4.04916
               10.54         8.66893e-05            -4.06203
               10.55         8.41351e-05            -4.07502
               10.56         8.16335e-05            -4.08813
               10.57         7.91837e-05            -4.10136
               10.58         7.67851e-05            -4.11472
               10.59         7.44369e-05            -4.12821
                10.6         7.21385e-05            -4.14183
               10.61         6.98892e-05            -4.15559
               10.62         6.76885e-05            -4.16949
               10.63         6.55356e-05            -4.18352
               10.64           6.343e-05            -4.19771
               10.65          6.1371e-05            -4.21204
               10.66          5.9358e-05            -4.22652
               10.67         5.73905e-05            -4.24116
               10.68         5.54679e-05            -4.25596
               10.69         5.35895e-05            -4.27092
                10.7         5.17549e-05            -4.28605
               10.71         4.99634e-05            -4.30135
               10.72         4.82146e-05            -4.31682
               10.73         4.65078e-05            -4.33247
               10.74         4.48426e-05            -4.34831
               10.75         4.32183e-05            -4.36433
               10.76         4.16346e-05            -4.38055
               10.77         4.00907e-05            -4.39696
               10.78         3.85863e-05            -4.41357
               10.79         3.71208e-05            -4.43038
                10.8         3.56937e-05            -4.44741
               10.81         3.43044e-05            -4.46465
               10.82         3.29526e-05            -4.48211
               10.83         3.16376e-05             -4.4998
               10.84          3.0359e-05            -4.51771
               10.85         2.91163e-05            -4.53586
               10.86          2.7909e-05            -4.55426
               10.87         2.67365e-05             -4.5729
               10.88         2.55984e-05            -4.59179
               10.89         2.44941e-05            -4.61094
                10.9         2.34232e-05            -4.63035
               10.91         2.23852e-05            -4.65004
               10.92         2.13796e-05               -4.67
               10.93         2.04058e-05            -4.69025
               10.94         1.94634e-05            -4.71078
               10.95         1.85518e-05            -4.73161
               10.96         1.76706e-05            -4.75275
               10.97         1.68192e-05            -4.77419
               10.98         1.59971e-05            -4.79596
               10.99         1.52038e-05            -4.81805
                  11         1.44388e-05            -4.84047
               11.01         1.37015e-05            -4.86323
               11.02         1.29914e-05            -4.88634
               11.03          1.2308e-05            -4.90981
               11.04         1.16508e-05            -4.93364
               11.05         1.10192e-05            -4.95785
               11.06         1.04126e-05            -4.98244
               11.07         9.83063e-06            -5.00742
               11.08          9.2726e-06             -5.0328
               11.09         8.73801e-06            -5.05859
                11.1          8.2263e-06             -5.0848
               11.11         7.73691e-06            -5.11143
               11.12         7.26929e-06            -5.13851
               11.13         6.82287e-06            -5.16603
               11.14          6.3971e-06            -5.19402
               11.15          5.9914e-06            -5.22247
               11.16         5.60523e-06            -5.25141
               11.17           5.238e-06            -5.28083
               11.18         4.88916e-06            -5.31077
               11.19         4.55814e-06            -5.34121
                11.2         4.24437e-06            -5.37219
               11.21         3.94729e-06             -5.4037
               11.22         3.66633e-06            -5.43577
               11.23         3.40095e-06             -5.4684
               11.24         3.15057e-06            -5.50161
               11.25         2.91466e-06            -5.53541
               11.26         2.69265e-06            -5.56982
               11.27           2.484e-06            -5.60485
               11.28         2.28818e-06            -5.64051
               11.29         2.10465e-06            -5.67682
                11.3         1.93288e-06             -5.7138
               11.31         1.77235e-06            -5.75145
               11.32         1.62256e-06             -5.7898
               11.33         1.48299e-06            -5.82886
               11.34         1.35316e-06            -5.86865
               11.35         1.23258e-06            -5.90919
               11.36         1.12077e-06            -5.95048
               11.37         1.01728e-06            -5.99256
               11.38         9.21645e-07            -6.03544
               11.39         8.33433e-07            -6.07913
                11.4         7.52214e-07            -6.12366
               11.41         6.77574e-07            -6.16904
               11.42         6.09112e-07             -6.2153
               11.43         5.46438e-07            -6.26246
               11.44          4.8918e-07            -6.31053
               11.45         4.36976e-07            -6.35954
               11.46         3.89482e-07            -6.40951
               11.47         3.46365e-07            -6.46047
               11.48          3.0731e-07            -6.51242
               11.49         2.72013e-07            -6.56541
                11.5         2.40188e-07            -6.61945
               11.51          2.1156e-07            -6.67457
               11.52         1.85873e-07            -6.73078
               11.53         1.62881e-07            -6.78813
               11.54         1.42354e-07            -6.84663
               11.55         1.24076e-07            -6.90631
               11.56         1.07845e-07             -6.9672
               11.57         9.34701e-08            -7.02933
               11.58         8.07758e-08            -7.09272
               11.59         6.95976e-08            -7.15741
                11.6         5.97837e-08            -7.22342
               11.61         5.11936e-08            -7.29078
               11.62         4.36979e-08            -7.35954
               11.63          3.7178e-08            -7.42971
               11.64         3.15252e-08            -7.50134
               11.65         2.66406e-08            -7.57446
               11.66          2.2434e-08            -7.64909
               11.67         1.88241e-08            -7.72529
               11.68         1.57373e-08            -7.80307
               11.69         1.31073e-08            -7.88249
                11.7          1.0875e-08            -7.96357
               11.71         8.98748e-09            -8.04636
               11.72         7.39776e-09             -8.1309
               11.73         6.06422e-09            -8.21723
               11.74         4.95017e-09            -8.30538
               11.75         4.02341e-09            -8.39541
               11.76         3.25576e-09            -8.48735
               11.77         2.62272e-09            -8.58125
               11.78         2.10303e-09            -8.67716
               11.79         1.67836e-09            -8.77511
                11.8         1.33299e-09            -8.87517
               11.81         1.05346e-09            -8.97738
               11.82         8.28345e-10            -9.08179
               11.83         6.47968e-10            -9.18845
               11.84         5.04189e-10            -9.29741
               11.85         3.90191e-10            -9.40872
               11.86         3.00296e-10            -9.52245
               11.87         2.29802e-10            -9.63865
               11.88         1.74837e-10            -9.75737
               11.89          1.3223e-10            -9.87867
                11.9         9.93993e-11            -10.0026
               11.91         7.42558e-11            -10.1293
               11.92           5.512e-11            -10.2587
               11.93         4.06495e-11            -10.3909
               11.94         2.97784e-11            -10.5261
               11.95         2.16662e-11            -10.6642
               11.96         1.56541e-11            -10.8054
               11.97         1.12296e-11            -10.9496
               11.98         7.99698e-12            -11.0971
               11.99         5.65241e-12            -11.2478
                  12         3.96472e-12            -11.4018
               12.01         2.75921e-12            -11.5592
               12.02         1.90491e-12            -11.7201
               12.03         1.30435e-12            -11.8846
               12.04         8.85659e-13            -12.0527
               12.05         5.96217e-13            -12.2246
               12.06         3.97851e-13            -12.4003
               12.07         2.63103e-13            -12.5799
               12.08         1.72397e-13            -12.7635
               12.09         1.11902e-13            -12.9512
                12.1         7.19377e-14             -13.143
               12.11         4.57918e-14            -13.3392
               12.12         2.88557e-14            -13.5398
               12.13         1.79963e-14            -13.7448
               12.14         1.11056e-14            -13.9545
               12.15         6.77955e-15            -14.1688
               12.16         4.09305e-15             -14.388
               12.17         2.44326e-15             -14.612
               12.18         1.44164e-15            -14.8411
               12.19         8.40595e-16            -15.0754
                12.2         4.84219e-16             -15.315
               12.21         2.75486e-16            -15.5599
               12.22         1.54751e-16            -15.8104
               12.23         8.58053e-17            -16.0665
               12.24         4.69474e-17            -16.3284
               12.25          2.5339e-17            -16.5962
               12.26         1.34869e-17            -16.8701
               12.27         7.07677e-18            -17.1502
               12.28         3.65946e-18            -17.4366
               12.29         1.86427e-18            -17.7295
                12.3         9.35319e-19             -18.029
               12.31         4.61971e-19            -18.3354
               12.32         2.24551e-19            -18.6487
               12.33         1.07374e-19            -18.9691
               12.34         5.04899e-20            -19.2968
               12.35         2.33376e-20            -19.6319
               12.36         1.05995e-20            -19.9747
               12.37         4.72834e-21            -20.3253
               12.38         2.07085e-21            -20.6839
               12.39         8.90059e-22            -21.0506
                12.4         3.75257e-22            -21.4257
               12.41         1.55125e-22            -21.8093
               12.42         6.28467e-23            -22.2017
               12.43         2.49416e-23            -22.6031
               12.44         9.69165e-24            -23.0136
               12.45         3.68546e-24            -23.4335
               12.46         1.37084e-24             -23.863
               12.47          4.9849e-25            -24.3023
               12.48         1.77124e-25            -24.7517
               12.49         6.14626e-26            -25.2114
                12.5         2.08171e-26            -25.6816
               12.51         6.87793e-27            -26.1625
               12.52         2.21551e-27            -26.6545
               12.53         6.95366e-28            -27.1578
               12.54         2.12526e-28            -27.6726
               12.55         6.32121e-29            -28.1992
               12.56         1.82854e-29            -28.7379
               12.57         5.14093e-30             -29.289
               12.58         1.40386e-30            -29.8527
               12.59           3.721e-31            -30.4293
                12.6         9.56629e-32            -31.0193
               12.61         2.38379e-32            -31.6227
               12.62         5.75331e-33            -32.2401
               12.63         1.34391e-33            -32.8716
               12.64         3.03593e-34            -33.5177
               12.65         6.62745e-35            -34.1787
               12.66         1.39697e-35            -34.8548
               12.67         2.84093e-36            -35.5465
               12.68         5.56934e-37            -36.2542
               12.69         1.05159e-37            -36.9782
                12.7         1.91075e-38            -37.7188
               12.71         3.33805e-39            -38.4765
               12.72         5.60163e-40            -39.2517
               12.73         9.02114e-41            -40.0447
               12.74         1.39289e-41            -40.8561
               12.75         2.05995e-42            -41.6861
               12.76         2.91503e-43            -42.5354
               12.77         3.94303e-44            -43.4042
               12.78         5.09286e-45             -44.293
               12.79         6.27438e-46            -45.2024
                12.8         7.36511e-47            -46.1328
               12.81         8.22806e-48            -47.0847
               12.82         8.73826e-49            -48.0586
               12.83         8.81151e-50            -49.0549
               12.84         8.42652e-51            -50.0744
               12.85         7.63279e-52            -51.1173
               12.86         6.54043e-53            -52.1844
               12.87         5.29487e-54            -53.2761
               12.88         4.04442e-55            -54.3931
               12.89         2.91085e-56             -55.536
                12.9         1.97127e-57            -56.7053
               12.91         1.25435e-58            -57.9016
               12.92         7.48867e-60            -59.1256
               12.93         4.18854e-61            -60.3779
               12.94         2.19145e-62            -61.6593
               12.95         1.07087e-63            -62.9703
               12.96         4.87961e-65            -64.3116
               12.97         2.07001e-66             -65.684
               12.98         8.16154e-68            -67.0882
               12.99          2.9857e-69             -68.525
                  13         1.01167e-70             -69.995
               13.01         3.16934e-72             -71.499
               13.02          9.1632e-74             -73.038
               13.03          2.4404e-75            -74.6125
               13.04         5.97559e-77            -76.2236
               13.05         1.34263e-78             -77.872
               13.06         2.76257e-80            -79.5587
               13.07         5.19478e-82            -81.2844
               13.08         8.90851e-84            -83.0502
               13.09         1.39025e-85            -84.8569
                13.1         1.97007e-87            -86.7055
               13.11         2.52925e-89             -88.597
               13.12          2.9351e-91            -90.5324
               13.13         3.07155e-93            -92.5126
               13.14         2.89165e-95            -94.5389
               13.15         2.44298e-97            -96.6121
               13.16          1.8475e-99            -98.7334
               13.17        1.24744e-101            -100.904
               13.18        7.50023e-104            -103.125
               13.19         4.0048e-106            -105.397
                13.2         1.8938e-108            -107.723
               13.21        7.90876e-111            -110.102
               13.22        2.90834e-113            -112.536
               13.23        9.38981e-116            -115.027
               13.24        2.65355e-118            -117.576
               13.25        6.54351e-121            -120.184
               13.26        1.40355e-123            -122.853
               13.27        2.61015e-126            -125.583
               13.28        4.19453e-129            -128.377
               13.29        5.80499e-132            -131.236
                13.3        6.89462e-135            -134.161
               13.31        7.00264e-138            -137.155
               13.32        6.06001e-141            -140.218
               13.33        4.45169e-144            -143.351
               13.34        2.76541e-147            -146.558
               13.35        1.44704e-150             -149.84
               13.36         6.3526e-154            -153.197
               13.37        2.33022e-157            -156.633
               13.38        7.11216e-161            -160.148
               13.39        1.79847e-164            -163.745
                13.4        3.75145e-168            -167.426
               13.41        6.42601e-172            -171.192
               13.42        8.99785e-176            -175.046
               13.43        1.02506e-179            -178.989
               13.44        9.45566e-184            -183.024
               13.45         7.0279e-188            -187.153
               13.46        4.18762e-192            -191.378
               13.47        1.99013e-196            -195.701
               13.48        7.50376e-201            -200.125
               13.49        2.23265e-205            -204.651
                13.5        5.21324e-210            -209.283
               13.51        9.49928e-215            -214.022
               13.52        1.34295e-219            -218.872
               13.53        1.46436e-224            -223.834
               13.54        1.22414e-229            -228.912
               13.55        7.79676e-235            -234.108
               13.56         3.7597e-240            -239.425
               13.57        1.36373e-245            -244.865
               13.58        3.69627e-251            -250.432
               13.59        7.43548e-257            -256.129
                13.6        1.10242e-262            -261.958
               13.61        1.19618e-268            -267.922
               13.62        9.42956e-275            -274.026
               13.63         5.3605e-281            -280.271
               13.64        2.18087e-287            -286.661
               13.65        6.30057e-294            -293.201
               13.66        1.28231e-300            -299.892
               13.67        1.82358e-307            -306.739
               13.68        1.79701e-314            -313.745
               13.69         1.2154e-321            -320.915
                13.7               1e-99                 -99
               13.71               1e-99                 -99
               13.72               1e-99                 -99
               13.73               1e-99                 -99
               13.74               1e-99                 -99
               13.75               1e-99                 -99
               13.76               1e-99                 -99
               13.77               1e-99                 -99
               13.78               1e-99                 -99
               13.79               1e-99                 -99
                13.8               1e-99                 -99
               13.81               1e-99                 -99
               13.82               1e-99                 -99
               13.83               1e-99                 -99
               13.84               1e-99                 -99
               13.85               1e-99                 -99
               13.86               1e-99                 -99
               13.87               1e-99                 -99
               13.88               1e-99                 -99
               13.89               1e-99                 -99
                13.9               1e-99                 -99
               13.91               1e-99                 -99
               13.92               1e-99                 -99
               13.93               1e-99                 -99
               13.94               1e-99                 -99
               13.95               1e-99                 -99
