#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
247      0.2744     0.09885      0.2941      0.1231      0.1855     0.08841     0.06749     0.03441     0.02502     0.01315    0.007941      0.0042    0.001403   0.0007395   0.0005114    0.000272   0.0004594    0.000232   0.0004041   0.0001895   0.0001129   5.547e-05   0.0001074    5.24e-05    0.001345   0.0005161
248      0.3071      0.1909      0.8757      0.6483       1.729       1.217        1.71       1.171       1.184      0.7936      0.5469       0.361      0.1164     0.07571     0.04258     0.02755     0.03811     0.02386     0.03335     0.01994    0.007208    0.004631    0.006654    0.004275    0.004383    0.003119
254      0.2962      0.0541       1.093      0.1359       2.275       0.382       2.335      0.5715       1.655      0.4885      0.7911        0.27      0.1751      0.0677     0.06428     0.02519     0.05754     0.02051     0.05036     0.01551     0.01084    0.004233        0.01    0.003907    0.005872    0.000976
255       4.933       1.794       13.63        6.16       24.84       12.15       23.18       11.62       15.42       7.824        6.95       3.561       1.447       0.745      0.5274      0.2712      0.4721      0.2293       0.413      0.1845      0.0892      0.0457     0.08233     0.04217     0.06234     0.03293
256        1.96        1.13       4.011       1.821       10.73       2.806       16.61        3.45       16.16       4.285       11.97       4.311       3.955       1.847       1.616      0.8121       1.455      0.6926       1.281      0.5631       0.284      0.1471      0.2621      0.1358     0.02812     0.00309
257       1.073      0.1168       2.728        0.11       9.534       0.706       15.56        1.23       14.87       1.175       10.21      0.8025       3.011       0.236       1.175      0.0925       1.054      0.0275      0.9257    -0.04185      0.2005     0.01575      0.1849      0.0145     0.02784     0.00214
262      0.5976      0.2914       1.098      0.5004       1.677      0.9864       1.209      0.8227      0.6484      0.4696      0.2554      0.1923     0.05224     0.04032     0.01981     0.01539      0.0178     0.01362     0.01564      0.0117    0.003474    0.002699    0.003214    0.002494    0.003987     0.00188
264      0.2002       0.113      0.7017      0.4484       2.366       1.549       3.641       2.352        3.36       2.189       2.258       1.496      0.6556      0.4464      0.2549      0.1752      0.2288      0.1533      0.2008      0.1297     0.04348     0.02993     0.04011      0.0276    0.006835    0.004384
270      0.4004      0.2832        1.07      0.8553       2.037       1.553       2.003       1.421       1.455       1.028      0.7769      0.5851      0.1894        0.15     0.07199     0.05751     0.06464     0.05091     0.05678     0.04386     0.01257      0.0101     0.01161    0.009328    0.005216     0.00402
277      0.1842     0.02225      0.6808      0.1978        2.18       0.311       3.469       0.838       3.227       1.045       2.138       0.883      0.6195      0.3012       0.241      0.1219      0.2164      0.1035      0.1899      0.0836     0.04108       0.021     0.03789     0.01936    0.006536    0.001277
288      0.9583      0.5877       1.505       0.753       2.186       1.336       1.714       1.316       0.945      0.7771       0.382      0.3264     0.07903     0.06917     0.03005     0.02647     0.02701     0.02362     0.02375     0.02055    0.005302    0.004643    0.004905    0.004289    0.005541    0.002953
289      0.3134      0.1663      0.6924      0.3996       2.544       1.504       4.304       2.292        4.95        2.93       4.287       2.813       1.795       1.315      0.8036      0.6094      0.7283      0.5439      0.6447      0.4709       0.145      0.1116      0.1338       0.103     0.00758     0.00388
309      0.5319      0.4732       1.306        1.18       2.488       2.146       3.998       2.643       5.358       3.297       6.074       5.196       5.621       5.449       4.346       4.284       4.162       4.103       3.928       3.873       1.421       1.411       1.332       1.323     0.01069    0.001235
314      0.7255      0.4835       1.099      0.6561       1.715       1.154       1.278      0.9474       0.677      0.5341      0.2645      0.2164      0.0538     0.04526     0.02037     0.01727      0.0183     0.01536     0.01608     0.01331     0.00358    0.003023    0.003313    0.002793    0.004104    0.002515
316      0.1317     0.07418      0.3299      0.1734      0.8572      0.5888       1.205      0.9078       1.069       0.815      0.6881      0.5259      0.2031      0.1592     0.08043     0.06368     0.07237     0.05647     0.06369     0.04872     0.01414     0.01127     0.01305     0.01041    0.002095    0.001615
