#           _id          snr100      snr160      snr250      snr350      snr500     snr1160       snrIR
#
           1634       0.174358         -99         -99         -99         -99         -99      0.1744
           1638        1.55156       1.784         -99         -99         -99         -99       2.365
           1644        1.15786      0.8234         -99         -99         -99         -99       1.421
           1648          25.06       13.47       5.763       3.927       1.539      0.3543       29.34
           1650       0.941407       0.535         -99         -99         -99   2.798e-10       1.083
           1651        3.17301       5.388       5.026        2.99       3.867       1.004       9.448
           1662      0.0458576       1.232         -99         -99         -99         -99       1.233
           1673        2.90306         -99         -99         -99         -99         -99       2.903
           1693        2.58661      0.8583         -99         -99         -99         -99       2.725
           1702    5.32155e-05         -99         -99         -99         -99         -99   5.322e-05
           1709       0.692846       2.149         -99         -99         -99         -99       2.258
           1710        1.66371       1.715         -99         -99         -99         -99        2.39
           1711     5.5902e-05   2.492e-05         -99         -99         -99         -99    6.12e-05
           1712        7.03164       6.854       2.077      0.7245         -99   2.582e-10       10.06
           1717        1.20995        2.04         -99         -99         -99         -99       2.371
           1724        4.98329        4.42       2.035         -99         -99         -99       6.965
           1734    3.78012e-05           0         -99         -99         -99         -99    3.78e-05
           1735        2.09635      0.6596        7.43       4.821       3.875       1.819       10.08
           1737        1.45777       6.275       1.215         -99         -99         -99       6.556
           1740        1.53147       1.661         -99         -99         -99         -99       2.259
           1741        2.83758   1.449e-05         -99         -99         -99         -99       2.838
           1747    4.61397e-05   2.146e-05         -99         -99         -99         -99   5.089e-05
           1753         4.0546       3.268        3.56       1.421         -99         -99       6.466
           1762        5.23327       11.79       6.555       4.718        2.85       1.805       15.59
           1764         1.2028      0.5038         -99         -99         -99         -99       1.304
           1775       0.107796   2.848e-05         -99         -99         -99         -99      0.1078
           1779    5.28236e-05       2.155         -99         -99         -99         -99       2.155
           1813        1.59153      0.1669         -99         -99         -99         -99         1.6
           1814       0.312585       2.047         -99         -99         -99         -99       2.071
           1818        2.18867       2.416         -99         -99         -99         -99        3.26
           1822        1.49264           0         -99         -99         -99         -99       1.493
           1824        1.02918      0.2748         -99         -99         -99       1.274       1.661
           1836        1.84044   2.164e-05         -99         -99         -99         -99        1.84
           1843        2.15593       1.128         -99         -99         -99         -99       2.433
           1847        2.85813       2.903         -99         -99         -99         -99       4.074
           1850        3.92089   2.069e-05         -99         -99         -99         -99       3.921
           1855       0.886439      0.8887         -99         -99         -99         -99       1.255
           1859        2.08247        1.04         -99         -99         -99         -99       2.328
           1865       0.423063      0.1122         -99         -99         -99         -99      0.4377
           1866        5.97167       1.828       2.527         -99         -99         -99       6.737
           1870       0.395567   1.979e-05         -99         -99         -99         -99      0.3956
           1880        7.16074       6.049       2.157         -99         -99         -99       9.618
           1886      0.0391553   2.574e-05         -99         -99         -99   1.967e-10     0.03916
           1894        1.99676      0.5994         -99         -99         -99         -99       2.085
           1899      0.0535966       1.119         -99         -99         -99         -99        1.12
           1907        2.80091       2.867         -99         -99         -99         -99       4.008
           1908        1.43128       1.895         -99         -99         -99         -99       2.375
           1918        2.65906      0.1077         -99         -99         -99         -99       2.661
           1919    4.47814e-05         -99         -99         -99         -99         -99   4.478e-05
           1921      0.0598974       1.747       1.828       2.526       2.609      0.7273       4.485
           1930        20.2456       17.94       12.06        3.82       1.254         -99       29.89
           1937        2.32788         -99         -99         -99         -99         -99       2.328
           1938        0.79615         -99         -99         -99         -99         -99      0.7961
           1944        4.58942       2.319         -99         -99         -99         -99       5.142
           1945       0.861486       3.406       4.547       2.958      0.4122       0.609       6.505
           1951        3.66365        2.47         -99         -99         -99         -99       4.419
           1960        1.57065       0.777         -99         -99         -99         -99       1.752
           1961              0      0.5386         -99         -99         -99         -99      0.5386
           1968        1.80145       2.601         -99         -99         -99         -99       3.164
           1973         3.5706       3.657       2.191         -99         -99         -99       5.561
           1990        1.59217       1.152         -99         -99         -99   4.154e-10       1.965
           1999    4.10242e-05       0.448         -99         -99         -99      0.7214      0.8492
           2007        1.89327       2.231         -99         -99         -99         -99       2.926
           2022    5.70023e-05      0.2624         -99         -99         -99         -99      0.2624
           2025        4.79689       3.983       2.689         -99         -99         -99        6.79
           2032      0.0504269   1.475e-05         -99         -99         -99         -99     0.05043
           2046    5.03006e-05         -99         -99         -99         -99         -99    5.03e-05
           2052        0.44863   1.685e-05         -99         -99         -99         -99      0.4486
           2054        1.48393       4.948       2.783         -99         -99         -99       5.868
           2056        1.50017       4.043       3.375      0.4197         -99         -99       5.492
           2059       0.712537   8.789e-06         -99         -99         -99         -99      0.7125
           2061        12.0802       7.317       1.123         -99         -99         -99       14.17
