#      Type_SED        SAVEDid          lgSFR          msSFR          xfSFR          xeSFR           MassX
#
              0           1533        1.24378        1.00376          17.53         0.3207          10.35
              0           1543       0.337858        1.89413          2.177         0.8809          11.16
             -1           1544        1.33546        1.46699          21.65          7.081          10.21
              0           1545         1.0103        1.17175          10.24          7.158          10.24
              0           1548       0.184407       0.544956          1.529         0.7503          9.648
              0           1551       0.690462       0.832486          4.903          1.928          9.678
              0           1556        2.96004       -84.4616          912.1            817            -99
              0           1558       0.619198       0.992551          4.161          2.095          10.26
              0           1563       0.508934        1.12811          3.228          1.797          10.43
             -1           1567       0.665675        1.08184          4.631         0.2962          10.55
             -1           1569       0.912541        1.17973          8.176          2.335          10.46
             -1           1579       0.899383        1.67586          7.932          2.025          10.78
             -1           1592        1.06819        1.87272           11.7          1.157          11.29
             -1           1593       0.431525       0.737001          2.701         0.7292          10.07
              0           1602        1.02449        1.01981          10.58          5.035          9.688
              0           1604        1.15137        1.35469          14.17           9.74          10.25
              0           1606       0.800923        1.57141          6.323          4.065          10.86
              0           1616        1.41497        1.71197             26          13.46          10.65
             -1           1618        1.39445        1.71414           24.8         0.9218          11.03
             -1           1622       0.763653        1.01463          5.803          1.335          10.14
              0           1626        0.80956        1.07288           6.45          3.194          9.688
              0           1629        1.66671        2.08903          46.42          33.43          10.84
             -1           1631        1.52543        1.79097          33.53          8.473          10.75
              0           1633       0.609488       0.257953          4.069        0.09673          9.818
             -1           1634       0.134177       0.184245          1.362         0.3606          9.318
              0           1638       0.559068       0.999734          3.623          1.955          10.34
             -1           1644       0.301681        1.46096          2.003         0.4621          11.03
             -1           1648         2.1878        2.45902          154.1          16.56          11.52
              0           1650        1.78668        1.83712          61.19          61.19          10.34
              0           1651        2.50678        2.73741          321.2          110.9           11.5
              0           1662       0.518909        0.60603          3.303           2.06          9.638
             -1           1673       -2.18039        1.10018       0.006601       0.001494          11.19
              0           1693     0.00774778        1.72319          1.018         0.4476          11.61
              0           1702        1.32572       0.960612          21.17          14.15          9.288
              0           1709        1.09342        1.41743           12.4          8.201          10.52
             -1           1710        1.25792        1.27046          18.11           4.69          9.988
              0           1711      0.0824263       0.381432          1.209         0.5136          9.518
             -1           1712        2.07628        2.08098          119.2          32.14          10.86
              0           1717       0.744762        1.82354          5.556          2.894          11.17
