#     Obs_id       Obs_z      Obs_Mstar        Obs_SFR          Obs_SB
#
       15370       1.183        10.5519         17.666             MS
       14149       1.017        10.5519        45.3122             MS
       14614        1.14        10.5619        27.6266             MS
       16077       1.214        10.5719        20.9474             MS
         598       1.364        10.5719        36.9978             MS
        1737       1.142        10.5819        19.9047             MS
        2135       1.006         10.592        114.844             SB
       10012        1.39         10.592        38.4864             MS
        2432        1.27         10.592         46.229             MS
        6714       1.138         10.592        71.2446          mixed
       10780       1.244        10.6119        24.4875             MS
       10351       1.021        10.6119        35.5096             MS
       13903        1.24        10.6219        38.1479             MS
       12125       1.334        10.6219        30.3678             MS
       14209       1.015        10.6219        20.6718             MS
        1008       1.029        10.6219        29.5685             MS
        4145       1.251         10.632           35.5             MS
       10966       1.209         10.632        20.0614             MS
        8955       1.434         10.632        37.1528             MS
       14806       1.355         10.642        136.993          mixed
        9477       1.021         10.642        19.2544             MS
       13767        1.41         10.642        56.1616             MS
       17211       1.465         10.642        101.276             MS
        4580       1.084         10.652        35.9118             MS
       13686       1.016         10.652        18.7218             MS
        7353       1.344        10.6719        34.3335             MS
        3012       1.459         10.682        34.1409             MS
       14732       1.226         10.692        57.0815             MS
       16200       1.261         10.692         37.673             MS
       13373        1.01        10.7019        15.2722             MS
       17770       1.434        10.7019        183.182          mixed
       14094       1.084         10.712        27.4987             MS
       13333       1.391         10.712        53.8894             MS
       13370       1.485        10.7419        99.6397             MS
        9153       1.144        10.7419        54.7612             MS
        9487       1.143        10.7419        34.6398             MS
        3718       1.109        10.7419        52.3177             MS
       11620       1.127         10.752         51.328             MS
       15645       1.016         10.772        83.0952          mixed
       12750       1.021         10.792        24.4694             MS
        7173       1.241         10.812        36.9405             MS
        1753         1.2         10.812        23.3462             MS
        9790        1.46         10.822        104.965             MS
        7847       1.414         10.822        100.375             MS
        6676       1.242        10.8319        25.4463             MS
        9970       1.246        10.8319         123.18             MS
        9991       1.382         10.842        67.8866             MS
        8988       1.068         10.842        18.2348             MS
        4888        1.37        10.8519        39.3655             MS
        2455       1.145         10.862        62.4155             MS
       10070       1.311         10.862        93.3884             MS
       14305       1.016         10.882        49.4941             MS
       10149       1.447        10.8919        52.1559             MS
        3403       1.146        10.9019        39.5422             MS
        1084       1.144         10.912        62.0521             MS
       14853       1.431         10.932        250.069          mixed
       12000       1.219         10.982         414.84             SB
        8433       1.237         10.982         44.485             MS
       15587       1.027         10.982         42.969             MS
       17757       1.028         10.982          23.96             MS
       12129       1.043         10.982        24.4642             MS
        1501       1.433         11.012        55.7512             MS
       12763       1.015         11.012        21.7963             MS
       16018       1.263        11.0418        37.4794             MS
        3627        1.14        11.0519        34.8004             MS
       17491       1.351        11.0519        76.9012             MS
       12904       1.214        11.1021        30.7042             MS
       17758       1.256        11.1119        148.015             MS
       13474       1.336        11.1319        156.607             MS
         255       1.304        11.1319        30.6487             MS
       11905       1.023        11.1421        14.8155             MS
       13515       1.016         11.172        48.0344             MS
       18341       1.266         11.232        142.051             MS
        7588       1.453         11.242        76.9647             MS
        6787        1.17        11.2718        41.1756             MS
