#        _id   snrFIRSMM     zFIRSMM      snr100      snr160      snr250      snr350      snr500      snr850     snr1160
#
         468       2.145       4.681      0.8158      0.0301   1.383e-07       1.106      0.3742   8.675e-51       1.603
         481        3.72       0.179       3.208       1.883         -99         -99         -99      1e-109         -99
         482   3.688e-05        2.27   3.316e-05   1.615e-05         -99         -99         -99      1e-109         -99
         490   4.592e-05       1.119   4.471e-05   1.047e-05         -99         -99         -99      1e-109         -99
         498       4.705       4.119      0.9081       1.817       3.936      0.9613      0.4283   8.675e-51       1.186
         501       3.248        2.41       1.866       2.658   7.865e-08         -99         -99   8.675e-51         -99
         502   5.627e-05        2.36   5.003e-05   2.575e-05         -99         -99         -99      1e-109         -99
         503   4.922e-05        2.26    4.63e-05   1.673e-05         -99         -99         -99      1e-109         -99
         505   4.909e-05       2.816   4.731e-05   1.308e-05         -99         -99         -99   8.675e-51         -99
         506       2.166       1.801       2.166   2.669e-05         -99         -99         -99      1e-109         -99
         509       1.479       0.452       1.303      0.6982         -99         -99         -99      1e-109         -99
         510        22.9      0.6798       18.13       13.26       4.197       1.561         -99      1e-109         -99
         512       3.452       1.077       3.228       1.225         -99         -99         -99      1e-109         -99
         516       2.383       3.951   4.027e-05      0.3029       1.816       0.485       1.252   8.675e-51       0.697
         521       1.648       1.037       1.029       1.287         -99         -99         -99      1e-109         -99
         530       3.841        0.64       2.576       2.848         -99         -99         -99      1e-109         -99
         532       21.35      0.9746       12.61       15.67       6.986       1.609         -99      1e-109         -99
         533       1.955        1.03        1.49       1.266         -99         -99         -99      1e-109         -99
         540       2.172        2.18       1.676       1.009      0.9435         -99         -99   8.675e-51         -99
         541       11.07       0.801       6.231       8.923       2.025         -99         -99      1e-109         -99
         546       7.452        3.03       4.354       5.575       1.545       1.164       1.144   8.675e-51      0.6669
         547       10.98       2.612       7.637       7.027       3.082       1.206      0.8664   8.675e-51       1.101
         548       8.967        1.78       5.714        4.78       4.706       1.621      0.3769   8.675e-51   2.505e-10
         550   4.042e-05       1.239    3.63e-05   1.777e-05         -99         -99         -99      1e-109         -99
         552        13.6      0.5045       11.31       6.833       3.152      0.7369         -99      1e-109         -99
         554        5.89        0.68       2.736       5.216   6.544e-08         -99         -99      1e-109         -99
         559       10.17        1.26       5.248       8.307       2.421       1.035         -99   8.675e-51         -99
         561      0.4044        1.39      0.4044   1.475e-05         -99         -99         -99      1e-109         -99
         562       3.608       2.893       3.352      0.9679      0.9203         -99         -99   8.675e-51         -99
         564       20.02       4.055       2.402        10.8       9.112       5.942       6.329   8.675e-51       10.96
         581       1.204        1.31   4.909e-05       1.204         -99         -99         -99      1e-109         -99
         593       6.431        1.45       1.833       5.771       1.988      0.5107         -99   8.675e-51      0.6965
         597      0.8039        2.28      0.8039   2.836e-05         -99         -99         -99      1e-109         -99
         598        8.04       1.364       6.327       4.392       1.929       1.267         -99      1e-109         -99
         604       0.164      0.5778   2.128e-06       0.164         -99         -99         -99      1e-109         -99
         606   4.065e-05       1.008   3.809e-05   1.421e-05         -99         -99         -99      1e-109         -99
         620       7.688         0.8       3.787       6.672      0.5003         -99         -99      1e-109         -99
         621       8.688        2.48       5.943       5.637       2.246       1.752         -99   8.675e-51      0.5248
         622       1.961        1.33       1.961   1.984e-05         -99         -99         -99      1e-109         -99
         628       2.942       1.255   4.712e-05       2.942         -99         -99         -99      1e-109         -99
         631       3.635        1.39        2.35       1.571       2.286         -99         -99      1e-109         -99
         637       5.705       0.503       3.798       3.571       2.316         -99         -99      1e-109         -99
         638       10.79       0.711   7.538e-06       4.547       8.142       4.255       3.362      1e-109   2.555e-10
         652       4.599       1.777    4.66e-05       4.462       1.115         -99         -99      1e-109         -99
         658       8.244       4.051       1.664       3.254       5.854       4.089       1.188   8.675e-51       1.485
         659       5.213       4.056       1.267       3.309      0.9086      0.5769        2.46   8.675e-51       2.723
         661      0.3853        1.36      0.3853           0         -99         -99         -99      1e-109         -99
         664      0.9125        2.37      0.9102     0.06433         -99         -99         -99      1e-109         -99
         669       11.18       1.142        6.85       7.883       2.875       2.778         -99      1e-109         -99
         672        3.87      0.9452       3.685       1.181         -99         -99         -99      1e-109         -99
         689       1.011       0.713       1.009     0.06003         -99         -99         -99      1e-109         -99
         692       24.49       0.281       14.97       11.53       15.22       3.111       1.056      1e-109         -99
         697       2.011       2.172        1.51       1.328         -99         -99         -99      1e-109         -99
         702       2.636        2.22      0.2282       2.626         -99         -99         -99      1e-109         -99
