#         id100           f100           df100
#
           3121        0.36663        0.43627
           3125        3.91436       0.459983
           3140       0.586622       0.277647
           3143       0.774928       0.277541
           3145        6.70046       0.447822
           3165       0.708038         0.3302
           3171       0.534083       0.282293
           3188       0.477146       0.273768
           3196        8.25667       0.336254
           3207       0.112127       0.278626
           3220       0.946167       0.298338
           3229        1.05171       0.281975
           3236        1.29465       0.270408
           3247        0.51681       0.270935
           3263       0.301031       0.268424
           3265        1.06045       0.286804
           3267       0.115755       0.445783
           3276        1.24697       0.297024
           3280       0.201349       0.264882
           3281       0.170972       0.302393
           3288       0.677827       0.273137
           3289        3.08063       0.298317
           3296        1.56047       0.288101
           3304        0.72999        0.36617
           3306       0.871866       0.280128
           3307       0.628624       0.300691
           3310       0.794098       0.351618
           3316       0.121958       0.267636
           3326       0.271723       0.266248
           3332        1.10534        0.35771
           3337        1.47426        0.36974
           3347        1.43962       0.386501
           3349        0.62128       0.273814
           3355      0.0112158       0.282014
           3358      0.0914822       0.442919
           3367       0.825827       0.310183
           3376        1.10005       0.276088
           3380   -0.000682883       0.417899
           3393       0.793811       0.307065
           3401       0.272322       0.292768
           3403        1.54716       0.387888
           3413    1.50602e-05        0.48512
           3417        3.32668       0.301055
           3429       0.235852       0.300463
           3441    1.50602e-05       0.333304
           3442       0.521974       0.369969
           3444       0.470273       0.319107
           3452       0.161379       0.383861
           3455       0.468532       0.263313
           3460        0.52288       0.363854
           3463       0.461311       0.297266
           3484        1.36708        0.30725
           3487       0.363504       0.257598
           3492       0.362547       0.305891
           3500      0.0180047       0.270572
           3526        1.18798       0.302511
           3527       0.520337       0.279476
           3532       0.991673       0.272782
           3535    1.50602e-05        0.26683
           3560        1.16663       0.267686
           3568       0.765799       0.367767
           3570       0.227674       0.266196
           3572        7.58972       0.310865
           3584      0.0734002       0.292304
           3587    1.50602e-05       0.301601
           3588       0.451002        0.26889
           3595       0.258286       0.339764
           3620       0.327955       0.273743
           3626       0.989452       0.326949
           3627        1.78714       0.316043
           3638       0.864735       0.282304
           3648        0.67831       0.335371
           3651    1.50602e-05       0.334171
           3652       0.431938       0.263171
           3654       0.317054       0.369794
           3658        2.25761       0.350707
           3668        7.86952       0.464577
           3676       0.347413        0.27349
           3677    1.50602e-05       0.266931
           3679        3.84021       0.319908
           3680       0.212578       0.319452
           3686        1.01793       0.349033
           3696       0.181213       0.265041
           3699       0.318829       0.449558
           3703       0.455352       0.212531
           3704       0.591333       0.278536
           3709        0.57421        0.30646
           3712        0.51933       0.278896
           3718         3.5489        0.38957
           3721       0.135616       0.254689
           3739      0.0868788       0.311933
           3742        4.79976       0.294024
           3758        1.69762       0.304269
           3760      0.0562441       0.290507
           3763       0.566666       0.303433
           3769    1.50602e-05        0.34784
           3775       0.995272       0.284892
           3780     0.00915866       0.282889
           3781       0.595363       0.290958
           3792        1.25858       0.288638
           3793       0.867853       0.294559
           3806      0.0837761       0.398197
           3807        1.07119       0.384491
           3811       0.381654       0.285412
           3812       0.883445        0.36961
           3813        3.49034       0.300057
           3817       0.287431       0.318684
           3821        1.81989       0.398038
           3823       0.593717       0.274995
