#      Type_SED        SAVEDid          lgSFR          msSFR          xfSFR          xeSFR           MassX
#
             -1           1515        1.34143        1.30361          21.95          1.528          10.38
             -1           1520       0.139879         1.2272           1.38         0.4242          10.83
              0           1524       0.537315        1.00441          3.446          1.781          10.23
             -1           1525       0.341435        2.57557          2.195         0.7314          12.47
              0           1532       0.518909          1.544          3.303          2.059          10.84
              0           1533        1.22427        1.00376          16.76         0.6021          10.35
              0           1543       0.337858        1.89413          2.177         0.8809          11.16
             -1           1544        1.33546        1.46699          21.65          7.081          10.21
              0           1545         1.0103        1.17175          10.24          7.158          10.24
              0           1548       0.184407       0.544956          1.529         0.7503          9.648
              0           1551       0.690462       0.832486          4.903          1.928          9.678
              0           1556        2.83985       -84.4636          691.6          594.3            -99
              0           1558       0.603361       0.992551          4.012          2.093          10.26
              0           1563       0.508934        1.12811          3.228          1.797          10.43
             -1           1567       0.661529        1.08184          4.587         0.3738          10.55
             -1           1569       0.914872        1.17973           8.22          2.207          10.46
             -1           1579       0.899383        1.67586          7.932          2.025          10.78
             -1           1592        1.05154        1.87272          11.26          1.122          11.29
             -1           1593       0.431525       0.737001          2.701         0.7292          10.07
              0           1602        1.02449        1.01981          10.58          5.035          9.688
              0           1604        1.15137        1.35469          14.17           9.74          10.25
              0           1606       0.800923        1.57141          6.323          4.065          10.86
              0           1616        1.39058        1.71197          24.58          12.55          10.65
             -1           1618        1.26007        1.71414           18.2          2.419          11.03
             -1           1622       0.763653        1.01463          5.803          1.335          10.14
              0           1626        0.80956        1.07288           6.45          3.194          9.688
              0           1629        1.66671        2.08903          46.42          33.43          10.84
             -1           1631         1.5042        1.79097          31.93          9.317          10.75
              0           1633       0.598024       0.257953          3.963          0.268          9.818
             -1           1634       0.134177       0.184245          1.362         0.3606          9.318
              0           1638       0.559068       0.999734          3.623          1.955          10.34
             -1           1644       0.301681        1.46096          2.003         0.4621          11.03
             -1           1648        2.27254        2.45902          187.3          51.83          11.52
              0           1650        1.78668        1.83712          61.19          61.19          10.34
              0           1651        2.45317        2.73741          283.9          147.6           11.5
              0           1662       0.518909        0.60603          3.303           2.06          9.638
             -1           1673       -2.18039        1.10018       0.006601       0.001494          11.19
              0           1693     0.00774778        1.72319          1.018         0.4476          11.61
              0           1702        1.32572       0.960612          21.17          14.15          9.288
              0           1709        1.09342        1.41743           12.4          8.201          10.52
             -1           1710        1.25792        1.27046          18.11           4.69          9.988
              0           1711      0.0824263       0.381432          1.209         0.5136          9.518
              0           1712        2.05729        2.08098          114.1          45.38          10.86
              0           1717       0.744762        1.82354          5.556          2.894          11.17
              0           1724        1.06483         1.2596          11.61          5.904          10.48
              0           1734        1.77815        1.63492             60          28.49          10.16
             -1           1735          3.031        3.22032           1074          224.9             12
             -1           1737        1.25792         1.6222          18.11          1.109          10.82
              0           1740       0.571709       0.689634           3.73          2.253          9.888
             -1           1741       0.872681        1.27772          7.459         0.7571          10.47
              0           1747        1.31281        1.68375          20.55          10.81          10.42
             -1           1753        1.21958        1.83559          16.58          4.548          11.05
              0           1762        2.36418        2.15405          231.3          66.43          10.98
              0           1764       -1.36512      -0.447264        0.04314        0.04314          8.948
              0           1775        1.45849        1.22201          28.74          15.23          9.978
              0           1779       0.631342       0.702977          4.279          1.505          9.788
              0           1813        1.01578        1.64124          10.37          6.263          10.58
              0           1814        1.17026        2.15586           14.8          9.834           11.2
             -1           1818        1.30211        1.43542          20.05          5.992          10.32
              0           1822      -0.224317       0.182602         0.5966         0.4511          9.618
              0           1824        2.58309       -84.5068          382.9          382.9            -99
             -1           1836      -0.738024       0.131802         0.1828         0.0435          9.728
             -1           1843       0.378398       0.622787           2.39         0.5263          9.968
             -1           1847       0.728678        1.06085          5.354          1.513          10.29
              0           1850        1.80665        1.23179          64.07          50.54          9.728
              1           1855       0.986951      0.0805659          9.704           1.72          8.838
             -1           1859      0.0480532      0.0965985          1.117         0.2722          9.348
              0           1865       0.544936         1.1622          3.507          1.569          10.23
             -1           1866        1.29645          1.178          19.79          2.705           10.3
              0           1870         1.1014         1.3834          12.63          6.741          10.14
             -1           1880        1.03181        1.54528          10.76          2.727          10.94
              0           1886        1.88013        1.59663          75.88          53.18          10.03
             -1           1894       0.668665       0.857559          4.663         0.9642          9.948
              0           1899       0.574031       0.733559           3.75          2.007          9.788
             -1           1907      0.0777312      0.0650733          1.196         0.1643          9.308
             -1           1908       0.340642       0.325773          2.191         0.2781          9.638
              0           1918      -0.773916      -0.283773         0.1683        0.07104          9.178
              0           1919       0.193959       -0.12072          1.563         0.6496          8.828
              1           1921        2.75297        1.78151          566.2          145.1          10.17
              1           1930        1.55461        1.00334          35.86         0.7957          10.19
             -1           1937      -0.791559      -0.543715         0.1616        0.01467          8.848
             -1           1938      -0.761703       -0.75752         0.1731        0.03049          8.578
              0           1944        1.30492        1.90328          20.18          10.12          11.02
              0           1945        2.60703        2.15398          404.6          204.7          10.65
             -1           1951       0.940865        1.08094          8.727          2.179          10.23
              0           1960       0.618571       0.937551          4.155          2.154          10.14
             -1           1961       0.106531     -0.0273252          1.278         0.1982          9.218
              0           1968       0.883548        1.30787          7.648          2.694          10.42
             -1           1973        1.38757        1.62278          24.41          5.882           10.6
