#      Type_AGN        SAVEDid          radio         eradio          xfRad           xeRad
#
              0            870           37.8            6.8        0.03346        0.00399
              0            872          4.956          2.867       0.004279       0.002332
              0            877          10.64          3.116       0.006438       0.003612
              0            878          1.755          2.819       0.006342       0.000733
              0            881         0.7412          2.918        0.00178        0.00108
              0            884        -0.3632          2.851        0.02102       0.004195
              0            885          13.76          2.836       0.008809       0.004281
              0            886          5.695          2.852       0.004256        0.00112
              0            892          5.426          2.775       0.003243       0.001812
              0            893           20.8              3        0.01511       0.000945
              0            899          5.643          2.941       0.002502       0.001589
              0            902          8.783          2.808        0.01058       0.001035
              0            915           29.2            5.6        0.01543        0.00181
              0            917          6.334          3.022        0.01496       0.005332
              0            922          1.461          2.952        0.00233       0.001681
              0            923          25.46           3.05        0.02068       0.004485
              0            924          7.044          2.773        0.00258       0.001065
              0            926          2.952          2.874       0.005061       0.003943
              0            928          8.824          2.892       0.001689       0.001253
              0            931        -0.1894          2.784       0.005576       0.000764
              0            934          2.526          2.882       0.004332       0.001069
              0            937          6.176          3.056       0.005494       0.002189
              0            939           33.7              3        0.02647        0.00169
              0            950          2.051          2.801       0.005257       0.001658
              0            951          13.14          2.791       0.007064      0.0007435
              0            960          3.219           3.09       0.002975       0.001594
              0            965          3.371          2.835       0.004513       0.001315
              0            966          5.154          2.804       0.003337      0.0005955
              0            972          2.696          2.821       0.002919       0.001142
              0            974          10.55          2.818        0.01173        0.00045
              0            994          1.448          3.147       0.004635       0.001711
              0            995          8.712          2.803       0.005238       0.001262
              1           1002          18.46          2.818       0.006432       0.000655
              0           1005           21.4            2.9        0.01858        0.00782
              0           1006           32.9            3.2         0.0313       0.001605
              0           1008          9.291          2.836        0.01533        0.00108
              0           1023          1.355          3.049       0.002787       0.002373
              0           1026           2.88          2.861       0.003042       0.001214
              0           1035        -0.3559          2.907       0.001667      0.0006856
              0           1036          3.104          3.031        0.01092        0.00061
              0           1037          10.17          2.807       0.006308        0.00133
              0           1042          7.018          2.805       0.001451      0.0003335
              0           1053          5.659          2.836       0.006365       0.003336
              0           1058          7.221          2.784       0.002839       0.001701
              0           1064          4.779          2.809       0.005594       0.001967
              0           1075          2.325          2.809       0.004664       0.002053
              0           1076         -0.349          2.867        0.01144       0.002661
              0           1077          10.08          2.843       0.009143       0.001327
              0           1081          5.506          3.369       0.005317        0.00265
              0           1084           30.6            7.1        0.02486       0.001795
              0           1089          7.505          3.007       0.005879       0.001844
              0           1091           1.67          2.854       0.001568       0.001152
              0           1094          13.32          2.888        0.01103        0.00028
              0           1101          6.223          3.013       0.003865       0.002741
              0           1102          10.48          2.769       0.009416      0.0007345
              0           1103          12.55          2.799        0.02259        0.00286
              0           1104          6.636          2.813       0.009854       0.000686
              0           1105          12.14           2.82        0.01178        0.00083
              0           1109          5.783          2.848        0.06289        0.05761
              0           1113          4.616          2.933       0.004154       0.001015
              0           1118          5.009          2.762        0.01067      0.0007895
              1           1121          398.8            7.6       0.006343       0.001894
              0           1123          2.806          2.856       0.002422       0.001677
              0           1125          4.681          2.984       0.002865       0.001545
              0           1129          6.405          2.821       0.006796       0.002095
              0           1133          1.868          2.896       0.002923      0.0007665
              1           1135           27.1            3.2        0.01039        0.00027
              0           1140        -0.4001          2.996       0.003369       0.001721
              0           1141          10.82          2.995       0.008219       0.001736
              0           1143          4.034          2.935        0.01375       0.000855
              0           1144        -0.3549          2.955        0.00158        0.00117
              0           1146          10.42          2.971        0.01184       0.000815
              0           1147          2.849          2.785       0.005267       0.001429
              0           1148          12.93          2.786        0.01178       0.003683
              0           1150          9.916          2.848       0.006418       0.002428
              1           1159           41.1            6.2        0.01395       0.002225
              0           1160         0.2583          2.882       0.002046        0.00134
              0           1167          12.22          2.867        0.01461       0.000835
              0           1168           31.5            5.8        0.08055        0.06075
              0           1172         0.1934              3       0.002368       0.001042
              0           1181           2.55           2.82       0.001851        0.00105
              0           1186          5.805          2.801       0.005036       0.002726
              0           1202        -0.3481          2.742       0.002356        0.00151
              0           1208          1.142          2.833       0.005032      0.0009285
              0           1221          5.974          2.914       0.005529      0.0009625
