#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
186      0.4574     0.07285      0.9912      0.3178       2.054        0.78       2.501        1.03       1.948      0.8275       0.959      0.4461      0.2166      0.1083     0.08153     0.04167     0.07321     0.03542     0.06425     0.02868     0.01425    0.007414     0.01315    0.006847    0.005069    0.002205
207     0.09249     0.01861      0.3191      0.0792      0.9187      0.2543       1.387      0.4498        1.29      0.4839      0.8169      0.3451      0.2274      0.1078     0.08788     0.04313     0.07901     0.03657     0.06942     0.02948     0.01538    0.007789      0.0142    0.007196    0.002585   0.0007755
208      0.1122     0.04002      0.3768      0.1416      0.9973      0.4347       1.425       0.691       1.264      0.6567      0.7343      0.3858      0.1911      0.1027     0.07405     0.04095     0.06654     0.03515     0.05852     0.02897     0.01298    0.007356     0.01199    0.006798    0.002725    0.001296
213       18.22        0.45       28.54       0.085       27.99       0.235        15.4        0.19       6.927       0.092       2.404       0.032      0.4306     0.00545       0.156      0.0019      0.1397    -0.00635      0.1224    -0.01515      0.0275    0.000525     0.02558    0.000485      0.1045     0.00195
214       0.327      0.1495      0.7835      0.3705       1.996       1.023       2.719       1.575       2.867       1.859       2.163       1.484      0.7272      0.5219      0.2976      0.2162       0.268      0.1907       0.236      0.1631     0.05232     0.03818     0.04828     0.03523    0.004705    0.003087
216       2.024       0.485       3.474        0.13       4.066      0.5615       2.259        0.53       1.046      0.2942      0.3828        0.12      0.0758      0.0257     0.02821     0.01005     0.02531     0.00808      0.0222     0.00598    0.005026     0.00174    0.004664    0.001605     0.01137    0.001335
217      0.4471      0.1709      0.9684      0.2986       2.699      0.6505       4.396       1.679       4.656        2.14       3.538       1.801       1.168      0.6419      0.4743      0.2666      0.4269      0.2297      0.3757      0.1898     0.08302     0.04728     0.07659     0.04362     0.00775     0.00321
227      0.3709      0.2376        0.74      0.5081       1.098      0.6684      0.8702      0.4569       0.487      0.2366      0.2245      0.1178     0.04788      0.0267     0.01807     0.01027     0.01624    0.008831     0.01427    0.007295    0.003161    0.001847    0.002919    0.001705    0.002962    0.001991
239      0.1502     0.05918      0.2868      0.1153      0.8965      0.4005       1.741       1.017       2.231       1.495       1.985       1.432      0.8544      0.6627       0.386      0.3063        0.35      0.2743      0.3102      0.2388     0.07011      0.0562     0.06472     0.05189     0.00318    0.002005
242       0.189     0.05385      0.4848      0.2006       1.078      0.4045       1.457      0.6454       1.233      0.6416      0.6574      0.3926      0.1608      0.1065     0.06141     0.04148     0.05516     0.03626     0.04847     0.03069      0.0108    0.007396    0.009983    0.006837    0.002815     0.00115
245      0.4128      0.1507      0.8869      0.3242       1.529      0.3655       1.358       0.366       0.825       0.282      0.3691      0.1477     0.07853     0.03468     0.02985     0.01353     0.02684     0.01135      0.0236    0.009015    0.005267    0.002442    0.004865    0.002255    0.003917    0.001208
247      0.2849      0.0959      0.3007      0.1156      0.1861     0.08065     0.06673     0.03075     0.02454     0.01163    0.007773    0.003707    0.001373   0.0006525   0.0005017   0.0002401   0.0004508   0.0002023   0.0003969   0.0001623   0.0001127   4.985e-05   0.0001073   4.719e-05      0.0014   0.0004945
248      0.2978      0.1373      0.8623      0.4587       1.757      0.7915       1.762       0.729        1.23      0.4807       0.574       0.217      0.1315     0.05334     0.04932     0.02045     0.04425     0.01689     0.03882     0.01306    0.008559    0.003612    0.007899    0.003331     0.00446    0.002028
254      0.2033      0.1558      0.6747      0.5093       1.485       1.084       1.675       1.147       1.269      0.8444      0.6357      0.4363       0.146       0.103     0.05388     0.03799     0.04825      0.0332     0.04223     0.02806      0.0091     0.00638    0.008396    0.005884    0.003848    0.002773
255       1.774      0.6625       3.248       0.249       4.835      0.7285       4.535       1.415       3.262       1.337       1.582      0.7427      0.3576       0.184       0.135     0.07102      0.1212     0.06056      0.1065     0.04936     0.02372     0.01265     0.02192     0.01169     0.01017    0.003777
256       1.361      0.6849       2.705       0.562       8.739      0.6765       14.93       1.875        15.9        2.65        11.8       3.118       3.875       1.467       1.579      0.6592       1.421      0.5487       1.251      0.4292      0.2769      0.1199      0.2555      0.1108     0.02672     0.00357
257       3.698           0       5.392           0       10.26           0        12.9           0       11.19           0        7.28           0       2.098           0      0.8189           0      0.7357     -0.0416      0.6462    -0.08635      0.1414           0      0.1305           0      0.0178           0
262      0.5429      0.1529       1.013       0.291       1.501      0.6952        1.06      0.6119      0.5632      0.3562      0.2207      0.1475     0.04496     0.03116     0.01703     0.01192      0.0153     0.01045     0.01344     0.00888    0.002981    0.002092    0.002758    0.001932    0.003619    0.001173
264      0.2089       0.101      0.6342      0.3059       2.091       0.945       3.345       1.272       3.168       1.162       2.146      0.7805      0.6337      0.2398      0.2474      0.0948      0.2222     0.07735      0.1951      0.0586     0.04242     0.01609     0.03913     0.01483    0.006125    0.002372
270      0.2173     0.06685      0.5797         0.3       1.413      0.8111       1.917       1.202       1.607       1.079      0.8574      0.6156      0.2087      0.1589     0.07929     0.06101     0.07119     0.05386     0.06252     0.04621     0.01384     0.01071     0.01278    0.009897    0.003769    0.002339
277     0.08206     0.02755      0.2351     0.08605      0.6943      0.2785       1.087      0.5456       1.119      0.6344      0.8173      0.5037      0.2523      0.1721      0.1001     0.07008     0.09002     0.06152     0.07916     0.05233     0.01739     0.01228     0.01605     0.01133    0.001958   0.0009827
288       1.085      0.4787       1.701       0.465       1.984      0.8095        1.34      0.8017      0.6956      0.4704      0.2687      0.1945     0.05428     0.04113     0.02052     0.01573     0.01843     0.01389     0.01619     0.01192    0.003621    0.002738    0.003353    0.002527     0.00635    0.001941
289      0.6857      0.4083        1.45      0.7384       4.717       0.958       8.624       1.099       9.249       1.841       7.568       2.179       3.009       1.255       1.323      0.6141       1.197      0.5241       1.059      0.4246      0.2368       0.115      0.2185      0.1061     0.01542     0.00176
309      0.2355      0.1323      0.3995      0.2244      0.9906      0.5154       2.581       0.697         7.1      0.7365       12.52       0.295       14.21       1.195       10.62       1.379       10.11       1.125       9.478      0.8095       3.285       0.652       3.074      0.6175     0.01263     0.00057
314      0.5333      0.1827      0.9183      0.2877       1.356      0.5906       0.963       0.541         0.5      0.3177       0.193      0.1316      0.0389     0.02797     0.01469     0.01071      0.0132    0.009428     0.01159    0.008044    0.002576    0.001873    0.002385    0.001729    0.003371    0.001195
316      0.1025     0.04259      0.2597     0.09685      0.6968      0.3503       0.999       0.621      0.9857      0.6744      0.7071       0.515      0.2159      0.1643     0.08543     0.06577     0.07687     0.05822     0.06764     0.05007     0.01503     0.01164     0.01388     0.01075     0.00176    0.001233
317      0.9789      0.2241       2.039       0.342       3.002      0.9485       2.157       0.991       1.141      0.5989      0.4457      0.2537     0.09057     0.05433     0.03428     0.02088      0.0308     0.01809     0.02707     0.01509    0.006027    0.003664    0.005577    0.003382    0.007617    0.001479
330     0.08736     0.06004      0.2833      0.2089       1.226      0.9323       2.272       1.736       2.339       1.842       1.703       1.384      0.5417      0.4538      0.2171      0.1835      0.1952      0.1633      0.1716      0.1415     0.03737     0.03159     0.03447     0.02912    0.004087    0.003125
337     0.07586     0.03894      0.1705     0.08702      0.5448      0.3311       0.918       0.649       1.152      0.9049       1.026      0.8545      0.4405      0.3876      0.1988      0.1778      0.1802      0.1602      0.1596      0.1407     0.03633     0.03269     0.03355     0.03018    0.001693    0.001276
