#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
208      0.1122     0.04002      0.3768      0.1416      0.9973      0.4347       1.425       0.691       1.264      0.6567      0.7343      0.3858      0.1911      0.1027     0.07405     0.04095     0.06654     0.03515     0.05852     0.02897     0.01298    0.007356     0.01199    0.006798    0.002725    0.001296
213       10.09       1.732       22.69        0.83       39.88       1.855       33.98       2.965       19.19        2.04       7.883       0.948        1.64       0.217       0.624     0.08485      0.5609      0.0491      0.4931      0.0107      0.1094     0.01541      0.1011     0.01426     0.09213     0.00393
214      0.3203      0.1461      0.7832      0.3778       2.023       1.076       2.898       1.792       3.098       2.125       2.361       1.709      0.7877      0.5903      0.3228      0.2445      0.2907      0.2164      0.2561      0.1861      0.0569     0.04331     0.05253     0.03998       0.005    0.003452
216       1.964      0.4735       3.362      0.1235       3.932        0.55       2.184       0.517       1.011      0.2867      0.3702      0.1168     0.07333     0.02502     0.02727     0.00977     0.02447     0.00787     0.02147     0.00584     0.00486    0.001693     0.00451    0.001563     0.01098    0.001319
217      0.4631      0.1956      0.9952      0.3468       2.538      0.7415       4.166       1.847       4.417       2.322       3.367       1.933       1.119      0.6791      0.4554      0.2804      0.4099      0.2438      0.3608      0.2042     0.07981     0.04949     0.07369     0.04571    0.007179    0.003721
227      0.3709      0.2376        0.74      0.5081       1.098      0.6684      0.8702      0.4569       0.487      0.2366      0.2245      0.1178     0.04788      0.0267     0.01807     0.01027     0.01624    0.008831     0.01427    0.007295    0.003161    0.001847    0.002919    0.001705    0.002962    0.001991
239      0.1502     0.05918      0.2868      0.1153      0.8965      0.4005       1.741       1.017       2.231       1.495       1.985       1.432      0.8544      0.6627       0.386      0.3063        0.35      0.2743      0.3102      0.2388     0.07011      0.0562     0.06472     0.05189     0.00318    0.002005
242       0.189     0.05385      0.4848      0.2006       1.078      0.4045       1.457      0.6454       1.233      0.6416      0.6574      0.3926      0.1608      0.1065     0.06141     0.04148     0.05516     0.03626     0.04847     0.03069      0.0108    0.007396    0.009983    0.006837    0.002815     0.00115
245      0.4128      0.1507      0.8869      0.3242       1.529      0.3655       1.358       0.366       0.825       0.282      0.3691      0.1477     0.07853     0.03468     0.02985     0.01353     0.02684     0.01135      0.0236    0.009015    0.005267    0.002442    0.004865    0.002255    0.003917    0.001208
247      0.2849      0.0959      0.3007      0.1156      0.1861     0.08065     0.06673     0.03075     0.02454     0.01163    0.007773    0.003707    0.001373   0.0006525   0.0005017   0.0002401   0.0004508   0.0002023   0.0003969   0.0001623   0.0001127   4.985e-05   0.0001073   4.719e-05      0.0014   0.0004945
248      0.2978      0.1373      0.8623      0.4587       1.757      0.7915       1.762       0.729        1.23      0.4807       0.574       0.217      0.1315     0.05334     0.04932     0.02045     0.04425     0.01689     0.03882     0.01306    0.008559    0.003612    0.007899    0.003331     0.00446    0.002028
254      0.2033      0.1558      0.6747      0.5093       1.485       1.084       1.675       1.147       1.269      0.8444      0.6357      0.4363       0.146       0.103     0.05388     0.03799     0.04825      0.0332     0.04223     0.02806      0.0091     0.00638    0.008396    0.005884    0.003848    0.002773
255       1.663      0.7486       3.092      0.3145       5.675       0.867       6.516       2.272       5.337       2.584       2.901       1.677      0.7277      0.4743      0.2789      0.1863      0.2507      0.1629      0.2203      0.1377     0.04923     0.03345     0.04548     0.03092     0.01251     0.00401
256       1.337       0.681       2.649       0.517       8.884       0.922       16.05       4.425       17.12        6.88       13.07       6.548        4.43       2.637       1.823       1.138       1.642      0.9919       1.446       0.834      0.3207      0.2041       0.296      0.1883      0.0287     0.00841
257       3.666       0.767       6.596       0.459       11.97        0.56       15.16       2.285       13.75        2.91       9.353       2.377       2.792       0.798         1.1      0.3239      0.9891      0.2524      0.8696      0.1754      0.1919      0.0577      0.1772      0.0533     0.02416     0.00554
262      0.5429      0.1529       1.013       0.291       1.501      0.6952        1.06      0.6119      0.5632      0.3562      0.2207      0.1475     0.04496     0.03116     0.01703     0.01192      0.0153     0.01045     0.01344     0.00888    0.002981    0.002092    0.002758    0.001932    0.003619    0.001173
264      0.1984      0.1045      0.5914      0.3055       1.785       1.077       2.643       1.717       2.392       1.585       1.598       1.085      0.4582      0.3178      0.1782      0.1247        0.16      0.1092      0.1405     0.09264     0.03047     0.02133      0.0281     0.01968    0.004852    0.003154
270      0.2173     0.06685      0.5797         0.3       1.413      0.8111       1.917       1.202       1.607       1.079      0.8574      0.6156      0.2087      0.1589     0.07929     0.06101     0.07119     0.05386     0.06252     0.04621     0.01384     0.01071     0.01278    0.009897    0.003769    0.002339
