#     _id          _ra          _de       zp_X         f24        df24         f16        df16        f100       df100        f160       df160        f250       df250        f350       df350        f500       df500       f1160      df1160       radio      eradio       _fch1      _dfch1       _fch2      _dfch2       _fch3      _dfch3       _fch4      _dfch4       KtotX       MassX       distX       spezX          zq      source       distz         idz    goodArea
#
91         189.3629761   62.3935661       0.5       27.69       7.189         -99       1e+10      0.3784      0.4902     0.01973       1.323         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10      0.8586       3.189       4.642       0.079       4.709       0.184       3.126       1.086       3.279       1.239       21.74        9.55      0.2541          -1         -99         -99        27.7         -99           0
95         189.3264465   62.3934822      2.16       11.66       6.339       0.257       20.61      0.1194      0.4248         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.4384       3.032       0.729       0.089       0.882       0.118       3.304       1.168       1.723        0.85       22.45       10.16      0.9342          -1         -99         -99       14.93         -99           0
106        189.3455963   62.3922653      2.01       70.39       7.525       0.257       22.58       1.379      0.4938     0.01973        1.34       7.645       3.199         -99       1e+10         -99       1e+10         -99       1e+10        46.1         7.4       4.711       0.068       6.457       0.123       8.945       0.876        9.93        0.88       23.07       10.72     0.09944          -1         -99         -99       10.67         -99           0
107        189.3130341   62.3921776      0.63       45.89       7.904         -99       1e+10       1.516      0.3968      0.1663      0.9162         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       3.706       3.103       9.735       0.118       7.961        0.11        9.13       1.574       11.98       0.814       21.35        9.88      0.1027          -1         -99         -99       12.42         -99           0
112        189.2936707   62.3917084      1.05       65.35       8.345         -99       1e+10       0.834      0.4439       2.387        1.15        7.77       4.737         -99       1e+10         -99       1e+10         -99       1e+10       7.197       3.186         -99         -99       12.53       0.139         -99         -99       11.41       0.975       21.75       10.38     0.06054          -1         -99         -99       10.09         -99           0
123        189.3483124   62.3914108      2.45       22.09       8.937       1.332       23.39      0.2364      0.6196         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.4518       2.997       1.229       0.063       0.907        0.12        1.74       0.794      -0.995       0.864       24.24        9.37      0.1648          -1         -99         -99       6.303         -99           0
126        189.2961884   62.3910942      1.43       62.97       7.324         -99       1e+10    -0.03261      0.4624     0.01973       1.189   3.209e-07       4.725         -99       1e+10         -99       1e+10         -99       1e+10       7.244       3.123       23.48       0.227       25.12       0.129       38.79       2.777       20.78       0.914       20.99       10.96      0.1498          -1         -99         -99       8.541         -99           0
127        189.3196411   62.3907700      1.13       236.6       7.517         126       11.36       3.892      0.4108       8.152      0.9947       14.61       1.762         -99       1e+10         -99       1e+10         -99       1e+10       18.61       3.128       80.46        0.09       59.77        0.11       55.33       1.002       41.65       0.759       19.23       11.45      0.1937       0.582           1          72      0.2536          -1           0
130        189.3960114   62.3908005      4.42      -0.553       1e+13         -99       1e+10    -0.03261      0.7644         1.9       1.641       14.18       2.899       18.95       3.068       23.26       3.228     0.07508        1.12       9.296       3.198       3.019       0.261         -99         -99         -99         -99         -99         -99       23.26       10.91      0.2472          -1         -99         -99       32.25         -99           0
132        189.3355255   62.3906975      1.55       29.02        6.85       0.257       14.72     -0.0212      0.3632         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10      -0.398       3.031       1.881       0.069       2.136       0.107       3.959       0.854      -0.486       0.787       24.15        9.71      0.1963          -1         -99         -99       22.23         -99           0
135        189.3549347   62.3903694      1.39       28.22       8.868         -99       1e+10       0.448      0.4633     0.01973       1.381         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       1.483       3.041       3.247       0.062       3.743       0.125        3.17       0.811       2.803       0.886       22.97       10.05      0.3008          -1         -99         -99       10.74         -99           0
142        189.3594208   62.3898582      2.25       177.7        7.69         -99       1e+10      0.6558      0.5226     0.01973       1.623       7.036       1.977       5.761       2.992       3.803       3.234    -0.06307      0.8985       5.694       3.131       7.134       0.062       9.875       0.134       10.65       0.778       9.045       0.941       22.81       10.31      0.1453          -1         -99         -99       17.96         -99           0
145        189.3485870   62.3896980      0.28       134.6       6.742       74.63       18.98       2.085      0.5417       4.656        1.38        3.33       2.249         -99       1e+10         -99       1e+10         -99       1e+10       5.104       3.065       50.14       0.068       44.14       0.116       31.55       0.744       61.53       0.816       18.62       10.21      0.1594        0.28          -1          81      0.1498          -1           0
152        189.3703613   62.3893394      0.47       151.8       7.141         -99       1e+10       3.681      0.6402       6.246        1.71       6.611       1.476         -99       1e+10         -99       1e+10         -99       1e+10       4.315       3.197       47.93       0.072       41.17       0.166       33.36       0.866       52.25       1.131        19.2       10.79      0.1128          -1         -99         -99       23.21         -99           0
158        189.3103638   62.3889732      1.84       211.7       8.822       32.13        10.3       3.614      0.4011        6.42      0.9196       12.99       1.955       12.54       2.321       8.877       2.994      0.8667      0.7852        42.3        11.2       11.62       0.091       14.95       0.102        20.1       1.146       14.43       0.733       21.99       10.75     0.03745          -1         -99         -99       16.92         -99           0
162        189.2877350   62.3886566      1.26       254.7       11.54         -99       1e+10       22.14       1.114        32.4       1.676       31.39       2.184       22.25       2.778       13.19       5.911         -99       1e+10       176.4        13.9         -99         -99       46.67       0.136       56.22        3.16       47.95       0.947       20.48       10.88      0.3651       1.256           1          72      0.2456          -1           0
169        189.3772278   62.3882370      2.04       19.54       7.054         -99       1e+10    -0.03261      0.5735      0.4311       1.436         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.4582       2.994       0.966       0.068       0.675       0.231        2.85       1.007      -0.575       1.378       22.96       10.13      0.3321          -1         -99         -99       13.48         -99           0
175        189.3435822   62.3875694      1.62       119.4       6.107       27.51       13.71       1.048      0.5356       1.072       1.236        8.42       2.232       1.735       4.595         -99       1e+10         -99       1e+10        6.08        3.04       10.97       0.057       15.24       0.101       14.07       0.683       14.84       0.731        21.8       10.57      0.1498          -1         -99         -99       11.35         -99           0
179        189.3303833   62.3872147      1.56       142.3       6.703        8.19       11.32      0.8182      0.4223       1.783       0.921       4.896       2.461         -99       1e+10         -99       1e+10         -99       1e+10       2.385       3.008       8.625       0.059        10.2       0.092       10.01       0.733        7.14        0.66        21.8       10.47      0.2983          -1         -99         -99       16.58         -99           0
180        189.3639526   62.3872528      1.22       37.02       7.159         -99       1e+10    0.005906      0.4417      0.8405       1.229         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       5.091       3.138       34.48       0.062       34.08       0.131       24.05       0.717       16.97       0.918        20.6        11.1      0.1157          -1         -99         -99       21.61         -99           0
185        189.2730255   62.3870239       -99        99.2        8.18         -99       1e+10       1.131      0.3723       1.719      0.8988       9.822       3.717        15.4       4.508       22.19       8.166      0.6487      0.8412     -0.3867       3.062         -99         -99       11.76       0.167         -99         -99       8.448       1.165         -99         -99         1.1          -1        -999         -99       11.91         -99           0
186        189.2921295   62.3870010      1.21       77.96       7.358         -99       1e+10      0.6188      0.3863       1.935       1.027      0.5948       2.547         -99       1e+10         -99       1e+10         -99       1e+10       5.541       3.357       16.97       0.137       15.45       0.117       15.41       1.647       11.35       0.854       21.11        10.5     0.04843       1.259           2          21      0.1088          -1           0
207        189.3199310   62.3851814      1.84       31.88       8.736       7.695       7.833      0.1953      0.4183      0.6657       1.051         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       2.747       3.057       3.389        0.06       3.351       0.089       6.999       0.741       1.382       0.632       23.77       10.11      0.7177          -1         -99         -99       12.85         -99           0
208        189.3342133   62.3858299      1.73       33.09       5.012       0.257        15.5      0.4393      0.4198     0.01973      0.7673         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       2.946        2.99       3.803       0.054       4.167        0.09       4.701       0.658       2.218       0.633       22.26       10.16      0.1028          -1         -99         -99       16.81         -99           0
213        189.2788696   62.3852005      0.61       589.5        8.31         -99       1e+10        19.1       1.254       37.88       3.552       41.16       8.328       6.356       15.85   3.106e-07       32.28         -99       1e+10       130.1         7.4         -99         -99       84.55        0.14         -99         -99       180.9       0.946       18.88       10.72      0.1989      0.5044           1          23      0.1602          -1           0
214        189.2790375   62.3842049      2.48       80.16       14.11         -99       1e+10       1.243      0.6689     0.01973       3.598        1.44       7.295       7.856       13.64    0.007247       25.56      0.6823      0.8909       4.735        3.05       14.79       0.176       16.76       0.128       31.35       2.238          31       0.904       21.79          11      0.2456          -1         -99         -99       3.465         -99           0
216        189.3812103   62.3850212      0.15       135.9       8.475         -99       1e+10       2.945      0.6529       4.095       1.484         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       4.557       3.145        20.8       0.068       17.59       0.179       13.61       0.897       36.28       1.242       19.74        8.75     0.08679       0.159          -1          81       0.191          -1           0
217        189.3233490   62.3851357      2.91       128.6       6.837       9.282       9.684      0.6882      0.4229       1.832       1.045       3.361       3.146       6.905        4.83       3.734        9.09      0.9658      0.9952       5.672       3.078       7.551       0.059       9.524       0.087       12.49       0.702       8.393       0.619       22.18       11.69      0.1829          -1         -99         -99       8.815         -99           0
227        189.3872528   62.3847275       1.1       32.78       8.935         -99       1e+10    -0.03261      0.6217       3.111       1.325         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       3.287       3.074       6.687       0.077       4.959       0.283       7.548       1.059       3.745       1.549       21.92        9.72      0.8287          -1         -99         -99          10         -99           0
239        189.3012085   62.3842201      3.34       23.82       6.255       0.257        7.93    -0.03261      0.3254     0.01973      0.6773         -99       1e+10         -99       1e+10         -99       1e+10       1.318      0.6496      0.8037       3.305       2.534       0.077       3.191       0.095       2.908        0.96       4.767       0.682       23.29       10.84      0.1373          -1         -99         -99        6.95         -99           0
242        189.3982697   62.3841057      1.31       23.82       11.75         -99       1e+10      0.1125      0.7294     0.01986        1.45         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       1.421       3.075       11.46       0.103         -99         -99       15.86       2.509       9.749       2.217       21.88       10.53      0.4434          -1         -99         -99       28.52         -99           0
245        189.3617554   62.3836403      0.83       41.42       8.431       0.257       24.63      0.1677      0.3857       2.688       1.045         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       4.777       3.128       6.016       0.052       4.251       0.107       5.712       0.615       3.388       0.768       22.13        9.69     0.05786          -1         -99         -99       19.13         -99           0
247        189.3082123   62.3836327      0.02       22.09       6.586       0.257       9.644    -0.03261      0.3496         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       1.061       3.261       84.25       0.077       54.65       0.096       37.73       0.786       21.98       0.642       18.19       7.718     0.08679          -1           1          72      0.0412   2.695e+04           0
248        189.2747345   62.3834190      1.32       33.09       7.235         -99       1e+10         -99       1e+10         -99       1e+10       3.788       2.939         -99       1e+10         -99       1e+10         -99       1e+10       2.874       3.047         -99         -99        10.3       0.135        23.3       3.129       6.604        0.94       21.89       10.21      0.2428       1.363           1          23      0.1088          -1           0
254        189.3492737   62.3831825       1.5       13.73        6.76       0.257       15.24    -0.03261      0.4314     0.01973       1.294         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10        11.9        3.03       2.668       0.049       2.558       0.094       1.092        0.59       1.707       0.672       23.19        9.78      0.1668          -1         -99         -99       23.37         -99           0
255        189.2914581   62.3830261      1.52       371.8       6.627       304.7       18.58       2.683      0.3512       5.646      0.9227       2.526       1.854   2.905e-07       3.381         -99       1e+10         -99       1e+10       624.8         3.5       55.56       0.104       73.58       0.106       105.4       1.229       168.5       0.729        20.1       11.37     0.08549          -1           2          72     0.07323   2.551e+04           1
256        189.3261261   62.3830528      2.51       494.8       6.184       96.52       7.413       2.399      0.4293        7.93        1.11       15.03       1.793       11.69       4.837       12.36       8.462       1.344      0.9856       28.36       2.999       37.96       0.059       50.38       0.088       56.77       0.611       42.13       0.589       20.94       11.95      0.1338          -1          -1          45     0.02546   2.848e+04           1
257        189.3730621   62.3830338      1.12       184.3       7.396         -99       1e+10       6.304       0.554       10.54       1.282       12.28       1.626       8.126       2.918         3.7       3.392    -0.02962      0.8455       27.71       3.129       20.46       0.058       21.01       0.126       14.33       0.674       19.33       0.904       21.28       10.52     0.08549       2.431           1          72      0.1582          -1           0
262        189.3527832   62.3826714      0.32       83.96       6.117       59.34       17.83    -0.01349      0.6222       2.788       1.589         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.4211       3.015        30.4       0.054          20       0.098       20.28       0.588       11.29       0.683       20.07       8.678      0.1228          -1         -99         -99       26.09         -99           0
264        189.3194122   62.3825989       2.5       51.32       5.658       0.257       7.672       1.079      0.3818     0.08313      0.9569       7.322       2.398       5.385       3.712         -99       1e+10         -99       1e+10       7.078        3.02       2.222       0.054       2.727       0.082         6.3       0.645       2.421        0.59       23.43       10.54     0.06551          -1         -99         -99       11.27         -99           1
270        189.2761230   62.3823051      1.39       32.18       6.281         -99       1e+10      0.7292       0.332     0.04897      0.8853         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       6.029       3.023       3.152       0.155       3.949       0.121       8.611       1.979        1.92       0.874       23.13        9.85      0.1447          -1         -99         -99       4.588         -99           0
277        189.2606506   62.3821220      2.23       26.17       14.51         -99       1e+10      0.4222       0.318      0.1157      0.8107       3.618       2.415         -99       1e+10         -99       1e+10         -99       1e+10       7.733       3.023         -99         -99       1.381       0.169         -99         -99       1.091       1.187       23.41       10.26      0.1447          -1         -99         -99       23.84         -99           0
288        189.3411255   62.3813210      0.43       85.53       7.153        58.8       15.73       1.697      0.5287      0.2817       1.159         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       6.167       3.051       20.68       0.051       18.62       0.086       15.28       0.564       26.07       0.593       20.06       10.11      0.0868          -1         -99         -99       25.82         -99           0
289        189.3540344   62.3815117      3.15        30.7       9.969       1.574       18.17       1.142      0.5704       1.555       2.459       7.987       3.753       5.786       2.208       3.021       2.846      0.1815      0.8808       8.312       3.075       7.374       0.048       8.591       0.094       10.57       0.564       10.97       0.665       22.26       10.96     0.03745          -1         -99         -99       28.76         -99           0
309        189.4114075   62.3808708       -99        20.1       23.11         -99       1e+10    -0.03261      0.7374     0.01973       1.605       1.082       2.699       3.525       3.292       1.307       5.635    -0.06307       1.026       9.406       3.054         -99         -99         -99         -99         -99         -99       1.991       2.647         -99         -99       6.947          -1        -999         -99        32.9         -99           0
314        189.3889771   62.3803711       -99       75.82       5.804         -99       1e+10    -0.03261       0.528       1.917       1.107         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       1.911       3.003       2.198       0.063       11.82       0.172       5.802       0.869       2.715       1.156         -99         -99       1.265          -1        -999         -99       21.03         -99           0
316        189.3449707   62.3803062      2.17       32.48       6.804       5.899       15.89    -0.03261       0.499       1.935       1.219         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10      -0.386       3.093       7.341       0.047       8.657       0.084       9.777       0.552       5.988       0.594       22.61       11.15     0.02893          -1         -99         -99       30.02         -99           0
317        189.3559875   62.3801041      0.46       94.71       6.408       87.24       16.67       1.713      0.5323       3.228       1.625       4.948       8.069         -99       1e+10         -99       1e+10         -99       1e+10       4.734       2.981       68.55       0.059       60.33       0.099        47.3       0.544       56.78       0.662       18.63       10.79     0.04843          -1         -99         -99        22.9         -99           0
330        189.2572937   62.3797035      2.38       12.84       5.101         -99       1e+10    -0.01914      0.3338      0.8035      0.6771       2.044       3.025         -99       1e+10         -99       1e+10         -99       1e+10       7.637        2.97         -99         -99       1.879        0.16         -99         -99       0.733       1.099       23.15        10.1      0.2094          -1         -99         -99       26.74         -99           0
337        189.3263550   62.3793564         3       14.41       4.754       16.08       7.529         -99       1e+10     0.01973      0.9511         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.4011       3.011       1.072       0.048       0.862       0.077       0.841       0.566        0.64       0.551       23.34       9.928     0.06551          -1         -99         -99       9.195         -99           1
339        189.2628784   62.3790627      0.98       25.44       5.594         -99       1e+10    -0.02859      0.3401      0.2769      0.6333         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       2.008       2.997         -99         -99       3.967       0.134         -99         -99       2.206        0.96        22.1       10.04      0.4128          -1         -99         -99       22.43         -99           1
340        189.2966309   62.3791275      1.48       24.74       4.559       10.62       7.521      0.1831        0.34       1.297      0.6339         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       1.178       3.255       5.156       0.065       5.331       0.089       1.142       0.768        3.47       0.633       22.56       10.21     0.02893          -1         -99         -99       8.351         -99           1
343        189.3441925   62.3789673      0.86       91.27       5.886       60.99        18.3      0.5781      0.4878       2.219       1.067      0.9963       2.756         -99       1e+10         -99       1e+10         -99       1e+10       3.843       3.039       18.03       0.048       13.32       0.083        11.7       0.534       8.816       0.578       21.09       10.36     0.02893          -1         -99         -99       26.21         -99           1
356        189.3569031   62.3785400       1.3       95.59       6.146       30.42       14.49       1.899      0.4678       3.876       1.014       1.301       4.937         -99       1e+10         -99       1e+10         -99       1e+10       8.599       2.975       9.297       0.046        12.9       0.091       19.51       0.531       27.72       0.642       21.51       9.718      0.0824          -1         -99         -99       17.09         -99           0
365        189.3375244   62.3778343      1.18       27.18       6.964       19.82       9.133     0.07253      0.4858       1.262      0.9904         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10      0.6988       2.964       5.839       0.045       5.153       0.078        4.44       0.518       2.695        0.55       22.47       9.878     0.03746          -1         -99         -99       14.77         -99           1
368        189.3711700   62.3778992      0.77       26.92       7.405       13.92       76.28    -0.03261      0.5687     0.01973        1.19         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       1.232       2.984       7.246       0.049       6.447       0.104       4.497       0.574       4.605       0.747        22.6         9.4      0.1099          -1         -99         -99       18.74         -99           0
371        189.3935852   62.3781776       -99     -0.3465       11.16         -99       1e+10    -0.03261      0.5259      0.6961       1.051        3.93       2.142       4.304       2.446       2.444       6.843       1.086       0.995        9.29       2.994       0.094       0.062       0.768       0.175       0.891       0.883      -2.607       1.156         -99         -99       2.354          -1        -999         -99       19.52         -99           0
374        189.2759247   62.3777390      0.82       202.2       8.504         -99       1e+10       2.008      0.3859       3.473      0.6731       9.726       2.176         -99       1e+10         -99       1e+10         -99       1e+10       6.738       2.982       49.57       0.108       34.35       0.105       31.81       1.284       23.59       0.751       19.66       10.73      0.1236      0.8178           2          23      0.1447          -1           1
375        189.2846680   62.3775330      1.26         115       8.777       81.81       9.492       1.232      0.3931       2.738       0.851       5.476       2.421       6.709       2.339         -99       1e+10         -99       1e+10       5.567       3.161       30.75       0.078       28.91       0.095       20.78       0.913       19.58       0.667       21.05       10.79      0.8185          -1         -99         -99       7.135         -99           1
376        189.4158173   62.3777733      2.83       247.7        15.1         -99       1e+10       1.649      0.7689       5.698       1.613       14.53         2.9       12.39       2.918          16       5.565      0.9849       1.113        59.8         7.6         -99         -99         -99         -99         -99         -99       64.92       2.538       22.23       11.41      0.2536          -1         -99         -99       25.86         -99           0
379        189.2998199   62.3774223      4.38       14.27       4.911       0.257       9.219    -0.03261      0.3121     0.01973      0.8762         -99       1e+10         -99       1e+10         -99       1e+10    -0.06307      0.9433    -0.08611       3.245       2.025       0.058       1.378       0.083       2.797       0.693       1.594       0.595       23.54       10.23      0.2428          -1           3          72      0.5069   2.621e+04           1
381        189.3229218   62.3777237      4.21       63.56       7.132       0.257       8.474      0.4615      0.3704       0.224      0.7038         -99       1e+10         -99       1e+10         -99       1e+10     0.08841      0.9577       3.189       3.001       5.735        0.05       5.177       0.077       9.257       0.554       6.572       0.543         -99       11.95      0.9066          -1         -99         -99       4.109         -99           1
385        189.3407440   62.3772011      2.57         250       6.856       2.363       9.941       1.544      0.4632       4.021       1.128       15.27       3.405       12.12       3.825        8.02       13.53    -0.06307       1.043       19.21       2.986       9.838       0.046       12.48       0.079       16.84       0.511       14.41        0.55       22.72       10.82      0.2422          -1         -99         -99       18.15         -99           1
390        189.2970734   62.3770180      2.03       18.46       4.727        4.42       9.946    -0.03261      0.5979         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.3203       3.229       1.675        0.06       1.942       0.083       1.784       0.716       3.636       0.604       23.61       9.718       0.312          -1         -99         -99       5.341         -99           1
391        189.3270874   62.3771172      2.32       18.46       5.912       0.257       7.619      0.1112      0.3636      0.5981      0.7909         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.4015       2.965       3.151       0.047        3.43       0.075       3.338       0.527       2.486       0.534       22.64       10.27      0.3611          -1         -99         -99       9.347         -99           1
394        189.2457886   62.3770714       -99       64.75       8.442         -99       1e+10        0.54      0.3414       1.472      0.5894        5.35       1.939       4.085       4.034       5.157        3.52    -0.01198      0.7151       2.571       2.915         -99         -99       6.884       0.183         -99         -99       1.836         1.3         -99         -99       1.811          -1        -999         -99       7.213         -99           0
398        189.2703552   62.3765945      1.07       23.38       6.227         -99       1e+10      0.0735      0.2963         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       1.545           3       2.364       0.116       1.621       0.108       3.263       1.528       1.643       0.802       23.49        9.54      0.2122          -1         -99         -99        8.03         -99           1
399        189.3710785   62.3766823      2.67       41.42       6.482       0.257       20.57      0.9353      0.4926       1.849       1.124       5.558       2.342       4.944        3.18       3.049       6.197    -0.06307      0.8225       10.12       2.964       3.528       0.047       4.151       0.101       4.119       0.557       5.221       0.724       23.44       10.67     0.09613          -1         -99         -99        20.7         -99           0
401        189.2810516   62.3764534      1.27        41.8       5.506       14.43       15.15    -0.03261      0.3987       1.394       1.115         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10      0.4396       3.194        3.01       0.075       2.303       0.093       0.265       0.913       2.246       0.679       23.11       9.548      0.1725       1.251           1          72      0.1236   2.462e+04           1
407        189.2942352   62.3762665      1.46       375.2       5.687       233.3       11.87       7.176      0.6043       14.15       1.717       25.11       2.102       16.75       3.303       4.922       4.753      0.4072      0.7489        41.7         3.6       38.69       0.067       47.91        0.09       40.77       0.725       46.44       0.608       20.54        11.1     0.02894       1.521           1          47     0.09945   2.572e+04           1
409        189.3363342   62.3761978      0.67       45.89       5.799       23.14       9.191      0.6188      0.4253       2.081       1.117         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       11.25       2.935       13.87       0.047       10.32       0.077       11.78       0.508       9.123       0.537       21.24       9.968     0.02894          -1         -99         -99       9.962         -99           1
413        189.3651276   62.3760185      0.63          35       5.546       5.596       13.91       0.457      0.4261       1.935      0.9035         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       2.359       2.965       7.933       0.045       5.869       0.093       5.495       0.525       3.891       0.659       21.66        9.82      0.2745          -1         -99         -99       11.11         -99           0
414        189.3391876   62.3758583      1.22        30.7       6.515       0.257       9.661      0.8027      0.4879     0.01973       1.538         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         3.2       2.987       18.26       0.047       16.29       0.078       13.83       0.499       9.119       0.538       21.42       10.57     0.09411          -1         -99         -99       14.23         -99           1
416        189.4103851   62.3759270      0.38       36.68       7.981         -99       1e+10       0.303      0.6282       1.989       1.363         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       1.451       3.031       2.782       0.096         -99         -99       13.04       1.874       2.106       1.951       22.16        8.64      0.4051          -1         -99         -99       15.48         -99           0
418        189.2923126   62.3758202       1.4       16.47       6.545       40.76       11.84       1.303      0.5155      0.9449       1.863         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       2.398       3.165       14.69       0.064       14.07       0.086       12.64        0.73       12.98        0.61       21.75       10.64      0.1274          -1         -99         -99       3.547         -99           1
421        189.2828827   62.3757210      1.24       25.44        5.61       7.166       11.91    -0.03261      0.5414      0.5008        1.62         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.3218       3.165        3.41       0.067       3.031       0.091       1.979       0.806       3.219       0.658       22.72       9.808     0.03746          -1         -99         -99       4.137         -99           1
428        189.2596283   62.3751678      1.29       19.91       5.717         -99       1e+10    -0.03261      0.4482       1.174       0.808         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       1.424       2.872       3.397       0.136       3.114       0.119       3.438       1.757       1.928       0.864        23.3        9.66      0.2758          -1         -99         -99       16.32         -99           1
