#            id   flag_SB_MS_1   dist_to_MS_1   dist_to_MS_2        log_SFR   log_SFR_MS_1    log_SFR_MS_2
#
            805              0     -0.0782375      -0.109066        1.35679        1.43503        1.46586
            807              1       0.821329       0.961185        2.33766        1.51633        1.37647
            808             -1      -0.674316      -0.732257       0.530456        1.20477        1.26271
            809              0       -1.61491       -1.69836      -0.455188        1.15972        1.24317
            825              0      -0.238731      -0.335639       0.840294        1.07903        1.17593
            826              0      -0.289039      -0.477735       0.524396       0.813435        1.00213
            827             -1      0.0388139      0.0520163        2.06108        2.02226        2.00906
            837              0            -99            -99        2.44623            -99            -99
            841              0            -99            -99         2.4606            -99            -99
            849              0        0.21211       0.272173        1.34908        1.13697        1.07691
            860              0      -0.660984      -0.710206         1.9697        2.63068         2.6799
            866              0       -1.02086       -1.01704       0.914713        1.93557        1.93175
            867              0      -0.184441      -0.185201       0.899985        1.08443        1.08519
            870             -1       0.331182       0.191892        1.54864        1.21745        1.35674
            872             -1      0.0197644       0.019866        1.83872        1.81896        1.81886
            877             -1     -0.0689772     -0.0938737        1.45743         1.5264         1.5513
            878              0      0.0627638      0.0106752      -0.482804      -0.545568      -0.493479
            881              0       0.131743       0.307854        1.36511        1.23337        1.05726
            884             -1      -0.719963      -0.817391        1.63478        2.35474        2.45217
            885              1          1.532        1.78107         1.0983      -0.433705      -0.682773
            886              0      -0.968145       -1.12242       0.024896       0.993041        1.14732
            892              0      -0.455688      -0.490093       0.982678        1.43837        1.47277
            893             -1     -0.0282024       -0.14088        1.35622        1.38442         1.4971
            899              0         -1.725       -1.65811      -0.311847        1.41315        1.34626
            902             -1     -0.0431572      -0.167887        1.11793        1.16109        1.28582
            915             -1       0.206388       0.188024        2.35736        2.15097        2.16934
            917             -1      0.0405219     -0.0148752         1.7542        1.71367        1.76907
            922              0      -0.927955      -0.960023       0.933031        1.86099        1.89305
            923              1       0.852456       0.956821         2.2907        1.43825        1.33388
            924              0      -0.673138      -0.858942      -0.320663       0.352475       0.538279
            926              0      0.0820968       0.219357       0.962038       0.879941       0.742681
            928              0      -0.173547      -0.123974     0.00902574       0.182572          0.133
            931              0      -0.113538      -0.258692       0.650793       0.764331       0.909485
            934              0    -0.00554066     -0.0885604       0.450095       0.455636       0.538656
