#       id       zspec       zbest       ubest       chi2_min     S_chi2_min     R_chi2_min
#
       239    -1.00000     3.34000      25.000       7.108529        1.05248       6.056049
       242    -1.00000     1.16447       6.100       1.252375     0.01658889       1.235786
       245    -1.00000     0.70530       4.900       7.713136      0.1903296       7.522806
       247    -1.00000     0.00100     101.000        7.61377   7.056118e-19        7.61377
       248     1.36300     1.36300      18.000       11.98337       10.02125       1.962123
       254    -1.00000     1.68000     101.000       12.89897         3.5234       9.375566
       255    -1.00000     1.29320     101.000       8.403816      0.4398318       7.963985
       256    -1.00000     2.63636      35.000       1.967488      0.2839506       1.683537
       257     2.43100     2.43100      45.000       26.07398       22.97256       3.101424
       262    -1.00000     0.32120       2.200       5.929514     0.02247365       5.907041
       264    -1.00000     2.24800     101.000       24.26891       16.57694       7.691967
       270    -1.00000     1.28245       9.700       6.650325       3.188026       3.462299
       277    -1.00000     2.52070      18.000       5.397354   0.0002731758        5.39708
       288    -1.00000     0.32130       9.700       1.845009     0.03884835       1.806161
       289    -1.00000     2.77650      40.000       4.805382      0.0694449       4.735937
       309    -1.00000     4.30100     101.000       6.824834   3.892338e-21       6.824834
       314    -1.00000     0.40100       4.900        4.05823   1.614559e-23        4.05823
       316    -1.00000     1.99882      35.000       3.581084      0.5378298       3.043254
       317    -1.00000     0.32860       3.300       1.443568     0.05341971       1.390148
       330    -1.00000     2.47126     101.000       3.182328       0.389323       2.793005
       337    -1.00000     2.64000      45.000      0.4427074     0.03119035      0.4115171
       339    -1.00000     0.96180       6.100       0.766166    0.001166218      0.7649998
       340    -1.00000     1.43536      12.100       12.40246       9.479235        2.92322
       343    -1.00000     0.89260       6.100        1.51895      0.1265082       1.392441
       356    -1.00000     1.15510      18.000       1.607709    0.004122644       1.603586
       365    -1.00000     1.10380       6.100       1.444541       0.374547       1.069994
       368    -1.00000     0.87070       6.100       1.294433    0.004732023       1.289701
       371    -1.00000     5.10100     101.000       16.44052       6.104085       10.33643
       374     0.81780     0.81780       6.100       2.965616      0.1058699       2.859746
       375    -1.00000     1.34136       9.700    0.003303259   5.306033e-05    0.003250199
       376    -1.00000     2.48530      25.000      0.4640405   9.171476e-22      0.4640405
       379    -1.00000     4.86420     101.000        20.1293       2.818776       17.31052
       381    -1.00000     3.74110      30.000       30.25022       7.286973       22.96325
       385    -1.00000     2.47361      25.000       1.105397     0.08118897       1.024208
       390    -1.00000     2.13908      35.000       5.521883       5.294992      0.2268915
       391    -1.00000     2.02120      35.000      0.4723851     0.01656664      0.4558185
       394    -1.00000     1.00100       6.100       0.627895   7.420657e-19       0.627895
       398    -1.00000     0.92370       6.100       1.733698       1.246954      0.4867437
       399    -1.00000     3.00030      50.000       4.072763       1.359304       2.713459
       401     1.25100     1.25100       9.700       9.888975       5.652195        4.23678
       407     1.52100     1.52100      12.100        1.54022     0.05396292       1.486257
       409    -1.00000     0.69970      12.100       15.39389     0.00947839       15.38442
       413    -1.00000     0.70330       4.900       3.028661      0.0392704        2.98939
       414    -1.00000     1.02020     101.000       5.425669      0.2972663       5.128403
       416    -1.00000     0.33580       4.900       2.295171     0.02803545       2.267135
       418    -1.00000     1.27040      18.000       7.132705       1.172112       5.960593
       421    -1.00000     1.15936       6.100       4.700993      0.6154612       4.085532
       428    -1.00000     1.08390       6.100       2.736342      0.4221977       2.314144
       429    -1.00000     0.95650     101.000       4.444682       1.439082         3.0056
       430     1.25300     1.25300      18.000       9.329511       6.595544       2.733967
       431     0.67600     0.67600       9.700       14.96975      0.1168778       14.85288
       432    -1.00000     0.67250       9.700       3.438394       0.255186       3.183208
       433    -1.00000     0.40100       9.700       1.781613   4.309224e-21       1.781613
       437    -1.00000     2.79552      50.000       7.298836      0.7210758       6.577761
       438    -1.00000     1.06570     101.000       2.991209      0.2284415       2.762767
       439    -1.00000     1.35690       9.700        10.8514      0.9056568       9.945738
       442    -1.00000     1.22380       9.700      0.7916681   2.013771e-19      0.7916681
       449    -1.00000     0.19930       2.200         14.323   2.778668e-20         14.323
       450    -1.00000     4.74430     101.000       25.07671       4.507826       20.56888
       451     1.01900     1.01900       6.100       2.004833      0.4307202       1.574112
       468    -1.00000     4.87510     101.000        19.4501       1.097625       18.35247
       481     0.17900     0.17900     101.000       8.821701   3.306216e-18       8.821701
       482    -1.00000     1.97570      25.000       1.213509      0.1489668       1.064543
       490    -1.00000     1.16920       6.100       6.161039       1.058614       5.102426
       498    -1.00000     3.87760     101.000       6.424409    0.009118733        6.41529
       501    -1.00000     2.71690      50.000       7.534343     0.03587164       7.498472
