#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
213       18.25        0.45       28.57       0.085       28.03        0.24       15.42        0.19       6.936      0.0925       2.407       0.032      0.4311     0.00545      0.1562     0.00185      0.1399     -0.0064      0.1225     -0.0152     0.02743    0.000525      0.0255     0.00049      0.1007     0.00192
214      0.3287      0.1475      0.6832      0.2737        1.58      0.6904       2.216       1.137       2.301       1.309       1.722       1.033      0.5651      0.3534        0.23       0.146      0.2071      0.1273      0.1823      0.1071     0.04038     0.02588     0.03727     0.02389    0.006376    0.003433
216       2.474      0.9345         3.5       0.156       3.521       1.107        1.86      0.9288       0.849       0.491      0.3089      0.1938     0.06098     0.04052     0.02255     0.01566     0.02025     0.01369     0.01776      0.0116    0.004039    0.002672    0.003751    0.002463     0.01033    0.002545
217      0.5077      0.2006       1.014       0.351       2.224       0.587       3.441       1.365        3.55       1.652       2.625       1.379      0.8509      0.4821      0.3442      0.1986      0.3098      0.1716      0.2726      0.1424     0.06045     0.03508     0.05581     0.03239    0.009261    0.004329
227      0.3527      0.2351      0.7016      0.4934       1.049      0.6544      0.8329      0.4561      0.4785      0.2462      0.2234      0.1195     0.04794      0.0268      0.0181     0.01031     0.01626    0.008869     0.01429    0.007329    0.003177    0.001849    0.002934    0.001708    0.003094    0.002119
239       0.148     0.05523      0.2706      0.1022      0.8375      0.3426        1.67      0.9432       2.143       1.384       1.907       1.326      0.8188      0.6162      0.3697      0.2853      0.3352      0.2551      0.2971      0.2215     0.06716     0.05244     0.06198     0.04841     0.00547    0.003239
242      0.1832     0.05565      0.4668      0.1936       1.035      0.3626       1.409      0.5877       1.189      0.5913      0.6322       0.365      0.1543     0.09946      0.0589     0.03877     0.05292     0.03384      0.0465     0.02854     0.01038    0.006929    0.009588    0.006402    0.003442    0.001427
245      0.4121      0.1514       0.886       0.325       1.508       0.387       1.348       0.377      0.8196      0.2884       0.367      0.1505     0.07815     0.03525     0.02971     0.01375      0.0267     0.01156     0.02349     0.00922    0.005242    0.002484    0.004843    0.002293    0.003985    0.001301
247      0.2823     0.09615      0.2979      0.1157      0.1845     0.08065     0.06613     0.03073     0.02432     0.01162    0.007699    0.003701    0.001357   0.0006511   0.0004926   0.0002386    0.000442   0.0002009   0.0003884    0.000161   0.0001045   4.782e-05   9.896e-05   4.504e-05    0.001101   0.0004138
248       0.288      0.1376      0.8108      0.4442       1.614      0.7773       1.614      0.7147       1.127      0.4724      0.5513      0.2395      0.1265     0.05822     0.04749     0.02227     0.04262     0.01871     0.03739     0.01488    0.008261    0.003929     0.00763    0.003629    0.005044    0.002381
254      0.2154      0.1449      0.6891      0.4709       1.565      0.9484       1.823      0.9378       1.399      0.6715      0.7147      0.3404      0.1643     0.08067     0.06067     0.02973     0.05434     0.02501     0.04757     0.01996     0.01028    0.004987     0.00949      0.0046    0.005306     0.00295
255       1.964       0.791       3.247      0.2505       4.842       0.735       4.567       1.449       3.296       1.391       1.604      0.7766      0.3634      0.1923      0.1373     0.07405      0.1233     0.06335      0.1082      0.0518     0.02417     0.01315     0.02233     0.01215     0.01204    0.004686
256       1.449      0.7883       2.722       0.542       8.861      0.7005       15.09         1.9       15.87       2.565       11.62       2.941       3.756       1.348       1.523      0.6031       1.371      0.4981       1.206      0.3846      0.2672      0.1099      0.2466      0.1015     0.04238    0.006245
257       4.168      0.1755       6.777      0.1455       10.97        0.13       12.06        0.22       9.941       0.429       6.294       0.386       1.786       0.125      0.6957     0.04835       0.625      0.0105       0.549    -0.03025      0.1211     0.00785      0.1118      0.0072     0.02637     0.00291
262      0.5235      0.1736       1.006       0.321       1.523      0.7372       1.067      0.6263      0.5585      0.3547      0.2189      0.1469      0.0446     0.03103     0.01689     0.01187     0.01517     0.01041     0.01333    0.008845    0.002958    0.002081    0.002735    0.001922    0.003305    0.001168
