#     _id       snrFIRSMM         zFIRSMM           snr24        snrRadio           snr16          snr100          snr160          snr250          snr350          snr500          snr850          snr1160
#
825                 1.110           1.022           5.848           3.392           0.000           0.614           0.925           0.000           0.000           0.000           0.000           0.000
826                 3.226           0.623          15.895           2.264           0.000           1.660           2.766           0.000           0.000           0.000           0.000           0.000
827                19.915           1.371          24.935          23.551           0.000          12.761          12.180           3.700           6.239           5.190           2.348           0.568
837                 2.291           3.551           4.041           3.466           1.987           1.064           1.154           1.118           0.000           0.400           0.842           0.816
841                 3.017           6.301           0.379           3.698           0.000           0.448           0.593           0.000           0.000           0.000           0.000           2.924
849                 1.101           1.556           4.869           3.706           0.000           1.101           0.000           0.000           0.000           0.000           0.000           0.000
860                 1.413           2.982          23.165           2.171           2.665           0.052           1.412           0.000           0.000           0.000           0.000           0.000
866                 1.140           1.270           7.028           1.538           1.589           0.000           1.140           0.000           0.000           0.000           0.000           0.000
867                 2.581           1.263           6.516           0.164           4.680           0.216           2.572           0.000           0.000           0.000           0.000           0.000
870                20.696           0.840          22.948           5.559           0.000          16.481          12.299           2.259           0.586           0.000           0.000           0.000
872                 2.887           2.084          24.600           1.729           0.000           2.887           0.000           0.000           0.000           0.000           0.000           0.000
877                 1.409           1.450           4.358           3.415           0.000           0.374           0.000           1.358           0.000           0.000           0.000           0.000
878                 4.696           0.276          18.314           0.623           7.023           4.322           1.835           0.000           0.000           0.000           0.000           0.000
881                 2.229           2.150           5.318           0.254           1.211           2.105           0.733           0.000           0.000           0.000           0.000           0.000
884                 7.733           3.530          16.296           0.000           0.597           0.124           6.773           2.989           1.999           0.903           0.426           0.000
885                 8.456           0.903          27.313           5.281          25.199           8.146           1.313           1.849           0.000           0.000           0.000           0.000
886                 2.544           0.475          11.187           1.997           5.192           1.887           1.707           0.000           0.000           0.000           0.000           0.000
892                 1.574           1.450           8.866           1.955           0.000           0.059           1.573           0.000           0.000           0.000           0.000           0.000
893                12.168           0.940          30.453           6.273          16.117           7.951           7.666           4.634           2.143           0.000           0.000           0.000
899                 0.482           0.487           8.585           1.919           1.939           0.482           0.000           0.000           0.000           0.000           0.000           0.000
902                 9.966           0.962          29.764           3.128          15.410           6.252           6.432           4.086           1.472           0.000           0.000           0.000
915                12.035           2.635          24.935           5.214           3.419           1.905           8.562           5.002           1.452           0.367           6.142           1.709
917                 8.922           1.500          19.417           2.096           0.000           4.595           5.115           3.752           3.833           1.884           0.000           0.000
922                 2.055           1.810           3.995           0.495           2.812           0.839           1.876           0.000           0.000           0.000           0.000           0.000
923                 9.959           1.920          24.349           8.348           0.000           5.728           6.651           3.795           2.426           1.140           0.000           0.732
924                 0.625           0.464           4.719           2.540           0.000           0.000           0.625           0.000           0.000           0.000           0.000           0.000
926                 2.675           1.600           2.018           1.027           1.807           2.234           0.000           1.471           0.000           0.000           0.000           0.000
928                 1.058           0.828           0.489           3.051           1.298           0.383           0.986           0.000           0.000           0.000           0.000           0.000
931                 5.341           0.743          15.301           0.000           0.000           3.120           4.336           0.000           0.000           0.000           0.000           0.000
934                 3.518           0.708          14.212           0.876           2.316           1.955           2.925           0.000           0.000           0.000           0.000           0.000
937                 4.328           1.032          13.032           2.021           0.000           4.328           0.038           0.000           0.000           0.000           0.000           0.000
939                17.299           0.947          28.477          10.156          36.460          15.362           7.659           1.389           1.636           0.000           0.000           0.000
950                 3.570           2.679          19.501           0.732           9.364           2.998           0.626           0.000           0.000           0.000           1.834           0.000
951                 5.767           0.286           5.555           4.708           6.502           2.545           4.773           1.999           0.000           0.000           0.000           0.000
960                 1.112           0.416           6.851           1.042           0.000           0.000           1.112           0.000           0.000           0.000           0.000           0.000
965                 3.635           1.530          12.143           1.189           2.435           0.000           3.452           1.138           0.000           0.000           0.000           0.000
966                 0.932           1.303           7.506           1.838           2.489           0.932           0.000           0.000           0.000           0.000           0.000           0.000
972                 0.476           0.347           3.947           0.956           0.901           0.476           0.000           0.000           0.000           0.000           0.000           0.000
974                 2.279           5.336           2.080           3.744           0.000           0.000           0.000           0.000           1.232           0.973           0.000           1.651
994                 0.952           1.119           8.313           0.460           0.000           0.885           0.352           0.000           0.000           0.000           0.000           0.000
995                 5.987           1.306           7.084           3.108           3.723           2.614           3.777           3.457           1.671           0.000           0.000           0.000
1002                5.450           0.948          21.562           6.551          12.474           4.844           2.498           0.000           0.000           0.000           0.000           0.000
1005               15.075           2.885          21.572           5.812           6.171           7.977          11.007           5.067           1.729           1.752           3.274           0.000
1006               30.280           0.946          32.429          10.667          24.834          18.653          23.229           5.006           2.072           0.000           0.000           0.000
1008               12.878           1.029          31.687           3.276          16.178           8.852           8.578           3.352           1.635           0.000           0.000           0.000
