#   SAVEDid      xmeAGN       xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
505       1.545       10.03       10.03       80.89       59.31        32.2       60.91       30.59       2.816      0.2165
506      0.0287       6.325       6.325      0.4008       15.76       15.58        18.2       17.97       1.601         1.2
509        0.11      0.1613      0.1613       1.255       1.225      0.6036        1.37      0.4914       0.452           0
510       3.302       2.678       2.678       19.46       19.41       1.172       21.98        2.58      0.6798           0
512      0.1523       1.077       1.077       6.606       10.19       4.592       10.98       4.813       1.137      0.1898
516        35.9       184.7       184.7        1013       538.9       538.9       636.8       636.8       3.951        3.95
521      0.3054      0.8367      0.8367       10.39       9.482       1.624       10.16      0.9507       1.037           0
530      0.5449       0.548      0.3987       3.229       3.173       1.179       3.728      0.8029        0.64           0
532       3.412       4.724       4.724       43.21       42.02       1.867       46.58       4.001      0.9746           0
533       0.497      0.3761      0.3761       2.269       4.279       3.057       4.598       2.803        1.03           0
540        17.4       21.35       21.35       47.98       46.03       30.06       62.35       27.17        2.18       0.286
541           0       1.654       1.654       12.51       12.03      0.4861       13.66       1.641       0.801           0
546           0       85.73       85.73       404.5       457.9       234.9       508.4       221.3        3.03       0.363
547       16.91       135.4       135.4       466.6       432.8       183.1       543.9       204.2       2.612        0.29
548       18.79       32.57       32.57       135.9       111.4       51.68       131.7       64.55        1.78        0.25
550      0.1486      0.7174      0.7174       6.525       7.753        3.13         8.2       2.684       1.239        0.07
552       0.606       1.012       1.012       4.571       4.396      0.2604       5.414       0.778      0.5045           0
554     0.09177      0.4473      0.4473       5.036       4.739      0.3112       5.095      0.6148        0.68           0
559           0       13.14       13.14       81.24       56.43       24.81       66.04       32.58        1.26       0.203
561       5.161       5.139       3.929       9.741       12.67       9.983       14.43       9.432        1.39       0.215
562           0       10.28       10.28       49.63       56.07       42.75       64.34       34.82       2.821       0.163
564           0        17.7        17.7        1751        1751          25        1778       26.62       4.055           0
581      0.5582       1.484       1.484       3.224       9.262        7.57       9.619       7.213        1.31       0.208
593           0       8.908       8.908       90.12       70.12       32.22       74.76       36.16        1.45       0.221
597           0     0.04676     0.04676       23.62       38.54       31.09       38.57       31.06        2.28       0.295
598       33.21       21.89       21.89       36.96        33.8       14.91       56.42       20.57       1.364           0
604           0      0.3149      0.3149       1.661       3.875       3.043       3.925       2.993      0.5778        0.14
606      0.4888      0.7351      0.7351       5.502        5.36       1.141        5.92      0.5797       1.008           0
620           0       0.898       0.898       8.571       8.113      0.4578       8.916       1.027         0.8           0
621       104.9       100.9       100.9         209       208.6       91.05       299.1       129.8        2.48       0.313
622      0.7727       2.026       2.026       11.46       12.03       9.052       13.01       9.018        1.33        0.21
628      0.2371       1.036       1.036       9.077       9.063       3.113       9.797        2.38       1.255           0
631       7.543       4.042       4.042       39.83       30.56        13.6       34.56       14.73        1.39       0.215
637      0.5431      0.8447      0.8447       3.005       2.923      0.2444         3.7      0.6678       0.503           0
638     0.04028       4.465       4.465       20.84       20.44      0.3978       24.91       4.067       0.711           0
652       6.996       8.032       5.876       33.85       35.28       8.385       43.71       6.855       1.765       0.058
658       28.21       75.67       75.67         802       765.6        58.1       843.8       20.04       4.051           0
659           0       90.17       90.17       822.3       748.7       73.64       808.8        46.6       4.056           0
661      0.7843       1.553       1.553       1.599        6.82       5.246       7.297       5.019        1.36       0.212
664           0       5.515       5.515       13.56       28.91       22.17       31.62       19.81        2.37       0.303
669       2.778       3.568       3.568       48.43       45.46       3.658       48.82       4.901       1.142           0
672           0      0.3348      0.3348        5.47       4.632      0.8562       4.937      0.5517      0.9452           0
689           0      0.2468      0.2468       3.317       3.337       1.979       3.518       1.805       0.713           0
692           0      0.2813      0.2813        2.74       2.714     0.02656       3.004      0.2635       0.281           0
697       22.88       25.54       5.608       67.99       66.17       5.355       91.23       1.395       2.172           0
702       4.142        8.23        8.23       22.58       33.47       26.05       44.43       29.75        2.22        0.29
710       0.394      0.4503      0.4503      0.6618       2.001       1.376       2.379       1.519      0.9352      0.1698
713     0.09586      0.2267      0.2267       2.676       2.219      0.7924       2.454      0.5744      0.7762           0
714       132.1       122.1       29.55         297       301.7       13.02       423.8       16.53       4.058           0
718       1.197       2.674       2.618        6.01       8.644       5.377       10.75       5.498      0.9719      0.1701
719           0        5.58        5.58       14.42       15.29       10.84       17.98       8.141        2.04       0.274
721     0.06384      0.1207      0.1207        1.47       1.305      0.4328       1.419      0.3188      0.5953           0
729           0      0.2223      0.2223       4.522        4.01      0.5285       4.211      0.3275       0.905           0
737      0.6564       1.978       1.978       12.31       12.14      0.4669       14.05       1.681       0.585           0
740     0.05928      0.1191      0.1191      0.3358      0.9851      0.6643       1.056      0.6786      0.4158        0.08
748     0.04978      0.6421      0.6421       3.319       4.952       2.841       5.181       2.613       1.322        0.12
749           0      0.1125      0.1125       3.513       3.006      0.5075       3.055      0.4581       0.708           0
753     0.03721     0.01988     0.01732      0.1735      0.2266      0.1042      0.2433     0.09006      0.3308           0
