#            id              z           maxz            snr         maxzsnr
#
           2175          3.239            -99          2.634            -99
           2181         0.7325            -99          1.201            -99
           2185          1.906            -99           4.01            -99
           2189         0.2778            -99          0.899            -99
           2192         0.4842            -99              0            -99
           2195         0.9352            -99          0.531            -99
           2196          1.145            -99          2.173            -99
           2197          1.147            -99          1.018            -99
           2202          1.016          1.016          5.193              0
           2229           1.01            -99          4.738            -99
           2231           2.08            -99              0            -99
           2234         0.5072         0.5072          5.911        5.44344
           2239          0.247            -99          0.199            -99
           2252          1.792            -99           2.16            -99
           2256         0.2775         0.5175          82.04        5.00155
           2262         0.9436            -99          0.405            -99
           2266         0.2712         0.4312          27.93         5.1744
           2268          1.751            -99          1.073            -99
           2272          1.948            -99          4.051            -99
           2290          0.981            -99          1.375            -99
           2295         0.2767         0.2967          9.347        5.62062
           2296          1.017            -99          4.943            -99
           2297         0.8042            -99          3.369            -99
           2314            1.1            -99          1.626            -99
           2318         0.9352            -99          3.725            -99
           2320          3.728          5.248          5.673        5.00272
           2323           2.23            -99          3.679            -99
           2324           2.29           4.03          29.12        5.04377
           2327         0.2733         0.2733          5.933              0
           2328         0.4505         0.7505           33.2        5.10706
           2330          1.157            -99          1.653            -99
           2331          1.146            -99          0.832            -99
           2336          1.013          1.333          11.25        5.19526
           2337           4.67            -99          3.823            -99
           2342         0.8392            -99          2.425            -99
           2347          1.009            -99          2.469            -99
           2357          2.103            -99          1.163            -99
           2359         0.3186            -99          4.207            -99
           2360          1.491          1.671          6.781        5.00602
           2365           1.61            -99          4.254            -99
           2369          2.816            -99          0.205            -99
           2374           1.58            -99          3.399            -99
           2376         0.4859            -99          2.823            -99
           2378         0.2775            -99           1.29            -99
           2387           2.26            -99          0.973            -99
           2395         0.4468            -99              0            -99
           2399           2.29            -99          2.877            -99
           2408         0.5287         0.5687          6.485        5.18362
           2412          0.836            -99          1.188            -99
           2417          1.137            -99          2.978            -99
           2418          1.052            -99          4.591            -99
