# id     ra            dec          z        ez        z_sp     z_op    fK         dfK        fch1       dfch1     fch2       dfch2     fch3       dfch3      fch4       dfch4      f24       df24       f16         df16       f100       df100      f160       df160       f250       df250    f350       df350    f500       df500    f850        df850    f1160      df1160   f20cm       df20cm     SNR     Mstar           SFR       eSFR      sSFR      goodArea   Type_AGN   Type_SED   Type_FIR  
  449    189.3769989   62.3744125   0.1893   0.01      -1.0     0.23    0.3698     0.03698    0.09335    6.4E-5    0.0817     1.1E-4    0.05585    5.7E-4     0.1396     7.34E-4    0.3114    0.01049    0.2209      0.01326    5.132      0.4733     11.7       1.054       13.55      3.777    6.79       4.24     -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.005351    0.002974   16.01   1.74600008E10   0.7746    0.0997    0.04437   0          0          -1         1         
  510    189.2344666   62.3719101   0.6798   -1.0      0.6798   0.77    0.03281    0.003281   -99.0      1.0E10    0.0252     1.79E-4   -99.0      1.0E10     0.02967    0.001307   0.2972    0.01071    -99.0       1.0E10     7.186      0.3964     10.89      0.8214      14.64      3.488    11.12      7.125    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0347      0.0036     22.9    3.32599992E10   19.41     1.172     0.5835    0          0          -1         1         
  532    189.306427    62.3711739   0.9746   -1.0      0.9746   1.02    0.03664    0.003664   0.05034    5.6E-5    0.03855    7.9E-5    0.03387    5.31E-4    0.03234    5.29E-4    0.4209    0.01322    0.3257      0.01532    4.585      0.3636     12.03      0.7676      11.75      1.682    8.198      5.094    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.03        0.0071     21.35   2.89700004E10   42.02     1.968     1.45      1          0          0          1         
  541    189.2628021   62.3708839   0.801    -1.0      0.801    0.97    0.04529    0.004529   0.05278    9.0E-5    0.03487    1.0E-4    0.03318    0.001035   0.02302    7.1E-4     0.1041    0.007143   0.06802     0.01185    2.072      0.3325     5.522      0.6188      4.652      2.297    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.01155     0.002919   11.07   7.6200002E10    12.03     1.087     0.1579    1          0          -1         1         
  546    189.2455139   62.370842    3.03     0.363     -1.0     3.03    0.001905   1.905E-4   0.006432   1.48E-4   0.009633   1.27E-4   -99.0      1.0E10     0.0284     9.16E-4    0.1441    0.006509   -99.0       1.0E10     1.789      0.4108     5.487      0.9843      7.488      4.846    10.4       8.937    11.78      10.3     8.675E-41   1.0E10   0.8416     1.262    0.0495      0.0101     7.452   1.02799999E11   457.9     234.9     4.455     1          0          0          1         
  547    189.2478333   62.3703156   2.612    0.29      -1.0     2.58    0.005754   5.754E-4   0.01262    1.33E-4   0.01543    1.21E-4   0.02125    0.001663   0.02255    8.71E-4    0.1904    0.008178   1.903E-10   0.02715    2.819      0.3692     7.712      1.098       15.59      5.058    10.16      8.422    8.855      10.22    8.675E-41   1.0E10   1.322      1.201    0.0354      0.0068     10.98   5.2720001E10    432.8     183.1     8.21      1          0          0          1         
  548    189.2892303   62.3707123   1.78     0.25      -1.0     1.78    0.02805    0.002805   0.04968    6.0E-5    0.06001    8.6E-5    0.06096    6.03E-4    0.04683    5.67E-4    0.1502    0.007852   0.03953     0.009684   2.246      0.393      4.98       1.042       9.764      2.075    7.45       4.596    3.057      8.11     8.675E-41   1.0E10   2.13E-10   0.8502   0.0345      0.0036     8.967   2.24900006E11   111.4     51.68     0.4954    1          0          0          1         
  552    189.3175201   62.3705864   0.5045   -1.0      0.5045   0.47    0.03631    0.003631   0.02851    4.9E-5    0.02482    7.5E-5    0.02173    4.94E-4    0.03673    5.13E-4    0.1461    0.004316   0.1154      0.00718    3.625      0.3205     5.164      0.7558      3.116      0.9886   2.011      2.729    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0188      0.0034     13.61   1.12699996E10   4.396     0.3231    0.39      1          0          -1         1         
  554    189.2380066   62.3705254   0.68     -1.0      0.68     0.65    0.01368    0.001368   -99.0      1.0E10    0.008332   1.51E-4   -99.0      1.0E10     0.00535    0.001046   0.06105   0.002425   -99.0       1.0E10     0.991      0.3622     4.05       0.7764      3.209E-7   4.904    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.00537     0.002905   5.89    5.3949998E9     4.739     0.8046    0.8785    0          0          -1         1         
  559    189.2335205   62.370388    1.26     0.203     -1.0     1.26    0.0227     0.00227    -99.0      1.0E10    0.03823    1.74E-4   -99.0      1.0E10     0.02895    0.001211   0.1518    0.006302   -99.0       1.0E10     2.299      0.4381     7.653      0.9213      8.538      3.527    8.076      7.805    -99.0      1.0E10   8.675E-41   1.0E10   -99.0      1.0E10   0.023       0.0034     10.17   6.6369999E10    56.43     24.81     0.8503    0          0          0          1         
  564    189.2994995   62.3700371   4.055    -1.0      4.055    4.21    0.003565   3.565E-4   0.006977   4.9E-5    0.009314   7.6E-5    0.01608    5.47E-4    0.02575    5.34E-4    0.07326   0.005565   0.02261     0.01175    0.6952     0.2894     7.112      0.6584      19.61      2.152    29.86      5.025    47.47      7.5      8.675E-41   1.0E10   9.847      0.8987   0.0631      0.0069     20.02   1.78600002E11   1751.0    87.45     9.802     1          0          1          1         
  593    189.3899994   62.3689957   1.45     0.221     -1.0     1.45    0.006855   6.855E-4   0.01302    5.1E-5    0.01633    1.08E-4   0.01687    5.82E-4    0.01442    7.54E-4    0.2178    0.00895    0.09036     0.03232    0.8745     0.4771     6.632      1.149       6.66       3.35     2.125      4.161    -99.0      1.0E10   8.675E-41   1.0E10   0.6564     0.9424   0.01937     0.003101   6.431   2.46600008E10   70.12     32.22     2.844     0          0          0          1         
  598    189.2923431   62.3685188   1.364    -1.0      1.364    1.37    0.01722    0.001722   0.02961    5.3E-5    0.0293     7.9E-5    0.02184    5.55E-4    0.02312    5.4E-4     0.1214    0.00729    0.1232      0.009894   2.253      0.3562     3.832      0.8725      7.848      4.069    9.308      7.348    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.01502     0.002982   8.04    3.7319999E10    33.8      14.91     0.9057    1          0          0          1         
