#            id      dis_to_MS        name_SB           LTIR           MSIR            SFR    lgSFR_MS_Sargent                Mstar
#
            509     -0.0825303             MS      1.225e+10    1.48138e+10          1.225            0.170666             9.57195
            510       0.195055             MS      1.941e+11    1.23871e+11          19.41             1.09297              10.522
            512       0.708097             SB      1.019e+11    1.99562e+10          10.19            0.300077             9.14995
            516            -99        unknown      5.389e+12            -99          538.9                 -99                 -99
            521     -0.0177841             MS      9.482e+10    9.87834e+10          9.482            0.994684              10.102
            530      -0.207238             MS      3.173e+10    5.11338e+10          3.173            0.708708              10.072
            532       0.381967             MS      4.202e+11    1.74377e+11          42.02             1.24149              10.462
            533      -0.951691             MS      4.279e+10    3.82854e+11          4.279             1.58303              10.852
            540      -0.220267             MS      4.603e+11    7.64378e+11          46.03             1.88331              10.622
            541       -0.38132             MS      1.203e+11    2.89458e+11          12.03             1.46159              10.882
            546       0.303553             MS      4.579e+12    2.27624e+12          457.9             2.35722              11.012
            547       0.575017             MS      4.328e+12    1.15152e+12          432.8             2.06127              10.722
            548      -0.286722             MS      1.114e+12    2.15579e+12          111.4             2.33361              11.352
            550        1.03034             SB      7.753e+10    7.22979e+09          7.753           -0.140874             8.52195
            552      0.0520814             MS      4.396e+10    3.89921e+10          4.396            0.590976              10.052
            554       0.206673             MS      4.739e+10    2.94452e+10          4.739            0.469014             9.73195
            559      0.0644507             MS      5.643e+11    4.86474e+11          56.43             1.68706              10.822
            561     -0.0563252             MS      1.267e+11    1.44245e+11          12.67              1.1591              10.072
            562      -0.341157             MS      5.607e+11    1.22995e+12          56.07             2.08989              10.712
            564        0.61396             SB      1.751e+13    4.25919e+12           1751             2.62933              11.252
            581       0.296986             MS      9.262e+10    4.67432e+10          9.262            0.669719             9.50195
            593       0.405932             MS      7.012e+11    2.75366e+11          70.12             1.43991              10.392
            597       0.442857             MS      3.854e+11    1.39013e+11          38.54             1.14305             9.65195
            598     -0.0127034             MS       3.38e+11    3.48033e+11           33.8             1.54162              10.572
            604       0.115193             MS      3.875e+10     2.9722e+10          3.875            0.473078             9.83195
            606      -0.121814             MS       5.36e+10    7.09543e+10           5.36            0.850979             9.94195
            620        0.11187             MS      8.113e+10    6.27064e+10          8.113            0.797312              10.042
            621       0.300487             MS      2.086e+12    1.04431e+12          208.6             2.01883              10.702
            622      -0.144513             MS      1.203e+11    1.67795e+11          12.03             1.22478              10.192
            628      0.0470029             MS      9.063e+10    8.13334e+10          9.063            0.910269             9.84195
            631       0.673652             SB      3.056e+11    6.47891e+10          30.56            0.811502             9.63195
            637      -0.329385             MS      2.923e+10    6.24042e+10          2.923            0.795214              10.312
            638     -0.0574564             MS      2.044e+11    2.33312e+11          20.44             1.36794              10.842
            652        0.15952             MS      3.528e+11    2.44348e+11          35.28             1.38801              10.162
            658       0.499735             MS      7.656e+12    2.42252e+12          765.6             2.38427              10.942
            659       0.110641             MS      7.487e+12    5.80318e+12          748.7             2.76367              11.422
            661       0.250003             MS       6.82e+10    3.83514e+10           6.82            0.583781             9.36195
            664      0.0671465             MS      2.891e+11    2.47686e+11          28.91              1.3939             9.94195
            669       0.499987             MS      4.546e+11    1.43761e+11          45.46             1.15764              10.232
            672       -1.02364             MS      4.632e+10    4.89114e+11          4.632             1.68941              11.052
            689    -0.00859054             MS      3.337e+10    3.40366e+10          3.337            0.531947             9.78195
            692      -0.956175             MS      2.714e+10    2.45349e+11          2.714             1.38978              11.292
            697        1.40103             SB      6.617e+11    2.62806e+10          66.17            0.419635             8.77195
            702       0.523384             MS      3.347e+11    1.00293e+11          33.47             1.00127             9.49195
            710       0.150689             MS      2.001e+10    1.41435e+10          2.001            0.150558             9.11195
            713      0.0800677             MS      2.219e+10     1.8454e+10          2.219             0.26609             9.38995
            714        0.54533             MS      3.017e+12      8.595e+11          301.7             1.93425              10.372
            718      -0.137217             MS      8.644e+10    1.18558e+11          8.644             1.07393              10.252
            719      -0.184885             MS      1.529e+11    2.34041e+11          15.29             1.36929              10.022
            721       -0.41005             MS      1.305e+10    3.35476e+10          1.305            0.525661             9.88195
            729       0.180958             MS       4.01e+10    2.64354e+10           4.01            0.422186             9.47995
            737     -0.0736546             MS      1.214e+11    1.43838e+11          12.14             1.15787              10.692
            740      -0.330036             MS      9.851e+09    2.10628e+10         0.9851            0.323516             9.80195
            748     -0.0994291             MS      4.952e+10    6.22601e+10          4.952             0.79421             9.65195
            749      -0.319032             MS      3.006e+10    6.26644e+10          3.006            0.797021              10.122
            753       -1.34927             MS      2.266e+09    5.06441e+10         0.2266            0.704529              10.372
            760      0.0630061             MS      5.241e+10    4.53323e+10          5.241            0.656408             9.81195
            762       -1.08932             MS      5.829e+10    7.16002e+11          5.829             1.85491              11.462
            768       0.181975             MS      3.107e+11    2.04346e+11          31.07             1.31037             9.79195
            776      -0.012136             MS      1.741e+10    1.79034e+10          1.741            0.252935             9.56195
            779      -0.745303             MS      1.529e+11     8.5057e+11          15.29             1.92971              11.012
            786      0.0131525             MS      1.832e+11    1.77735e+11          18.32             1.24977             9.74195
            793        1.25612             SB      8.756e+11    4.85491e+10          87.56            0.686181             8.95995
            804    -0.00966346             MS      4.912e+10    5.02252e+10          4.912            0.700922             9.81195
            805       0.157318             MS      2.625e+11    1.82731e+11          26.25             1.26181              10.142
            807        1.11182             SB      2.946e+12    2.27724e+11          294.6             1.35741             9.82195
            808      -0.511294             MS      3.202e+10    1.03924e+11          3.202             1.01672              10.622
            809       -1.13961             MS      6.793e+09    9.36846e+10         0.6793            0.971668              10.562
