#           _id      dis_to_MS        flag_SB           LTIR           MSIR            SFR    lgSFR_MS_Sargent       Mstar_Chabrier
#
            931       0.158285             MS      5.427e+10    3.76942e+10          5.427            0.576275             9.81195
            934       0.224622             MS      3.106e+10    1.85174e+10          3.106            0.267579             9.45195
            937     -0.0112372             MS      9.219e+10    9.46065e+10          9.219            0.975921              10.082
            939       0.271527             MS      3.827e+11    2.04801e+11          38.27             1.31133              10.572
            950      -0.677977             MS      1.005e+12    4.78788e+12          100.5             2.68014              11.482
            951       0.420942             MS      9.215e+09    3.49586e+09         0.9215           -0.456446             8.94995
            960       -1.80456             MS      7.277e+09    4.63998e+11         0.7277             1.66652              11.502
            965      0.0735117             MS      2.311e+11    1.95114e+11          23.11             1.29029              10.152
            966     -0.0647812             MS       1.01e+11    1.17247e+11           10.1              1.0691              10.012
            972       0.576776             MS      3.858e+09    1.02232e+09         0.3858           -0.990413             8.20995
            974       0.461674             MS      6.223e+12    2.14944e+12          622.3             2.33233              10.862
            994       0.267468             MS      1.119e+11    6.04452e+10          11.19            0.781362             9.77195
            995        0.27467             MS      2.022e+11    1.07426e+11          20.22             1.03111             9.96195
           1002        -0.2907             MS      9.246e+10    1.80573e+11          9.246             1.25665              10.502
           1005       0.425037             MS      3.286e+12     1.2349e+12          328.6             2.09163              10.712
           1006      -0.049708             MS      4.783e+11    5.36301e+11          47.83             1.72941              11.102
           1008      0.0478127             MS      2.809e+11    2.51616e+11          28.09             1.40074              10.622
           1023      -0.517399             MS       3.66e+11     1.2047e+12           36.6             2.08088              10.852
           1026       0.120187             MS      1.871e+11    1.41869e+11          18.71             1.15189             9.84195
           1035        0.30013             MS      1.487e+10    7.45042e+09          1.487           -0.127819             8.88995
           1036       0.905967             SB      5.001e+12    6.20998e+11          500.1             1.79309              10.182
           1037      -0.116419             MS      4.924e+10     6.4378e+10          4.924            0.808737              10.082
           1042      -0.190903             MS      2.683e+10    4.16413e+10          2.683            0.619524             9.60995
           1053     -0.0176616             MS      1.071e+12    1.11545e+12          107.1             2.04745              10.752
           1058      -0.675181             MS      4.738e+10    2.24272e+11          4.738             1.35078              10.552
           1064       -0.02273             MS      2.569e+10    2.70704e+10          2.569            0.432494             9.77195
           1075      -0.339702             MS      1.069e+11    2.33712e+11          10.69             1.36868              10.562
           1076       0.793608             SB      6.966e+11    1.12041e+11          69.66             1.04938             9.80195
           1077      0.0682331             MS      1.346e+11     1.1503e+11          13.46             1.06081              10.262
           1081        1.02125             SB      5.069e+09    4.82693e+08         0.5069            -1.31633             7.92195
           1084      0.0912943             MS      6.127e+11    4.96539e+11          61.27             1.69595              10.912
           1089      -0.254932             MS       1.02e+11    1.83456e+11           10.2             1.26353              10.492
           1091      0.0208886             MS      2.863e+11    2.72856e+11          28.63             1.43593             9.89195
           1094       0.564151             MS      2.538e+12    6.92374e+11          253.8             1.84034              10.292
           1101      0.0014781             MS      8.779e+10    8.74917e+10          8.779            0.941967              10.002
           1102       0.327548             MS      2.347e+10    1.10399e+10          2.347           0.0429646             9.38995
           1103       0.445219             MS       5.93e+11    2.12733e+11           59.3             1.32784              10.302
           1104       0.429576             MS      4.751e+10    1.76689e+10          4.751            0.247209             9.52995
           1105      -0.233628             MS      1.745e+11     2.9883e+11          17.45             1.47542              10.782
           1109            -99        unknown      2.252e+12            -99          225.2                 -99                 -99
           1113        0.45478             MS      1.624e+11     5.6991e+10          16.24            0.755806             9.52195
           1118       0.477872             MS      1.941e+10    6.45882e+09          1.941           -0.189847             9.18195
           1121        -0.9485             MS      5.512e+10    4.89564e+11          5.512             1.68981              11.172
           1123      0.0934682             MS       5.87e+11    4.73336e+11           58.7             1.67517              10.132
           1125      -0.910269             MS      4.835e+10    3.93247e+11          4.835             1.59467              10.872
           1129       0.396481             MS      1.025e+12     4.1138e+11          102.5             1.61424              10.162
           1133      -0.326024             MS      2.045e+09    4.33229e+09         0.2045           -0.363283             9.10195
           1135        2.45272             SB      1.872e+09    6.60071e+06         0.1872            -3.18041             5.66995
           1140       0.688772             SB      1.042e+10    2.13351e+09          1.042           -0.670905             8.48195
           1141       0.354932             MS      2.231e+11    9.85298e+10          22.31            0.993568              10.002
           1143      -0.266034             MS      1.271e+10     2.3452e+10          1.271             0.37018              10.002
           1144      -0.927844             MS      6.463e+10    5.47367e+11          6.463             1.73828              10.842
           1146            -99        unknown       3.05e+12            -99            305                 -99                 -99
           1147      0.0224516             MS      1.487e+11    1.41208e+11          14.87             1.14986              10.142
           1148      0.0825998             MS      4.058e+12    3.35515e+12          405.8             2.52571              11.202
           1150       0.036943             MS      2.277e+11    2.09132e+11          22.77             1.32042              10.292
           1159       0.200123             MS        4.2e+12    2.64927e+12            420             2.42313              11.072
           1160      -0.280852             MS      2.573e+11    4.91237e+11          25.73             1.69129              10.322
           1167        1.05302             SB      3.179e+12    2.81368e+11          317.9             1.44928             9.88195
           1168        1.38161             SB       9.09e+12    3.77535e+11            909             1.57696               9.998
           1172      -0.420564             MS      9.335e+10    2.45855e+11          9.335             1.39068              10.402
           1181      -0.391861             MS      1.034e+11    2.54907e+11          10.34             1.40638              10.182
           1186     -0.0500735             MS      2.348e+11    2.63495e+11          23.48             1.42077              10.362
           1202      0.0656007             MS      1.317e+11    1.13236e+11          13.17             1.05399             9.70995
           1208       0.239322             MS      2.108e+11    1.21492e+11          21.08             1.08455             9.90195
           1221       0.122429             MS      1.525e+11    1.15038e+11          15.25             1.06084              10.092
           1222       0.125679             MS      3.619e+10    2.70962e+10          3.619            0.432909             9.47995
           1225      0.0845481             MS      6.679e+10    5.49748e+10          6.679            0.740163              10.212
           1235       0.322996             MS      2.304e+11    1.09518e+11          23.04             1.03949              10.272
           1239      -0.526612             MS      3.428e+11    1.15253e+12          34.28             2.06165              11.612
           1248       0.582375             MS      8.008e+11    2.09483e+11          80.08             1.32115              10.372
           1252      0.0384307             MS      1.383e+11    1.26588e+11          13.83             1.10239             9.61995
           1253       0.178797             MS      3.115e+11    2.06377e+11          31.15             1.31466              10.032
           1262      -0.742284             MS      7.298e+12     4.0317e+13          729.8             3.60549              12.502
           1269       0.551032             MS      1.492e+12    4.19505e+11          149.2             1.62274              10.282
           1270      0.0301471             MS      6.409e+10     5.9792e+10          6.409            0.776643             9.79195
           1273      -0.200261             MS      2.383e+10    3.77907e+10          2.383            0.577385             9.81195
           1278      0.0621959             MS      1.683e+11    1.45844e+11          16.83             1.16389             9.99195
